Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"M.R. Wu","Bidirectional enhancement of cell proliferation between iron oxide nanoparticle-labeled mesenchymal stem cells and choroid plexus in a cell-based therapy model of ischemic stroke",2020,"International Journal of Nanomedicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096817057&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096817057&origin=inward",53,"2021-01-16 15:50:43","Article","10.2147/IJN.S278687","1176-9114","https://api.elsevier.com/content/abstract/scopus_id/85096817057",15,,9181,9195,0,0.00,0,1,1,""
0,"H. Li","Initiation of PI3K/AKT pathway by IGF-1 decreases spinal cord injury-induced endothelial apoptosis and microvascular damage",2020,"Life Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092675735&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092675735&origin=inward",54,"2021-01-16 15:50:43","Review","10.1016/j.lfs.2020.118572","0024-3205","https://api.elsevier.com/content/abstract/scopus_id/85092675735",263,,,,0,0.00,0,1,1,""
0,"M. Shaughness","Role of Insulin in Neurotrauma and Neurodegeneration: A Review",2020,"Frontiers in Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092198198&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092198198&origin=inward",55,"2021-01-16 15:50:43","Review","10.3389/fnins.2020.547175","1662-4548","https://api.elsevier.com/content/abstract/scopus_id/85092198198",14,,,,0,0.00,0,1,1,""
0,"T. Kuboyama","Natural medicines and their underlying mechanisms of prevention and recovery from amyloid b-induced axonal degeneration in alzheimer’s disease",2020,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087454810&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087454810&origin=inward",56,"2021-01-16 15:50:43","Review","10.3390/ijms21134665","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85087454810",21,13,1,14,0,0.00,0,1,1,""
0,"H.N. Kim","A Western diet impairs CNS energy homeostasis and recovery after spinal cord injury: Link to astrocyte metabolism",2020,"Neurobiology of Disease","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084633682&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084633682&origin=inward",57,"2021-01-16 15:50:43","Article","10.1016/j.nbd.2020.104934","0969-9961","https://api.elsevier.com/content/abstract/scopus_id/85084633682",141,,,,0,0.00,0,1,1,""
0,"A.B. Ghnenis","A Long-Term Pilot Study on Sex and Spinal Cord Injury Shows Sexual Dimorphism in Functional Recovery and Cardio-Metabolic Responses",2020,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079659405&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079659405&origin=inward",58,"2021-01-16 15:50:43","Article","10.1038/s41598-020-59628-6","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85079659405",10,1,,,0,0.00,0,1,1,""
0,"Y. Liu","Effect of Danshen injection on expression of brain-derived neurotrophic factor and insulin-like growth factor-1 in rats with spinal cord injury",2018,"Journal of Shanghai Jiaotong University (Medical Science)","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047197969&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047197969&origin=inward",59,"2021-01-16 15:50:43","Article","10.3969/j.issn.1674-8115.2018.03.006","1674-8115","https://api.elsevier.com/content/abstract/scopus_id/85047197969",38,3,272,275,0,0.00,0,1,3,""
0,"A. Gopinathan","Effect of nitric oxide synthase inhibitor and electro-acupuncture in experimentally induced acute spinal cord injury in rabbits",2008,"Indian Journal of Animal Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=61549096209&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61549096209&origin=inward",60,"2021-01-16 15:50:43","Article","","0367-8318","https://api.elsevier.com/content/abstract/scopus_id/61549096209",78,11,1202,1206,0,0.00,0,1,13,""
0,"L. Li","Effect of IGF-1 on motor function of lower limbs and motor evoked potential after chronic spinal cord compression in rat",2002,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33750701181&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750701181&origin=inward",61,"2021-01-16 15:50:43","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/33750701181",6,18,2716,2717,0,0.00,0,1,19,""
0,"Z. Chen","Influence of electroacupuncture on the expressions of insulin-like growth factor-I in rats with chronic compressive spinal cord injury",2005,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=31544458424&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=31544458424&origin=inward",62,"2021-01-16 15:50:43","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/31544458424",9,41,94,96,0,0.00,0,1,16,""
