Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"M.R. Wu","Bidirectional enhancement of cell proliferation between iron oxide nanoparticle-labeled mesenchymal stem cells and choroid plexus in a cell-based therapy model of ischemic stroke",2020,"International Journal of Nanomedicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096817057&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096817057&origin=inward",63,"2021-01-16 16:09:09","Article","10.2147/IJN.S278687","1176-9114","https://api.elsevier.com/content/abstract/scopus_id/85096817057",15,,9181,9195,0,0.00,0,1,1,""
0,"Y. Chen","The Latest View on the Mechanism of Ferroptosis and Its Research Progress in Spinal Cord Injury",2020,"Oxidative Medicine and Cellular Longevity","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090817594&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090817594&origin=inward",64,"2021-01-16 16:09:09","Review","10.1155/2020/6375938","1942-0900","https://api.elsevier.com/content/abstract/scopus_id/85090817594",2020,,,,0,0.00,0,1,1,""
0,"E. Huber","Extrapyramidal plasticity predicts recovery after spinal cord injury",2020,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089726341&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089726341&origin=inward",65,"2021-01-16 16:09:09","Article","10.1038/s41598-020-70805-5","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85089726341",10,1,,,0,0.00,0,1,1,""
0,"","Corrigendum: Deferoxamine promotes recovery of traumatic spinal cord injury by inhibiting ferroptosis (Neural Regeneration Research (2019) 14:3 (532-541) DOI: 10.4103/1673-5374.245480)",2019,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061769752&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061769752&origin=inward",66,"2021-01-16 16:09:09","Erratum","10.4103/1673-5374.250633","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85061769752",14,6,1068,1068,0,0.00,0,0,2,""
0,"A. Hejčl","Adult bone marrow stem cells and biocompatible polymers in SCI repair",2010,"Advances in Medicine and Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060158343&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060158343&origin=inward",67,"2021-01-16 16:09:09","Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/85060158343",1,,199,222,0,0.00,0,1,11,""
0,"S. Kolesov","Developing new methods of spinal cord injury treatment using magnetic nanoparticles in combination with electromagnetic field",2017,"Coluna/ Columna","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021361591&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021361591&origin=inward",68,"2021-01-16 16:09:09","Article","10.1590/S1808-185120171602172206","1808-1851","https://api.elsevier.com/content/abstract/scopus_id/85021361591",16,2,145,148,0,0.00,0,1,4,""
0,"Š. Kubinová","Nanotechnology and biomaterials in medicine",2009,"NANOCON 2009 - 1st International Conference, Conference Proceedings","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924291853&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924291853&origin=inward",69,"2021-01-16 16:09:09","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/84924291853",,,292,298,0,0.00,0,1,12,""
0,"A. Hejčl","Adult bone marrow stem cells and biocompatible polymers in SCI repair",2011,"Handbook of Hydrogels: Properties, Preparation &amp; Applications","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896406950&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896406950&origin=inward",70,"2021-01-16 16:09:09","Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/84896406950",,,689,712,0,0.00,0,1,10,""
0,"A. Hejčl","Adult bone marrow stem cells and biocompatible polymers in SCI repair",2009,"Handbook of Spinal Cord Injuries: Types, Treatments and Prognosis","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896213827&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896213827&origin=inward",71,"2021-01-16 16:09:09","Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/84896213827",,,297,320,0,0.00,0,1,12,""
0,"M. Paredes-Espinosa","Effect og glycine administration on motor function in rats after traumatic injury of the spinal cord",2011,"Archivos de Neurociencias","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887420728&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887420728&origin=inward",72,"2021-01-16 16:09:09","Article","","1028-5938","https://api.elsevier.com/content/abstract/scopus_id/84887420728",16,3,119,124,0,0.00,0,1,10,""
