Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"M. Song","Electroacupuncture improves neuronal function by stimulation of ascending peripheral nerve conduction in rats with spinal cord injury",2019,"Journal of Traditional Chinese Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088222328&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088222328&origin=inward",26,"2021-01-16 16:26:51","Article","","0255-2922","https://api.elsevier.com/content/abstract/scopus_id/85088222328",39,4,509,515,0,0.00,0,1,2,""
1,"J.A. Davis","Pharmacological Transection of Brain-Spinal Cord Communication Blocks Pain-Induced Hemorrhage and Locomotor Deficits after Spinal Cord Injury in Rats",2020,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089128822&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089128822&origin=inward",23,"2021-01-16 16:26:51","Article","10.1089/neu.2019.6973","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85089128822",37,15,1729,1739,1,1.00,1,1,1,""
1,"M. Hirsch","It’s never just a block: An analysis of regional anesthesia closed claims",2019,"AANA Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward",24,"2021-01-16 16:26:51","Article","","0094-6354","https://api.elsevier.com/content/abstract/scopus_id/85073036113",87,5,365,373,1,0.50,1,1,2,""
1,"S. Ghroubi","Management of spastic foot: 116 cases",2009,"Medecine et Chirurgie du Pied","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67649742604&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67649742604&origin=inward",25,"2021-01-16 16:26:51","Article","10.1007/s10243-009-0187-6","0759-2280","https://api.elsevier.com/content/abstract/scopus_id/67649742604",25,2,44,51,1,0.08,1,1,12,""
2,"C.V. Ghincea","Spinal Cord Protection for Thoracic Aortic Surgery: Bench to Bedside",2019,"Seminars in Thoracic and Cardiovascular Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward",19,"2021-01-16 16:26:51","Article","10.1053/j.semtcvs.2019.02.025","1043-0679","https://api.elsevier.com/content/abstract/scopus_id/85063372393",31,4,713,720,2,1.00,2,1,2,""
2,"R.H.d.F. Chaves","Influence of tramadol on functional recovery of acute spinal cord injury in rats",2018,"Acta Cirurgica Brasileira","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059795304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059795304&origin=inward",20,"2021-01-16 16:26:51","Article","10.1590/s0102-865020180120000006","0102-8650","https://api.elsevier.com/content/abstract/scopus_id/85059795304",33,12,1087,1094,2,0.67,2,1,3,""
2,"A. Frigon","The cat model of spinal cord injury",2013,"Neuromethods","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875619129&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875619129&origin=inward",21,"2021-01-16 16:26:51","Article","10.1007/978-1-62703-197-4-8","0893-2336","https://api.elsevier.com/content/abstract/scopus_id/84875619129",76,,159,183,2,0.25,2,1,8,""
2,"B.E. Gençosmanoǧlu","Spinal cord injury caused by gunshot wound during pregnancy",2001,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035376805&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035376805&origin=inward",22,"2021-01-16 16:26:51","Article","10.1080/10790268.2001.11753568","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/0035376805",24,2,123,126,2,0.10,2,1,20,""
3,"J.W. Grau","Learning to promote recovery after spinal cord injury",2020,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084378723&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084378723&origin=inward",16,"2021-01-16 16:26:51","Review","10.1016/j.expneurol.2020.113334","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85084378723",330,,,,3,3.00,3,1,1,""
3,"M. Krucoff","A novel paraplegia model in awake behaving macaques",2017,"Journal of Neurophysiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029217769&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029217769&origin=inward",17,"2021-01-16 16:26:51","Article","10.1152/jn.00327.2017","0022-3077","https://api.elsevier.com/content/abstract/scopus_id/85029217769",118,3,1800,1808,3,0.75,3,1,4,""
3,"S. Lopez","Intrathecal bupivacaine protects against extension of lesions in an acute photochemical spinal cord injury model",2004,"Canadian Journal of Anesthesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward",18,"2021-01-16 16:26:51","Article","10.1007/BF03018241","0832-610X","https://api.elsevier.com/content/abstract/scopus_id/2542540436",51,4,364,372,3,0.18,3,1,17,""
4,"R. Wadhwa","Pleural puncture with thoracic epidural: A rare complication?",2011,"Indian Journal of Anaesthesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863393333&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863393333&origin=inward",15,"2021-01-16 16:26:51","Article","10.4103/0019-5049.79898","0019-5049","https://api.elsevier.com/content/abstract/scopus_id/84863393333",55,2,163,166,4,0.40,4,1,10,""
6,"C. Hulsebosch","Mechanisms and treatment strategies for chronic central neuropathic pain after spinal cord injury",2003,"Topics in Spinal Cord Injury Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037349186&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037349186&origin=inward",14,"2021-01-16 16:26:51","Review","10.1310/NMGQ-NXNX-7LNK-PXM2","1082-0744","https://api.elsevier.com/content/abstract/scopus_id/0037349186",8,4,76,91,6,0.33,6,1,18,""
