Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"X.Y. Shen","Influence of spinal cord injury on core regions of motor function",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092652009&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092652009&origin=inward",9,"2021-01-17 15:40:10","Article","10.4103/1673-5374.293158","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85092652009",16,3,567,572,0,0.00,0,1,1,""
0,"B. Liu","Functional recovery of the spinal cord following ischemia and reperfusion injury",2002,"Chinese Journal of Traumatology - English Edition","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=29644444966&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29644444966&origin=inward",10,"2021-01-17 15:40:10","Article","","1008-1275","https://api.elsevier.com/content/abstract/scopus_id/29644444966",5,3,186,189,0,0.00,0,1,19,""
0,"L.H. Fan","Magnesium sulfate for spinal cord ischemia-reperfusion injury in rabbits",2005,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=27644568700&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27644568700&origin=inward",11,"2021-01-17 15:40:10","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/27644568700",9,17,224,226,0,0.00,0,1,16,""
0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",12,"2021-01-17 15:40:10","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0.00,0,1,24,""
1,"M. Hirsch","It’s never just a block: An analysis of regional anesthesia closed claims",2019,"AANA Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward",8,"2021-01-17 15:40:10","Article","","0094-6354","https://api.elsevier.com/content/abstract/scopus_id/85073036113",87,5,365,373,1,0.50,1,1,2,""
9,"L. Farsi","Effects of combining methylprednisolone with magnesium sulfate on neuropathic pain and functional recovery following spinal cord injury in male rats",2015,"Acta Medica Iranica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924246537&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924246537&origin=inward",7,"2021-01-17 15:40:10","Article","","0044-6025","https://api.elsevier.com/content/abstract/scopus_id/84924246537",53,3,149,157,9,1.50,9,1,6,""
10,"F. Streijger","The Evaluation of Magnesium Chloride within a Polyethylene Glycol Formulation in a Porcine Model of Acute Spinal Cord Injury",2016,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010959287&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010959287&origin=inward",6,"2021-01-17 15:40:10","Article","10.1089/neu.2016.4439","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85010959287",33,24,2202,2216,10,2.00,10,1,5,""
44,"M. Fehlings","A series of systematic reviews on the treatment of acute spinal cord injury: A foundation for best medical practice",2011,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79960775566&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960775566&origin=inward",5,"2021-01-17 15:40:10","Review","10.1089/neu.2011.1955","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/79960775566",28,8,1329,1333,44,4.40,44,1,10,""
48,"A. Faden","Comparison of Single and Combination Drug Treatment Strategies in Experimental Brain Trauma",1993,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027169419&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027169419&origin=inward",4,"2021-01-17 15:40:10","Article","10.1089/neu.1993.10.91","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0027169419",10,2,91,100,48,1.71,48,1,28,""
51,"B.K. Kwon","Magnesium chloride in a polyethylene glycol formulation as a neuroprotective therapy for acute spinal cord injury: Preclinical refinement and optimization",2009,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67651158286&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67651158286&origin=inward",3,"2021-01-17 15:40:10","Article","10.1089/neu.2009.0884","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/67651158286",26,8,1379,1393,51,4.25,51,1,12,""
