Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"H.X. Li","An observation of the clinical efficacy of combining riluzole with mannitol and hyperbaric oxygen in treating acute spinal cord injury T",2021,"Pakistan Journal of Medical Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099038408&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099038408&origin=inward",15,"2021-01-17 15:43:22","Article","10.12669/pjms.37.2.3418","1682-024X","https://api.elsevier.com/content/abstract/scopus_id/85099038408",37,2,1,5,0,0.00,0,1,1,""
0,"L. Zhang","Clinical characteristics, diagnosis and treatment of pediatric spinal cord injury without bone fracture or dislocation",2020,"Chinese Journal of Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092585353&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092585353&origin=inward",16,"2021-01-17 15:43:22","Article","10.3760/cma.j.cn112050-20200405-00206","1001-2346","https://api.elsevier.com/content/abstract/scopus_id/85092585353",36,9,908,912,0,0.00,0,1,1,""
0,"C. Zhang","Mannitol reduces spinal cord edema in rats with acute traumatic spinal cord injury",2020,"Letters in Drug Design and Discovery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086381256&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086381256&origin=inward",17,"2021-01-17 15:43:22","Article","10.2174/1570180816666190731112158","1570-1808","https://api.elsevier.com/content/abstract/scopus_id/85086381256",17,6,676,683,0,0.00,0,1,1,""
2,"C.V. Ghincea","Spinal Cord Protection for Thoracic Aortic Surgery: Bench to Bedside",2019,"Seminars in Thoracic and Cardiovascular Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward",14,"2021-01-17 15:43:22","Article","10.1053/j.semtcvs.2019.02.025","1043-0679","https://api.elsevier.com/content/abstract/scopus_id/85063372393",31,4,713,720,2,1.00,2,1,2,""
3,"T. Isu","Spinal cord evoked potential in experimental spinal cord injury--the changes in spinal cord evoked potential following impact injury, and effect of mannitol administration on acute experimental spinal cord injury",1990,"[Hokkaido igaku zasshi] The Hokkaido journal of medical science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025393843&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025393843&origin=inward",13,"2021-01-17 15:43:22","Article","","0367-6102","https://api.elsevier.com/content/abstract/scopus_id/0025393843",65,2,142,151,3,0.10,3,1,31,""
8,"A. Baysefer","Effect of mannitol in experimental spinal cord injury: An ultrastructural and electrophysiological study",2003,"Neurology India","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0348143419&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0348143419&origin=inward",12,"2021-01-17 15:43:22","Article","","0028-3886","https://api.elsevier.com/content/abstract/scopus_id/0348143419",51,3,350,354,8,0.44,8,1,18,""
9,"L. Sun","Effect of hyperbaric oxygen therapy on HMGB1/NF-κB expression and prognosis of acute spinal cord injury: A randomized clinical trial",2019,"Neuroscience Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055909136&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055909136&origin=inward",11,"2021-01-17 15:43:22","Article","10.1016/j.neulet.2018.10.059","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/85055909136",692,,47,52,9,4.50,9,1,2,""
13,"S. Maejima","Neurosurgical trauma in Japan",2001,"World Journal of Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034854936&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034854936&origin=inward",10,"2021-01-17 15:43:22","Review","10.1007/s00268-001-0083-7","0364-2313","https://api.elsevier.com/content/abstract/scopus_id/0034854936",25,9,1205,1209,13,0.65,13,1,20,""
17,"E. Gordon","Outcome of head injury in 2298 patients treated in a single clinic during a 21-year period",1995,"Journal of Neurosurgical Anesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029123136&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029123136&origin=inward",9,"2021-01-17 15:43:22","Article","10.1097/00008506-199510000-00001","0898-4921","https://api.elsevier.com/content/abstract/scopus_id/0029123136",7,4,235,247,17,0.65,17,1,26,""
29,"C. Tator","Current concepts in the immediate management of acute spinal cord injuries",1979,"Canadian Medical Association Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0018638997&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0018638997&origin=inward",8,"2021-01-17 15:43:22","Review","","0820-3946","https://api.elsevier.com/content/abstract/scopus_id/0018638997",121,11,1453,1464,29,0.69,29,1,42,""
44,"P. Harris","The prognosis of patients sustaining severe cervical spine injury (c2-c7 inclusive)",1980,"Paraplegia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0018927783&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0018927783&origin=inward",7,"2021-01-17 15:43:22","Article","10.1038/sc.1980.59","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0018927783",18,5,324,330,44,1.07,44,1,41,""
48,"J.C. de la Torre","Pharmacologic treatment and evaluation of permanent experimental spinal cord trauma",1975,"Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0016682101&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0016682101&origin=inward",6,"2021-01-17 15:43:22","Article","10.1212/wnl.25.6.508","0028-3878","https://api.elsevier.com/content/abstract/scopus_id/0016682101",25,6,508,514,48,1.04,48,1,46,""
72,"J. Harrop","Central cord injury: pathophysiology, management, and outcomes",2006,"Spine Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33750629456&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750629456&origin=inward",4,"2021-01-17 15:43:22","Review","10.1016/j.spinee.2006.04.006","1529-9430","https://api.elsevier.com/content/abstract/scopus_id/33750629456",6,6,,,72,4.80,72,1,15,""
72,"F. Launay","Pediatric spinal cord injury without radiographic abnormality: A meta-analysis",2005,"Clinical Orthopaedics and Related Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=16844384181&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=16844384181&origin=inward",5,"2021-01-17 15:43:22","Article","10.1097/01.blo.0000151876.90256.bf","0009-921X","https://api.elsevier.com/content/abstract/scopus_id/16844384181",,433,166,170,72,4.50,72,1,16,""
73,"B. Bose","Reanalysis of central cervical cord injury management",1984,"Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0021184340&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021184340&origin=inward",3,"2021-01-17 15:43:22","Article","10.1227/00006123-198409000-00012","0148-396X","https://api.elsevier.com/content/abstract/scopus_id/0021184340",15,3,367,372,73,1.97,73,1,37,""
126,"D. Stein","Does Progesterone Have Neuroprotective Properties?",2008,"Annals of Emergency Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=38349052883&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38349052883&origin=inward",2,"2021-01-17 15:43:22","Review","10.1016/j.annemergmed.2007.05.001","0196-0644","https://api.elsevier.com/content/abstract/scopus_id/38349052883",51,2,164,172,126,9.69,126,1,13,""
187,"A. Baumann","Neurogenic pulmonary edema",2007,"Acta Anaesthesiologica Scandinavica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33947273811&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947273811&origin=inward",1,"2021-01-17 15:43:22","Review","10.1111/j.1399-6576.2007.01276.x","0001-5172","https://api.elsevier.com/content/abstract/scopus_id/33947273811",51,4,447,455,187,13.36,187,1,14,""
