Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"A. Anjum","Spinal cord injury: Pathophysiology, multimolecular interactions, and underlying recovery mechanisms",2020,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092901214&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092901214&origin=inward",33,"2021-01-17 15:44:28","Review","10.3390/ijms21207533","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85092901214",21,20,1,35,0,0.00,0,1,1,""
0,"K. Gao","Neuroprotection of melatonin on spinal cord injury by activating autophagy and inhibiting apoptosis via SIRT1/AMPK signaling pathway",2020,"Biotechnology Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086023251&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086023251&origin=inward",34,"2021-01-17 15:44:28","Article","10.1007/s10529-020-02939-5","0141-5492","https://api.elsevier.com/content/abstract/scopus_id/85086023251",42,10,2059,2069,0,0.00,0,1,1,""
0,"M.d.C. Díaz-Galindo","Therapeutic approaches of trophic factors in animal models and in patients with spinal cord injury",2020,"Growth Factors","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083673527&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083673527&origin=inward",35,"2021-01-17 15:44:28","Review","10.1080/08977194.2020.1753724","0897-7194","https://api.elsevier.com/content/abstract/scopus_id/85083673527",38,1,1,15,0,0.00,0,1,1,""
0,"M. Koff","Systematic review of recovery of spinal cord injury with antioxidant therapy",2017,"Coluna/ Columna","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85018671692&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018671692&origin=inward",36,"2021-01-17 15:44:28","Article","10.1590/S1808-1851201716011171639","1808-1851","https://api.elsevier.com/content/abstract/scopus_id/85018671692",16,1,67,73,0,0.00,0,1,4,""
0,"G. Bozkurt","Investigation with the oxidative stress theory (the free radical theory) of aging neurobiology in the experimental spinal cord trauma model: A biochemical study",2006,"Turkish Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=57349117687&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57349117687&origin=inward",37,"2021-01-17 15:44:28","Article","","1019-5149","https://api.elsevier.com/content/abstract/scopus_id/57349117687",16,3,105,110,0,0.00,0,1,15,""
1,"E.C. Simmons","Mitochondrial biogenesis as a therapeutic target for traumatic and neurodegenerative CNS diseases",2020,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083396043&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083396043&origin=inward",32,"2021-01-17 15:44:28","Review","10.1016/j.expneurol.2020.113309","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85083396043",329,,,,1,1.00,1,1,1,""
2,"A. Navarrete-Opazo","Effectiveness of dietary supplements in spinal cord injury subjects",2017,"Disability and Health Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85008354369&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85008354369&origin=inward",30,"2021-01-17 15:44:28","Review","10.1016/j.dhjo.2016.12.002","1936-6574","https://api.elsevier.com/content/abstract/scopus_id/85008354369",10,2,183,197,2,0.50,2,1,4,""
2,"A. Schiaveto-de-Souza","Effect of melatonin on the functional recovery from experimental traumatic compression of the spinal cord",2013,"Brazilian Journal of Medical and Biological Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876936493&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876936493&origin=inward",31,"2021-01-17 15:44:28","Article","10.1590/1414-431X20132322","0100-879X","https://api.elsevier.com/content/abstract/scopus_id/84876936493",46,4,,,2,0.25,2,1,8,""
6,"Y. Zhang","Melatonin improves functional recovery in female rats after acute spinal cord injury by modulating polarization of spinal microglial/macrophages",2019,"Journal of Neuroscience Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064644780&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064644780&origin=inward",29,"2021-01-17 15:44:28","Article","10.1002/jnr.24409","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/85064644780",97,7,733,743,6,3.00,6,1,2,""
7,"W. Krityakiarana","Effects of melatonin on severe crush spinal cord injury–induced reactive astrocyte and scar formation",2016,"Journal of Neuroscience Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84988905763&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988905763&origin=inward",28,"2021-01-17 15:44:28","Article","10.1002/jnr.23930","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/84988905763",94,12,1451,1459,7,1.40,7,1,5,""
8,"Y. Jing","Melatonin treatment alleviates spinal cord injury-induced gut dysbiosis in mice",2019,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068890256&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068890256&origin=inward",26,"2021-01-17 15:44:28","Article","10.1089/neu.2018.6012","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85068890256",36,18,2646,2664,8,4.00,8,1,2,""
8,"G. Xu","Melatonin ameliorates spinal cord injury by suppressing the activation of inflammasomes in rats",2019,"Journal of Cellular Biochemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053823063&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053823063&origin=inward",27,"2021-01-17 15:44:28","Article","10.1002/jcb.27794","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85053823063",120,4,5183,5192,8,4.00,8,1,2,""
9,"A. Schiaveto-de-Souza","Effect of melatonin on the functional recovery from experimental traumatic compression of the spinal cord",2013,"Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.]","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895931946&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895931946&origin=inward",24,"2021-01-17 15:44:28","Article","","1414-431X","https://api.elsevier.com/content/abstract/scopus_id/84895931946",46,4,348,358,9,1.13,9,1,8,""
9,"O. Ates","Does pinealectomy affect the recovery rate after spinal cord injury?",2007,"Neurological Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34748827364&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34748827364&origin=inward",25,"2021-01-17 15:44:28","Article","10.1179/016164107X172121","0161-6412","https://api.elsevier.com/content/abstract/scopus_id/34748827364",29,6,533,539,9,0.64,9,1,14,""
10,"B. Zheng","Melatonin alleviates acute spinal cord injury in rats through promoting on progenitor cells proliferation",2017,"Saudi Pharmaceutical Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019877899&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019877899&origin=inward",23,"2021-01-17 15:44:28","","10.1016/j.jsps.2017.04.025","1319-0164","https://api.elsevier.com/content/abstract/scopus_id/85019877899",25,4,570,574,10,2.50,10,1,4,""
13,"M. Piao","Melatonin improves functional outcome via inhibition of matrix metalloproteinases-9 after photothrombotic spinal cord injury in rats",2014,"Acta Neurochirurgica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924191742&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924191742&origin=inward",22,"2021-01-17 15:44:28","Article","10.1007/s00701-014-2119-4","0001-6268","https://api.elsevier.com/content/abstract/scopus_id/84924191742",156,11,2173,2182,13,1.86,13,1,7,""
