Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"T.C. Weizenmann","Evaluation of the effect of nandrolone decanoate on experimental spinal cord injury in rats",2019,"Acta Scientiae Veterinariae","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090703631&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090703631&origin=inward",10,"2021-01-18 08:46:48","Article","10.22456/1679-9216.98190","1678-0345","https://api.elsevier.com/content/abstract/scopus_id/85090703631",47,1,,,0,0.00,0,1,2,""
0,"J. Eck","Does intraoperative neurophysiological monitoring have predictive value for functional recovery following spinal cord injury? A case report",2013,"Journal of Clinical Monitoring and Computing","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84872681184&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872681184&origin=inward",11,"2021-01-18 08:46:48","Article","10.1007/s10877-012-9395-4","1387-1307","https://api.elsevier.com/content/abstract/scopus_id/84872681184",27,1,93,96,0,0.00,0,1,8,""
1,"M. Hirsch","It’s never just a block: An analysis of regional anesthesia closed claims",2019,"AANA Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward",8,"2021-01-18 08:46:48","Article","","0094-6354","https://api.elsevier.com/content/abstract/scopus_id/85073036113",87,5,365,373,1,0.50,1,1,2,""
1,"M. Parotto","Hyperbaric oxygen therapy for spinal cord ischaemia after complex aortic repair ' a retrospective review",2018,"Anaesthesiology Intensive Therapy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049696575&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049696575&origin=inward",9,"2021-01-18 08:46:48","Review","10.5603/AIT.a2018.0010","1642-5758","https://api.elsevier.com/content/abstract/scopus_id/85049696575",50,2,103,109,1,0.33,1,1,3,""
2,"V. Fanelli","Anesthetic optimization for nonheartbeating donors",2010,"Current Opinion in Anaesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951988331&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951988331&origin=inward",7,"2021-01-18 08:46:48","Review","10.1097/ACO.0b013e3283395352","0952-7907","https://api.elsevier.com/content/abstract/scopus_id/77951988331",23,3,406,410,2,0.18,2,1,11,""
4,"E.R. Theriault","Antispasmodic medications may be associated with reduced recovery during inpatient rehabilitation after traumatic spinal cord injury",2018,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward",6,"2021-01-18 08:46:48","Article","10.1080/10790268.2016.1245010","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84994905096",41,1,63,71,4,1.33,4,1,3,""
15,"C. Gomar","Delayed arousal after general anesthesia associated with baclofen [6]",1994,"Anesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028143912&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028143912&origin=inward",5,"2021-01-18 08:46:48","Letter","10.1097/00000542-199411000-00035","0003-3022","https://api.elsevier.com/content/abstract/scopus_id/0028143912",81,5,1306,1307,15,0.56,15,1,27,""
16,"C.E. Morris","Left-shifted Nav channels in injured bilayer: Primary targets for neuroprotective Nav antagonists?",2012,"Frontiers in Pharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864842078&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864842078&origin=inward",4,"2021-01-18 08:46:48","Article","10.3389/fphar.2012.00019","1663-9812","https://api.elsevier.com/content/abstract/scopus_id/84864842078",3,,,,16,1.78,16,1,9,""
21,"F. Dillon","Electromyographic (EMG) Neuromonitoring in Otolaryngology-Head and Neck Surgery",2010,"Anesthesiology Clinics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward",3,"2021-01-18 08:46:48","Review","10.1016/j.anclin.2010.07.011","1932-2275","https://api.elsevier.com/content/abstract/scopus_id/77956636967",28,3,423,442,21,1.91,21,1,11,""
39,"E. Pompeo","Awake Operative Videothoracoscopic Pulmonary Resections",2008,"Thoracic Surgery Clinics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=48449101182&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=48449101182&origin=inward",2,"2021-01-18 08:46:48","Review","10.1016/j.thorsurg.2008.04.006","1547-4127","https://api.elsevier.com/content/abstract/scopus_id/48449101182",18,3,311,320,39,3.00,39,1,13,""
