Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"T.C. Weizenmann","Evaluation of the effect of nandrolone decanoate on experimental spinal cord injury in rats",2019,"Acta Scientiae Veterinariae","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090703631&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090703631&origin=inward",31,"2021-01-18 10:01:28","Article","10.22456/1679-9216.98190","1678-0345","https://api.elsevier.com/content/abstract/scopus_id/85090703631",47,1,,,0,0.00,0,1,2,""
0,"A. Stampas","The first 24 h: opioid administration in people with spinal cord injury and neurologic recovery",2020,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085515577&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085515577&origin=inward",32,"2021-01-18 10:01:28","Article","10.1038/s41393-020-0483-x","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85085515577",58,10,1080,1089,0,0.00,0,1,1,""
0,"X. Xing","Repeated systemic administration of morphine promotes recovery of locomotor function after spinal cord injury in rats",2016,"International Journal of Clinical and Experimental Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962246968&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962246968&origin=inward",33,"2021-01-18 10:01:28","Article","","1940-5901","https://api.elsevier.com/content/abstract/scopus_id/84962246968",9,2,2037,2046,0,0.00,0,1,5,""
1,"A. Fonseca","Comparison among bone marrow mesenchymal stem and mononuclear cells to promote functional recovery after spinal cord injury in rabbits",2017,"Acta Cirurgica Brasileira","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042659225&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042659225&origin=inward",30,"2021-01-18 10:01:28","Article","10.1590/s0102-865020170120000004","0102-8650","https://api.elsevier.com/content/abstract/scopus_id/85042659225",32,12,1026,1035,1,0.25,1,1,4,""
2,"V. Fanelli","Anesthetic optimization for nonheartbeating donors",2010,"Current Opinion in Anaesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951988331&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951988331&origin=inward",28,"2021-01-18 10:01:28","Review","10.1097/ACO.0b013e3283395352","0952-7907","https://api.elsevier.com/content/abstract/scopus_id/77951988331",23,3,406,410,2,0.18,2,1,11,""
2,"B.E. Gençosmanoǧlu","Spinal cord injury caused by gunshot wound during pregnancy",2001,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035376805&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035376805&origin=inward",29,"2021-01-18 10:01:28","Article","10.1080/10790268.2001.11753568","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/0035376805",24,2,123,126,2,0.10,2,1,20,""
3,"J.W. Grau","Learning to promote recovery after spinal cord injury",2020,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084378723&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084378723&origin=inward",26,"2021-01-18 10:01:28","Review","10.1016/j.expneurol.2020.113334","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85084378723",330,,,,3,3.00,3,1,1,""
3,"Y. Wu","Methylprednisolone worsening neuropathic pain in non-traumatic thoracic myelopathy",2010,"Journal of Clinical Pharmacy and Therapeutics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954493527&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954493527&origin=inward",27,"2021-01-18 10:01:28","Article","10.1111/j.1365-2710.2009.01121.x","0269-4727","https://api.elsevier.com/content/abstract/scopus_id/77954493527",35,4,491,496,3,0.27,3,1,11,""
4,"M. Aceves","Nor-Binaltorphimine Blocks the Adverse Effects of Morphine after Spinal Cord Injury",2017,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85015203617&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015203617&origin=inward",25,"2021-01-18 10:01:28","Article","10.1089/neu.2016.4601","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85015203617",34,6,1164,1174,4,1.00,4,1,4,""
6,"C. Hulsebosch","Mechanisms and treatment strategies for chronic central neuropathic pain after spinal cord injury",2003,"Topics in Spinal Cord Injury Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037349186&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037349186&origin=inward",24,"2021-01-18 10:01:28","Review","10.1310/NMGQ-NXNX-7LNK-PXM2","1082-0744","https://api.elsevier.com/content/abstract/scopus_id/0037349186",8,4,76,91,6,0.33,6,1,18,""
