"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"J. Thanalakshmi","Beneficial effects of long term caloric vestibular stimulation on changes in brain neurotransmitter dopamine and locomotor activity in parkinson’s disease induced rats",2020,"International Journal of Research in Pharmaceutical Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85093667967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093667967&origin=inward",11,"2021-01-12 09:56:04","Article","10.26452/ijrps.v11iSPL2.2694","0975-7538","https://api.elsevier.com/content/abstract/scopus_id/85093667967",11,NA,276,280,0,0,0,1,1,NA,"acetic_acid"
"2",0,"Y. Li","Inhibition of Brd4 by JQ1 Promotes Functional Recovery From Spinal Cord Injury by Activating Autophagy",2020,"Frontiers in Cellular Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091005429&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091005429&origin=inward",12,"2021-01-12 09:56:04","Article","10.3389/fncel.2020.555591","1662-5102","https://api.elsevier.com/content/abstract/scopus_id/85091005429",14,NA,NA,NA,0,0,0,1,1,NA,"acetic_acid"
"3",0,"A. Lahiani","Neurotropic activity and safety of methylene-cycloalkylacetate (MCA) derivative 3-(3-allyl-2-methylenecyclohexyl) propanoic acid",2020,"ACS Chemical Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090252366&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090252366&origin=inward",13,"2021-01-12 09:56:04","Article","10.1021/acschemneuro.0c00255","1948-7193","https://api.elsevier.com/content/abstract/scopus_id/85090252366",11,17,2577,2589,0,0,0,1,1,NA,"acetic_acid"
"4",0,"A. Tsuya","Effects of irradiation on the central nervous system (Japanese)",1973,"Nippon Acta Radiologica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0015697619&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0015697619&origin=inward",14,"2021-01-12 09:56:04","Article","","","https://api.elsevier.com/content/abstract/scopus_id/0015697619",33,12,925,967,0,0,0,1,48,NA,"acetic_acid"
"5",1,"H. Fan","Computational exploration of natural compounds to target cytosolic phospholipase A 2 protein: A novel therapeutic target for spinal cord injury",2018,"Current Computer-Aided Drug Design",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049050305&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049050305&origin=inward",10,"2021-01-12 09:56:04","Article","10.2174/1573409914666180123100714","1573-4099","https://api.elsevier.com/content/abstract/scopus_id/85049050305",14,2,117,124,1,0.33,1,1,3,NA,"acetic_acid"
"6",2,"Y. Ye","Antinociceptive activity and pathway of the pallanalgesin isolated from venom of Agkistrodon halys (Pallas)",2013,"Pharmaceutical Biology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885399765&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885399765&origin=inward",9,"2021-01-12 09:56:04","Article","10.3109/13880209.2013.773521","1388-0209","https://api.elsevier.com/content/abstract/scopus_id/84885399765",51,8,987,996,2,0.25,2,1,8,NA,"acetic_acid"
"7",3,"M. Sarkar","UPLC–MS/MS assay of riluzole in human plasma and cerebrospinal fluid (CSF): Application in samples from spinal cord injured patients",2017,"Journal of Pharmaceutical and Biomedical Analysis",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029435081&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029435081&origin=inward",8,"2021-01-12 09:56:04","Article","10.1016/j.jpba.2017.08.045","0731-7085","https://api.elsevier.com/content/abstract/scopus_id/85029435081",146,NA,334,340,3,0.75,3,1,4,NA,"acetic_acid"
"8",4,"K. Korkmaz","Effect of montelukast on spinal cord ischemia- Reperfusion injury",2015,"Turkish Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944566638&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944566638&origin=inward",7,"2021-01-12 09:56:04","Article","10.5137/1019-5149.JTN.11499-14.2","1019-5149","https://api.elsevier.com/content/abstract/scopus_id/84944566638",25,5,757,765,4,0.67,4,1,6,NA,"acetic_acid"
"9",5,"W. Yang","Investigation of sonic hedgehog loading chitosan/sodium tripolyphosphate microspheres with genipin as Cross-Linker",2015,"Journal of Bionanoscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960378887&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960378887&origin=inward",6,"2021-01-12 09:56:04","Article","10.1166/jbns.2015.1317","1557-7910","https://api.elsevier.com/content/abstract/scopus_id/84960378887",9,5,341,345,5,0.83,5,1,6,NA,"acetic_acid"
"10",10,"J. Sánchez-Ventura","BET protein inhibition regulates cytokine production and promotes neuroprotection after spinal cord injury",2019,"Journal of Neuroinflammation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067250722&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067250722&origin=inward",5,"2021-01-12 09:56:04","Article","10.1186/s12974-019-1511-7","1742-2094","https://api.elsevier.com/content/abstract/scopus_id/85067250722",16,1,NA,NA,10,5,10,1,2,NA,"acetic_acid"
"11",11,"J. Wang","BRD4 inhibition attenuates inflammatory response in microglia and facilitates recovery after spinal cord injury in rats",2019,"Journal of Cellular and Molecular Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064827006&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064827006&origin=inward",3,"2021-01-12 09:56:04","Article","10.1111/jcmm.14196","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/85064827006",23,5,3214,3223,11,5.5,11,1,2,NA,"acetic_acid"
