"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"I. Sakamoto","The protective effect and mechanism of COA-Cl in acute phase after spinal cord injury",2020,"Neuroscience Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098507240&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098507240&origin=inward",169,"2021-01-12 09:58:54","Article","10.1016/j.neures.2020.10.003","0168-0102","https://api.elsevier.com/content/abstract/scopus_id/85098507240",NA,NA,NA,NA,0,0,0,1,1,NA,"adenosine"
"2",0,"P. Wang","MicroRNA-139-5p Promotes Functional Recovery and Reduces Pain Hypersensitivity in Mice with Spinal Cord Injury by Targeting Mammalian Sterile 20-like Kinase 1",2020,"Neurochemical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096338831&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096338831&origin=inward",170,"2021-01-12 09:58:54","Article","10.1007/s11064-020-03170-4","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/85096338831",NA,NA,NA,NA,0,0,0,1,1,NA,"adenosine"
"3",0,"A. Anjum","Spinal cord injury: Pathophysiology, multimolecular interactions, and underlying recovery mechanisms",2020,"International Journal of Molecular Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092901214&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092901214&origin=inward",171,"2021-01-12 09:58:54","Review","10.3390/ijms21207533","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85092901214",21,20,1,35,0,0,0,1,1,NA,"adenosine"
"4",0,"G. Taccola","Selective Antagonism of A1 Adenosinergic Receptors Strengthens the Neuromodulation of the Sensorimotor Network During Epidural Spinal Stimulation",2020,"Frontiers in Systems Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088803986&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088803986&origin=inward",172,"2021-01-12 09:58:54","Article","10.3389/fnsys.2020.00044","1662-5137","https://api.elsevier.com/content/abstract/scopus_id/85088803986",14,NA,NA,NA,0,0,0,1,1,NA,"adenosine"
"5",0,"W. Rodemer","Mechanisms of Axon Elongation Following CNS Injury: What Is Happening at the Axon Tip?",2020,"Frontiers in Cellular Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088456632&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088456632&origin=inward",173,"2021-01-12 09:58:54","Review","10.3389/fncel.2020.00177","1662-5102","https://api.elsevier.com/content/abstract/scopus_id/85088456632",14,NA,NA,NA,0,0,0,1,1,NA,"adenosine"
"6",0,"S. Lin","Zinc promotes autophagy and inhibits apoptosis through AMPK/mTOR signaling pathway after spinal cord injury",2020,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088088965&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088088965&origin=inward",174,"2021-01-12 09:58:54","Article","10.1016/j.neulet.2020.135263","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/85088088965",736,NA,NA,NA,0,0,0,1,1,NA,"adenosine"
"7",0,"Z. Zhao","A Selective P2Y Purinergic Receptor Agonist 2-MesADP Enhances Locomotor Recovery after Acute Spinal Cord Injury",2020,"European Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086272787&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086272787&origin=inward",175,"2021-01-12 09:58:54","Article","10.1159/000507854","0014-3022","https://api.elsevier.com/content/abstract/scopus_id/85086272787",83,2,195,212,0,0,0,1,1,NA,"adenosine"
"8",0,"G.J. Kotwal","Characterization of ATP nanoliposome treatment for regeneration of injured spinal cord",2019,"Nanotechnology Characterization Tools for Tissue Engineering and Medical Therapy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084873974&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084873974&origin=inward",176,"2021-01-12 09:58:54","Chapter","10.1007/978-3-662-59596-1_10","","https://api.elsevier.com/content/abstract/scopus_id/85084873974",NA,NA,397,415,0,0,0,1,2,NA,"adenosine"
"9",0,"M.S. Rao","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory",2020,"Frontiers in Behavioral Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082619067&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082619067&origin=inward",177,"2021-01-12 09:58:54","Article","10.3389/fnbeh.2020.00018","1662-5153","https://api.elsevier.com/content/abstract/scopus_id/85082619067",14,NA,NA,NA,0,0,0,1,1,NA,"adenosine"
"10",0,"F.M. Michael","Prospects of siRNA cocktails as tools for modifying multiple gene targets in the injured spinal cord",2019,"Experimental Biology and Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071625824&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071625824&origin=inward",178,"2021-01-12 09:58:54","Article","10.1177/1535370219871868","1535-3702","https://api.elsevier.com/content/abstract/scopus_id/85071625824",244,13,1096,1110,0,0,0,1,2,NA,"adenosine"
