"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"A. Contestabile","Variable interhemispheric asymmetry in layer V of the supplementary motor area following cervical hemisection in adult macaque monkeys",2020,"eNeuro",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092343867&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092343867&origin=inward",17,"2021-01-15 18:08:09","Article","10.1523/ENEURO.0280-20.2020","2373-2822","https://api.elsevier.com/content/abstract/scopus_id/85092343867",7,5,1,15,0,0,0,1,1,NA,"atropine"
"2",0,"Y. Katoh","A study of regional circulation of cervical spinal cord after acute experimental spinal contusion",1980,"Journal of the Japanese Orthopaedic Association",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019151510&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019151510&origin=inward",18,"2021-01-15 18:08:09","Article","","0021-5325","https://api.elsevier.com/content/abstract/scopus_id/0019151510",54,3,235,249,0,0,0,1,41,NA,"atropine"
"3",2,"T. Mehesry","Ruptured spinal arteriovenous malformation: Presenting as stunned myocardium and neurogenic shock",2015,"Surgical Neurology International",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959312405&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959312405&origin=inward",15,"2021-01-15 18:08:09","Article","10.4103/2152-7806.166180","2152-7806","https://api.elsevier.com/content/abstract/scopus_id/84959312405",6,NA,NA,NA,2,0.33,2,1,6,NA,"atropine"
"4",2,"V. Zaphiratos","Persistent paralysis after spinal anesthesia for cesarean delivery",2015,"Journal of Clinical Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923233887&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923233887&origin=inward",16,"2021-01-15 18:08:09","Article","10.1016/j.jclinane.2014.08.003","0952-8180","https://api.elsevier.com/content/abstract/scopus_id/84923233887",27,1,68,72,2,0.33,2,1,6,NA,"atropine"
"5",3,"A. Taneja","Initial Management of the Patient With Cervical Spine Injury",2013,"Seminars in Spine Surgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875812568&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875812568&origin=inward",14,"2021-01-15 18:08:09","Article","10.1053/j.semss.2012.07.005","1040-7383","https://api.elsevier.com/content/abstract/scopus_id/84875812568",25,1,2,13,3,0.38,3,1,8,NA,"atropine"
"6",4,"J. Claus-Walker","Autonomic drugs in spinal cord injury: Temporal prescription profile",1978,"Archives of Physical Medicine and Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0018069776&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0018069776&origin=inward",13,"2021-01-15 18:08:09","Article","","0003-9993","https://api.elsevier.com/content/abstract/scopus_id/0018069776",59,8,363,367,4,0.09,4,1,43,NA,"atropine"
"7",5,"R. Wu","Altered spatiotemporal dynamics of cortical activation to tactile stimuli in somatosensory area 3b and area 1 of monkeys after spinal cord injury",2016,"eNeuro",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85011952382&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011952382&origin=inward",12,"2021-01-15 18:08:09","Article","10.1523/ENEURO.0095-16.2016","2373-2822","https://api.elsevier.com/content/abstract/scopus_id/85011952382",3,5,NA,NA,5,1,5,1,5,NA,"atropine"
"8",6,"M. Manogue","Cardiac electrophysiology of patients with spinal cord injury",2017,"Heart Rhythm",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85016088023&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85016088023&origin=inward",11,"2021-01-15 18:08:09","Article","10.1016/j.hrthm.2017.02.015","1547-5271","https://api.elsevier.com/content/abstract/scopus_id/85016088023",14,6,920,927,6,1.5,6,1,4,NA,"atropine"
"9",13,"D. Sep","Strangulation injuries in children",2007,"Resuscitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34347396743&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34347396743&origin=inward",10,"2021-01-15 18:08:09","Article","10.1016/j.resuscitation.2006.09.019","0300-9572","https://api.elsevier.com/content/abstract/scopus_id/34347396743",74,2,386,391,13,0.93,13,1,14,NA,"atropine"
"10",15,"C. Gomar","Delayed arousal after general anesthesia associated with baclofen [6]",1994,"Anesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028143912&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028143912&origin=inward",9,"2021-01-15 18:08:09","Letter","10.1097/00000542-199411000-00035","0003-3022","https://api.elsevier.com/content/abstract/scopus_id/0028143912",81,5,1306,1307,15,0.56,15,1,27,NA,"atropine"
"11",21,"F. Dillon","Electromyographic (EMG) Neuromonitoring in Otolaryngology-Head and Neck Surgery",2010,"Anesthesiology Clinics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward",8,"2021-01-15 18:08:09","Review","10.1016/j.anclin.2010.07.011","1932-2275","https://api.elsevier.com/content/abstract/scopus_id/77956636967",28,3,423,442,21,1.91,21,1,11,NA,"atropine"
