"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"A.L. Behrman","Activity-based therapy targeting neuromuscular capacity after pediatric-onset spinal cord injury",2019,"Topics in Spinal Cord Injury Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065804445&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065804445&origin=inward",42,"2021-01-16 10:18:48","Article","10.1310/sci2502132","1082-0744","https://api.elsevier.com/content/abstract/scopus_id/85065804445",25,2,132,149,0,0,0,1,2,NA,"botulinum_toxin"
"2",0,"R. Krishnan","Botulinum toxin as a neuro-relearning drug tool in motor paralytic disorders",2009,"Current Drug Therapy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=68549122967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68549122967&origin=inward",43,"2021-01-16 10:18:48","Review","10.2174/157488509788185169","1574-8855","https://api.elsevier.com/content/abstract/scopus_id/68549122967",4,2,101,105,0,0,0,1,12,NA,"botulinum_toxin"
"3",1,"V. Vacca","Revealing the therapeutic potential of botulinum neurotoxin type a in counteracting paralysis and neuropathic pain in spinally injured mice",2020,"Toxins",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088258607&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088258607&origin=inward",35,"2021-01-16 10:18:48","Article","10.3390/toxins12080491","2072-6651","https://api.elsevier.com/content/abstract/scopus_id/85088258607",12,8,NA,NA,1,1,1,1,1,NA,"botulinum_toxin"
"4",1,"R. De Icco","Onabotulinumtoxina reduces temporal pain processing at spinal level in patients with lower limb spasticity",2019,"Toxins",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068558339&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068558339&origin=inward",36,"2021-01-16 10:18:48","Article","10.3390/toxins11060359","2072-6651","https://api.elsevier.com/content/abstract/scopus_id/85068558339",11,6,NA,NA,1,0.5,1,1,2,NA,"botulinum_toxin"
"5",1,"A.M. Fenuta","Body weight-supported treadmill training after spinal cord injury: Is there an ideal prescription for intervention?",2011,"Critical Reviews in Physical and Rehabilitation Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84871953999&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871953999&origin=inward",37,"2021-01-16 10:18:48","Review","10.1615/CritRevPhysRehabilMed.v23.i1-4.120","0896-2960","https://api.elsevier.com/content/abstract/scopus_id/84871953999",23,1,161,174,1,0.1,1,1,10,NA,"botulinum_toxin"
"6",1,"S. Ghroubi","Management of spastic foot: 116 cases",2009,"Medecine et Chirurgie du Pied",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67649742604&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67649742604&origin=inward",38,"2021-01-16 10:18:48","Article","10.1007/s10243-009-0187-6","0759-2280","https://api.elsevier.com/content/abstract/scopus_id/67649742604",25,2,44,51,1,0.08,1,1,12,NA,"botulinum_toxin"
"7",1,"M. Çaliş","Clinical evaluation and treatment of neurogenic bladder",2004,"Journal of Rheumatology and Medical Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward",39,"2021-01-16 10:18:48","Article","","1300-0691","https://api.elsevier.com/content/abstract/scopus_id/29544433857",15,2,129,136,1,0.06,1,1,17,NA,"botulinum_toxin"
"8",1,"L. Lockley","Case report: unravelling the complexities of hypertonia and spasm: a piece of detective work.",2005,"Physiotherapy research international : the journal for researchers and clinicians in physical therapy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=25144512016&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=25144512016&origin=inward",40,"2021-01-16 10:18:48","Article","10.1002/pri.23","1358-2267","https://api.elsevier.com/content/abstract/scopus_id/25144512016",10,1,48,54,1,0.06,1,1,16,NA,"botulinum_toxin"
"9",1,"D. Plantier","Spasticity: Clinical, physiological and therapeutic approaches. A review (First part)",1995,"Lyon Pharmaceutique",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward",41,"2021-01-16 10:18:48","Article","10.1016/0024-7804(96)85741-1","0024-7804","https://api.elsevier.com/content/abstract/scopus_id/0028884849",46,7,397,406,1,0.04,1,1,26,NA,"botulinum_toxin"
"10",3,"A. Curt","Significance of electrophysiological recordings in predicting functional recovery of patients with spinal cord injury",1998,"NeuroRehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031946233&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031946233&origin=inward",34,"2021-01-16 10:18:48","Review","10.1016/S1053-8135(97)00059-0","1053-8135","https://api.elsevier.com/content/abstract/scopus_id/0031946233",10,3,191,203,3,0.13,3,1,23,NA,"botulinum_toxin"
