"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"V. Myllylä","Recovery after severe cervical spine luxation",1995,"Emergency Radiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028962116&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028962116&origin=inward",11,"2021-01-16 10:21:34","Article","10.1007/BF02616387","1070-3004","https://api.elsevier.com/content/abstract/scopus_id/0028962116",2,1,37,40,0,0,0,1,26,NA,"bupivacaine"
"2",3,"A. Takatsuki","Clinical trial of a method for confirming the effects of spinal anesthesia in patients with spinal cord injury",2012,"Journal of Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84878362871&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878362871&origin=inward",9,"2021-01-16 10:21:34","Article","10.1007/s00540-012-1429-z","0913-8668","https://api.elsevier.com/content/abstract/scopus_id/84878362871",26,6,914,917,3,0.33,3,1,9,NA,"bupivacaine"
"3",3,"S. Lopez","Intrathecal bupivacaine protects against extension of lesions in an acute photochemical spinal cord injury model",2004,"Canadian Journal of Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward",10,"2021-01-16 10:21:34","Article","10.1007/BF03018241","0832-610X","https://api.elsevier.com/content/abstract/scopus_id/2542540436",51,4,364,372,3,0.18,3,1,17,NA,"bupivacaine"
"4",6,"Y. Liang","The Ganglioside GM-1 Inhibits Bupivacaine-Induced Neurotoxicity in Mouse Neuroblastoma Neuro2a Cells",2016,"Cell Biochemistry and Function",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84983599864&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983599864&origin=inward",8,"2021-01-16 10:21:34","Article","10.1002/cbf.3208","0263-6484","https://api.elsevier.com/content/abstract/scopus_id/84983599864",34,6,455,462,6,1.2,6,1,5,NA,"bupivacaine"
"5",9,"T. Miyabe-Nishiwaki","Tetraparesis resembling acute transverse myelitis in a captive chimpanzee (Pan troglodytes): Long-term care and recovery",2010,"Journal of Medical Primatology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956257480&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956257480&origin=inward",7,"2021-01-16 10:21:34","Article","10.1111/j.1600-0684.2010.00415.x","0047-2565","https://api.elsevier.com/content/abstract/scopus_id/77956257480",39,5,336,346,9,0.82,9,1,11,NA,"bupivacaine"
"6",19,"J.A. Aldrete","Myelopathy with syringomyelia following thoracic epidural anaesthesia",2004,"Anaesthesia and Intensive Care",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1142287486&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1142287486&origin=inward",6,"2021-01-16 10:21:34","Article","10.1177/0310057x0403200116","0310-057X","https://api.elsevier.com/content/abstract/scopus_id/1142287486",32,1,100,103,19,1.12,19,1,17,NA,"bupivacaine"
"7",21,"F. Dillon","Electromyographic (EMG) Neuromonitoring in Otolaryngology-Head and Neck Surgery",2010,"Anesthesiology Clinics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward",5,"2021-01-16 10:21:34","Review","10.1016/j.anclin.2010.07.011","1932-2275","https://api.elsevier.com/content/abstract/scopus_id/77956636967",28,3,423,442,21,1.91,21,1,11,NA,"bupivacaine"
"8",27,"L. Pirbudak","Epidural corticosteroid injection and amitriptyline for the treatment of chronic low back pain associated with radiculopathy",2003,"Pain Clinic",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0141680431&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0141680431&origin=inward",4,"2021-01-16 10:21:34","Article","10.1163/156856903767650763","0169-1112","https://api.elsevier.com/content/abstract/scopus_id/0141680431",15,3,247,253,27,1.5,27,1,18,NA,"bupivacaine"
"9",34,"P. Stys","Protective effects of antiarrhythmic agents against anoxic injury in CNS white matter",1995,"Journal of Cerebral Blood Flow and Metabolism",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028947115&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028947115&origin=inward",3,"2021-01-16 10:21:34","Article","10.1038/jcbfm.1995.53","0271-678X","https://api.elsevier.com/content/abstract/scopus_id/0028947115",15,3,425,432,34,1.31,34,1,26,NA,"bupivacaine"
"10",39,"E. Pompeo","Awake Operative Videothoracoscopic Pulmonary Resections",2008,"Thoracic Surgery Clinics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=48449101182&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=48449101182&origin=inward",2,"2021-01-16 10:21:34","Review","10.1016/j.thorsurg.2008.04.006","1547-4127","https://api.elsevier.com/content/abstract/scopus_id/48449101182",18,3,311,320,39,3,39,1,13,NA,"bupivacaine"
