"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"M.J. Lewis","Emerging and Adjunctive Therapies for Spinal Cord Injury Following Acute Canine Intervertebral Disc Herniation",2020,"Frontiers in Veterinary Science",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094846584&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094846584&origin=inward",75,"2021-01-16 13:10:56","Review","10.3389/fvets.2020.579933","2297-1769","https://api.elsevier.com/content/abstract/scopus_id/85094846584",7,NA,NA,NA,0,0,0,1,1,NA,"corticosteroids"
"2",0,"J.A. Villanova Junior","Recovery of motricity and micturition after transplantation of mesenchymal stem cells in rats subjected to spinal cord injury",2020,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086340471&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086340471&origin=inward",76,"2021-01-16 13:10:56","Article","10.1016/j.neulet.2020.135134","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/85086340471",734,NA,NA,NA,0,0,0,1,1,NA,"corticosteroids"
"3",0,"H. Salci","Electromyographic evaluation of early stage results of exoscopic microdecompressive spinal surgery in dogs",2020,"Acta Scientiae Veterinariae",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083161018&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083161018&origin=inward",77,"2021-01-16 13:10:56","Article","10.22456/1679-9216.101278","1678-0345","https://api.elsevier.com/content/abstract/scopus_id/85083161018",48,1,NA,NA,0,0,0,1,1,NA,"corticosteroids"
"4",0,"J. Sarto","Spinal cord hemodynamic infarction after vertebral artery endovascular trapping despite preserved flow in the anterior spinal artery",2020,"Journal of Spinal Cord Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078638146&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078638146&origin=inward",78,"2021-01-16 13:10:56","Article","10.1080/10790268.2019.1706290","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/85078638146",NA,NA,NA,NA,0,0,0,1,1,NA,"corticosteroids"
"5",0,"B. Verhofste","Perioperative acute neurological deficits in instrumented pediatric cervical spine fusions",2019,"Journal of Neurosurgery: Pediatrics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074482117&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074482117&origin=inward",79,"2021-01-16 13:10:56","Article","10.3171/2019.5.PEDS19200","1933-0707","https://api.elsevier.com/content/abstract/scopus_id/85074482117",24,5,528,538,0,0,0,1,2,NA,"corticosteroids"
"6",0,"V.D.G. Vidinha","Sciwora in the paediatric population after cervical trauma",2011,"Coluna/ Columna",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959772755&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959772755&origin=inward",80,"2021-01-16 13:10:56","Article","10.1590/s1808-18512011000100002","1808-1851","https://api.elsevier.com/content/abstract/scopus_id/79959772755",10,1,20,23,0,0,0,1,10,NA,"corticosteroids"
"7",0,"Y. Li","Effects of methylprednisolone, electro-acupuncture and amniotic epithelial cells transplantation on axon-plasma transporting function and expression of GFAP in spinal cord injury rats",2010,"Journal of Jilin University Medicine Edition",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955909869&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955909869&origin=inward",81,"2021-01-16 13:10:56","Article","","1671-587X","https://api.elsevier.com/content/abstract/scopus_id/77955909869",36,4,620,624,0,0,0,1,11,NA,"corticosteroids"
"8",0,"A. Gopinathan","Effect of nitric oxide synthase inhibitor and electro-acupuncture in experimentally induced acute spinal cord injury in rabbits",2008,"Indian Journal of Animal Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=61549096209&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61549096209&origin=inward",82,"2021-01-16 13:10:56","Article","","0367-8318","https://api.elsevier.com/content/abstract/scopus_id/61549096209",78,11,1202,1206,0,0,0,1,13,NA,"corticosteroids"
"9",0,"E. Holsboer-Trachsler","Therapy of depression in neurorehabilitation and neurobiological mechanisms of action",2003,"Schweizer Archiv fur Neurologie und Psychiatrie",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0346727106&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0346727106&origin=inward",83,"2021-01-16 13:10:56","Review","10.4414/sanp.2003.01431","0258-7661","https://api.elsevier.com/content/abstract/scopus_id/0346727106",154,8,431,439,0,0,0,1,18,NA,"corticosteroids"
"10",0,"S. Aito","The use of high-dose methylprednisolone in acute spinal cord injuries: NASCIS review",2002,"Europa Medicophysica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036299848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036299848&origin=inward",84,"2021-01-16 13:10:56","Article","","0014-2573","https://api.elsevier.com/content/abstract/scopus_id/0036299848",38,2,89,95,0,0,0,1,19,NA,"corticosteroids"
"11",0,"H. Van De Meent","Regenerative therapy for spinal cord injury: How close are we?",1999,"CNS Drugs",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032880009&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032880009&origin=inward",85,"2021-01-16 13:10:56","Review","10.2165/00023210-199912020-00002","1172-7047","https://api.elsevier.com/content/abstract/scopus_id/0032880009",12,2,93,98,0,0,0,1,22,NA,"corticosteroids"
"12",0,"B. Selecki","Severe injuries to the cervical spine and cord in man: experimental and clinical aspects of management in the acute stage",1976,"Institute of Neurology, Madras - Proceedings",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0017071144&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017071144&origin=inward",86,"2021-01-16 13:10:56","Article","","","https://api.elsevier.com/content/abstract/scopus_id/0017071144",6,2,191,207,0,0,0,1,45,NA,"corticosteroids"
