"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",24,"2021-01-16 13:26:41","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0,0,1,24,NA,"diazepam"
"2",1,"M. Çaliş","Clinical evaluation and treatment of neurogenic bladder",2004,"Journal of Rheumatology and Medical Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward",22,"2021-01-16 13:26:41","Article","","1300-0691","https://api.elsevier.com/content/abstract/scopus_id/29544433857",15,2,129,136,1,0.06,1,1,17,NA,"diazepam"
"3",1,"D. Plantier","Spasticity: Clinical, physiological and therapeutic approaches. A review (First part)",1995,"Lyon Pharmaceutique",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward",23,"2021-01-16 13:26:41","Article","10.1016/0024-7804(96)85741-1","0024-7804","https://api.elsevier.com/content/abstract/scopus_id/0028884849",46,7,397,406,1,0.04,1,1,26,NA,"diazepam"
"4",2,"V. Fanelli","Anesthetic optimization for nonheartbeating donors",2010,"Current Opinion in Anaesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951988331&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951988331&origin=inward",21,"2021-01-16 13:26:41","Review","10.1097/ACO.0b013e3283395352","0952-7907","https://api.elsevier.com/content/abstract/scopus_id/77951988331",23,3,406,410,2,0.18,2,1,11,NA,"diazepam"
"5",3,"J. Harnie","The recovery of standing and locomotion after spinal cord injury does not require task-specific training",2019,"eLife",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077108776&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077108776&origin=inward",20,"2021-01-16 13:26:41","Article","10.7554/eLife.50134","2050-084X","https://api.elsevier.com/content/abstract/scopus_id/85077108776",8,NA,NA,NA,3,1.5,3,1,2,NA,"diazepam"
"6",4,"K. Burns","Passive limb movement intervals results in repeated hyperemic responses in those with paraplegia",2018,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045843808&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045843808&origin=inward",18,"2021-01-16 13:26:41","Article","10.1038/s41393-018-0099-6","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85045843808",56,10,940,948,4,1.33,4,1,3,NA,"diazepam"
"7",4,"E.R. Theriault","Antispasmodic medications may be associated with reduced recovery during inpatient rehabilitation after traumatic spinal cord injury",2018,"Journal of Spinal Cord Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward",19,"2021-01-16 13:26:41","Article","10.1080/10790268.2016.1245010","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84994905096",41,1,63,71,4,1.33,4,1,3,NA,"diazepam"
"8",8,"K. Potter-Baker","Reliability of TMS metrics in patients with chronic incomplete spinal cord injury",2016,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward",17,"2021-01-16 13:26:41","Article","10.1038/sc.2016.47","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84962090359",54,11,980,990,8,1.6,8,1,5,NA,"diazepam"
"9",9,"N. Zidan","A randomized, blinded, prospective clinical trial of postoperative rehabilitation in dogs after surgical decompression of acute thoracolumbar intervertebral disc herniation",2018,"Journal of Veterinary Internal Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045097063&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045097063&origin=inward",16,"2021-01-16 13:26:41","Article","10.1111/jvim.15086","0891-6640","https://api.elsevier.com/content/abstract/scopus_id/85045097063",32,3,1133,1144,9,3,9,1,3,NA,"diazepam"
"10",13,"R.B. Song","Von Frey anesthesiometry to assess sensory impairment after acute spinal cord injury caused by thoracolumbar intervertebral disc extrusion in dogs",2016,"Veterinary Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward",14,"2021-01-16 13:26:41","Article","10.1016/j.tvjl.2015.07.028","1090-0233","https://api.elsevier.com/content/abstract/scopus_id/84959150865",209,NA,144,149,13,2.6,13,1,5,NA,"diazepam"
"11",13,"I. Perkash","Management of neurogenic bladder dysfunctions following acute traumatic cervical central cord syndrome (incomplete tetraplegia)",1977,"Paraplegia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0017740973&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017740973&origin=inward",15,"2021-01-16 13:26:41","Article","10.1038/sc.1977.5","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0017740973",15,1,21,37,13,0.3,13,1,44,NA,"diazepam"
"12",16,"C.E. Morris","Left-shifted Nav channels in injured bilayer: Primary targets for neuroprotective Nav antagonists?",2012,"Frontiers in Pharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864842078&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864842078&origin=inward",13,"2021-01-16 13:26:41","Article","10.3389/fphar.2012.00019","1663-9812","https://api.elsevier.com/content/abstract/scopus_id/84864842078",3,NA,NA,NA,16,1.78,16,1,9,NA,"diazepam"
