"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"X. Huang","Overexpression of the transcription factors OCT4 and KLF4 improves motor function after spinal cord injury",2020,"CNS Neuroscience and Therapeutics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085563605&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085563605&origin=inward",13,"2021-01-16 14:15:19","Article","10.1111/cns.13390","1755-5930","https://api.elsevier.com/content/abstract/scopus_id/85085563605",26,9,940,951,0,0,0,1,1,NA,"doxycycline"
"2",1,"T. Isa","The corticospinal tract and its role in motor control",2012,"Brain and Nerve",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869786848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869786848&origin=inward",12,"2021-01-16 14:15:19","Review","","1881-6096","https://api.elsevier.com/content/abstract/scopus_id/84869786848",64,11,1331,1339,1,0.11,1,1,9,NA,"doxycycline"
"3",3,"P.L. Nisson","Primary Aneurysmal Bone Cyst of the Thoracic Spine: A Pediatric Case Report",2020,"World Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076051012&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076051012&origin=inward",11,"2021-01-16 14:15:19","Article","10.1016/j.wneu.2019.10.151","1878-8750","https://api.elsevier.com/content/abstract/scopus_id/85076051012",134,NA,408,414,3,3,3,1,1,NA,"doxycycline"
"4",6,"Q. Han","Descending motor circuitry required for NT-3 mediated locomotor recovery after spinal cord injury in mice",2019,"Nature Communications",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076913506&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076913506&origin=inward",10,"2021-01-16 14:15:19","Article","10.1038/s41467-019-13854-3","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85076913506",10,1,NA,NA,6,3,6,1,2,NA,"doxycycline"
"5",9,"M. Yoo","Analysis of human embryonic stem cells with regulatable expression of the cell adhesion molecule l1 in regeneration after spinal cord injury",2014,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896340295&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896340295&origin=inward",9,"2021-01-16 14:15:19","Article","10.1089/neu.2013.2886","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84896340295",31,6,553,564,9,1.29,9,1,7,NA,"doxycycline"
"6",12,"W.M. McKillop","Conditional Sox9 ablation improves locomotor recovery after spinal cord injury by increasing reactive sprouting",2016,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973137723&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973137723&origin=inward",8,"2021-01-16 14:15:19","Article","10.1016/j.expneurol.2016.05.028","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84973137723",283,NA,1,15,12,2.4,12,1,5,NA,"doxycycline"
"7",16,"K. Kojima","Selective Ablation of Tumorigenic Cells Following Human Induced Pluripotent Stem Cell-Derived Neural Stem/Progenitor Cell Transplantation in Spinal Cord Injury",2019,"Stem Cells Translational Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057863686&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057863686&origin=inward",7,"2021-01-16 14:15:19","Article","10.1002/sctm.18-0096","2157-6564","https://api.elsevier.com/content/abstract/scopus_id/85057863686",8,3,260,270,16,8,16,1,2,NA,"doxycycline"
"8",27,"E.R. Burnside","Immune-evasive gene switch enables regulated delivery of chondroitinase after spinal cord injury",2018,"Brain",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054965460&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054965460&origin=inward",6,"2021-01-16 14:15:19","Article","10.1093/brain/awy158","0006-8950","https://api.elsevier.com/content/abstract/scopus_id/85054965460",141,8,2362,2381,27,9,27,1,3,NA,"doxycycline"
"9",41,"D. Wehner","Wnt signaling controls pro-regenerative Collagen XII in functional spinal cord regeneration in zebrafish",2017,"Nature Communications",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85026242478&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85026242478&origin=inward",4,"2021-01-16 14:15:19","Article","10.1038/s41467-017-00143-0","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85026242478",8,1,NA,NA,41,10.25,41,1,4,NA,"doxycycline"
"10",41,"S. Liu","Regulated viral BDNF delivery in combination with Schwann cells promotes axonal regeneration through capillary alginate hydrogels after spinal cord injury",2017,"Acta Biomaterialia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025141362&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025141362&origin=inward",5,"2021-01-16 14:15:19","Article","10.1016/j.actbio.2017.07.024","1742-7061","https://api.elsevier.com/content/abstract/scopus_id/85025141362",60,NA,167,180,41,10.25,41,1,4,NA,"doxycycline"
"11",49,"V.W. Yong","Targeting MMPs in Acute and Chronic Neurological Conditions",2007,"Neurotherapeutics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34848923138&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34848923138&origin=inward",3,"2021-01-16 14:15:19","Article","10.1016/j.nurt.2007.07.005","1933-7213","https://api.elsevier.com/content/abstract/scopus_id/34848923138",4,4,580,589,49,3.5,49,1,14,NA,"doxycycline"
"12",87,"H. Zhang","Role of Matrix Metalloproteinases and Therapeutic Benefits of Their Inhibition in Spinal Cord Injury",2011,"Neurotherapeutics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955071242&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955071242&origin=inward",2,"2021-01-16 14:15:19","Review","10.1007/s13311-011-0038-0","1933-7213","https://api.elsevier.com/content/abstract/scopus_id/79955071242",8,2,206,220,87,8.7,87,1,10,NA,"doxycycline"
"13",159,"A. Blesch","Neurotrophic factors, gene therapy, and neural stem cells for spinal cord repair",2002,"Brain Research Bulletin",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036098072&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036098072&origin=inward",1,"2021-01-16 14:15:19","Conference Paper","10.1016/S0361-9230(01)00774-2","0361-9230","https://api.elsevier.com/content/abstract/scopus_id/0036098072",57,6,833,838,159,8.37,159,1,19,NA,"doxycycline"
