"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",1,"M. Hirsch","It’s never just a block: An analysis of regional anesthesia closed claims",2019,"AANA Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073036113&origin=inward",12,"2021-01-16 14:33:03","Article","","0094-6354","https://api.elsevier.com/content/abstract/scopus_id/85073036113",87,5,365,373,1,0.5,1,1,2,NA,"epinephrine"
"2",1,"T. Kawasaki","Renal function and endocrine responses to arm exercise in euhydrated individuals with spinal cord injury",2012,"European Journal of Applied Physiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84861343108&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84861343108&origin=inward",13,"2021-01-16 14:33:03","Review","10.1007/s00421-011-2105-y","1439-6319","https://api.elsevier.com/content/abstract/scopus_id/84861343108",112,4,1537,1547,1,0.11,1,1,9,NA,"epinephrine"
"3",3,"J. Van Der Scheer","A comparison of static and dynamic cerebral autoregulation during mild whole-body cold stress in individuals with and without cervical spinal cord injury: A pilot study",2018,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047086430&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047086430&origin=inward",10,"2021-01-16 14:33:03","Article","10.1038/s41393-017-0021-7","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85047086430",56,5,469,477,3,1,3,1,3,NA,"epinephrine"
"4",3,"M. Krucoff","A novel paraplegia model in awake behaving macaques",2017,"Journal of Neurophysiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029217769&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029217769&origin=inward",11,"2021-01-16 14:33:03","Article","10.1152/jn.00327.2017","0022-3077","https://api.elsevier.com/content/abstract/scopus_id/85029217769",118,3,1800,1808,3,0.75,3,1,4,NA,"epinephrine"
"5",4,"H. Breivik","Reducing risk of spinal haematoma from spinal and epidural pain procedures",2018,"Scandinavian Journal of Pain",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046873826&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046873826&origin=inward",9,"2021-01-16 14:33:03","Review","10.1515/sjpain-2018-0041","1877-8860","https://api.elsevier.com/content/abstract/scopus_id/85046873826",18,2,129,150,4,1.33,4,1,3,NA,"epinephrine"
"6",5,"G. Gambardella","Experimental incomplete spinal cord injury: Treatment with a combination of nimodipine and adrenaline",1995,"Journal of Neurosurgical Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028840598&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028840598&origin=inward",8,"2021-01-16 14:33:03","Article","","0026-4881","https://api.elsevier.com/content/abstract/scopus_id/0028840598",39,1,67,74,5,0.19,5,1,26,NA,"epinephrine"
"7",6,"B. Sabit","The Impact of Mean Arterial Pressure on Functional Outcome Post-Acute Spinal Cord Injury: A Scoping Systematic Review of Animal Models",2017,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029208199&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029208199&origin=inward",7,"2021-01-16 14:33:03","Review","10.1089/neu.2016.4735","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85029208199",34,18,2583,2594,6,1.5,6,1,4,NA,"epinephrine"
"8",11,"L. Illis","The effects of repetitive stimulation in recovery from damage to the central nervous system",1982,"Disability and Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020438066&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020438066&origin=inward",6,"2021-01-16 14:33:03","Article","10.3109/09638288209166913","0963-8288","https://api.elsevier.com/content/abstract/scopus_id/0020438066",4,4,178,184,11,0.28,11,1,39,NA,"epinephrine"
"9",22,"M. Klokker","The natural killer cell response to exercise in spinal cord injured individuals",1998,"European Journal of Applied Physiology and Occupational Physiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032434848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032434848&origin=inward",5,"2021-01-16 14:33:03","Article","10.1007/s004210050481","0301-5548","https://api.elsevier.com/content/abstract/scopus_id/0032434848",79,1,106,109,22,0.96,22,1,23,NA,"epinephrine"
"10",25,"T. Mizushima","Cardiovascular and endocrine responses during the cold pressor test in subjects with cervical spinal cord injuries",2003,"Archives of Physical Medicine and Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037227981&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037227981&origin=inward",4,"2021-01-16 14:33:03","Article","10.1053/apmr.2003.50072","0003-9993","https://api.elsevier.com/content/abstract/scopus_id/0037227981",84,1,112,118,25,1.39,25,1,18,NA,"epinephrine"
