"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Z.Y. Bu","Intramuscular injection of estradiol combined with bone marrow mesenchymal stem cell transplantation for spinal cord injury",2018,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044751209&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044751209&origin=inward",34,"2021-01-16 14:37:20","Article","10.3969/j.issn.2095-4344.0410","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85044751209",22,1,53,58,0,0,0,1,3,NA,"estradiol"
"2",0,"C. Kang","Combined use of low-dose 17-beta estradiol and bone marrow mesenchymal stem cell transplantation for spinal cord repair",2017,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032220034&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032220034&origin=inward",35,"2021-01-16 14:37:20","Article","10.3969/j.issn.2095-4344.2017.25.014","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85032220034",21,25,4020,4025,0,0,0,1,4,NA,"estradiol"
"3",0,"M. Afhami","The demyelination and altered motor performance following electrolytic lesion in the ventrolateral white matter of spinal cord in male rats: Benefit of post-injury administration of estradiol",2016,"Physiology and Pharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991608434&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84991608434&origin=inward",36,"2021-01-16 14:37:20","Article","","1735-0581","https://api.elsevier.com/content/abstract/scopus_id/84991608434",20,3,157,171,0,0,0,1,5,NA,"estradiol"
"4",1,"A.N. Stewart","Considerations for Studying Sex as a Biological Variable in Spinal Cord Injury",2020,"Frontiers in Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089805868&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089805868&origin=inward",32,"2021-01-16 14:37:20","Article","10.3389/fneur.2020.00802","1664-2295","https://api.elsevier.com/content/abstract/scopus_id/85089805868",11,NA,NA,NA,1,1,1,1,1,NA,"estradiol"
"5",1,"A. Farag","Histoarchitecture restoration of cerebellar sub-layers as a response to estradiol treatment following Kainic acid-induced spinal cord injury",2019,"Cell and Tissue Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061924371&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061924371&origin=inward",33,"2021-01-16 14:37:20","Article","10.1007/s00441-019-02992-1","0302-766X","https://api.elsevier.com/content/abstract/scopus_id/85061924371",NA,NA,NA,NA,1,0.5,1,1,2,NA,"estradiol"
"6",2,"J.F. Yarrow","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury",2020,"Journal of Neuroscience Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076222678&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076222678&origin=inward",31,"2021-01-16 14:37:20","Article","10.1002/jnr.24564","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/85076222678",98,5,843,868,2,2,2,1,1,NA,"estradiol"
"7",4,"A. Sánchez-Ramos","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients",2017,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010886869&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010886869&origin=inward",30,"2021-01-16 14:37:20","Article","10.1038/sc.2016.184","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85010886869",55,6,570,574,4,1,4,1,4,NA,"estradiol"
"8",6,"Z. Namjoo","Targeting axonal degeneration and demyelination using combination administration of 17β-estradiol and Schwann cells in the rat model of spinal cord injury",2018,"Journal of Cellular Biochemistry",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052453096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052453096&origin=inward",29,"2021-01-16 14:37:20","Article","10.1002/jcb.27361","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85052453096",119,12,10195,10203,6,2,6,1,3,NA,"estradiol"
"9",10,"D. Otzel","Activity-based physical rehabilitation with adjuvant testosterone to promote neuromuscular recovery after spinal cord injury",2018,"International Journal of Molecular Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048265306&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048265306&origin=inward",25,"2021-01-16 14:37:20","Review","10.3390/ijms19061701","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85048265306",19,6,NA,NA,10,3.33,10,1,3,NA,"estradiol"
"10",10,"D. Sengelaub","Protective Effects of Estradiol and Dihydrotestosterone following Spinal Cord Injury",2018,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045470787&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045470787&origin=inward",26,"2021-01-16 14:37:20","Article","10.1089/neu.2017.5329","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85045470787",35,6,825,841,10,3.33,10,1,3,NA,"estradiol"
"11",10,"C.H. Yeng","Attenuating spinal cord injury by conditioned medium from human umbilical cord blood-derived CD34<sup>+</sup> cells in rats",2016,"Taiwanese Journal of Obstetrics and Gynecology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959094511&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959094511&origin=inward",27,"2021-01-16 14:37:20","Article","10.1016/j.tjog.2015.12.009","1028-4559","https://api.elsevier.com/content/abstract/scopus_id/84959094511",55,1,85,93,10,2,10,1,5,NA,"estradiol"
"12",10,"O.B. Letaif","Effects of estrogen on functional and neurological recovery after spinal cord injury: An experimental study with rats",2015,"Clinics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945366095&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945366095&origin=inward",28,"2021-01-16 14:37:20","Article","10.6061/clinics/2015(10)08","1807-5932","https://api.elsevier.com/content/abstract/scopus_id/84945366095",70,10,700,705,10,1.67,10,1,6,NA,"estradiol"
"13",13,"E.K. Jensen","Medication before and after a spinal cord lesion",2014,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84900298520&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84900298520&origin=inward",24,"2021-01-16 14:37:20","Article","10.1038/sc.2014.20","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84900298520",52,5,358,363,13,1.86,13,1,7,NA,"estradiol"
"14",16,"Q. Cheng","G-1 exerts neuroprotective effects through G protein-coupled estrogen receptor 1 following spinal cord injury in mice",2016,"Bioscience Reports",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84988329131&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988329131&origin=inward",23,"2021-01-16 14:37:20","Article","10.1042/BSR20160134","0144-8463","https://api.elsevier.com/content/abstract/scopus_id/84988329131",36,4,NA,NA,16,3.2,16,1,5,NA,"estradiol"
"15",18,"J. Zhou","17β-estradiol protects human eyelid-derived adipose stem cells against cytotoxicity and increases transplanted cell survival in spinal cord injury",2014,"Journal of Cellular and Molecular Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84893671954&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893671954&origin=inward",22,"2021-01-16 14:37:20","Article","10.1111/jcmm.12191","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/84893671954",18,2,326,343,18,2.57,18,1,7,NA,"estradiol"
"16",20,"J. Colón","Tamoxifen: An FDA approved drug with neuroprotective effects for spinal cord injury recovery",2016,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84988896890&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988896890&origin=inward",21,"2021-01-16 14:37:20","Review","10.4103/1673-5374.189164","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84988896890",11,8,1208,1211,20,4,20,1,5,NA,"estradiol"
"17",21,"S. Samantaray","Administration of low dose estrogen attenuates gliosis and protects neurons in acute spinal cord injury in rats",2016,"Journal of Neurochemistry",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84958108255&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84958108255&origin=inward",19,"2021-01-16 14:37:20","Article","10.1111/jnc.13464","0022-3042","https://api.elsevier.com/content/abstract/scopus_id/84958108255",136,5,1064,1073,21,4.2,21,1,5,NA,"estradiol"
"18",21,"R. López-González","Therapeutic Potential of Motor Neurons Differentiated from Embryonic Stem Cells and Induced Pluripotent Stem Cells",2012,"Archives of Medical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84859248744&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859248744&origin=inward",20,"2021-01-16 14:37:20","Review","10.1016/j.arcmed.2012.01.007","0188-4409","https://api.elsevier.com/content/abstract/scopus_id/84859248744",43,1,1,10,21,2.33,21,1,9,NA,"estradiol"
"19",22,"J. Wigginton","Rationale for routine and immediate administration of intravenous estrogen for all critically ill and injured patients",2010,"Critical Care Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650380875&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650380875&origin=inward",18,"2021-01-16 14:37:20","Conference Paper","10.1097/CCM.0b013e3181f243a9","0090-3493","https://api.elsevier.com/content/abstract/scopus_id/78650380875",38,10,NA,NA,22,2,22,1,11,NA,"estradiol"
"20",24,"K. Zhou","The temporal pattern, flux, and function of autophagy in spinal cord injury",2017,"International Journal of Molecular Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85013748050&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85013748050&origin=inward",16,"2021-01-16 14:37:20","Review","10.3390/ijms18020466","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85013748050",18,2,NA,NA,24,6,24,1,4,NA,"estradiol"
"21",24,"R. Hu","G-protein coupled estrogen receptor 1 mediated estrogenic neuroprotection against spinal cord injury",2012,"Critical Care Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84870238921&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870238921&origin=inward",17,"2021-01-16 14:37:20","Article","10.1097/CCM.0b013e3182657560","0090-3493","https://api.elsevier.com/content/abstract/scopus_id/84870238921",40,12,3230,3237,24,2.67,24,1,9,NA,"estradiol"
"22",25,"S. Samantaray","Administration of low dose estrogen attenuates persistent inflammation, promotes angiogenesis, and improves locomotor function following chronic spinal cord injury in rats",2016,"Journal of Neurochemistry",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84963680132&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963680132&origin=inward",14,"2021-01-16 14:37:20","Article","10.1111/jnc.13610","0022-3042","https://api.elsevier.com/content/abstract/scopus_id/84963680132",137,4,604,617,25,5,25,1,5,NA,"estradiol"
"23",25,"A. Siriphorn","Postinjury administration of 17β-estradiol induces protection in the gray and white matter with associated functional recovery after cervical spinal cord injury in male rats",2012,"Journal of Comparative Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84862146418&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862146418&origin=inward",15,"2021-01-16 14:37:20","Article","10.1002/cne.23056","0021-9967","https://api.elsevier.com/content/abstract/scopus_id/84862146418",520,12,2630,2646,25,2.78,25,1,9,NA,"estradiol"
"24",27,"C. Lin","Inhibition of Autophagy by Estradiol Promotes Locomotor Recovery after Spinal Cord Injury in Rats",2016,"Neuroscience Bulletin",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962747174&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962747174&origin=inward",12,"2021-01-16 14:37:20","Article","10.1007/s12264-016-0017-x","1673-7067","https://api.elsevier.com/content/abstract/scopus_id/84962747174",32,2,137,144,27,5.4,27,1,5,NA,"estradiol"
