"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",1,"S.I. Stoica","Initial researches on neuro-functional status and evolution in chronic ethanol consumers with recent traumatic spinal cord injury",2019,"Journal of medicine and life",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071282626&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071282626&origin=inward",13,"2021-01-16 14:38:48","Article","10.25122/jml-2019-0026","1844-3117","https://api.elsevier.com/content/abstract/scopus_id/85071282626",12,2,97,112,1,0.5,1,1,2,NA,"ethanol"
"2",1,"P. Mahajan","Magnetic resonance imaging features of brain and spinal cord injury in a fatal case of isopropanol intoxication",2014,"International Medical Case Reports Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896964938&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896964938&origin=inward",14,"2021-01-16 14:38:48","Article","10.2147/IMCRJ.S60082","1179-142X","https://api.elsevier.com/content/abstract/scopus_id/84896964938",7,1,57,61,1,0.14,1,1,7,NA,"ethanol"
"3",6,"J. Furlan","Blood alcohol concentration as a determinant of outcomes after traumatic spinal cord injury",2013,"European Journal of Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879006805&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879006805&origin=inward",12,"2021-01-16 14:38:48","Article","10.1111/ene.12145","1351-5101","https://api.elsevier.com/content/abstract/scopus_id/84879006805",20,7,1101,1106,6,0.75,6,1,8,NA,"ethanol"
"4",9,"S. Ridella","Compression of Rat Spinal Cord in Vitro: Effects of Ethanol on Recovery of Axonal Conduction",1986,"Central Nervous System Trauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0022854319&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022854319&origin=inward",10,"2021-01-16 14:38:48","Article","10.1089/cns.1986.3.193","0737-5999","https://api.elsevier.com/content/abstract/scopus_id/0022854319",3,3,193,204,9,0.26,9,1,35,NA,"ethanol"
"5",9,"J. Butterworth","Flaccidity after head injury: Diagnosis, management, and outcome",1981,"Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019412536&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019412536&origin=inward",11,"2021-01-16 14:38:48","Article","10.1227/00006123-198109000-00004","0148-396X","https://api.elsevier.com/content/abstract/scopus_id/0019412536",9,3,242,248,9,0.23,9,1,40,NA,"ethanol"
"6",10,"P. Terraf","Tissue-Engineered Regeneration of Hemisected Spinal Cord Using Human Endometrial Stem Cells, Poly ε-Caprolactone Scaffolds, and Crocin as a Neuroprotective Agent",2017,"Molecular Neurobiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84987652766&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987652766&origin=inward",9,"2021-01-16 14:38:48","Article","10.1007/s12035-016-0089-7","0893-7648","https://api.elsevier.com/content/abstract/scopus_id/84987652766",54,7,5657,5667,10,2.5,10,1,4,NA,"ethanol"
"7",11,"P. Halt","Alcohol exacerbates behavioral and neurochemical effects of rat spinal cord trauma",1992,"Archives of Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026485108&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026485108&origin=inward",8,"2021-01-16 14:38:48","Article","10.1001/archneur.1992.00530350096025","0003-9942","https://api.elsevier.com/content/abstract/scopus_id/0026485108",49,11,1178,1184,11,0.38,11,1,29,NA,"ethanol"
"8",13,"S. Furukawa","Ethanol extract of Chinese propolis facilitates functional recovery of locomotor activity after spinal cord injury",2011,"Evidence-based Complementary and Alternative Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77958120356&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77958120356&origin=inward",7,"2021-01-16 14:38:48","Article","10.1155/2011/749627","1741-427X","https://api.elsevier.com/content/abstract/scopus_id/77958120356",2011,NA,NA,NA,13,1.3,13,1,10,NA,"ethanol"
"9",20,"D. Byrne","Effect of intravesical capsaicin and vehicle on bladder integrity in control and spinal cord injured rats",1998,"Journal of Urology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031930987&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031930987&origin=inward",6,"2021-01-16 14:38:48","Article","10.1016/S0022-5347(01)63838-2","0022-5347","https://api.elsevier.com/content/abstract/scopus_id/0031930987",159,3,1074,1078,20,0.87,20,1,23,NA,"ethanol"
"10",33,"J. Liu","Antioxidation of melatonin against spinal cord injury in rats",2004,"Chinese Medical Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2342613518&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2342613518&origin=inward",5,"2021-01-16 14:38:48","Article","","0366-6999","https://api.elsevier.com/content/abstract/scopus_id/2342613518",117,4,571,575,33,1.94,33,1,17,NA,"ethanol"
