"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"E. Holsboer-Trachsler","Therapy of depression in neurorehabilitation and neurobiological mechanisms of action",2003,"Schweizer Archiv fur Neurologie und Psychiatrie",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0346727106&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0346727106&origin=inward",16,"2021-01-16 15:12:59","Review","10.4414/sanp.2003.01431","0258-7661","https://api.elsevier.com/content/abstract/scopus_id/0346727106",154,8,431,439,0,0,0,1,18,NA,"fluoxetine"
"2",0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",17,"2021-01-16 15:12:59","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0,0,1,24,NA,"fluoxetine"
"3",4,"V. Tysseling","Constitutive activity of 5-HT<inf>2c</inf> receptors is present after incomplete spinal cord injury but is not modified after chronic SSRI or baclofen treatment",2017,"Journal of Neurophysiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044297878&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044297878&origin=inward",15,"2021-01-16 15:12:59","Article","10.1152/jn.00190.2017.","0022-3077","https://api.elsevier.com/content/abstract/scopus_id/85044297878",118,5,2944,2952,4,1,4,1,4,NA,"fluoxetine"
"4",6,"Y. Ryu","Effects of Treadmill Training Combined with Serotonergic Interventions on Spasticity after Contusive Spinal Cord Injury",2018,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047798428&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047798428&origin=inward",13,"2021-01-16 15:12:59","Article","10.1089/neu.2017.5400","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85047798428",35,12,1358,1366,6,2,6,1,3,NA,"fluoxetine"
"5",6,"D. Krieger","Therapeutic drug approach to stimulate clinical recovery after brain injury",2013,"Frontiers of Neurology and Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880960278&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880960278&origin=inward",14,"2021-01-16 15:12:59","Article","10.1159/000346419","1660-4431","https://api.elsevier.com/content/abstract/scopus_id/84880960278",32,NA,76,87,6,0.75,6,1,8,NA,"fluoxetine"
"6",7,"K. Pearson-Fuhrhop","Pharmacogenetics of neural injury recovery",2013,"Pharmacogenomics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward",12,"2021-01-16 15:12:59","Review","10.2217/pgs.13.152","1462-2416","https://api.elsevier.com/content/abstract/scopus_id/84885401182",14,13,1635,1643,7,0.88,7,1,8,NA,"fluoxetine"
"7",8,"A. Le Friec","Enhancing Plasticity of the Central Nervous System: Drugs, Stem Cell Therapy, and Neuro-Implants",2017,"Neural Plasticity",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042410456&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042410456&origin=inward",11,"2021-01-16 15:12:59","Review","10.1155/2017/2545736","2090-5904","https://api.elsevier.com/content/abstract/scopus_id/85042410456",2017,NA,NA,NA,8,2,8,1,4,NA,"fluoxetine"
"8",10,"S. Hsu","Effects of serotonergic agents on respiratory recovery after cervical spinal injury",2015,"Journal of Applied Physiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84947274076&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84947274076&origin=inward",10,"2021-01-16 15:12:59","Article","10.1152/japplphysiol.00329.2015","8750-7587","https://api.elsevier.com/content/abstract/scopus_id/84947274076",119,10,1075,1087,10,1.67,10,1,6,NA,"fluoxetine"
"9",11,"J. Lee","Fluoxetine and vitamin C synergistically inhibits blood-spinal cord barrier disruption and improves functional recovery after spinal cord injury",2016,"Neuropharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84976569505&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976569505&origin=inward",9,"2021-01-16 15:12:59","Article","10.1016/j.neuropharm.2016.05.018","0028-3908","https://api.elsevier.com/content/abstract/scopus_id/84976569505",109,NA,78,87,11,2.2,11,1,5,NA,"fluoxetine"
"10",13,"F.E. Perrin","Serotonergic mechanisms in spinal cord injury",2019,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065615563&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065615563&origin=inward",7,"2021-01-16 15:12:59","Review","10.1016/j.expneurol.2019.05.007","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85065615563",318,NA,174,191,13,6.5,13,1,2,NA,"fluoxetine"
