"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"H. Yildiran","New approach to peripheral nerve injury: nutritional therapy",2020,"Nutritional Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090859593&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090859593&origin=inward",8,"2021-01-16 15:14:22","Review","10.1080/1028415X.2018.1554322","1028-415X","https://api.elsevier.com/content/abstract/scopus_id/85090859593",23,10,744,755,0,0,0,1,1,NA,"folic_acid"
"2",0,"K.J. Stewart","Nitrous oxide impairs axon regeneration after nervous system injury in male rats",2019,"Anesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073305228&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073305228&origin=inward",9,"2021-01-16 15:14:22","Article","10.1097/ALN.0000000000002906","0003-3022","https://api.elsevier.com/content/abstract/scopus_id/85073305228",131,5,1063,1076,0,0,0,1,2,NA,"folic_acid"
"3",0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",10,"2021-01-16 15:14:22","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0,0,1,24,NA,"folic_acid"
"4",8,"G.S. Miranpuri","Folic acid modulates matrix metalloproteinase-2 expression, alleviates neuropathic pain, and improves functional recovery in spinal cord-injured rats",2017,"Annals of Neurosciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019179806&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019179806&origin=inward",7,"2021-01-16 15:14:22","Article","10.1159/000475896","0972-7531","https://api.elsevier.com/content/abstract/scopus_id/85019179806",24,2,74,81,8,2,8,1,4,NA,"folic_acid"
"5",10,"C. Ríos","Anti-Apoptotic Effects of Dapsone After Spinal Cord Injury in Rats",2015,"Neurochemical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930867869&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84930867869&origin=inward",6,"2021-01-16 15:14:22","Article","10.1007/s11064-015-1588-z","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/84930867869",40,6,1243,1251,10,1.67,10,1,6,NA,"folic_acid"
"6",11,"T. Bottiglieri","Folate and neurological disease: Basic mechanisms",2009,"Folate in Health and Disease, Second Edition",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84855752350&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855752350&origin=inward",5,"2021-01-16 15:14:22","Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/84855752350",NA,NA,355,380,11,0.92,11,1,12,NA,"folic_acid"
"7",13,"E.K. Jensen","Medication before and after a spinal cord lesion",2014,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84900298520&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84900298520&origin=inward",4,"2021-01-16 15:14:22","Article","10.1038/sc.2014.20","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84900298520",52,5,358,363,13,1.86,13,1,7,NA,"folic_acid"
"8",17,"B. Green","A scoping review of biopsychosocial risk factors and co-morbidities for common spinal disorders",2018,"PLoS ONE",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048237543&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048237543&origin=inward",3,"2021-01-16 15:14:22","Review","10.1371/journal.pone.0197987","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85048237543",13,6,NA,NA,17,5.67,17,1,3,NA,"folic_acid"
"9",32,"M. Naim","Folic acid enhances early functional recovery in a piglet model of pediatric head injury",2011,"Developmental Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951789651&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951789651&origin=inward",2,"2021-01-16 15:14:22","Article","10.1159/000322448","0378-5866","https://api.elsevier.com/content/abstract/scopus_id/79951789651",32,5,466,479,32,3.2,32,1,10,NA,"folic_acid"
"10",53,"B. Iskandar","Folic acid supplementation enhances repair of the adult central nervous system",2004,"Annals of Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=3843098227&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3843098227&origin=inward",1,"2021-01-16 15:14:22","Article","10.1002/ana.20174","0364-5134","https://api.elsevier.com/content/abstract/scopus_id/3843098227",56,2,221,227,53,3.12,53,1,17,NA,"folic_acid"
