"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"S. Bahadır","Anterior Spinal Artery Syndrome: Rare Precedented Reason of Postoperative Plegia After Spinal Deformity Surgery: Report of 2 Cases",2020,"World Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087729125&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087729125&origin=inward",50,"2021-01-16 15:40:08","Article","10.1016/j.wneu.2020.05.216","1878-8750","https://api.elsevier.com/content/abstract/scopus_id/85087729125",141,NA,203,209,0,0,0,1,1,NA,"heparin"
"2",0,"X. Hu","Thermosensitive heparin-poloxamer hydrogel encapsulated bFGF and NGF to treat spinal cord injury",2020,"Journal of Cellular and Molecular Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086044154&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086044154&origin=inward",51,"2021-01-16 15:40:08","Article","10.1111/jcmm.15478","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/85086044154",24,14,8166,8178,0,0,0,1,1,NA,"heparin"
"3",0,"C. Zongrui","Collagen/heparin sulfate scaffold combined with neural stem cells promote motor function recovery after spinal cord injury",2019,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083849817&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083849817&origin=inward",52,"2021-01-16 15:40:08","Article","10.3969/j.issn.2095-4344.1445","2095-4344","https://api.elsevier.com/content/abstract/scopus_id/85083849817",23,34,5454,5461,0,0,0,1,2,NA,"heparin"
"4",0,"P.I. Morgado","In situ injectable hydrogels for spinal cord regeneration: Advances from the last 10 years",2020,"Biomedical Physics and Engineering Express",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081644565&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081644565&origin=inward",53,"2021-01-16 15:40:08","Review","10.1088/2057-1976/ab52e8","2057-1976","https://api.elsevier.com/content/abstract/scopus_id/85081644565",6,1,NA,NA,0,0,0,1,1,NA,"heparin"
"5",0,"X. Jiang","Effect of ferulate-heparin-poloxamer thermosensitive hydrogels on nerve regeneration in rats with spinal cord injury",2019,"Chinese Pharmacological Bulletin",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079642092&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079642092&origin=inward",54,"2021-01-16 15:40:08","Article","10.3969/j.issn.1001-1978.2019.11.014","1001-1978","https://api.elsevier.com/content/abstract/scopus_id/85079642092",35,11,1551,1557,0,0,0,1,2,NA,"heparin"
"6",0,"A. Manché","Traumatic rupture of the aorta: A case report and discussion of clinical features",2012,"Malta Medical Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876745478&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876745478&origin=inward",55,"2021-01-16 15:40:08","Article","","1813-3339","https://api.elsevier.com/content/abstract/scopus_id/84876745478",24,3,48,51,0,0,0,1,9,NA,"heparin"
"7",0,"Z. Deng","Evidence-based treatment for acute spinal cord injury",2011,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80053272963&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053272963&origin=inward",56,"2021-01-16 15:40:08","Review","","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/80053272963",6,23,1791,1795,0,0,0,1,10,NA,"heparin"
"8",1,"K. Tanaka","Intracerebral hemorrhage due to cerebral venous thrombosis during posterior cervical decompression and fusion for traumatic cervical cord injury: A case report",2019,"Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066060927&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066060927&origin=inward",46,"2021-01-16 15:40:08","Article","10.1097/MD.0000000000015531","1536-5964","https://api.elsevier.com/content/abstract/scopus_id/85066060927",98,19,NA,NA,1,0.5,1,1,2,NA,"heparin"
"9",1,"T.M. Kessler","Early neurological care of patients with spinal cord injury",2018,"World Journal of Urology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047662335&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047662335&origin=inward",47,"2021-01-16 15:40:08","Article","10.1007/s00345-018-2343-2","0724-4983","https://api.elsevier.com/content/abstract/scopus_id/85047662335",36,10,1529,1536,1,0.33,1,1,3,NA,"heparin"
"10",1,"L. Fairfax","Vena Cava Interruption",2011,"Critical Care Clinics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=82755162097&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82755162097&origin=inward",48,"2021-01-16 15:40:08","Review","10.1016/j.ccc.2011.07.002","0749-0704","https://api.elsevier.com/content/abstract/scopus_id/82755162097",27,4,781,804,1,0.1,1,1,10,NA,"heparin"
"11",1,"J.M. Bellingham","Successful Kidney Transplantation from a Donation After Cardiac Death Donor With an Ileal Conduit",2009,"Transplantation Proceedings",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=71249162111&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71249162111&origin=inward",49,"2021-01-16 15:40:08","Article","10.1016/j.transproceed.2009.09.063","0041-1345","https://api.elsevier.com/content/abstract/scopus_id/71249162111",41,10,4420,4421,1,0.08,1,1,12,NA,"heparin"
"12",2,"M. Abdelfatah","The walking recovery one year after surgical management of thoracolumbar burst fracture in paraplegic patients",2017,"Neurologia Medico-Chirurgica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029720886&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029720886&origin=inward",44,"2021-01-16 15:40:08","Article","10.2176/nmc.oa.2017-0017","0470-8105","https://api.elsevier.com/content/abstract/scopus_id/85029720886",57,9,467,471,2,0.5,2,1,4,NA,"heparin"
"13",2,"B.E. Gençosmanoǧlu","Spinal cord injury caused by gunshot wound during pregnancy",2001,"Journal of Spinal Cord Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035376805&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035376805&origin=inward",45,"2021-01-16 15:40:08","Article","10.1080/10790268.2001.11753568","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/0035376805",24,2,123,126,2,0.1,2,1,20,NA,"heparin"
"14",3,"A. Taneja","Initial Management of the Patient With Cervical Spine Injury",2013,"Seminars in Spine Surgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875812568&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875812568&origin=inward",41,"2021-01-16 15:40:08","Article","10.1053/j.semss.2012.07.005","1040-7383","https://api.elsevier.com/content/abstract/scopus_id/84875812568",25,1,2,13,3,0.38,3,1,8,NA,"heparin"
"15",3,"Y. Zheng","Effect of heparin following cervical spinal cord injuries in rats",2011,"Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80053628273&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053628273&origin=inward",42,"2021-01-16 15:40:08","Article","10.1227/NEU.0b013e3182241f3b","0148-396X","https://api.elsevier.com/content/abstract/scopus_id/80053628273",69,4,930,941,3,0.3,3,1,10,NA,"heparin"
"16",3,"S. Lopez","Intrathecal bupivacaine protects against extension of lesions in an acute photochemical spinal cord injury model",2004,"Canadian Journal of Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward",43,"2021-01-16 15:40:08","Article","10.1007/BF03018241","0832-610X","https://api.elsevier.com/content/abstract/scopus_id/2542540436",51,4,364,372,3,0.18,3,1,17,NA,"heparin"
