"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",1,"A. Van Ooij","Surgical removal of debilitating neurogenic heterotopic ossifications of the hip",2005,"Nederlands Tijdschrift voor Geneeskunde",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=11144231073&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11144231073&origin=inward",10,"2021-01-16 15:49:16","Article","","0028-2162","https://api.elsevier.com/content/abstract/scopus_id/11144231073",149,1,37,41,1,0.06,1,1,16,NA,"indomethacin"
"2",9,"G. Leanza","Release properties and functional integration of noradrenergic-rich tissue grafted to the denervated spinal cord of the adult rat",1999,"European Journal of Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032904503&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032904503&origin=inward",9,"2021-01-16 15:49:16","Article","10.1046/j.1460-9568.1999.00595.x","0953-816X","https://api.elsevier.com/content/abstract/scopus_id/0032904503",11,5,1789,1799,9,0.41,9,1,22,NA,"indomethacin"
"3",20,"R.K. Simpson","The influence of long-term nifedipine or indomethacin therapy on neurologic recovery from experimental spinal cord injury",1991,"Journal of Spinal Disorders",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026351976&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026351976&origin=inward",8,"2021-01-16 15:49:16","Article","10.1097/00002517-199112000-00003","0895-0385","https://api.elsevier.com/content/abstract/scopus_id/0026351976",4,4,420,427,20,0.67,20,1,30,NA,"indomethacin"
"4",23,"P. Popovich","A reassessment of a classic neuroprotective combination therapy for spinal cord injured rats: LPS/pregnenolone/indomethacin",2012,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856535858&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856535858&origin=inward",7,"2021-01-16 15:49:16","Article","10.1016/j.expneurol.2011.11.045","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84856535858",233,2,677,685,23,2.56,23,1,9,NA,"indomethacin"
"5",29,"J. Schwab","Lesional RhoA<sup>+</sup> cell numbers are suppressed by anti-inflammatory, cyclooxygenase-inhibiting treatment following subacute spinal cord injury",2004,"GLIA",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=4644335622&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4644335622&origin=inward",6,"2021-01-16 15:49:16","Article","10.1002/glia.20031","0894-1491","https://api.elsevier.com/content/abstract/scopus_id/4644335622",47,4,377,386,29,1.71,29,1,17,NA,"indomethacin"
"6",38,"J. Hallenbeck","Combined PGI<inf>2</inf>, indomethacin, and heparin improves neurological recovery after spinal trauma in cats",1983,"Journal of Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020645702&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020645702&origin=inward",5,"2021-01-16 15:49:16","Article","10.3171/jns.1983.58.5.0749","0022-3085","https://api.elsevier.com/content/abstract/scopus_id/0020645702",58,5,749,754,38,1,38,1,38,NA,"indomethacin"
"7",39,"B. Xing","RhoA-inhibiting NSAIDs promote axonal myelination after spinal cord injury",2011,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80052554144&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052554144&origin=inward",4,"2021-01-16 15:49:16","Article","10.1016/j.expneurol.2011.06.018","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/80052554144",231,2,247,260,39,3.9,39,1,10,NA,"indomethacin"
"8",95,"L. Guth","Key role for pregnenolone in combination therapy that promotes recovery after spinal cord injury",1994,"Proceedings of the National Academy of Sciences of the United States of America",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028143441&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028143441&origin=inward",3,"2021-01-16 15:49:16","Article","10.1073/pnas.91.25.12308","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/0028143441",91,25,12308,12312,95,3.52,95,1,27,NA,"indomethacin"
"9",98,"L. Guth","Spinal cord injury in the rat: Treatment with bacterial lipopolysaccharide and indomethacin enhances cellular repair and locomotor function",1994,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028263133&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028263133&origin=inward",2,"2021-01-16 15:49:16","Article","10.1006/exnr.1994.1043","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/0028263133",126,1,76,87,98,3.63,98,1,27,NA,"indomethacin"
"10",139,"Q. Fu","Nonsteroidal anti-inflammatory drugs promote axon regeneration via RhoA inhibition",2007,"Journal of Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34247168756&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34247168756&origin=inward",1,"2021-01-16 15:49:16","Article","10.1523/JNEUROSCI.4353-06.2007","0270-6474","https://api.elsevier.com/content/abstract/scopus_id/34247168756",27,15,4154,4164,139,9.93,139,1,14,NA,"indomethacin"
