"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"L.X. Ye","Exogenous platelet-derived growth factor improves neurovascular unit recovery after spinal cord injury",2021,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward",28,"2021-01-16 16:09:49","Article","10.4103/1673-5374.295347","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85094600726",16,4,765,771,0,0,0,1,1,NA,"isoflurane"
"2",0,"T.C. Weizenmann","Evaluation of the effect of nandrolone decanoate on experimental spinal cord injury in rats",2019,"Acta Scientiae Veterinariae",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090703631&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090703631&origin=inward",29,"2021-01-16 16:09:49","Article","10.22456/1679-9216.98190","1678-0345","https://api.elsevier.com/content/abstract/scopus_id/85090703631",47,1,NA,NA,0,0,0,1,2,NA,"isoflurane"
"3",0,"Y. Sysoev","Site-Specific Neuromodulation of Detrusor and External Urethral Sphincter by Epidural Spinal Cord Stimulation",2020,"Frontiers in Systems Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089076889&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089076889&origin=inward",30,"2021-01-16 16:09:49","Article","10.3389/fnsys.2020.00047","1662-5137","https://api.elsevier.com/content/abstract/scopus_id/85089076889",14,NA,NA,NA,0,0,0,1,1,NA,"isoflurane"
"4",0,"A. Frostell","CNS Regeneration in Nerve Grafts: Practical Aspects of Complete Thoracic Spinal Cord Injury in Rodents",2019,"Neuromethods",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070530107&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070530107&origin=inward",31,"2021-01-16 16:09:49","Chapter","10.1007/978-1-4939-9711-4_10","0893-2336","https://api.elsevier.com/content/abstract/scopus_id/85070530107",149,NA,187,198,0,0,0,1,2,NA,"isoflurane"
"5",3,"J. Harnie","The recovery of standing and locomotion after spinal cord injury does not require task-specific training",2019,"eLife",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077108776&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077108776&origin=inward",25,"2021-01-16 16:09:49","Article","10.7554/eLife.50134","2050-084X","https://api.elsevier.com/content/abstract/scopus_id/85077108776",8,NA,NA,NA,3,1.5,3,1,2,NA,"isoflurane"
"6",3,"M. Manthou","Functional recovery after experimental spinal cord compression and whole body vibration therapy requires a balanced revascularization of the injured site",2015,"Restorative Neurology and Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923183500&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923183500&origin=inward",26,"2021-01-16 16:09:49","Article","10.3233/RNN-140434","0922-6028","https://api.elsevier.com/content/abstract/scopus_id/84923183500",33,2,233,249,3,0.5,3,1,6,NA,"isoflurane"
"7",3,"Y. Wang","Quadriplegia after parathyroidectomy in a hemodialysis patient",2011,"Acta Anaesthesiologica Taiwanica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79953277135&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953277135&origin=inward",27,"2021-01-16 16:09:49","Article","10.1016/j.aat.2010.07.001","1875-4597","https://api.elsevier.com/content/abstract/scopus_id/79953277135",49,1,32,34,3,0.3,3,1,10,NA,"isoflurane"
"8",4,"M.T. Bell","Reproducable paraplegia by thoracic aortic occlusion in a murine model of spinal cord ischemia-reperfusion",2014,"Journal of Visualized Experiments",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84940285117&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940285117&origin=inward",23,"2021-01-16 16:09:49","Article","10.3791/50910","1940-087X","https://api.elsevier.com/content/abstract/scopus_id/84940285117",NA,85,NA,NA,4,0.57,4,1,7,NA,"isoflurane"
"9",4,"R. Wadhwa","Pleural puncture with thoracic epidural: A rare complication?",2011,"Indian Journal of Anaesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863393333&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863393333&origin=inward",24,"2021-01-16 16:09:49","Article","10.4103/0019-5049.79898","0019-5049","https://api.elsevier.com/content/abstract/scopus_id/84863393333",55,2,163,166,4,0.4,4,1,10,NA,"isoflurane"
"10",5,"R. Wu","Altered spatiotemporal dynamics of cortical activation to tactile stimuli in somatosensory area 3b and area 1 of monkeys after spinal cord injury",2016,"eNeuro",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85011952382&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011952382&origin=inward",20,"2021-01-16 16:09:49","Article","10.1523/ENEURO.0095-16.2016","2373-2822","https://api.elsevier.com/content/abstract/scopus_id/85011952382",3,5,NA,NA,5,1,5,1,5,NA,"isoflurane"
"11",5,"A. Ewen","The ankle clonus test is not a clinically useful measure of spinal cord integrity in children",2005,"Canadian Journal of Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=21244459180&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=21244459180&origin=inward",21,"2021-01-16 16:09:49","Article","10.1007/BF03016533","0832-610X","https://api.elsevier.com/content/abstract/scopus_id/21244459180",52,5,524,529,5,0.31,5,1,16,NA,"isoflurane"
"12",5,"T.E. Grissom","The effect of anesthetics on neurologic outcome during the recovery period of spinal cord injury in rats",1994,"Anesthesia and Analgesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028335685&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028335685&origin=inward",22,"2021-01-16 16:09:49","Article","10.1213/00000539-199407000-00013","0003-2999","https://api.elsevier.com/content/abstract/scopus_id/0028335685",79,1,66,74,5,0.19,5,1,27,NA,"isoflurane"
"13",7,"J.P.d. Munter","Standardized human bone marrow-derived stem cells infusion improves survival and recovery in a rat model of spinal cord injury",2019,"Journal of the Neurological Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065489188&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065489188&origin=inward",19,"2021-01-16 16:09:49","Article","10.1016/j.jns.2019.05.002","0022-510X","https://api.elsevier.com/content/abstract/scopus_id/85065489188",402,NA,16,29,7,3.5,7,1,2,NA,"isoflurane"
"14",11,"P. Tyagi","Spontaneous recovery of reflex voiding following spinal cord injury mediated by anti-inflammatory and neuroprotective factors",2016,"Urology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960398942&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960398942&origin=inward",18,"2021-01-16 16:09:49","Article","10.1016/j.urology.2015.10.017","0090-4295","https://api.elsevier.com/content/abstract/scopus_id/84960398942",88,NA,57,65,11,2.2,11,1,5,NA,"isoflurane"
"15",12,"T. Bezdudnaya","Spontaneous respiratory plasticity following unilateral high cervical spinal cord injury in behaving rats",2018,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051603466&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051603466&origin=inward",17,"2021-01-16 16:09:49","Article","10.1016/j.expneurol.2018.03.014","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85051603466",305,NA,56,65,12,4,12,1,3,NA,"isoflurane"
"16",13,"A. Hurtado","Anti-CD11d monoclonal antibody treatment for rat spinal cord compression injury",2012,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856515395&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856515395&origin=inward",16,"2021-01-16 16:09:49","Article","10.1016/j.expneurol.2010.11.015","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84856515395",233,2,606,611,13,1.44,13,1,9,NA,"isoflurane"
"17",14,"Y.S. Nout","Severity of locomotor and cardiovascular derangements after experimental high-thoracic spinal cord injury is anesthesia dependent in rats",2012,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84858402350&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858402350&origin=inward",15,"2021-01-16 16:09:49","Article","10.1089/neu.2011.1845","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84858402350",29,5,990,999,14,1.56,14,1,9,NA,"isoflurane"
"18",15,"C. Gomar","Delayed arousal after general anesthesia associated with baclofen [6]",1994,"Anesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028143912&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028143912&origin=inward",14,"2021-01-16 16:09:49","Letter","10.1097/00000542-199411000-00035","0003-3022","https://api.elsevier.com/content/abstract/scopus_id/0028143912",81,5,1306,1307,15,0.56,15,1,27,NA,"isoflurane"
"19",17,"S. Jinks","Drastic decrease in isoflurane minimum alveolar concentration and limb movement forces after thoracic spinal cooling and chronic spinal transection in rats",2005,"Anesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=14644395568&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=14644395568&origin=inward",13,"2021-01-16 16:09:49","Conference Paper","10.1097/00000542-200503000-00022","0003-3022","https://api.elsevier.com/content/abstract/scopus_id/14644395568",102,3,624,632,17,1.06,17,1,16,NA,"isoflurane"
"20",19,"J.A. Aldrete","Myelopathy with syringomyelia following thoracic epidural anaesthesia",2004,"Anaesthesia and Intensive Care",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1142287486&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1142287486&origin=inward",12,"2021-01-16 16:09:49","Article","10.1177/0310057x0403200116","0310-057X","https://api.elsevier.com/content/abstract/scopus_id/1142287486",32,1,100,103,19,1.12,19,1,17,NA,"isoflurane"
"21",21,"F. Dillon","Electromyographic (EMG) Neuromonitoring in Otolaryngology-Head and Neck Surgery",2010,"Anesthesiology Clinics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956636967&origin=inward",11,"2021-01-16 16:09:49","Review","10.1016/j.anclin.2010.07.011","1932-2275","https://api.elsevier.com/content/abstract/scopus_id/77956636967",28,3,423,442,21,1.91,21,1,11,NA,"isoflurane"
"22",29,"J. Šedý","Low concentration of isoflurane promotes the development of neurogenic pulmonary edema in spinal cord injured rats",2007,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34848915473&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34848915473&origin=inward",10,"2021-01-16 16:09:49","Article","10.1089/neu.2006.0252","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/34848915473",24,9,1487,1501,29,2.07,29,1,14,NA,"isoflurane"
"23",31,"B. David","Deficits in bladder function following spinal cord injury vary depending on the level of the injury",2010,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957810911&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957810911&origin=inward",9,"2021-01-16 16:09:49","Article","10.1016/j.expneurol.2010.08.014","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/77957810911",226,1,128,135,31,2.82,31,1,11,NA,"isoflurane"
"24",40,"X. Wang","Axonal regeneration induced by blockade of glial inhibitors coupled with activation of intrinsic neuronal growth pathways",2012,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863812381&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863812381&origin=inward",8,"2021-01-16 16:09:49","Article","10.1016/j.expneurol.2012.06.009","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84863812381",237,1,55,69,40,4.44,40,1,9,NA,"isoflurane"
"25",51,"M.D. Sunshine","Cervical intraspinal microstimulation evokes robust forelimb movements before and after injury",2013,"Journal of Neural Engineering",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84878289661&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878289661&origin=inward",7,"2021-01-16 16:09:49","Article","10.1088/1741-2560/10/3/036001","1741-2560","https://api.elsevier.com/content/abstract/scopus_id/84878289661",10,3,NA,NA,51,6.38,51,1,8,NA,"isoflurane"
"26",64,"S. Fukuda","Cerebral protection",2007,"British Journal of Anaesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34447536859&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34447536859&origin=inward",6,"2021-01-16 16:09:49","Review","10.1093/bja/aem140","0007-0912","https://api.elsevier.com/content/abstract/scopus_id/34447536859",99,1,10,17,64,4.57,64,1,14,NA,"isoflurane"
"27",69,"M. Hashimoto","Osteopontin-deficient mice exhibit less inflammation, greater tissue damage, and impaired locomotor recovery from spinal cord injury compared with wild-type controls",2007,"Journal of Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34047160451&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34047160451&origin=inward",5,"2021-01-16 16:09:49","Article","10.1523/JNEUROSCI.4805-06.2007","0270-6474","https://api.elsevier.com/content/abstract/scopus_id/34047160451",27,13,3603,3611,69,4.93,69,1,14,NA,"isoflurane"
