"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",4,"X. Zhang","Berberine enhances survival and axonal regeneration of motoneurons following spinal root avulsion and re-implantation in rats",2019,"Free Radical Biology and Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071911910&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071911910&origin=inward",195,"2021-01-17 15:32:44","Article","10.1016/j.freeradbiomed.2019.08.029","0891-5849","https://api.elsevier.com/content/abstract/scopus_id/85071911910",143,NA,454,470,4,2,4,1,2,NA,"lipids"
"2",4,"Y. Jiang","Total brachial plexus injury: Contralateral C7 root transfer to the lower trunk versus the median nerve",2018,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058894262&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058894262&origin=inward",196,"2021-01-17 15:32:44","Article","10.4103/1673-5374.239444","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85058894262",13,11,1968,1973,4,1.33,4,1,3,NA,"lipids"
"3",4,"M. Nazari-Robati","Trehalose attenuates spinal cord injury through the regulation of oxidative stress, inflammation and GFAP expression in rats",2019,"Journal of Spinal Cord Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058123287&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058123287&origin=inward",197,"2021-01-17 15:32:44","Article","10.1080/10790268.2018.1527077","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/85058123287",42,3,387,394,4,2,4,1,2,NA,"lipids"
"4",4,"O. Juarezbecerril","Electro-acupuncture at GV.4 improves functional recovery in paralyzed rats after a traumatic spinal cord injury",2015,"Acupuncture and Electro-Therapeutics Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962040523&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962040523&origin=inward",198,"2021-01-17 15:32:44","Article","10.3727/036012916X14533115160688","0360-1293","https://api.elsevier.com/content/abstract/scopus_id/84962040523",40,4,355,369,4,0.67,4,1,6,NA,"lipids"
"5",4,"H. Reihani Kermani","Effect of aspirin on spinal cord injury: An experimental study",2016,"Iranian Journal of Medical Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960131681&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960131681&origin=inward",199,"2021-01-17 15:32:44","Article","","0253-0716","https://api.elsevier.com/content/abstract/scopus_id/84960131681",41,3,217,222,4,0.8,4,1,5,NA,"lipids"
"6",4,"Z. Han","Safety and efficacy of corticosteroid Use in neurologic trauma",2014,"Journal of Pharmacy Practice",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84908890896&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908890896&origin=inward",200,"2021-01-17 15:32:44","Review","10.1177/0897190013516500","0897-1900","https://api.elsevier.com/content/abstract/scopus_id/84908890896",27,5,487,495,4,0.57,4,1,7,NA,"lipids"
"7",5,"C. Rios","Metallothionein-I + II reduces oxidative damage and apoptosis after traumatic spinal cord injury in rats",2018,"Oxidative Medicine and Cellular Longevity",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057008615&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057008615&origin=inward",190,"2021-01-17 15:32:44","Article","10.1155/2018/3265918","1942-0900","https://api.elsevier.com/content/abstract/scopus_id/85057008615",2018,NA,NA,NA,5,1.67,5,1,3,NA,"lipids"
"8",5,"D. Liu","Carvedilol promotes neurological function, reduces bone loss and attenuates cell damage after acute spinal cord injury in rats",2015,"Clinical and Experimental Pharmacology and Physiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84920927251&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920927251&origin=inward",191,"2021-01-17 15:32:44","Article","10.1111/1440-1681.12345","0305-1870","https://api.elsevier.com/content/abstract/scopus_id/84920927251",42,2,202,212,5,0.83,5,1,6,NA,"lipids"
"9",5,"G. Bermeo","Monocyte Locomotion Inhibitory Factor Produced by E. Histolytica Improves Motor Recovery and Develops Neuroprotection after Traumatic Injury to the Spinal Cord",2013,"BioMed Research International",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84888879387&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84888879387&origin=inward",192,"2021-01-17 15:32:44","Article","10.1155/2013/340727","2314-6133","https://api.elsevier.com/content/abstract/scopus_id/84888879387",2013,NA,NA,NA,5,0.63,5,1,8,NA,"lipids"
"10",5,"D. Ganea","Modulation of dendritic cell function by PGE2 and DHA: A framework for understanding the role of dendritic cells in neuroinflammation",2011,"Clinical Lipidology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959393876&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959393876&origin=inward",193,"2021-01-17 15:32:44","Review","10.2217/clp.11.12","1746-0875","https://api.elsevier.com/content/abstract/scopus_id/79959393876",6,3,277,291,5,0.5,5,1,10,NA,"lipids"
