"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"T. Zhang","Therapeutic effect of metformin on inflammation and apoptosis after spinal cord injury in rats through the Wnt/β-catenin signaling pathway",2020,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094577340&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094577340&origin=inward",10,"2021-01-18 08:36:46","Article","10.1016/j.neulet.2020.135440","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/85094577340",739,NA,NA,NA,0,0,0,1,1,NA,"metformin"
"2",0,"H.N. Kim","A Western diet impairs CNS energy homeostasis and recovery after spinal cord injury: Link to astrocyte metabolism",2020,"Neurobiology of Disease",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084633682&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084633682&origin=inward",11,"2021-01-18 08:36:46","Article","10.1016/j.nbd.2020.104934","0969-9961","https://api.elsevier.com/content/abstract/scopus_id/85084633682",141,NA,NA,NA,0,0,0,1,1,NA,"metformin"
"3",1,"E.C. Simmons","Mitochondrial biogenesis as a therapeutic target for traumatic and neurodegenerative CNS diseases",2020,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083396043&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083396043&origin=inward",9,"2021-01-18 08:36:46","Review","10.1016/j.expneurol.2020.113309","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85083396043",329,NA,NA,NA,1,1,1,1,1,NA,"metformin"
"4",5,"C.M. Lin","Development of telmisartan in the therapy of spinal cord injury: Pre-clinical study in rats",2015,"Drug Design, Development and Therapy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84939782918&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939782918&origin=inward",8,"2021-01-18 08:36:46","Article","10.2147/DDDT.S86616","1177-8881","https://api.elsevier.com/content/abstract/scopus_id/84939782918",9,NA,4709,4717,5,0.83,5,1,6,NA,"metformin"
"5",8,"H. Wang","Metformin Promotes Axon Regeneration after Spinal Cord Injury through Inhibiting Oxidative Stress and Stabilizing Microtubule",2020,"Oxidative Medicine and Cellular Longevity",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078162566&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078162566&origin=inward",7,"2021-01-18 08:36:46","Article","10.1155/2020/9741369","1942-0900","https://api.elsevier.com/content/abstract/scopus_id/85078162566",2020,NA,NA,NA,8,8,8,1,1,NA,"metformin"
"6",12,"P. Wang","AMP-activated protein kinase-dependent induction of autophagy by erythropoietin protects against spinal cord injury in rats",2018,"CNS Neuroscience and Therapeutics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045446397&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045446397&origin=inward",6,"2021-01-18 08:36:46","Article","10.1111/cns.12856","1755-5930","https://api.elsevier.com/content/abstract/scopus_id/85045446397",24,12,1185,1195,12,4,12,1,3,NA,"metformin"
"7",13,"Y. Guo","Metformin Protects Against Spinal Cord Injury by Regulating Autophagy via the mTOR Signaling Pathway",2018,"Neurochemical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046426147&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046426147&origin=inward",5,"2021-01-18 08:36:46","Article","10.1007/s11064-018-2525-8","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/85046426147",43,5,1111,1117,13,4.33,13,1,3,NA,"metformin"
"8",15,"D. Zhang","Metformin ameliorates BSCB disruption by inhibiting neutrophil infiltration and MMP-9 expression but not direct TJ proteins expression regulation",2017,"Journal of Cellular and Molecular Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85023179496&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85023179496&origin=inward",4,"2021-01-18 08:36:46","Article","10.1111/jcmm.13235","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/85023179496",21,12,3322,3336,15,3.75,15,1,4,NA,"metformin"
"9",26,"K. Afshari","Anti-inflammatory effects of Metformin improve the neuropathic pain and locomotor activity in spinal cord injured rats: introduction of an alternative therapy",2018,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049130210&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049130210&origin=inward",2,"2021-01-18 08:36:46","Article","10.1038/s41393-018-0168-x","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85049130210",56,11,1032,1041,26,8.67,26,1,3,NA,"metformin"
"10",26,"R. Basson","Sexual function of women with chronic illness and cancer",2010,"Women's Health",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward",3,"2021-01-18 08:36:46","Review","10.2217/whe.10.23","1745-5057","https://api.elsevier.com/content/abstract/scopus_id/77952119823",6,3,407,429,26,2.36,26,1,11,NA,"metformin"
