"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Z.J. He","Neurotrophin-3 modified hyaluronan-methylcellulose hydrogel promotes neurological function in rats with spinal cord injury",2019,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083713756&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083713756&origin=inward",17,"2021-01-18 08:39:05","Article","10.3969/j.issn.2095-4344.1640","2095-4344","https://api.elsevier.com/content/abstract/scopus_id/85083713756",23,14,2202,2207,0,0,0,1,2,NA,"methylcellulose"
"2",0,"P.I. Morgado","In situ injectable hydrogels for spinal cord regeneration: Advances from the last 10 years",2020,"Biomedical Physics and Engineering Express",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081644565&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081644565&origin=inward",18,"2021-01-18 08:39:05","Review","10.1088/2057-1976/ab52e8","2057-1976","https://api.elsevier.com/content/abstract/scopus_id/85081644565",6,1,NA,NA,0,0,0,1,1,NA,"methylcellulose"
"3",5,"T. Kopper","Delayed Azithromycin Treatment Improves Recovery After Mouse Spinal Cord Injury",2019,"Frontiers in Cellular Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075586945&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075586945&origin=inward",16,"2021-01-18 08:39:05","Article","10.3389/fncel.2019.00490","1662-5102","https://api.elsevier.com/content/abstract/scopus_id/85075586945",13,NA,NA,NA,5,2.5,5,1,2,NA,"methylcellulose"
"4",9,"Z. He","An anti-inflammatory peptide and brain-derived neurotrophic factor-modified hyaluronan-methylcellulose hydrogel promotes nerve regeneration in rats with spinal cord injury",2019,"International Journal of Nanomedicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060729239&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060729239&origin=inward",14,"2021-01-18 08:39:05","Article","10.2147/IJN.S187854","1176-9114","https://api.elsevier.com/content/abstract/scopus_id/85060729239",14,NA,721,732,9,4.5,9,1,2,NA,"methylcellulose"
"5",9,"Y. Gao","Regeneration strategies after the adult mammalian central nervous system injury-biomaterials",2016,"Regenerative Biomaterials",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84992424919&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84992424919&origin=inward",15,"2021-01-18 08:39:05","Review","10.1093/RB/RBW004","2056-3418","https://api.elsevier.com/content/abstract/scopus_id/84992424919",3,2,115,122,9,1.8,9,1,5,NA,"methylcellulose"
"6",10,"Z. Khaing","Injectable Hydrogels for Spinal Cord Repair: A Focus on Swelling and Intraspinal Pressure",2016,"Cells Tissues Organs",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84990174689&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84990174689&origin=inward",13,"2021-01-18 08:39:05","Review","10.1159/000446697","1422-6405","https://api.elsevier.com/content/abstract/scopus_id/84990174689",202,1,67,84,10,2,10,1,5,NA,"methylcellulose"
"7",14,"M.H. Hettiaratchi","Local delivery of stabilized chondroitinase ABC degrades chondroitin sulfate proteoglycans in stroke-injured rat brains",2019,"Journal of Controlled Release",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060713031&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060713031&origin=inward",12,"2021-01-18 08:39:05","Article","10.1016/j.jconrel.2019.01.033","0168-3659","https://api.elsevier.com/content/abstract/scopus_id/85060713031",297,NA,14,25,14,7,14,1,2,NA,"methylcellulose"
"8",25,"J.C. Stanwick","In vitro sustained release of bioactive anti-NogoA, a molecule in clinical development for treatment of spinal cord injury",2012,"International Journal of Pharmaceutics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84857785798&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84857785798&origin=inward",11,"2021-01-18 08:39:05","Article","10.1016/j.ijpharm.2012.01.035","0378-5173","https://api.elsevier.com/content/abstract/scopus_id/84857785798",426,1,284,290,25,2.78,25,1,9,NA,"methylcellulose"
"9",27,"S. Nori","Human Oligodendrogenic Neural Progenitor Cells Delivered with Chondroitinase ABC Facilitate Functional Repair of Chronic Spinal Cord Injury",2018,"Stem Cell Reports",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058598858&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058598858&origin=inward",10,"2021-01-18 08:39:05","Article","10.1016/j.stemcr.2018.10.017","2213-6711","https://api.elsevier.com/content/abstract/scopus_id/85058598858",11,6,1433,1448,27,9,27,1,3,NA,"methylcellulose"
"10",31,"M.M. Pakulska","Local delivery of chondroitinase ABC with or without stromal cell-derived factor 1α promotes functional repair in the injured rat spinal cord",2017,"Biomaterials",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85018622802&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018622802&origin=inward",9,"2021-01-18 08:39:05","Article","10.1016/j.biomaterials.2017.04.016","0142-9612","https://api.elsevier.com/content/abstract/scopus_id/85018622802",134,NA,13,21,31,7.75,31,1,4,NA,"methylcellulose"
