"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"S. Aito","The use of high-dose methylprednisolone in acute spinal cord injuries: NASCIS review",2002,"Europa Medicophysica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036299848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036299848&origin=inward",84,"2021-01-18 10:37:56","Article","","0014-2573","https://api.elsevier.com/content/abstract/scopus_id/0036299848",38,2,89,95,0,0,0,1,19,NA,"naloxone"
"2",0,"D. Bosch","The contribution of drugs in neurological recovery after acute traumatic spinal cord injury",1992,"Nederlands Tijdschrift voor Geneeskunde",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026570412&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026570412&origin=inward",85,"2021-01-18 10:37:56","Short Survey","","0028-2162","https://api.elsevier.com/content/abstract/scopus_id/0026570412",136,5,212,214,0,0,0,1,29,NA,"naloxone"
"3",1,"A.F. Joaquim","Neuroprotective Agents as an Adjuvant Treatment in Patients with Acute Spinal Cord Injuries: A Qualitative Systematic Review of Randomized Trials",2020,"Clinical Spine Surgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071222720&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071222720&origin=inward",81,"2021-01-18 10:37:56","Review","10.1097/BSD.0000000000000861","2380-0186","https://api.elsevier.com/content/abstract/scopus_id/85071222720",33,2,65,75,1,1,1,1,1,NA,"naloxone"
"4",1,"H. Fan","Computational exploration of natural compounds to target cytosolic phospholipase A 2 protein: A novel therapeutic target for spinal cord injury",2018,"Current Computer-Aided Drug Design",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049050305&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049050305&origin=inward",82,"2021-01-18 10:37:56","Article","10.2174/1573409914666180123100714","1573-4099","https://api.elsevier.com/content/abstract/scopus_id/85049050305",14,2,117,124,1,0.33,1,1,3,NA,"naloxone"
"5",1,"M. Çaliş","Clinical evaluation and treatment of neurogenic bladder",2004,"Journal of Rheumatology and Medical Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward",83,"2021-01-18 10:37:56","Article","","1300-0691","https://api.elsevier.com/content/abstract/scopus_id/29544433857",15,2,129,136,1,0.06,1,1,17,NA,"naloxone"
"6",2,"C.V. Ghincea","Spinal Cord Protection for Thoracic Aortic Surgery: Bench to Bedside",2019,"Seminars in Thoracic and Cardiovascular Surgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward",79,"2021-01-18 10:37:56","Article","10.1053/j.semtcvs.2019.02.025","1043-0679","https://api.elsevier.com/content/abstract/scopus_id/85063372393",31,4,713,720,2,1,2,1,2,NA,"naloxone"
"7",2,"T. Erman","Effect of naloxone after spinal cord injury in the rat: Inducible nitric oxide synthase expression, superoxide dismutase activity, and ultrastructural changes",2004,"Neurosurgery Quarterly",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=10044239577&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=10044239577&origin=inward",80,"2021-01-18 10:37:56","Article","10.1097/00013414-200412000-00010","1050-6438","https://api.elsevier.com/content/abstract/scopus_id/10044239577",14,4,249,256,2,0.12,2,1,17,NA,"naloxone"
"8",3,"J. Xiao","Synergetic protective effects of combined blockade by two kinds of autolesion mediator receptor on neurological function after cervical cord injury",1998,"Chinese Medical Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031968817&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031968817&origin=inward",76,"2021-01-18 10:37:56","Article","","0366-6999","https://api.elsevier.com/content/abstract/scopus_id/0031968817",111,5,443,446,3,0.13,3,1,23,NA,"naloxone"
"9",3,"A. Levi","Advances in the management of spinal cord injury: Has the laboratory increased our understanding?",1998,"Neurosurgery Quarterly",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031828573&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031828573&origin=inward",77,"2021-01-18 10:37:56","Review","10.1097/00013414-199809000-00008","1050-6438","https://api.elsevier.com/content/abstract/scopus_id/0031828573",8,3,236,242,3,0.13,3,1,23,NA,"naloxone"
"10",3,"T. Suzuki","Effects of GABAergic Drugs on the Recovery of Reflex Potentials after Spinal Cord Ischemia in Cats",1995,"The Japanese Journal of Pharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029116237&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029116237&origin=inward",78,"2021-01-18 10:37:56","Article","10.1254/jjp.68.423","0021-5198","https://api.elsevier.com/content/abstract/scopus_id/0029116237",68,4,423,429,3,0.12,3,1,26,NA,"naloxone"
