"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",2,"V. Zaphiratos","Persistent paralysis after spinal anesthesia for cesarean delivery",2015,"Journal of Clinical Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923233887&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923233887&origin=inward",11,"2021-01-18 10:38:46","Article","10.1016/j.jclinane.2014.08.003","0952-8180","https://api.elsevier.com/content/abstract/scopus_id/84923233887",27,1,68,72,2,0.33,2,1,6,NA,"naproxen"
"2",5,"G. Yonnet","Intersection syndrome in a handcyclist: Case report and literature review",2013,"Topics in Spinal Cord Injury Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84881178683&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881178683&origin=inward",10,"2021-01-18 10:38:46","Article","10.1310/sci1903-236","1082-0744","https://api.elsevier.com/content/abstract/scopus_id/84881178683",19,3,236,243,5,0.63,5,1,8,NA,"naproxen"
"3",8,"K. Potter-Baker","Reliability of TMS metrics in patients with chronic incomplete spinal cord injury",2016,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward",9,"2021-01-18 10:38:46","Article","10.1038/sc.2016.47","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84962090359",54,11,980,990,8,1.6,8,1,5,NA,"naproxen"
"4",23,"M. Campolo","Hydrogen sulfide-releasing cyclooxygenase inhibitor ATB-346 enhances motor function and reduces cortical lesion volume following traumatic brain injury in mice",2014,"Journal of Neuroinflammation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924902386&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924902386&origin=inward",8,"2021-01-18 10:38:46","Article","10.1186/s12974-014-0196-1","1742-2094","https://api.elsevier.com/content/abstract/scopus_id/84924902386",11,1,NA,NA,23,3.29,23,1,7,NA,"naproxen"
"5",34,"M. Campolo","A hydrogen sulfide-releasing cyclooxygenase inhibitor markedly accelerates recovery from experimental spinal cord injury",2013,"FASEB Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887115583&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887115583&origin=inward",7,"2021-01-18 10:38:46","Article","10.1096/fj.13-234716","1530-6860","https://api.elsevier.com/content/abstract/scopus_id/84887115583",27,11,4489,4499,34,4.25,34,1,8,NA,"naproxen"
"6",35,"E. Hayta","Acute spinal cord injury: A review of pathophysiology and potential of non-steroidal anti-inflammatory drugs for pharmacological intervention",2018,"Journal of Chemical Neuroanatomy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85028388087&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85028388087&origin=inward",6,"2021-01-18 10:38:46","Review","10.1016/j.jchemneu.2017.08.001","0891-0618","https://api.elsevier.com/content/abstract/scopus_id/85028388087",87,NA,25,31,35,11.67,35,1,3,NA,"naproxen"
"7",39,"B. Xing","RhoA-inhibiting NSAIDs promote axonal myelination after spinal cord injury",2011,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80052554144&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052554144&origin=inward",5,"2021-01-18 10:38:46","Article","10.1016/j.expneurol.2011.06.018","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/80052554144",231,2,247,260,39,3.9,39,1,10,NA,"naproxen"
"8",51,"M. Kopp","Small-molecule-induced Rho-inhibition: NSAIDs after spinal cord injury",2012,"Cell and Tissue Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84862772135&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862772135&origin=inward",4,"2021-01-18 10:38:46","Review","10.1007/s00441-012-1334-7","0302-766X","https://api.elsevier.com/content/abstract/scopus_id/84862772135",349,1,119,132,51,5.67,51,1,9,NA,"naproxen"
"9",57,"J. Dill","A molecular mechanism for ibuprofen-mediated RhoA inhibition in neurons",2010,"Journal of Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=75749127323&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75749127323&origin=inward",3,"2021-01-18 10:38:46","Article","10.1523/JNEUROSCI.5045-09.2010","0270-6474","https://api.elsevier.com/content/abstract/scopus_id/75749127323",30,3,963,972,57,5.18,57,1,11,NA,"naproxen"
"10",63,"X. Wang","Ibuprofen enhances recovery from spinal cord injury by limiting tissue loss and stimulating axonal growth",2009,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=59849103451&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59849103451&origin=inward",2,"2021-01-18 10:38:46","Article","10.1089/neu.2007.0464","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/59849103451",26,1,81,95,63,5.25,63,1,12,NA,"naproxen"
