"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"N. Wang","MicroRNA-135a-5p Promotes the Functional Recovery of Spinal Cord Injury by Targeting SP1 and ROCK",2020,"Molecular Therapy - Nucleic Acids",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096472936&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096472936&origin=inward",160,"2021-01-18 11:25:53","Article","10.1016/j.omtn.2020.08.035","2162-2531","https://api.elsevier.com/content/abstract/scopus_id/85096472936",22,NA,1063,1077,0,0,0,1,1,NA,"phosphate"
"2",0,"L.X. Ye","Exogenous platelet-derived growth factor improves neurovascular unit recovery after spinal cord injury",2021,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward",161,"2021-01-18 11:25:53","Article","10.4103/1673-5374.295347","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85094600726",16,4,765,771,0,0,0,1,1,NA,"phosphate"
"3",0,"C.C. Liang","Effect of amniotic fluid stem cell transplantation on the recovery of bladder dysfunction in spinal cord-injured rats",2020,"Scientific Reports",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086772061&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086772061&origin=inward",162,"2021-01-18 11:25:53","Article","10.1038/s41598-020-67163-7","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85086772061",10,1,NA,NA,0,0,0,1,1,NA,"phosphate"
"4",0,"Y. Ma","Alternatively polarized macrophages regulate the growth and differentiation of ependymal stem cells through the SIRT2 pathway",2020,"Experimental Neurobiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086677119&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086677119&origin=inward",163,"2021-01-18 11:25:53","Article","10.5607/en19078","1226-2560","https://api.elsevier.com/content/abstract/scopus_id/85086677119",29,2,150,163,0,0,0,1,1,NA,"phosphate"
"5",0,"Y. Tanie","GRP78-Mediated Signaling Contributes to Axonal Growth Resulting in Motor Function Recovery in Spinal Cord-Injured Mice",2020,"Frontiers in Pharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086564840&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086564840&origin=inward",164,"2021-01-18 11:25:53","Article","10.3389/fphar.2020.00789","1663-9812","https://api.elsevier.com/content/abstract/scopus_id/85086564840",11,NA,NA,NA,0,0,0,1,1,NA,"phosphate"
"6",0,"H.L. Zhou","Intravenous administration of human amniotic mesenchymal stem cells improves outcomes in rats with acute traumatic spinal cord injury",2020,"NeuroReport",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086052702&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086052702&origin=inward",165,"2021-01-18 11:25:53","Article","10.1097/WNR.0000000000001473","0959-4965","https://api.elsevier.com/content/abstract/scopus_id/85086052702",31,10,730,736,0,0,0,1,1,NA,"phosphate"
"7",0,"M.S. Rao","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory",2020,"Frontiers in Behavioral Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082619067&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082619067&origin=inward",166,"2021-01-18 11:25:53","Article","10.3389/fnbeh.2020.00018","1662-5153","https://api.elsevier.com/content/abstract/scopus_id/85082619067",14,NA,NA,NA,0,0,0,1,1,NA,"phosphate"
"8",0,"J.H. Huang","Extracellular Vesicles Derived from Epidural Fat-Mesenchymal Stem Cells Attenuate NLRP3 Inflammasome Activation and Improve Functional Recovery After Spinal Cord Injury",2020,"Neurochemical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078639421&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078639421&origin=inward",167,"2021-01-18 11:25:53","Article","10.1007/s11064-019-02950-x","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/85078639421",45,4,760,771,0,0,0,1,1,NA,"phosphate"
"9",0,"B. Qi","Cyclic adenosine phosphate improves functional recovery after spinal cord injury via activating unfolded protein response",2019,"Pharmazie",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061864421&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061864421&origin=inward",168,"2021-01-18 11:25:53","Article","10.1691/ph.2019.8347","0031-7144","https://api.elsevier.com/content/abstract/scopus_id/85061864421",74,2,115,119,0,0,0,1,2,NA,"phosphate"
"10",0,"L. Liu","Effect of fingolimod on proliferation and migration of neural stem cells and astrocytes and its protective mechanism against spinal cord injury in mice",2018,"Journal of Jilin University Medicine Edition",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057753607&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057753607&origin=inward",169,"2021-01-18 11:25:53","Article","10.13481/j.1671-587x.20180619","1671-587X","https://api.elsevier.com/content/abstract/scopus_id/85057753607",44,6,1218,1222,0,0,0,1,3,NA,"phosphate"
