"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"J. He","Evoked potential detection of curative effect of bone mesenchymal stem cell-derived neuronal-like cells and controlled release neurotrophic factor transplantation on rhesuses spinal cord injury",2009,"Journal of Clinical Rehabilitative Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70349146218&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349146218&origin=inward",82,"2021-01-18 11:30:11","Article","10.3969/j.issn.1673-8225.2009.32.009","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/70349146218",13,32,6255,6258,0,0,0,1,12,NA,"polyethylene_glycol"
"2",1,"K. Zhang","Injectable, anti-inflammatory and conductive hydrogels based on graphene oxide and diacerein-terminated four-armed polyethylene glycol for spinal cord injury repair",2020,"Materials and Design",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090029442&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090029442&origin=inward",77,"2021-01-18 11:30:11","Article","10.1016/j.matdes.2020.109092","0264-1275","https://api.elsevier.com/content/abstract/scopus_id/85090029442",196,NA,NA,NA,1,1,1,1,1,NA,"polyethylene_glycol"
"3",1,"C. Huang","Localised delivery of quercetin by thermo-sensitive PLGA-PEG-PLGA hydrogels for the treatment of brachial plexus avulsion",2020,"Artificial Cells, Nanomedicine and Biotechnology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087427677&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087427677&origin=inward",78,"2021-01-18 11:30:11","Article","10.1080/21691401.2020.1770265","2169-1401","https://api.elsevier.com/content/abstract/scopus_id/85087427677",48,1,1010,1021,1,1,1,1,1,NA,"polyethylene_glycol"
"4",1,"S.I. Stoica","Initial researches on neuro-functional status and evolution in chronic ethanol consumers with recent traumatic spinal cord injury",2019,"Journal of medicine and life",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071282626&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071282626&origin=inward",79,"2021-01-18 11:30:11","Article","10.25122/jml-2019-0026","1844-3117","https://api.elsevier.com/content/abstract/scopus_id/85071282626",12,2,97,112,1,0.5,1,1,2,NA,"polyethylene_glycol"
"5",1,"A. Wang","Combination of applied electric field and polyethylene glycol effectively enhance functional recovery in acute spinal cord injury of rats",2016,"2016 Asia-Pacific International Symposium on Electromagnetic Compatibility, APEMC 2016",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84983611802&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983611802&origin=inward",80,"2021-01-18 11:30:11","Conference Paper","10.1109/APEMC.2016.7522949","","https://api.elsevier.com/content/abstract/scopus_id/84983611802",NA,NA,1075,1077,1,0.2,1,1,5,NA,"polyethylene_glycol"
"6",1,"I. Rad","Interaction of polyethylene glycol (PEG) with the membrane-binding domains following spinal cord injury (SCI): Introduction of a mechanism for SCI repair",2015,"Journal of Drug Targeting",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84919935721&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84919935721&origin=inward",81,"2021-01-18 11:30:11","Article","10.3109/1061186X.2014.956668","1061-186X","https://api.elsevier.com/content/abstract/scopus_id/84919935721",23,1,79,88,1,0.17,1,1,6,NA,"polyethylene_glycol"
"7",2,"M. Bonnet","Motor and sensitive recovery after injection of a physically cross-linked PNIPAAm-g-PEG hydrogel in rat hemisectioned spinal cord",2020,"Materials Science and Engineering C",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073960829&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073960829&origin=inward",74,"2021-01-18 11:30:11","Article","10.1016/j.msec.2019.110354","0928-4931","https://api.elsevier.com/content/abstract/scopus_id/85073960829",107,NA,NA,NA,2,2,2,1,1,NA,"polyethylene_glycol"
"8",2,"L. Álvarez-Mejía","Effect of pyrrole implants synthesized by different methods on spinal cord injuries of rats",2015,"Revista Mexicana de Ingenieria Biomedica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84921470697&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84921470697&origin=inward",75,"2021-01-18 11:30:11","Article","","0188-9532","https://api.elsevier.com/content/abstract/scopus_id/84921470697",36,1,7,21,2,0.33,2,1,6,NA,"polyethylene_glycol"
"9",2,"X.G. Liu","Role of combined transplantation of neuron-like cells and controlled-release neurotrophic factor in the structural repair and functional restoration of macaca mulatta posterior funiculus following spinal cord injury",2005,"Chinese Journal of Clinical Rehabilitation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=27644480406&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27644480406&origin=inward",76,"2021-01-18 11:30:11","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/27644480406",9,26,96,99,2,0.13,2,1,16,NA,"polyethylene_glycol"
"10",3,"S. Ren","Reconstruction of the spinal cord of spinal transected dogs with polyethylene glycol",2019,"Surgical Neurology International",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071932337&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071932337&origin=inward",71,"2021-01-18 11:30:11","Article","10.25259/SNI-73-2019","2152-7806","https://api.elsevier.com/content/abstract/scopus_id/85071932337",10,50,1,5,3,1.5,3,1,2,NA,"polyethylene_glycol"
"11",3,"X.J. Wang","Combinational protective therapy for spinal cord injury medicated by sialic acid-driven and polyethylene glycol based micelles",2019,"Biomaterials",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068433611&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068433611&origin=inward",72,"2021-01-18 11:30:11","Article","10.1016/j.biomaterials.2019.119326","0142-9612","https://api.elsevier.com/content/abstract/scopus_id/85068433611",217,NA,NA,NA,3,1.5,3,1,2,NA,"polyethylene_glycol"
"12",3,"A. Mohrman","Evaluation of in situ gelling chitosan-PEG copolymer for use in the spinal cord",2018,"Journal of Biomaterials Applications",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052598710&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052598710&origin=inward",73,"2021-01-18 11:30:11","Article","10.1177/0885328218792824","0885-3282","https://api.elsevier.com/content/abstract/scopus_id/85052598710",33,3,435,446,3,1,3,1,3,NA,"polyethylene_glycol"
"13",4,"W. Liu","Dextran-based biodegradable nanoparticles: An alternative and convenient strategy for treatment of traumatic spinal cord injury",2018,"International Journal of Nanomedicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052179392&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052179392&origin=inward",67,"2021-01-18 11:30:11","Article","10.2147/IJN.S171925","1176-9114","https://api.elsevier.com/content/abstract/scopus_id/85052179392",13,NA,4121,4132,4,1.33,4,1,3,NA,"polyethylene_glycol"
"14",4,"C.Y. Kim","Effect of Graphene Nanoribbons (TexasPEG) on locomotor function recovery in a rat model of lumbar spinal cord transection",2018,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051831657&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051831657&origin=inward",68,"2021-01-18 11:30:11","Article","10.4103/1673-5374.235301","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85051831657",13,8,1440,1446,4,1.33,4,1,3,NA,"polyethylene_glycol"
"15",4,"N. Patil","Safety and Efficacy of Rose Bengal Derivatives for Glial Scar Ablation in Chronic Spinal Cord Injury",2018,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049690787&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049690787&origin=inward",69,"2021-01-18 11:30:11","Article","10.1089/neu.2017.5398","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85049690787",35,15,1745,1754,4,1.33,4,1,3,NA,"polyethylene_glycol"
