"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"M. Fehlings","Novel innovations in cell and gene therapies for spinal cord injury",2020,"F1000Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084625584&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084625584&origin=inward",22,"2021-01-18 11:32:01","Review","10.12688/f1000research.21989.1","2046-1402","https://api.elsevier.com/content/abstract/scopus_id/85084625584",9,NA,NA,NA,0,0,0,1,1,NA,"potassium_chloride"
"2",0,"N. Bray","Unsilencing spared spinal neurons",2018,"Nature Reviews Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052069757&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052069757&origin=inward",23,"2021-01-18 11:32:01","Note","10.1038/s41583-018-0047-7","1471-003X","https://api.elsevier.com/content/abstract/scopus_id/85052069757",19,9,516,517,0,0,0,1,3,NA,"potassium_chloride"
"3",1,"Y. Chang","Intramuscular Injection of Adenoassociated Virus Encoding Human Neurotrophic Factor 3 and Exercise Intervention Contribute to Reduce Spasms after Spinal Cord Injury",2019,"Neural Plasticity",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063499707&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063499707&origin=inward",20,"2021-01-18 11:32:01","Article","10.1155/2019/3017678","2090-5904","https://api.elsevier.com/content/abstract/scopus_id/85063499707",2019,NA,NA,NA,1,0.5,1,1,2,NA,"potassium_chloride"
"4",1,"W. Gao","Effects of high frequency repetitive transcranial magnetic stimulation on KCC2 expression in rats with spasticity following spinal cord injury",2017,"Journal of Huazhong University of Science and Technology - Medical Science",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032005557&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032005557&origin=inward",21,"2021-01-18 11:32:01","Article","10.1007/s11596-017-1804-y","1672-0733","https://api.elsevier.com/content/abstract/scopus_id/85032005557",37,5,777,781,1,0.25,1,1,4,NA,"potassium_chloride"
"5",2,"B.L. Tang","The Expanding Therapeutic Potential of Neuronal KCC2",2020,"Cells",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096929356&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096929356&origin=inward",17,"2021-01-18 11:32:01","Article","10.3390/cells9010240","2073-4409","https://api.elsevier.com/content/abstract/scopus_id/85096929356",9,1,NA,NA,2,2,2,1,1,NA,"potassium_chloride"
"6",2,"H. Beverungen","Rehabilitation Decreases Spasticity by Restoring Chloride Homeostasis through the Brain-Derived Neurotrophic Factor-KCC2 Pathway after Spinal Cord Injury",2020,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081941623&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081941623&origin=inward",18,"2021-01-18 11:32:01","Article","10.1089/neu.2019.6526","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85081941623",37,6,846,859,2,2,2,1,1,NA,"potassium_chloride"
"7",2,"D. Romaus-Sanjurjo","Gamma-aminobutyric acid (GABA) promotes recovery from spinal cord injury in lampreys: role of GABA receptors and perspective on the translation to mammals",2019,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067117475&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067117475&origin=inward",19,"2021-01-18 11:32:01","Review","10.4103/1673-5374.257515","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85067117475",14,10,1695,1696,2,1,2,1,2,NA,"potassium_chloride"
"8",3,"J.W. Grau","Learning to promote recovery after spinal cord injury",2020,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084378723&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084378723&origin=inward",15,"2021-01-18 11:32:01","Review","10.1016/j.expneurol.2020.113334","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85084378723",330,NA,NA,NA,3,3,3,1,1,NA,"potassium_chloride"
"9",3,"M. Cully","Spinal cord injury: Ion transporter agonist improves recovery",2018,"Nature Reviews Drug Discovery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053080769&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053080769&origin=inward",16,"2021-01-18 11:32:01","Note","10.1038/nrd.2018.145","1474-1776","https://api.elsevier.com/content/abstract/scopus_id/85053080769",17,9,621,621,3,1,3,1,3,NA,"potassium_chloride"
"10",7,"I. Tavares","Human neural stem cell transplantation in spinal cord injury models: How far from clinical application?",2013,"Stem Cell Research and Therapy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879118468&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879118468&origin=inward",14,"2021-01-18 11:32:01","Review","10.1186/scrt210","1757-6512","https://api.elsevier.com/content/abstract/scopus_id/84879118468",4,3,NA,NA,7,0.88,7,1,8,NA,"potassium_chloride"
