"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"J. He","Propofol intervention affects spinal cord edema and hindlimb electrophysiology in a model of spinal cord injury",2016,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025082185&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025082185&origin=inward",15,"2021-01-15 16:51:30","Article","10.3969/j.issn.2095-4344.2016.05.006","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85025082185",20,5,640,645,0,0,0,1,5,NA,"propofol"
"2",0,"W. Li","Sufentanil combined with propofol anesthesia as an aid to umbilical cord blood mesenchymal stem cell transplantation for the treatment of spinal cord injury",2016,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85018637628&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018637628&origin=inward",16,"2021-01-15 16:51:30","Article","10.3969/j.issn.2095-4344.2016.45.008","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85018637628",20,45,6739,6745,0,0,0,1,5,NA,"propofol"
"3",0,"J. He","Propofol with bone marrow mesenchymal stem cell transplantation improves the hind limb function and electrophysiological changes in rats with spinal cord injury",2015,"Chinese Journal of Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84986628310&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84986628310&origin=inward",17,"2021-01-15 16:51:30","Article","10.3969/j.issn.2095-4344.2015.41.018","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/84986628310",19,41,6659,6664,0,0,0,1,6,NA,"propofol"
"4",0,"H.J. Grover","Using transcranial magnetic stimulation to evaluate the motor pathways after an intraoperative spinal cord injury and to predict the recovery of intraoperative transcranial electrical motor evoked potentials: A case report",2016,"Journal of Clinical Neurophysiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973367360&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973367360&origin=inward",18,"2021-01-15 16:51:30","Article","10.1097/WNP.0000000000000200","0736-0258","https://api.elsevier.com/content/abstract/scopus_id/84973367360",33,3,NA,NA,0,0,0,1,5,NA,"propofol"
"5",0,"J. Jeon","The effect of long-term oral dantrolene on the neuromuscular action of rocuronium",2014,"Korean Journal of Anesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84901741790&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901741790&origin=inward",19,"2021-01-15 16:51:30","Article","10.4097/kjae.2014.66.2.153","2005-6419","https://api.elsevier.com/content/abstract/scopus_id/84901741790",66,2,153,156,0,0,0,1,7,NA,"propofol"
"6",0,"J. Eck","Does intraoperative neurophysiological monitoring have predictive value for functional recovery following spinal cord injury? A case report",2013,"Journal of Clinical Monitoring and Computing",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84872681184&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872681184&origin=inward",20,"2021-01-15 16:51:30","Article","10.1007/s10877-012-9395-4","1387-1307","https://api.elsevier.com/content/abstract/scopus_id/84872681184",27,1,93,96,0,0,0,1,8,NA,"propofol"
"7",0,"D.J. Chang","Propofol-remifentanil and the ankle clonus test in scoliosis patients",2010,"Anaesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953553821&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953553821&origin=inward",21,"2021-01-15 16:51:30","Letter","10.1111/j.1365-2044.2010.06391.x","0003-2409","https://api.elsevier.com/content/abstract/scopus_id/77953553821",65,7,749,750,0,0,0,1,11,NA,"propofol"
"8",1,"F. Balducci","Neurogenic urinary retention in cats following severe cluster seizures",2017,"Journal of Feline Medicine and Surgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85011691173&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011691173&origin=inward",14,"2021-01-15 16:51:30","Article","10.1177/1098612X15602739","1098-612X","https://api.elsevier.com/content/abstract/scopus_id/85011691173",19,2,246,250,1,0.25,1,1,4,NA,"propofol"
"9",2,"Y. Hashimoto","Recovery from rocuronium by sugammadex does not affect motor evoked potentials",2011,"Japanese Journal of Anesthesiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80052056010&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052056010&origin=inward",13,"2021-01-15 16:51:30","Article","","0021-4892","https://api.elsevier.com/content/abstract/scopus_id/80052056010",60,8,968,971,2,0.2,2,1,10,NA,"propofol"
"10",4,"Y. Wang","Propofol injection combined with bone marrow mesenchymal stem cell transplantation better improves electrophysiological function in the hindlimb of rats with spinal cord injury than monotherapy",2015,"Neural Regeneration Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928776517&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928776517&origin=inward",11,"2021-01-15 16:51:30","Article","10.4103/1673-5374.155440","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84928776517",10,4,636,643,4,0.67,4,1,6,NA,"propofol"
"11",4,"R. Wadhwa","Pleural puncture with thoracic epidural: A rare complication?",2011,"Indian Journal of Anaesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863393333&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863393333&origin=inward",12,"2021-01-15 16:51:30","Article","10.4103/0019-5049.79898","0019-5049","https://api.elsevier.com/content/abstract/scopus_id/84863393333",55,2,163,166,4,0.4,4,1,10,NA,"propofol"
"12",6,"D. Bajrektarevic","Delayed application of the anesthetic propofol contrasts the neurotoxic effects of kainate on rat organotypic spinal slice cultures",2016,"NeuroToxicology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960079348&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960079348&origin=inward",10,"2021-01-15 16:51:30","Article","10.1016/j.neuro.2016.03.001","0161-813X","https://api.elsevier.com/content/abstract/scopus_id/84960079348",54,NA,1,10,6,1.2,6,1,5,NA,"propofol"
"13",9,"J. Kaur","Neuroprotective effect of propofol against excitotoxic injury to locomotor networks of the rat spinal cord in vitro",2016,"European Journal of Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84982206775&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982206775&origin=inward",9,"2021-01-15 16:51:30","Article","10.1111/ejn.13353","0953-816X","https://api.elsevier.com/content/abstract/scopus_id/84982206775",44,7,2418,2430,9,1.8,9,1,5,NA,"propofol"
"14",12,"Y. Yamamoto","Effects of xenon on ischemic spinal cord injury in rabbits: A comparison with propofol",2010,"Acta Anaesthesiologica Scandinavica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=76349096005&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=76349096005&origin=inward",8,"2021-01-15 16:51:30","Article","10.1111/j.1399-6576.2009.02111.x","0001-5172","https://api.elsevier.com/content/abstract/scopus_id/76349096005",54,3,337,342,12,1.09,12,1,11,NA,"propofol"
"15",15,"H. Beloeil","Bilateral lower limb hypoesthesia after radical prostactectomy in the hyperlordotic position under general anesthesia",2003,"Canadian Journal of Anesthesia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0142149224&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0142149224&origin=inward",7,"2021-01-15 16:51:30","Article","10.1007/BF03018706","0832-610X","https://api.elsevier.com/content/abstract/scopus_id/0142149224",50,7,653,656,15,0.83,15,1,18,NA,"propofol"
"16",16,"C.E. Morris","Left-shifted Nav channels in injured bilayer: Primary targets for neuroprotective Nav antagonists?",2012,"Frontiers in Pharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864842078&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864842078&origin=inward",6,"2021-01-15 16:51:30","Article","10.3389/fphar.2012.00019","1663-9812","https://api.elsevier.com/content/abstract/scopus_id/84864842078",3,NA,NA,NA,16,1.78,16,1,9,NA,"propofol"
"17",19,"J.A. Aldrete","Myelopathy with syringomyelia following thoracic epidural anaesthesia",2004,"Anaesthesia and Intensive Care",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1142287486&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1142287486&origin=inward",5,"2021-01-15 16:51:30","Article","10.1177/0310057x0403200116","0310-057X","https://api.elsevier.com/content/abstract/scopus_id/1142287486",32,1,100,103,19,1.12,19,1,17,NA,"propofol"
