"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",3,"K. Gao","Therapeutic Potential of Wnt-3a in Neurological Recovery after Spinal Cord Injury",2019,"European Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069684267&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069684267&origin=inward",12,"2021-01-15 13:40:20","Review","10.1159/000502004","0014-3022","https://api.elsevier.com/content/abstract/scopus_id/85069684267",81,3,197,204,3,1.5,3,1,2,NA,"simvastatin"
"2",4,"C.L. Liang","Simvastatin and simvastatin- Ezetimibe improve the neurological function and attenuate the endothelial inflammatory response after spinal cord injury in rat",2019,"Annals of Clinical and Laboratory Science",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062376945&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062376945&origin=inward",11,"2021-01-15 13:40:20","Article","","0091-7370","https://api.elsevier.com/content/abstract/scopus_id/85062376945",49,1,105,111,4,2,4,1,2,NA,"simvastatin"
"3",15,"E. Holmberg","Statins decrease chondroitin sulfate proteoglycan expression and acute astrocyte activation in central nervous system injury",2008,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=53949101802&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53949101802&origin=inward",10,"2021-01-15 13:40:20","Article","10.1016/j.expneurol.2008.07.020","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/53949101802",214,1,78,86,15,1.15,15,1,13,NA,"simvastatin"
"4",20,"A. Shunmugavel","Simvastatin protects bladder and renal functions following spinal cord injury in rats",2010,"Journal of Inflammation",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950920915&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950920915&origin=inward",9,"2021-01-15 13:40:20","Article","10.1186/1476-9255-7-17","1476-9255","https://api.elsevier.com/content/abstract/scopus_id/77950920915",7,NA,NA,NA,20,1.82,20,1,11,NA,"simvastatin"
"5",24,"K. Zhou","The temporal pattern, flux, and function of autophagy in spinal cord injury",2017,"International Journal of Molecular Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85013748050&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85013748050&origin=inward",8,"2021-01-15 13:40:20","Review","10.3390/ijms18020466","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85013748050",18,2,NA,NA,24,6,24,1,4,NA,"simvastatin"
"6",32,"W. Tian","Intrathecal epigallocatechin gallate treatment improves functional recovery after spinal cord injury by upregulating the expression of BDNF and GDNF",2013,"Neurochemical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876196761&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876196761&origin=inward",7,"2021-01-15 13:40:20","Article","10.1007/s11064-013-0976-5","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/84876196761",38,4,772,779,32,4,32,1,8,NA,"simvastatin"
"7",37,"X. Han","Simvastatin mobilizes bone marrow stromal cells migrating to injured areas and promotes functional recovery after spinal cord injury in the rat",2012,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863094387&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863094387&origin=inward",6,"2021-01-15 13:40:20","Article","10.1016/j.neulet.2012.05.071","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/84863094387",521,2,136,141,37,4.11,37,1,9,NA,"simvastatin"
"8",38,"J.H.T. Lee","Lack of neuroprotective effects of simvastatin and minocycline in a model of cervical spinal cord injury",2010,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955664047&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955664047&origin=inward",5,"2021-01-15 13:40:20","Article","10.1016/j.expneurol.2010.06.018","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/77955664047",225,1,219,230,38,3.45,38,1,11,NA,"simvastatin"
"9",51,"K. Gao","Simvastatin inhibits neural cell apoptosis and promotes locomotor recovery via activation of Wnt/β-catenin signaling pathway after spinal cord injury",2016,"Journal of Neurochemistry",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84976510552&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976510552&origin=inward",4,"2021-01-15 13:40:20","Article","10.1111/jnc.13382","0022-3042","https://api.elsevier.com/content/abstract/scopus_id/84976510552",NA,NA,139,149,51,10.2,51,1,5,NA,"simvastatin"
"10",61,"M. Oudega","Molecular and cellular mechanisms underlying the role of blood vessels in spinal cord injury and repair",2012,"Cell and Tissue Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84862770601&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862770601&origin=inward",2,"2021-01-15 13:40:20","Review","10.1007/s00441-012-1440-6","0302-766X","https://api.elsevier.com/content/abstract/scopus_id/84862770601",349,1,269,288,61,6.78,61,1,9,NA,"simvastatin"
"11",61,"X. Han","Simvastatin treatment improves functional recovery after experimental spinal cord injury by upregulating the expression of BDNF and GDNF",2011,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650522671&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650522671&origin=inward",3,"2021-01-15 13:40:20","Article","10.1016/j.neulet.2010.09.007","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/78650522671",487,3,255,259,61,6.1,61,1,10,NA,"simvastatin"
"12",104,"J. Chen","Neurorestorative therapy for stroke",2014,"Frontiers in Human Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903475709&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84903475709&origin=inward",1,"2021-01-15 13:40:20","Review","10.3389/fnhum.2014.00382","1662-5161","https://api.elsevier.com/content/abstract/scopus_id/84903475709",8,NA,NA,NA,104,14.86,104,1,7,NA,"simvastatin"
