"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",10,"M. Lanza","Sodium Butyrate Exerts Neuroprotective Effects in Spinal Cord Injury",2019,"Molecular Neurobiology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053696963&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053696963&origin=inward",196,"2021-01-15 10:40:23","Article","10.1007/s12035-018-1347-7","0893-7648","https://api.elsevier.com/content/abstract/scopus_id/85053696963",56,6,3937,3947,10,5,10,1,2,NA,"sodium"
"2",10,"D. Muniswami","Motor recovery after transplantation of bone marrow mesenchymal stem cells in rat models of spinal cord injury",2018,"Annals of Neurosciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046022792&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046022792&origin=inward",197,"2021-01-15 10:40:23","Article","10.1159/000487069","0972-7531","https://api.elsevier.com/content/abstract/scopus_id/85046022792",25,3,126,140,10,3.33,10,1,3,NA,"sodium"
"3",10,"X.B. Chen","Protective role of selenium-enriched supplement on spinal cord injury through the up-regulation of CNTF and CNTF-Rα",2015,"European Review for Medical and Pharmacological Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957955611&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84957955611&origin=inward",198,"2021-01-15 10:40:23","Article","","1128-3602","https://api.elsevier.com/content/abstract/scopus_id/84957955611",19,22,4434,4442,10,1.67,10,1,6,NA,"sodium"
"4",10,"M. Yan","EGb761 improves histological and functional recovery in rats with acute spinal cord contusion injury",2016,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944704238&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944704238&origin=inward",199,"2021-01-15 10:40:23","Article","10.1038/sc.2015.156","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84944704238",54,4,259,265,10,2,10,1,5,NA,"sodium"
"5",10,"M. Rank","Electrophysiological characterization of spontaneous recovery in deep dorsal horn interneurons after incomplete spinal cord injury",2015,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84938572109&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84938572109&origin=inward",200,"2021-01-15 10:40:23","Article","10.1016/j.expneurol.2015.07.002","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84938572109",271,NA,468,478,10,1.67,10,1,6,NA,"sodium"
"6",11,"M.M. Ahmed","Pathogenesis of spinal cord injury induced edema and neuropathic pain: Expression of multiple isoforms of WNK1",2014,"Annals of Neurosciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907333005&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907333005&origin=inward",190,"2021-01-15 10:40:23","Article","10.5214/ans.0972.7531.210305","0972-7531","https://api.elsevier.com/content/abstract/scopus_id/84907333005",21,3,97,103,11,1.57,11,1,7,NA,"sodium"
"7",11,"I. Rosado","Effects of methylprednisolone, dantrolene, and their combination on experimental spinal cord injury",2014,"International Journal of Clinical and Experimental Pathology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906960268&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906960268&origin=inward",191,"2021-01-15 10:40:23","Article","","1936-2625","https://api.elsevier.com/content/abstract/scopus_id/84906960268",7,8,4617,4626,11,1.57,11,1,7,NA,"sodium"
"8",11,"S. Nakashima","Suppression of GDNF production by MPSS treatment following spinal cord injury in the rat",2004,"NeuroReport",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=8444248263&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8444248263&origin=inward",192,"2021-01-15 10:40:23","Article","10.1097/00001756-200410250-00007","0959-4965","https://api.elsevier.com/content/abstract/scopus_id/8444248263",15,15,2337,2340,11,0.65,11,1,17,NA,"sodium"
"9",11,"D. Wiseman","Magnesium efficacy in a rat spinal cord injury model: Laboratory investigation",2009,"Journal of Neurosurgery: Spine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=66349102787&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=66349102787&origin=inward",193,"2021-01-15 10:40:23","Article","10.3171/spi.2009.10.4.308","1547-5654","https://api.elsevier.com/content/abstract/scopus_id/66349102787",10,4,308,314,11,0.92,11,1,12,NA,"sodium"
"10",11,"N.D. Jeffery","Spinal cord injury in small animals 2. Current and future options for therapy",1999,"Veterinary Record",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0033554284&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033554284&origin=inward",194,"2021-01-15 10:40:23","Article","10.1136/vr.145.7.183","0042-4900","https://api.elsevier.com/content/abstract/scopus_id/0033554284",145,7,183,190,11,0.5,11,1,22,NA,"sodium"
