"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"C. Daneri-Becerra","Proof that the high molecular weight immunophilin FKBP52 mediates the in vivo neuroregenerative effect of the macrolide FK506",2020,"Biochemical Pharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089938289&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089938289&origin=inward",56,"2021-01-15 10:35:44","Article","10.1016/j.bcp.2020.114204","0006-2952","https://api.elsevier.com/content/abstract/scopus_id/85089938289",182,NA,NA,NA,0,0,0,1,1,NA,"tacrolimus"
"2",1,"H.J. Park","Immunophilin dysfunction and neuropathology",2011,"Current Medicinal Chemistry",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=82255167637&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82255167637&origin=inward",54,"2021-01-15 10:35:44","Article","10.2174/092986711798194360","0929-8673","https://api.elsevier.com/content/abstract/scopus_id/82255167637",18,35,5398,5407,1,0.1,1,1,10,NA,"tacrolimus"
"3",1,"Q.L. Wu","Tacrolimus promotes repair and regeneration of injured spinal cord following neural stem cells transplantation in rats",2010,"Journal of Clinical Rehabilitative Tissue Engineering Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954982268&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954982268&origin=inward",55,"2021-01-15 10:35:44","Article","10.3969/j.issn.1673-8225.2010.23.013","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/77954982268",14,23,4235,4238,1,0.09,1,1,11,NA,"tacrolimus"
"4",2,"B. Wu","Control of demyelination for recovery of spinal cord injury",2008,"Chinese Journal of Traumatology - English Edition",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=55049091818&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=55049091818&origin=inward",53,"2021-01-15 10:35:44","Review","10.1016/S1008-1275(08)60062-0","1008-1275","https://api.elsevier.com/content/abstract/scopus_id/55049091818",11,5,306,310,2,0.15,2,1,13,NA,"tacrolimus"
"5",3,"J.P. Antonios","Immunosuppressive mechanisms for stem cell transplant survival in spinal cord injury",2019,"Neurosurgical Focus",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062597768&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062597768&origin=inward",50,"2021-01-15 10:35:44","Article","10.3171/2018.12.FOCUS18589","1092-0684","https://api.elsevier.com/content/abstract/scopus_id/85062597768",46,3,1,8,3,1.5,3,1,2,NA,"tacrolimus"
"6",3,"F. Pan","Protective effect of tacrolimus postconditioning on oxidative stress injury provoked by spinal cord ischemia-reperfusion in rats",2013,"National Medical Journal of China",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891340367&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891340367&origin=inward",51,"2021-01-15 10:35:44","Article","10.3760/cma.j.issn.0376-2491.2013.47.020","0376-2491","https://api.elsevier.com/content/abstract/scopus_id/84891340367",93,47,3796,3800,3,0.38,3,1,8,NA,"tacrolimus"
"7",3,"B. Kwon","Spinal cord injury regenerative strategies and obstacles",2004,"Current Opinion in Orthopaedics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2442562721&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2442562721&origin=inward",52,"2021-01-15 10:35:44","Review","10.1097/01.bco.0000123488.23763.a7","1041-9918","https://api.elsevier.com/content/abstract/scopus_id/2442562721",15,3,196,201,3,0.18,3,1,17,NA,"tacrolimus"
"8",4,"J. Cai","Analysis of FK506-mediated functional recovery and neuroprotection in a rat model of spinal cord injury indicates that EGF is modulated in astrocytes",2018,"Experimental and Therapeutic Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049130599&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049130599&origin=inward",47,"2021-01-15 10:35:44","Article","10.3892/etm.2018.6283","1792-0981","https://api.elsevier.com/content/abstract/scopus_id/85049130599",16,2,501,510,4,1.33,4,1,3,NA,"tacrolimus"
"9",4,"P. De Mesquita Coutinho","Effects of tacrolimus and erythropoietin in experimental spinal cord lesion in rats: Functional and histological evaluation",2016,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944698866&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944698866&origin=inward",48,"2021-01-15 10:35:44","Article","10.1038/sc.2015.172","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84944698866",54,6,439,444,4,0.8,4,1,5,NA,"tacrolimus"
"10",4,"D.c. Lü","An experimental study of the neuroprotective effect of FK506 on acute spinal cord injury in dogs",2005,"Zhonghua wai ke za zhi [Chinese journal of surgery]",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34548082244&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548082244&origin=inward",49,"2021-01-15 10:35:44","Article","","0529-5815","https://api.elsevier.com/content/abstract/scopus_id/34548082244",43,16,1088,1090,4,0.25,4,1,16,NA,"tacrolimus"
