"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"N. Weidner","Perspectives for regenerative strategies following spinal cord injury",2002,"Aktuelle Neurologie",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036080232&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036080232&origin=inward",17,"2021-01-14 20:02:42","Review","10.1055/s-2002-32032","0302-4350","https://api.elsevier.com/content/abstract/scopus_id/0036080232",29,5,223,228,0,0,0,1,19,NA,"tetracycline"
"2",1,"L. Sencar","Effects of combined treatment of minocycline and methylprednisolone on the expression of tumor necrosis factor alpha and interleukine-6 in experimental spinal cord injury: a light and electron microscopic study",2020,"Ultrastructural Pathology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087179756&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087179756&origin=inward",15,"2021-01-14 20:02:42","Article","10.1080/01913123.2020.1771493","0191-3123","https://api.elsevier.com/content/abstract/scopus_id/85087179756",44,3,283,299,1,1,1,1,1,NA,"tetracycline"
"3",1,"P. Minaire","Histomorphometric study of acute osteoporosis in paraplegic patients",1982,"Paraplegia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020320691&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020320691&origin=inward",16,"2021-01-14 20:02:42","Article","10.1038/sc.1982.52","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0020320691",20,5,281,281,1,0.03,1,1,39,NA,"tetracycline"
"4",3,"S. Jeannin","Actinomycosis: An unusual cause of spinal cord compression. Case report and review of the literature",2008,"Revue Neurologique",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=58149114763&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149114763&origin=inward",14,"2021-01-14 20:02:42","Article","10.1016/j.neurol.2007.12.009","0035-3787","https://api.elsevier.com/content/abstract/scopus_id/58149114763",164,8,733,738,3,0.23,3,1,13,NA,"tetracycline"
"5",6,"Q. Han","Descending motor circuitry required for NT-3 mediated locomotor recovery after spinal cord injury in mice",2019,"Nature Communications",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076913506&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076913506&origin=inward",13,"2021-01-14 20:02:42","Article","10.1038/s41467-019-13854-3","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85076913506",10,1,NA,NA,6,3,6,1,2,NA,"tetracycline"
"6",27,"K. Saganová","Limited minocycline neuroprotection after balloon-compression spinal cord injury in the rat",2008,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=40849126421&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=40849126421&origin=inward",12,"2021-01-14 20:02:42","Article","10.1016/j.neulet.2008.01.041","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/40849126421",433,3,246,249,27,2.08,27,1,13,NA,"tetracycline"
"7",33,"D.C. Cho","The effect of minocycline on motor neuron recovery and neuropathic pain in a rat model of spinal cord injury",2011,"Journal of Korean Neurosurgical Society",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955425304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955425304&origin=inward",11,"2021-01-14 20:02:42","Article","10.3340/jkns.2011.49.2.83","2005-3711","https://api.elsevier.com/content/abstract/scopus_id/79955425304",49,2,83,91,33,3.3,33,1,10,NA,"tetracycline"
"8",37,"A. Lakatos","Transplant mediated repair of the central nervous system: An imminent solution?",2002,"Current Opinion in Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036907505&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036907505&origin=inward",10,"2021-01-14 20:02:42","Review","10.1097/00019052-200212000-00007","1350-7540","https://api.elsevier.com/content/abstract/scopus_id/0036907505",15,6,701,705,37,1.95,37,1,19,NA,"tetracycline"
"9",38,"J.H.T. Lee","Lack of neuroprotective effects of simvastatin and minocycline in a model of cervical spinal cord injury",2010,"Experimental Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955664047&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955664047&origin=inward",9,"2021-01-14 20:02:42","Article","10.1016/j.expneurol.2010.06.018","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/77955664047",225,1,219,230,38,3.45,38,1,11,NA,"tetracycline"
"10",41,"S. Liu","Regulated viral BDNF delivery in combination with Schwann cells promotes axonal regeneration through capillary alginate hydrogels after spinal cord injury",2017,"Acta Biomaterialia",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025141362&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025141362&origin=inward",7,"2021-01-14 20:02:42","Article","10.1016/j.actbio.2017.07.024","1742-7061","https://api.elsevier.com/content/abstract/scopus_id/85025141362",60,NA,167,180,41,10.25,41,1,4,NA,"tetracycline"
