"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"J. Khieukhajee","The Prevalence and Predictive Factors of Painful Tonic Spasm in Patients with Neuromyelitis Optica Spectrum Disorder (NMOSD)",2020,"Journal of the Medical Association of Thailand",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward",13,"2021-01-12 16:21:20","Article","10.35755/jmedassocthai.2020.12.11578","0125-2208","https://api.elsevier.com/content/abstract/scopus_id/85097620304",103,12,1354,1361,0,0,0,1,1,NA,"tramadol"
"2",0,"M. Nerone","Type III disc herniation in a dog",2018,"Acta Scientiae Veterinariae",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077607581&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077607581&origin=inward",14,"2021-01-12 16:21:20","Article","","1678-0345","https://api.elsevier.com/content/abstract/scopus_id/85077607581",46,NA,NA,NA,0,0,0,1,3,NA,"tramadol"
"3",0,"C. Parramon Teixido","Altered mental status associated with Ertapenem",2017,"European Journal of Clinical Pharmacy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019037093&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019037093&origin=inward",15,"2021-01-12 16:21:20","Article","","2385-409X","https://api.elsevier.com/content/abstract/scopus_id/85019037093",19,1,63,65,0,0,0,1,4,NA,"tramadol"
"4",0,"M. Fujii","Successful treatment of traumatic spinal epidural haematoma with fluoroscopically-guided percutaneous drainage: A report of two cases",2016,"Anaesthesia and Intensive Care",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85009765355&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85009765355&origin=inward",16,"2021-01-12 16:21:20","Article","10.1177/0310057x1604400611","0310-057X","https://api.elsevier.com/content/abstract/scopus_id/85009765355",44,6,777,780,0,0,0,1,5,NA,"tramadol"
"5",1,"V. Albernaz","Traumatic spinal cord injury with schiff-sherrington posture and spontaneous resolution in a dog: MRI evaluation",2016,"Acta Veterinaria Brasilica",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84975815194&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975815194&origin=inward",12,"2021-01-12 16:21:20","Article","10.21708/avb.2016.10.2.5736","1981-5484","https://api.elsevier.com/content/abstract/scopus_id/84975815194",10,2,177,181,1,0.2,1,1,5,NA,"tramadol"
"6",2,"R.H.d.F. Chaves","Influence of tramadol on functional recovery of acute spinal cord injury in rats",2018,"Acta Cirurgica Brasileira",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059795304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059795304&origin=inward",11,"2021-01-12 16:21:20","Article","10.1590/s0102-865020180120000006","0102-8650","https://api.elsevier.com/content/abstract/scopus_id/85059795304",33,12,1087,1094,2,0.67,2,1,3,NA,"tramadol"
"7",8,"K. Potter-Baker","Reliability of TMS metrics in patients with chronic incomplete spinal cord injury",2016,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward",10,"2021-01-12 16:21:20","Article","10.1038/sc.2016.47","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84962090359",54,11,980,990,8,1.6,8,1,5,NA,"tramadol"
"8",9,"J. Du","Calcification of the intervertebral disc and posterior longitudinal ligament in children",2012,"Journal of Spinal Disorders and Techniques",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856701639&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856701639&origin=inward",9,"2021-01-12 16:21:20","Article","10.1097/BSD.0b013e31820bb883","1536-0652","https://api.elsevier.com/content/abstract/scopus_id/84856701639",25,1,59,63,9,1,9,1,9,NA,"tramadol"
"9",10,"I. Stetkarova","Segmental abdominal wall paresis caused by lateral low thoracic disc herniation",2007,"Spine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=37349023965&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=37349023965&origin=inward",8,"2021-01-12 16:21:20","Article","10.1097/BRS.0b013e3181573ce5","0362-2436","https://api.elsevier.com/content/abstract/scopus_id/37349023965",32,22,NA,NA,10,0.71,10,1,14,NA,"tramadol"
"10",13,"R.B. Song","Von Frey anesthesiometry to assess sensory impairment after acute spinal cord injury caused by thoracolumbar intervertebral disc extrusion in dogs",2016,"Veterinary Journal",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward",7,"2021-01-12 16:21:20","Article","10.1016/j.tvjl.2015.07.028","1090-0233","https://api.elsevier.com/content/abstract/scopus_id/84959150865",209,NA,144,149,13,2.6,13,1,5,NA,"tramadol"
