"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"D. Wang","Valproic Acid Labeled Chitosan Nanoparticles Promote the Proliferation and Differentiation of Neural Stem Cells After Spinal Cord Injury",2020,"Neurotoxicity Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096922703&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096922703&origin=inward",22,"2021-01-12 12:06:40","Article","10.1007/s12640-020-00304-y","1029-8428","https://api.elsevier.com/content/abstract/scopus_id/85096922703",NA,NA,NA,NA,0,0,0,1,1,NA,"valproic_acid"
"2",0,"S. Hendrix","HDAC8 inhibition reduces lesional iba-1+ cell infiltration after spinal cord injury without effects on functional recovery",2020,"International Journal of Molecular Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087667182&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087667182&origin=inward",23,"2021-01-12 12:06:40","Article","10.3390/ijms21124539","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85087667182",21,12,1,15,0,0,0,1,1,NA,"valproic_acid"
"3",0,"S.R. D’Mello","Histone deacetylase-3: Friend and foe of the brain",2020,"Experimental Biology and Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086041803&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086041803&origin=inward",24,"2021-01-12 12:06:40","Review","10.1177/1535370220928278","1535-3702","https://api.elsevier.com/content/abstract/scopus_id/85086041803",245,13,1130,1141,0,0,0,1,1,NA,"valproic_acid"
"4",0,"K.P. Reis","VPA/PLGA microfibers produced by coaxial electrospinning for the treatment of central nervous system injury",2020,"Brazilian Journal of Medical and Biological Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083291567&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083291567&origin=inward",25,"2021-01-12 12:06:40","Article","10.1590/1414-431x20208993","0100-879X","https://api.elsevier.com/content/abstract/scopus_id/85083291567",53,4,NA,NA,0,0,0,1,1,NA,"valproic_acid"
"5",0,"X. Li","The protective effects of valproic acid on acute spinal cord injury in rats",2011,"Chinese Journal of Rehabilitation Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955839463&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955839463&origin=inward",26,"2021-01-12 12:06:40","Article","10.3969/j.issn.1001-1242.2011.04.011","1001-1242","https://api.elsevier.com/content/abstract/scopus_id/79955839463",26,4,347,350,0,0,0,1,10,NA,"valproic_acid"
"6",0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",27,"2021-01-12 12:06:40","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0,0,1,24,NA,"valproic_acid"
"7",3,"D. Wang","Valproic acid-labeled chitosan nanoparticles promote recovery of neuronal injury after spinal cord injury",2020,"Aging",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086090556&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086090556&origin=inward",19,"2021-01-12 12:06:40","Article","10.18632/aging.103125","1945-4589","https://api.elsevier.com/content/abstract/scopus_id/85086090556",12,10,8953,8967,3,3,3,1,1,NA,"valproic_acid"
"8",3,"F.M. Warner","The Effect of Non-Gabapentinoid Anticonvulsants on Sensorimotor Recovery After Human Spinal Cord Injury",2019,"CNS Drugs",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064427858&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064427858&origin=inward",20,"2021-01-12 12:06:40","Article","10.1007/s40263-019-00622-6","1172-7047","https://api.elsevier.com/content/abstract/scopus_id/85064427858",33,5,503,511,3,1.5,3,1,2,NA,"valproic_acid"
"9",3,"Q.J. Kong","Neuroprotective Effects of Valproic Acid in a Rat Model of Cauda Equina Injury",2017,"World Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029634773&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029634773&origin=inward",21,"2021-01-12 12:06:40","Article","10.1016/j.wneu.2017.08.150","1878-8750","https://api.elsevier.com/content/abstract/scopus_id/85029634773",108,NA,128,136,3,0.75,3,1,4,NA,"valproic_acid"
"10",8,"T. Rao","Effects of valproic acid on axonal regeneration and recovery of motor function after peripheral nerve injury in the rat",2014,"Archives of Bone and Joint Surgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84964523001&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84964523001&origin=inward",18,"2021-01-12 12:06:40","Article","","2345-4644","https://api.elsevier.com/content/abstract/scopus_id/84964523001",2,1,17,24,8,1.14,8,1,7,NA,"valproic_acid"
"11",10,"S. Pandamooz","Epidermal neural crest stem cell-derived glia enhance neurotrophic elements in an ex vivo model of spinal cord injury",2018,"Journal of Cellular Biochemistry",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040618027&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040618027&origin=inward",17,"2021-01-12 12:06:40","Article","10.1002/jcb.26520","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85040618027",119,4,3486,3496,10,3.33,10,1,3,NA,"valproic_acid"
"12",13,"M. Darvishi","Decreased GFAP Expression and Improved Functional Recovery in Contused Spinal Cord of Rats Following Valproic Acid Therapy",2014,"Neurochemical Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84912086361&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84912086361&origin=inward",16,"2021-01-12 12:06:40","Article","10.1007/s11064-014-1429-5","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/84912086361",39,12,2319,2333,13,1.86,13,1,7,NA,"valproic_acid"
"13",15,"F. Wu","Enhanced rat sciatic nerve regeneration through silicon tubes implanted with valproic acid",2008,"Journal of Reconstructive Microsurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=47149116504&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=47149116504&origin=inward",15,"2021-01-12 12:06:40","Article","10.1055/s-2008-1078696","0743-684X","https://api.elsevier.com/content/abstract/scopus_id/47149116504",24,4,267,276,15,1.15,15,1,13,NA,"valproic_acid"
"14",16,"T. Ogawa","Valproic acid promotes neural regeneration of olfactory epithelium in adult mice after methimazole-induced damage",2014,"American Journal of Rhinology and Allergy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84897134676&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897134676&origin=inward",14,"2021-01-12 12:06:40","Article","10.2500/ajra.2014.28.4027","1945-8924","https://api.elsevier.com/content/abstract/scopus_id/84897134676",28,2,NA,NA,16,2.29,16,1,7,NA,"valproic_acid"
