"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"H. Yildiran","New approach to peripheral nerve injury: nutritional therapy",2020,"Nutritional Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090859593&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090859593&origin=inward",8,"2021-01-12 11:46:34","Review","10.1080/1028415X.2018.1554322","1028-415X","https://api.elsevier.com/content/abstract/scopus_id/85090859593",23,10,744,755,0,0,0,1,1,NA,"vitamin_b"
"2",0,"N. Hitchman","Radial palsy in an individual with high-level chronic spinal cord injury",2020,"Spinal Cord Series and Cases",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087018053&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087018053&origin=inward",9,"2021-01-12 11:46:34","Article","10.1038/s41394-020-0304-7","2058-6124","https://api.elsevier.com/content/abstract/scopus_id/85087018053",6,1,NA,NA,0,0,0,1,1,NA,"vitamin_b"
"3",0,"S. Krisadelfa","Medical Nutrition Therapy for a Critically Ill Patient with Spinal Cord Injury: A Case Report",2019,"International Journal of Nutrition, Pharmacology, Neurological Diseases",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074837299&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074837299&origin=inward",10,"2021-01-12 11:46:34","Article","10.4103/ijnpnd.ijnpnd_13_19","2231-0738","https://api.elsevier.com/content/abstract/scopus_id/85074837299",9,3,111,115,0,0,0,1,2,NA,"vitamin_b"
"4",1,"D. Wang","Effects of mecobalamin on Bax and Bcl-2 in neurons after peripheral nerve injury",2015,"Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84979800899&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84979800899&origin=inward",7,"2021-01-12 11:46:34","Article","","1001-9391","https://api.elsevier.com/content/abstract/scopus_id/84979800899",33,11,841,843,1,0.17,1,1,6,NA,"vitamin_b"
"5",3,"R. Schwendimann","Metabolic and Toxic Myelopathies",2018,"CONTINUUM Lifelong Learning in Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045009641&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045009641&origin=inward",6,"2021-01-12 11:46:34","Review","10.1212/CON.0000000000000596","1080-2371","https://api.elsevier.com/content/abstract/scopus_id/85045009641",24,2,427,440,3,1,3,1,3,NA,"vitamin_b"
"6",5,"E. Ewan","Intrathecal Acetyl-L-Carnitine Protects Tissue and Improves Function after a Mild Contusive Spinal Cord Injury in Rats",2016,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957656888&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84957656888&origin=inward",5,"2021-01-12 11:46:34","Article","10.1089/neu.2015.4030","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84957656888",33,3,269,277,5,1,5,1,5,NA,"vitamin_b"
"7",15,"L. Concannon","Radiating upper limb pain in the contact sport athlete: An update on transient quadriparesis and stingers",2012,"Current Sports Medicine Reports",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84858374647&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858374647&origin=inward",4,"2021-01-12 11:46:34","Review","10.1249/JSR.0b013e318240dc3f","1537-890X","https://api.elsevier.com/content/abstract/scopus_id/84858374647",11,1,28,34,15,1.67,15,1,9,NA,"vitamin_b"
"8",20,"S. Torres","Early metabolic reactivation versus antioxidant therapy after a traumatic spinal cord injury in adult rats: Original Article",2010,"Neuropathology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=74949085001&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=74949085001&origin=inward",3,"2021-01-12 11:46:34","Article","10.1111/j.1440-1789.2009.01037.x","0919-6544","https://api.elsevier.com/content/abstract/scopus_id/74949085001",30,1,36,43,20,1.82,20,1,11,NA,"vitamin_b"
"9",32,"M. Naim","Folic acid enhances early functional recovery in a piglet model of pediatric head injury",2011,"Developmental Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951789651&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951789651&origin=inward",2,"2021-01-12 11:46:34","Article","10.1159/000322448","0378-5866","https://api.elsevier.com/content/abstract/scopus_id/79951789651",32,5,466,479,32,3.2,32,1,10,NA,"vitamin_b"
"10",72,"S. Scafidi","Neuroprotection by acetyl-L-carnitine after traumatic injury to the immature rat brain",2011,"Developmental Neuroscience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951775623&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951775623&origin=inward",1,"2021-01-12 11:46:34","Article","10.1159/000323178","0378-5866","https://api.elsevier.com/content/abstract/scopus_id/79951775623",32,5,480,487,72,7.2,72,1,10,NA,"vitamin_b"
