"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Z. Yang","Effects of vitamin E combined with monosialoganglioside on the recovery of motor function after spinal cord injury in rats",2010,"Chinese Journal of Rehabilitation Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954434541&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954434541&origin=inward",19,"2021-01-12 11:42:57","Article","10.3969/j.issn.1001-1242.2010.06.010","1001-1242","https://api.elsevier.com/content/abstract/scopus_id/77954434541",25,6,536,539,0,0,0,1,11,NA,"vitamin_e"
"2",1,"M. Hosseini","Effect of vitamins C and e on recovery of motor function after spinal cord injury: Systematic review and meta-analysis of animal studies",2020,"Nutrition Reviews",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084692933&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084692933&origin=inward",17,"2021-01-12 11:42:57","Review","10.1093/nutrit/nuz076","0029-6643","https://api.elsevier.com/content/abstract/scopus_id/85084692933",78,6,465,473,1,1,1,1,1,NA,"vitamin_e"
"3",1,"K. Cordero","Effects of dietary vitamin E supplementation in bladder function and spasticity during spinal cord injury",2018,"Brain Sciences",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042732717&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042732717&origin=inward",18,"2021-01-12 11:42:57","Article","10.3390/brainsci8030038","2076-3425","https://api.elsevier.com/content/abstract/scopus_id/85042732717",8,3,NA,NA,1,0.33,1,1,3,NA,"vitamin_e"
"4",2,"P.M. Zadeh-Ardabili","Palm Vitamin E reduces locomotor dysfunction and morphological changes induced by spinal cord injury and protects against oxidative damage",2017,"Scientific Reports",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032583206&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032583206&origin=inward",16,"2021-01-12 11:42:57","Article","10.1038/s41598-017-14765-3","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85032583206",7,1,NA,NA,2,0.5,2,1,4,NA,"vitamin_e"
"5",3,"N. Seth","Model of traumatic spinal cord injury for evaluating pharmacologic treatments in cynomolgus macaques (Macaca fasicularis)",2018,"Comparative Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048683683&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048683683&origin=inward",15,"2021-01-12 11:42:57","Conference Paper","","1532-0820","https://api.elsevier.com/content/abstract/scopus_id/85048683683",68,1,63,73,3,1,3,1,3,NA,"vitamin_e"
"6",8,"K. Al Moutaery","Effect of aluminum on neurological recovery in rats following spinal cord injury",2000,"Journal of Neurosurgery",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034434006&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034434006&origin=inward",14,"2021-01-12 11:42:57","Article","","0022-3085","https://api.elsevier.com/content/abstract/scopus_id/0034434006",93,2,276,282,8,0.38,8,1,21,NA,"vitamin_e"
"7",12,"M.D. Morsy","A potential protective effect of -tocopherol on vascular complication in spinal cord reperfusion injury in rats",2010,"Journal of Biomedical Science",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954282835&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954282835&origin=inward",13,"2021-01-12 11:42:57","Article","10.1186/1423-0127-17-55","1021-7770","https://api.elsevier.com/content/abstract/scopus_id/77954282835",17,1,NA,NA,12,1.09,12,1,11,NA,"vitamin_e"
"8",19,"H. Chen","Effects of the combined administration of vitamins C and e on the oxidative stress status and programmed cell death pathways after experimental spinal cord injury",2014,"Spinal Cord",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891745971&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891745971&origin=inward",12,"2021-01-12 11:42:57","Article","10.1038/sc.2013.140","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84891745971",52,1,24,28,19,2.71,19,1,7,NA,"vitamin_e"
"9",21,"M. Tariq","Neurological Recovery in Diabetic Rats Following Spinal Cord Injury",1998,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84964593582&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84964593582&origin=inward",11,"2021-01-12 11:42:57","Article","10.1089/neu.1998.15.239","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84964593582",15,4,239,251,21,0.91,21,1,23,NA,"vitamin_e"
"10",24,"Y. Taoka","Influence of Dietary Vitamin E Deficiency on Compression Injury of Rat Spinal Cord",1990,"Journal of Nutritional Science and Vitaminology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025036326&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025036326&origin=inward",10,"2021-01-12 11:42:57","Article","10.3177/jnsv.36.217","0301-4800","https://api.elsevier.com/content/abstract/scopus_id/0025036326",36,3,217,226,24,0.77,24,1,31,NA,"vitamin_e"
"11",25,"T. Fujimoto","Effects of EPC-K1 on lipid peroxidation in experimental spinal cord injury",2000,"Spine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0033971356&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033971356&origin=inward",9,"2021-01-12 11:42:57","Article","10.1097/00007632-200001010-00006","0362-2436","https://api.elsevier.com/content/abstract/scopus_id/0033971356",25,1,24,29,25,1.19,25,1,21,NA,"vitamin_e"
"12",52,"E.D. Hall","Antioxidant effects in brain and spinal cord injury",1992,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026516960&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026516960&origin=inward",8,"2021-01-12 11:42:57","Review","","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0026516960",9,NA,NA,NA,52,1.79,52,1,29,NA,"vitamin_e"
"13",57,"D. Anderson","Pretreatment with Alpha Tocopherol Enhances Neurologic Recovery After Experimental Spinal Cord Compression Injury",1988,"Journal of Neurotrauma",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0023697931&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023697931&origin=inward",7,"2021-01-12 11:42:57","Article","10.1089/neu.1988.5.61","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0023697931",5,1,61,67,57,1.73,57,1,33,NA,"vitamin_e"
