"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"K. Raasck","Nonsurgical management of an extensive spontaneous spinal epidural hematoma causing quadriplegia and respiratory distress in a choledocholithiasis patient",2017,"Medicine (United States)",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85039735747&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039735747&origin=inward",12,"2021-01-12 11:40:54","Article","10.1097/MD.0000000000009368","0025-7974","https://api.elsevier.com/content/abstract/scopus_id/85039735747",96,51,NA,NA,0,0,0,1,4,NA,"warfarin"
"2",1,"G. Goyal","Anticoagulant induced spontaneous spinal epidural hematoma, conservative management or surgical intervention—A dilemma?",2016,"Journal of Acute Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84977611156&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84977611156&origin=inward",10,"2021-01-12 11:40:54","Article","10.1016/j.jacme.2016.03.006","2211-5587","https://api.elsevier.com/content/abstract/scopus_id/84977611156",6,2,38,42,1,0.2,1,1,5,NA,"warfarin"
"3",1,"G. Zuliani","Spinal anterior epidural hematoma in an elderly man with unrecognized lupic anticoagulant taking warfarin",2011,"Aging Clinical and Experimental Research",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84865281757&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84865281757&origin=inward",11,"2021-01-12 11:40:54","Article","10.1007/BF03325248","1594-0667","https://api.elsevier.com/content/abstract/scopus_id/84865281757",23,5,498,500,1,0.1,1,1,10,NA,"warfarin"
"4",7,"K. Pearson-Fuhrhop","Pharmacogenetics of neural injury recovery",2013,"Pharmacogenomics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward",8,"2021-01-12 11:40:54","Review","10.2217/pgs.13.152","1462-2416","https://api.elsevier.com/content/abstract/scopus_id/84885401182",14,13,1635,1643,7,0.88,7,1,8,NA,"warfarin"
"5",7,"M.Y.L. Chan","Subdural spinal haematoma after epidural anaesthesia in a patient with spinal canal stenosis",2006,"Anaesthesia and Intensive Care",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33645755671&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645755671&origin=inward",9,"2021-01-12 11:40:54","Article","10.1177/0310057x0603400214","0310-057X","https://api.elsevier.com/content/abstract/scopus_id/33645755671",34,2,269,276,7,0.47,7,1,15,NA,"warfarin"
"6",8,"K. Williams","Subacute subdural hematoma in a 45-year-old woman with no significant past medical history after a roller coaster ride",2009,"American Journal of Emergency Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=65449135916&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65449135916&origin=inward",7,"2021-01-12 11:40:54","Article","10.1016/j.ajem.2008.08.005","0735-6757","https://api.elsevier.com/content/abstract/scopus_id/65449135916",27,4,NA,NA,8,0.67,8,1,12,NA,"warfarin"
"7",11,"S. Richard","Unilateral posterior cervical spinal cord infarction due to spontaneous vertebral artery dissection",2014,"Journal of Spinal Cord Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895515323&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895515323&origin=inward",6,"2021-01-12 11:40:54","Article","10.1179/2045772313Y.0000000125","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84895515323",37,2,233,236,11,1.57,11,1,7,NA,"warfarin"
"8",13,"B. Rengarajan","Acute asymmetrical spinal infarct secondary to fibrocartilaginous embolism",2015,"Child's Nervous System",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925499804&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925499804&origin=inward",4,"2021-01-12 11:40:54","Article","10.1007/s00381-014-2562-9","0256-7040","https://api.elsevier.com/content/abstract/scopus_id/84925499804",31,3,487,491,13,2.17,13,1,6,NA,"warfarin"
"9",13,"C. Phadke","Soleus H-reflex modulation after motor incomplete spinal cord injury: Effects of body position and walking speed",2010,"Journal of Spinal Cord Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78449301428&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78449301428&origin=inward",5,"2021-01-12 11:40:54","Article","10.1080/10790268.2010.11689715","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/78449301428",33,4,371,378,13,1.18,13,1,11,NA,"warfarin"
"10",16,"D. Binder","Spinal Epidural Hematoma",2004,"Neurosurgery Quarterly",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1542379836&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1542379836&origin=inward",3,"2021-01-12 11:40:54","Article","10.1097/00013414-200403000-00009","1050-6438","https://api.elsevier.com/content/abstract/scopus_id/1542379836",14,1,51,59,16,0.94,16,1,17,NA,"warfarin"
