"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"J.q. Lin","Zinc provides neuroprotection by regulating NLRP3 inflammasome through autophagy and ubiquitination in a spinal contusion injury model",2020,"CNS Neuroscience and Therapeutics",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092203231&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092203231&origin=inward",33,"2021-01-12 11:39:19","Article","10.1111/cns.13460","1755-5930","https://api.elsevier.com/content/abstract/scopus_id/85092203231",NA,NA,NA,NA,0,0,0,1,1,NA,"zinc"
"2",0,"S. Lin","Zinc promotes autophagy and inhibits apoptosis through AMPK/mTOR signaling pathway after spinal cord injury",2020,"Neuroscience Letters",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088088965&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088088965&origin=inward",34,"2021-01-12 11:39:19","Article","10.1016/j.neulet.2020.135263","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/85088088965",736,NA,NA,NA,0,0,0,1,1,NA,"zinc"
"3",0,"H. Zhang","FBXW7alpha promotes the recovery of traumatic spinal cord",2020,"Current Molecular Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward",35,"2021-01-12 11:39:19","Article","10.2174/1566524020666191223164916","1566-5240","https://api.elsevier.com/content/abstract/scopus_id/85087111312",20,6,490,499,0,0,0,1,1,NA,"zinc"
"4",0,"A.L. Vivinetto","Zeb2 Is a Regulator of Astrogliosis and Functional Recovery after CNS Injury",2020,"Cell Reports",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087014973&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087014973&origin=inward",36,"2021-01-12 11:39:19","Article","10.1016/j.celrep.2020.107834","2211-1247","https://api.elsevier.com/content/abstract/scopus_id/85087014973",31,13,NA,NA,0,0,0,1,1,NA,"zinc"
"5",0,"M. Aoki","Restorative therapy in amyotrophic lateral sclerosis",2012,"Japanese Journal of Neuropsychopharmacology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84871826501&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871826501&origin=inward",37,"2021-01-12 11:39:19","Article","","1340-2544","https://api.elsevier.com/content/abstract/scopus_id/84871826501",32,5,287,292,0,0,0,1,9,NA,"zinc"
"6",1,"T. Povysheva","Pyrimidine Derivative Ameliorates Spinal Cord Injury via Anti-apoptotic, Anti-inflammatory, and Antioxidant Effects and by Regulating Rho GTPases",2019,"BioNanoScience",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064015773&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064015773&origin=inward",32,"2021-01-12 11:39:19","Article","10.1007/s12668-018-0570-z","2191-1630","https://api.elsevier.com/content/abstract/scopus_id/85064015773",9,1,224,234,1,0.5,1,1,2,NA,"zinc"
"7",2,"A. Monfared","Fabrication of tannic acid/poly(N-vinylpyrrolidone) layer-by-layer coating on Mg-based metallic glass for nerve tissue regeneration application",2018,"Colloids and Surfaces B: Biointerfaces",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049324831&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049324831&origin=inward",31,"2021-01-12 11:39:19","Article","10.1016/j.colsurfb.2018.06.060","0927-7765","https://api.elsevier.com/content/abstract/scopus_id/85049324831",170,NA,617,626,2,0.67,2,1,3,NA,"zinc"
"8",3,"M. Zarei-Kheirabadi","In vivo conversion of rat astrocytes into neuronal cells through neural stem cells in injured spinal cord with a single zinc-finger transcription factor",2019,"Stem Cell Research and Therapy",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076678054&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076678054&origin=inward",29,"2021-01-12 11:39:19","Article","10.1186/s13287-019-1448-x","1757-6512","https://api.elsevier.com/content/abstract/scopus_id/85076678054",10,1,NA,NA,3,1.5,3,1,2,NA,"zinc"
"9",3,"R. Schwendimann","Metabolic and Toxic Myelopathies",2018,"CONTINUUM Lifelong Learning in Neurology",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045009641&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045009641&origin=inward",30,"2021-01-12 11:39:19","Review","10.1212/CON.0000000000000596","1080-2371","https://api.elsevier.com/content/abstract/scopus_id/85045009641",24,2,427,440,3,1,3,1,3,NA,"zinc"
"10",4,"X. Zhang","Berberine enhances survival and axonal regeneration of motoneurons following spinal root avulsion and re-implantation in rats",2019,"Free Radical Biology and Medicine",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071911910&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071911910&origin=inward",28,"2021-01-12 11:39:19","Article","10.1016/j.freeradbiomed.2019.08.029","0891-5849","https://api.elsevier.com/content/abstract/scopus_id/85071911910",143,NA,454,470,4,2,4,1,2,NA,"zinc"
