Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"X. Yao","Inhibitory effect of 6-hydroxy dopamine and MK-801 on spinal cord edema",2007,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34250337340&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250337340&origin=inward",22,"2021-01-18 11:22:21","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/34250337340",11,12,2382,2384,0,0.00,0,1,14,""
0,"E. Iwatsubo","25 Years' experience in spinal cord injury medicine: A urologist's view concerning the QOL of spinal cord injury (SCI) patients",2005,"Nishinihon Journal of Urology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=24344505480&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24344505480&origin=inward",23,"2021-01-18 11:22:21","Article","","0029-0726","https://api.elsevier.com/content/abstract/scopus_id/24344505480",67,8,490,495,0,0.00,0,1,16,""
1,"C. Huang","Localised delivery of quercetin by thermo-sensitive PLGA-PEG-PLGA hydrogels for the treatment of brachial plexus avulsion",2020,"Artificial Cells, Nanomedicine and Biotechnology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087427677&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087427677&origin=inward",21,"2021-01-18 11:22:21","Article","10.1080/21691401.2020.1770265","2169-1401","https://api.elsevier.com/content/abstract/scopus_id/85087427677",48,1,1010,1021,1,1.00,1,1,1,""
6,"Y. Liang","The Ganglioside GM-1 Inhibits Bupivacaine-Induced Neurotoxicity in Mouse Neuroblastoma Neuro2a Cells",2016,"Cell Biochemistry and Function","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84983599864&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983599864&origin=inward",20,"2021-01-18 11:22:21","Article","10.1002/cbf.3208","0263-6484","https://api.elsevier.com/content/abstract/scopus_id/84983599864",34,6,455,462,6,1.20,6,1,5,""
7,"Y. Su","Salidroside promotes rat spinal cord injury recovery by inhibiting inflammatory cytokine expression and NF-κB and MAPK signaling pathways",2019,"Journal of Cellular Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060237718&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060237718&origin=inward",19,"2021-01-18 11:22:21","Article","10.1002/jcp.28124","0021-9541","https://api.elsevier.com/content/abstract/scopus_id/85060237718",234,8,14259,14269,7,3.50,7,1,2,""
10,"Z. Wei","A disintegrin and metalloprotease 17 promotes microglial cell survival via epidermal growth factor receptor signalling following spinal cord injury",2015,"Molecular Medicine Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84926612521&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84926612521&origin=inward",18,"2021-01-18 11:22:21","Article","10.3892/mmr.2015.3395","1791-2997","https://api.elsevier.com/content/abstract/scopus_id/84926612521",12,1,63,70,10,1.67,10,1,6,""
12,"T. Genovese","Efficacy of treatment with verbascoside, biotechnologically produced by Syringa vulgaris plant cell cultures in an experimental mice model of spinal cord trauma",2010,"Naunyn-Schmiedeberg's Archives of Pharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957595052&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957595052&origin=inward",17,"2021-01-18 11:22:21","Article","10.1007/s00210-010-0537-2","0028-1298","https://api.elsevier.com/content/abstract/scopus_id/77957595052",382,4,331,345,12,1.09,12,1,11,""
14,"T. Wang","Endothelial progenitor cell-conditioned medium promotes angiogenesis and is neuroprotective after spinal cord injury",2018,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048079229&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048079229&origin=inward",15,"2021-01-18 11:22:21","Article","10.4103/1673-5374.232484","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85048079229",13,5,887,895,14,4.67,14,1,3,""
14,"G. Singh","The female tetraplegic: An admission of urological failure",1997,"British Journal of Urology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031395276&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031395276&origin=inward",16,"2021-01-18 11:22:21","Article","10.1046/j.1464-410x.1997.00128.x","0007-1331","https://api.elsevier.com/content/abstract/scopus_id/0031395276",79,5,708,712,14,0.58,14,1,24,""
15,"F.A.A. Gondim","Effect of preinjury large bowel emptying on the inhibition of upper gastrointestinal motility after spinal cord injury in rats",2003,"Digestive Diseases and Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0141539510&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0141539510&origin=inward",13,"2021-01-18 11:22:21","Article","10.1023/A:1025482609323","0163-2116","https://api.elsevier.com/content/abstract/scopus_id/0141539510",48,9,1713,1718,15,0.83,15,1,18,""
