Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J. Khieukhajee","The Prevalence and Predictive Factors of Painful Tonic Spasm in Patients with Neuromyelitis Optica Spectrum Disorder (NMOSD)",2020,"Journal of the Medical Association of Thailand","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward",11,"2021-01-18 11:25:31","Article","10.35755/jmedassocthai.2020.12.11578","0125-2208","https://api.elsevier.com/content/abstract/scopus_id/85097620304",103,12,1354,1361,0,0.00,0,1,1,""
0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",12,"2021-01-18 11:25:31","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0.00,0,1,24,""
3,"F.M. Warner","The Effect of Non-Gabapentinoid Anticonvulsants on Sensorimotor Recovery After Human Spinal Cord Injury",2019,"CNS Drugs","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064427858&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064427858&origin=inward",10,"2021-01-18 11:25:31","Article","10.1007/s40263-019-00622-6","1172-7047","https://api.elsevier.com/content/abstract/scopus_id/85064427858",33,5,503,511,3,1.50,3,1,2,""
8,"A. Gerber","Effect of phenytoin on functional recovery after experimental spinal cord injury in dogs",1980,"Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019200048&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019200048&origin=inward",9,"2021-01-18 11:25:31","Article","10.1227/00006123-198011000-00009","0148-396X","https://api.elsevier.com/content/abstract/scopus_id/0019200048",7,5,472,476,8,0.20,8,1,41,""
18,"E. Kaptanoglu","Blockade of sodium channels by phenytoin protects ultrastructure and attenuates lipid peroxidation in experimental spinal cord injury",2005,"Acta Neurochirurgica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=17644414131&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644414131&origin=inward",8,"2021-01-18 11:25:31","Article","10.1007/s00701-004-0447-5","0001-6268","https://api.elsevier.com/content/abstract/scopus_id/17644414131",147,4,405,412,18,1.13,18,1,16,""
26,"R. Basson","Sexual function of women with chronic illness and cancer",2010,"Women's Health","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward",7,"2021-01-18 11:25:31","Review","10.2217/whe.10.23","1745-5057","https://api.elsevier.com/content/abstract/scopus_id/77952119823",6,3,407,429,26,2.36,26,1,11,""
36,"T. Taira","Intrathecal administration of GABA agonists in the vegetative state",2009,"Progress in Brain Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=73949109291&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=73949109291&origin=inward",6,"2021-01-18 11:25:31","Review","10.1016/S0079-6123(09)17721-X","0079-6123","https://api.elsevier.com/content/abstract/scopus_id/73949109291",177,,317,328,36,3.00,36,1,12,""
59,"T. Imaizumi","Anoxic injury in the rat spinal cord: Pharmacological evidence for multiple steps in Ca<sup>2+</sup> - dependent injury of the dorsal columns",1997,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0030943589&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030943589&origin=inward",5,"2021-01-18 11:25:31","Article","10.1089/neu.1997.14.299","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0030943589",14,5,299,311,59,2.46,59,1,24,""
65,"O. Ates","Comparative neuroprotective effect of sodium channel blockers after experimental spinal cord injury",2007,"Journal of Clinical Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34249069211&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249069211&origin=inward",4,"2021-01-18 11:25:31","Article","10.1016/j.jocn.2006.03.023","0967-5868","https://api.elsevier.com/content/abstract/scopus_id/34249069211",14,7,658,665,65,4.64,65,1,14,""
74,"B. Hains","Sodium channel blockade with phenytoin protects spinal cord axons, enhances axonal conduction, and improves functional motor recovery after contusion SCI",2004,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=3042790393&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3042790393&origin=inward",3,"2021-01-18 11:25:31","Article","10.1016/j.expneurol.2004.04.001","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/3042790393",188,2,365,377,74,4.35,74,1,17,""
172,"G. Schwartz","Evaluation of the neuroprotective effects of sodium channel blockers after spinal cord injury: Improved behavioral and neuroanatomical recovery with riluzole",2001,"Journal of Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034867539&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034867539&origin=inward",2,"2021-01-18 11:25:31","Article","10.3171/spi.2001.94.2.0245","0022-3085","https://api.elsevier.com/content/abstract/scopus_id/0034867539",94,2,245,256,172,8.60,172,1,20,""
207,"A. Ward","Dantrolene: A Review of Its Pharmacodynamic and Pharmacokinetic Properties and Therapeutic Use in Malignant Hyperthermia, the Neuroleptic Malignant Syndrome and an Update of Its Use in Muscle Spasticity",1986,"Drugs","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0022529046&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022529046&origin=inward",1,"2021-01-18 11:25:31","Article","10.2165/00003495-198632020-00003","0012-6667","https://api.elsevier.com/content/abstract/scopus_id/0022529046",32,2,130,168,207,5.91,207,1,35,""
