Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J. Khieukhajee","The Prevalence and Predictive Factors of Painful Tonic Spasm in Patients with Neuromyelitis Optica Spectrum Disorder (NMOSD)",2020,"Journal of the Medical Association of Thailand","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward",21,"2021-01-15 16:56:24","Article","10.35755/jmedassocthai.2020.12.11578","0125-2208","https://api.elsevier.com/content/abstract/scopus_id/85097620304",103,12,1354,1361,0,0.00,0,1,1,""
0,"I. Kaya","Examination of neuroprotective effects of levetiracetam in the model with experimental brain and cervical spinal cord trauma",2020,"Acta Medica Mediterranea","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078671271&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078671271&origin=inward",22,"2021-01-15 16:56:24","Article","10.19193/0393-6384_2020_1_115","0393-6384","https://api.elsevier.com/content/abstract/scopus_id/85078671271",36,1,731,736,0,0.00,0,1,1,""
0,"M. Yamashita","Imaging and pathological findings of intramedullary inflammatory pseudotumour in a miniature dachshund: A case report",2019,"BMC Veterinary Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077011407&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077011407&origin=inward",23,"2021-01-15 16:56:24","Article","10.1186/s12917-019-2213-1","1746-6148","https://api.elsevier.com/content/abstract/scopus_id/85077011407",15,1,,,0,0.00,0,1,2,""
0,"A. Gopinathan","Effect of nitric oxide synthase inhibitor and electro-acupuncture in experimentally induced acute spinal cord injury in rabbits",2008,"Indian Journal of Animal Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=61549096209&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61549096209&origin=inward",24,"2021-01-15 16:56:24","Article","","0367-8318","https://api.elsevier.com/content/abstract/scopus_id/61549096209",78,11,1202,1206,0,0.00,0,1,13,""
0,"Y. Song","Experimental study on the efficacy of methyl prednisolone in the treatment of traction injury of spinal cord in rabbits",1998,"Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032150917&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032150917&origin=inward",25,"2021-01-15 16:56:24","Article","","1002-1892","https://api.elsevier.com/content/abstract/scopus_id/0032150917",12,5,261,265,0,0.00,0,1,23,""
1,"Y. Taniguchi","Thoracic intradural extramedullary lesions causing progressive myelopathy as an initial manifestation of granulomatosis with polyangiitis: a case report and review of literature",2017,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978511518&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978511518&origin=inward",20,"2021-01-15 16:56:24","Article","10.1080/10790268.2016.1173319","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84978511518",40,1,122,125,1,0.25,1,1,4,""
2,"D. Villar","Overingestion of Methionine Tablets by a Dog",2003,"Veterinary and Human Toxicology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0347481334&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0347481334&origin=inward",19,"2021-01-15 16:56:24","Article","","0145-6296","https://api.elsevier.com/content/abstract/scopus_id/0347481334",45,6,311,312,2,0.11,2,1,18,""
4,"A. Castel","Risk factors associated with progressive myelomalacia in dogs with complete sensorimotor loss following intervertebral disc extrusion: A retrospective case-control study",2019,"BMC Veterinary Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076000671&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076000671&origin=inward",18,"2021-01-15 16:56:24","Review","10.1186/s12917-019-2186-0","1746-6148","https://api.elsevier.com/content/abstract/scopus_id/85076000671",15,1,,,4,2.00,4,1,2,""
7,"S. Himmelseher","Management of acute spinal cord injury with corticosteroids",1999,"Anasthesiologie und Intensivmedizin","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0345035264&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0345035264&origin=inward",17,"2021-01-15 16:56:24","Article","","0170-5334","https://api.elsevier.com/content/abstract/scopus_id/0345035264",40,10,716,726,7,0.32,7,1,22,""
8,"Y. Guo","Jisuikang, a chinese herbal formula, increases neurotrophic factor expression and promotes the recovery of neurological function after spinal cord injury",2017,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032455487&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032455487&origin=inward",16,"2021-01-15 16:56:24","Article","10.4103/1673-5374.215264","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85032455487",12,9,1519,1528,8,2.00,8,1,4,""
10,"J. Choi","Does intramedullary signal intensity on MRI affect the surgical outcomes of patients with ossification of posterior longitudinal ligament?",2014,"Journal of Korean Neurosurgical Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907978575&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907978575&origin=inward",14,"2021-01-15 16:56:24","Article","10.3340/jkns.2014.56.2.121","2005-3711","https://api.elsevier.com/content/abstract/scopus_id/84907978575",56,2,121,129,10,1.43,10,1,7,""
10,"J. Yeo","The experimental contusion injury of the spinal cord in sheep.",1975,"Paraplegia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0016466335&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0016466335&origin=inward",15,"2021-01-15 16:56:24","Article","","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0016466335",12,4,279,298,10,0.22,10,1,46,""
