Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"C. Daneri-Becerra","Proof that the high molecular weight immunophilin FKBP52 mediates the in vivo neuroregenerative effect of the macrolide FK506",2020,"Biochemical Pharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089938289&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089938289&origin=inward",56,"2021-01-15 10:35:44","Article","10.1016/j.bcp.2020.114204","0006-2952","https://api.elsevier.com/content/abstract/scopus_id/85089938289",182,,,,0,0.00,0,1,1,""
1,"H.J. Park","Immunophilin dysfunction and neuropathology",2011,"Current Medicinal Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=82255167637&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82255167637&origin=inward",54,"2021-01-15 10:35:44","Article","10.2174/092986711798194360","0929-8673","https://api.elsevier.com/content/abstract/scopus_id/82255167637",18,35,5398,5407,1,0.10,1,1,10,""
1,"Q.L. Wu","Tacrolimus promotes repair and regeneration of injured spinal cord following neural stem cells transplantation in rats",2010,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954982268&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954982268&origin=inward",55,"2021-01-15 10:35:44","Article","10.3969/j.issn.1673-8225.2010.23.013","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/77954982268",14,23,4235,4238,1,0.09,1,1,11,""
2,"B. Wu","Control of demyelination for recovery of spinal cord injury",2008,"Chinese Journal of Traumatology - English Edition","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=55049091818&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=55049091818&origin=inward",53,"2021-01-15 10:35:44","Review","10.1016/S1008-1275(08)60062-0","1008-1275","https://api.elsevier.com/content/abstract/scopus_id/55049091818",11,5,306,310,2,0.15,2,1,13,""
3,"J.P. Antonios","Immunosuppressive mechanisms for stem cell transplant survival in spinal cord injury",2019,"Neurosurgical Focus","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062597768&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062597768&origin=inward",50,"2021-01-15 10:35:44","Article","10.3171/2018.12.FOCUS18589","1092-0684","https://api.elsevier.com/content/abstract/scopus_id/85062597768",46,3,1,8,3,1.50,3,1,2,""
3,"F. Pan","Protective effect of tacrolimus postconditioning on oxidative stress injury provoked by spinal cord ischemia-reperfusion in rats",2013,"National Medical Journal of China","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891340367&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891340367&origin=inward",51,"2021-01-15 10:35:44","Article","10.3760/cma.j.issn.0376-2491.2013.47.020","0376-2491","https://api.elsevier.com/content/abstract/scopus_id/84891340367",93,47,3796,3800,3,0.38,3,1,8,""
3,"B. Kwon","Spinal cord injury regenerative strategies and obstacles",2004,"Current Opinion in Orthopaedics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2442562721&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2442562721&origin=inward",52,"2021-01-15 10:35:44","Review","10.1097/01.bco.0000123488.23763.a7","1041-9918","https://api.elsevier.com/content/abstract/scopus_id/2442562721",15,3,196,201,3,0.18,3,1,17,""
4,"J. Cai","Analysis of FK506-mediated functional recovery and neuroprotection in a rat model of spinal cord injury indicates that EGF is modulated in astrocytes",2018,"Experimental and Therapeutic Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049130599&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049130599&origin=inward",47,"2021-01-15 10:35:44","Article","10.3892/etm.2018.6283","1792-0981","https://api.elsevier.com/content/abstract/scopus_id/85049130599",16,2,501,510,4,1.33,4,1,3,""
4,"P. De Mesquita Coutinho","Effects of tacrolimus and erythropoietin in experimental spinal cord lesion in rats: Functional and histological evaluation",2016,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944698866&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944698866&origin=inward",48,"2021-01-15 10:35:44","Article","10.1038/sc.2015.172","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84944698866",54,6,439,444,4,0.80,4,1,5,""
4,"D.c. Lü","An experimental study of the neuroprotective effect of FK506 on acute spinal cord injury in dogs",2005,"Zhonghua wai ke za zhi [Chinese journal of surgery]","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34548082244&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548082244&origin=inward",49,"2021-01-15 10:35:44","Article","","0529-5815","https://api.elsevier.com/content/abstract/scopus_id/34548082244",43,16,1088,1090,4,0.25,4,1,16,""
5,"G. Itakura","Control of the survival and growth of human glioblastoma grafted into the spinal cord of mice by taking advantage of immunorejection",2015,"Cell Transplantation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84937399082&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84937399082&origin=inward",46,"2021-01-15 10:35:44","Article","10.3727/096368914X681711","0963-6897","https://api.elsevier.com/content/abstract/scopus_id/84937399082",24,7,1299,1311,5,0.83,5,1,6,""
6,"F. Pan","Effect of tacrolimus on apoptosis and expression of heat shock protein 70 after acute spinal cord injury in rats",2006,"Zhonghua wai ke za zhi [Chinese journal of surgery]","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=43749102716&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43749102716&origin=inward",45,"2021-01-15 10:35:44","Article","","0529-5815","https://api.elsevier.com/content/abstract/scopus_id/43749102716",44,24,1708,1712,6,0.40,6,1,15,""
7,"S.S. Ousman","Chaperone proteins in the central nervous system and peripheral nervous system after nerve injury",2017,"Frontiers in Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014346408&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014346408&origin=inward",44,"2021-01-15 10:35:44","Short Survey","10.3389/fnins.2017.00079","1662-4548","https://api.elsevier.com/content/abstract/scopus_id/85014346408",11,,,,7,1.75,7,1,4,""
8,"J. Legos","Non-surgical management of spinal cord injury",2002,"Expert Opinion on Investigational Drugs","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036242131&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036242131&origin=inward",43,"2021-01-15 10:35:44","Review","10.1517/13543784.11.4.469","1354-3784","https://api.elsevier.com/content/abstract/scopus_id/0036242131",11,4,469,482,8,0.42,8,1,19,""
9,"J. Springer","Targeting the mitochondrial permeability transition pore in traumatic central nervous system injury",2018,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051806408&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051806408&origin=inward",41,"2021-01-15 10:35:44","Review","10.4103/1673-5374.235218","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85051806408",13,8,1338,1341,9,3.00,9,1,3,""
9,"A. Tessler","Neurotrophic effects on dorsal root regeneration into the spinal cord",2004,"Progress in Brain Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0345303936&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0345303936&origin=inward",42,"2021-01-15 10:35:44","Article","10.1016/S0079-6123(03)43014-8","0079-6123","https://api.elsevier.com/content/abstract/scopus_id/0345303936",143,,147,154,9,0.53,9,1,17,""
11,"L. Mobley","Role of calcineurin in calcium-mediated hypoxic injury to white matter",2003,"Spine Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0642340405&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0642340405&origin=inward",40,"2021-01-15 10:35:44","Article","10.1016/S1529-9430(02)00442-4","1529-9430","https://api.elsevier.com/content/abstract/scopus_id/0642340405",3,1,11,18,11,0.61,11,1,18,""
12,"S. Devaux","RhoA inhibitor treatment at acute phase of spinal cord injury may induce neurite outgrowth and synaptogenesis",2017,"Molecular and Cellular Proteomics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85026669579&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85026669579&origin=inward",37,"2021-01-15 10:35:44","Article","10.1074/mcp.M116.064881","1535-9476","https://api.elsevier.com/content/abstract/scopus_id/85026669579",16,8,1394,1415,12,3.00,12,1,4,""
12,"D. Kuffler","Chapter 18 Enhancement of Nerve Regeneration and Recovery by Immunosuppressive Agents",2009,"International Review of Neurobiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70349786859&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349786859&origin=inward",38,"2021-01-15 10:35:44","Review","10.1016/S0074-7742(09)87018-9","0074-7742","https://api.elsevier.com/content/abstract/scopus_id/70349786859",87,,347,362,12,1.00,12,1,12,""
12,"T. Yamaji","FK1706, a novel non-immunosuppressant neurophilin ligand, ameliorates motor dysfunction following spinal cord injury through its neuroregenerative action",2008,"European Journal of Pharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=48749091532&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=48749091532&origin=inward",39,"2021-01-15 10:35:44","Article","10.1016/j.ejphar.2008.06.064","0014-2999","https://api.elsevier.com/content/abstract/scopus_id/48749091532",591,1,147,152,12,0.92,12,1,13,""
14,"J. Sheehan","Potentiation of neurite outgrowth and reduction of apoptosis by immunosuppressive agents: implications for neuronal injury and transplantation.",2006,"Neurosurgical focus","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33745080038&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33745080038&origin=inward",36,"2021-01-15 10:35:44","Article","10.3171/foc.2006.20.5.10","1092-0684","https://api.elsevier.com/content/abstract/scopus_id/33745080038",20,5,,,14,0.93,14,1,15,""
15,"A. Torres-Espín","Immunosuppression of allogenic mesenchymal stem cells transplantation after spinal cord injury improves graft survival and beneficial outcomes",2015,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924762932&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924762932&origin=inward",34,"2021-01-15 10:35:44","Article","10.1089/neu.2014.3562","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84924762932",32,6,367,380,15,2.50,15,1,6,""
15,"L. Lang-Lazdunski","The effects of FK506 on neurologic and histopathologic outcome after transient spinal cord ischemia induced by aortic cross-clamping in rats",2001,"Anesthesia and Analgesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035041217&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035041217&origin=inward",35,"2021-01-15 10:35:44","Article","10.1097/00000539-200105000-00029","0003-2999","https://api.elsevier.com/content/abstract/scopus_id/0035041217",92,5,1237,1244,15,0.75,15,1,20,""
16,"M. Ahmad","Effectiveness of minocycline and FK506 alone and in combination on enhanced behavioral and biochemical recovery from spinal cord injury in rats",2016,"Pharmacology Biochemistry and Behavior","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84964688014&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84964688014&origin=inward",32,"2021-01-15 10:35:44","Article","10.1016/j.pbb.2016.04.003","0091-3057","https://api.elsevier.com/content/abstract/scopus_id/84964688014",145,,45,54,16,3.20,16,1,5,""
16,"K. Saganová","Effects of long-term FK506 administration on functional and histopathological outcome after spinal cord injury in adult rat",2009,"Cellular and Molecular Neurobiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=68149164348&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68149164348&origin=inward",33,"2021-01-15 10:35:44","Article","10.1007/s10571-009-9395-1","0272-4340","https://api.elsevier.com/content/abstract/scopus_id/68149164348",29,6,1045,1051,16,1.33,16,1,12,""
17,"A. Elkwood","Nerve allograft transplantation for functional restoration of the upper extremity: Case series",2011,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955388702&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955388702&origin=inward",30,"2021-01-15 10:35:44","Article","10.1179/107902611X12972448729521","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/79955388702",34,2,241,247,17,1.70,17,1,10,""
17,"M. Brenner","Delayed Nerve Repair Is Associated with Diminished Neuroenhancement by FK506",2004,"Laryngoscope","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1642396949&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1642396949&origin=inward",31,"2021-01-15 10:35:44","Article","10.1097/00005537-200403000-00034","0023-852X","https://api.elsevier.com/content/abstract/scopus_id/1642396949",114,3,570,576,17,1.00,17,1,17,""
18,"A. Ibarra","Protective effect of cyclosporin-A in spinal cord injury: An overview",2006,"Current Medicinal Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33748539336&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748539336&origin=inward",28,"2021-01-15 10:35:44","Review","10.2174/092986706778201503","0929-8673","https://api.elsevier.com/content/abstract/scopus_id/33748539336",13,22,2703,2710,18,1.20,18,1,15,""
