Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"H. Wang","Endocrine Therapy for the Functional Recovery of Spinal Cord Injury",2020,"Frontiers in Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098541759&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098541759&origin=inward",29,"2021-01-15 09:54:17","Review","10.3389/fnins.2020.590570","1662-4548","https://api.elsevier.com/content/abstract/scopus_id/85098541759",14,,,,0,0.00,0,1,1,""
1,"A.N. Stewart","Considerations for Studying Sex as a Biological Variable in Spinal Cord Injury",2020,"Frontiers in Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089805868&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089805868&origin=inward",26,"2021-01-15 09:54:17","Article","10.3389/fneur.2020.00802","1664-2295","https://api.elsevier.com/content/abstract/scopus_id/85089805868",11,,,,1,1.00,1,1,1,""
1,"C.J. Steadman","Activity-Based Training Alters Penile Reflex Responses in a Rat Model of Spinal Cord Injury",2019,"Journal of Sexual Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068141299&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068141299&origin=inward",27,"2021-01-15 09:54:17","Article","10.1016/j.jsxm.2019.05.018","1743-6095","https://api.elsevier.com/content/abstract/scopus_id/85068141299",16,8,1143,1154,1,0.50,1,1,2,""
1,"J. Wyndaele","Outcome after spinal cord lesion: Relation to country, social support, education, income and ways to measure outcome",2009,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=68349101094&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68349101094&origin=inward",28,"2021-01-15 09:54:17","Editorial","10.1038/sc.2009.97","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/68349101094",47,8,577,578,1,0.08,1,1,12,""
2,"J.F. Yarrow","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury",2020,"Journal of Neuroscience Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076222678&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076222678&origin=inward",25,"2021-01-15 09:54:17","Article","10.1002/jnr.24564","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/85076222678",98,5,843,868,2,2.00,2,1,1,""
3,"K. Gray","Subcutaneous pellet testosterone replacement therapy: The ""first steps"" in treating men with spinal cord injuries",2013,"Journal of the American Osteopathic Association","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889635639&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889635639&origin=inward",24,"2021-01-15 09:54:17","Article","10.7556/jaoa.2013.071","0098-6151","https://api.elsevier.com/content/abstract/scopus_id/84889635639",113,12,921,925,3,0.38,3,1,8,""
4,"A. Sánchez-Ramos","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients",2017,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010886869&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010886869&origin=inward",23,"2021-01-15 09:54:17","Article","10.1038/sc.2016.184","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85010886869",55,6,570,574,4,1.00,4,1,4,""
8,"M.C. Acosta","Estrogen signaling is necessary for exercise-mediated enhancement of motoneuron participation in axon regeneration after peripheral nerve injury in mice",2017,"Developmental Neurobiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85018657815&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018657815&origin=inward",21,"2021-01-15 09:54:17","Article","10.1002/dneu.22501","1932-8451","https://api.elsevier.com/content/abstract/scopus_id/85018657815",77,10,1133,1143,8,2.00,8,1,4,""
8,"R.V. Ung","Effects of Co-administration of clenbuterol and testosterone propionate on skeletal muscle in paraplegic mice",2010,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953956724&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953956724&origin=inward",22,"2021-01-15 09:54:17","Article","10.1089/neu.2009.1211","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/77953956724",27,6,1129,1142,8,0.73,8,1,11,""
10,"D. Otzel","Activity-based physical rehabilitation with adjuvant testosterone to promote neuromuscular recovery after spinal cord injury",2018,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048265306&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048265306&origin=inward",19,"2021-01-15 09:54:17","Review","10.3390/ijms19061701","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85048265306",19,6,,,10,3.33,10,1,3,""
