Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"F. Liu","Diaphragmatic recovery in rats with cervical spinal cord injury induced by a theophylline nanoconjugate: Challenges for clinical use",2019,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062707734&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062707734&origin=inward",25,"2021-01-14 20:02:08","Article","10.1080/10790268.2019.1577058","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/85062707734",42,6,725,734,0,0.00,0,1,2,""
5,"M. Zimmer","Ipsilateral inspiratory intercostal muscle activity after C2 spinal cord hemisection in rats",2015,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924280867&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924280867&origin=inward",24,"2021-01-14 20:02:08","Article","10.1179/2045772314Y.0000000220","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84924280867",38,2,224,230,5,0.83,5,1,6,""
9,"L.P. Singh","Theophylline regulates inflammatory and neurotrophic factor signals in functional recovery after C2-hemisection in adult rats",2012,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84866543136&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866543136&origin=inward",22,"2021-01-14 20:02:08","Article","10.1016/j.expneurol.2012.08.009","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84866543136",238,1,79,88,9,1.00,9,1,9,""
9,"K. Nantwi","Recovery of respiratory activity after C2 hemisection (C2HS): Involvement of adenosinergic mechanisms",2009,"Respiratory Physiology and Neurobiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=72049101629&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=72049101629&origin=inward",23,"2021-01-14 20:02:08","Review","10.1016/j.resp.2009.07.014","1569-9048","https://api.elsevier.com/content/abstract/scopus_id/72049101629",169,2,102,114,9,0.75,9,1,12,""
11,"M. Hüttemann","Theophylline treatment improves mitochondrial function after upper cervical spinal cord hemisection",2010,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952551633&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952551633&origin=inward",20,"2021-01-14 20:02:08","Article","10.1016/j.expneurol.2010.01.020","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/77952551633",223,2,523,528,11,1.00,11,1,11,""
11,"K. Nantwi","Adenosine A<inf>1</inf> receptor mRNA expression and the effects of systemic theophylline administration on respiratory function 4 months after C2 hemisection",2003,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0347479251&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0347479251&origin=inward",21,"2021-01-14 20:02:08","Article","10.1080/10790268.2003.11753707","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/0347479251",26,4,364,371,11,0.61,11,1,18,""
14,"H. Bae","Recovery of respiratory function following C2 hemi and carotid body denervation in adult rats: Influence of peripheral adenosine receptors",2005,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=10044255349&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=10044255349&origin=inward",19,"2021-01-14 20:02:08","Article","10.1016/j.expneurol.2004.09.007","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/10044255349",191,1,94,103,14,0.88,14,1,16,""
17,"G. Tzelepis","Effects of theophylline on pulmonary function in patients with traumatic tetraplegia",2006,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33747619824&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33747619824&origin=inward",17,"2021-01-14 20:02:08","Article","10.1080/10790268.2006.11753878","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/33747619824",29,3,227,233,17,1.13,17,1,15,""
17,"K.D. Nantwi","Adenosinergic mechanisms underlying recovery of diaphragm motor function following upper cervical spinal cord injury: Potential therapeutic implications",2005,"Neurological Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=15244339856&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=15244339856&origin=inward",18,"2021-01-14 20:02:08","Review","10.1179/016164105X21977","0161-6412","https://api.elsevier.com/content/abstract/scopus_id/15244339856",27,2,195,205,17,1.06,17,1,16,""
20,"Y. Zhang","Transporter protein and drug-conjugated gold nanoparticles capable of bypassing the blood-brain barrier",2016,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84975258333&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975258333&origin=inward",15,"2021-01-14 20:02:08","Article","10.1038/srep25794","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/84975258333",6,,,,20,4.00,20,1,5,""
20,"G. Basura","Theophylline-induced respiratory recovery following cervical spinal cord hemisection is augmented by serotonin 2 receptor stimulation",2002,"Brain Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037159610&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037159610&origin=inward",16,"2021-01-14 20:02:08","Article","10.1016/S0006-8993(02)03097-4","0006-8993","https://api.elsevier.com/content/abstract/scopus_id/0037159610",956,1,1,13,20,1.05,20,1,19,""
21,"H. Sharma","Treatments to restore respiratory function after spinal cord injury and their implications for regeneration, plasticity and adaptation",2012,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84859909307&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859909307&origin=inward",14,"2021-01-14 20:02:08","Review","10.1016/j.expneurol.2011.12.018","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84859909307",235,1,18,25,21,2.33,21,1,9,""
23,"S. Kajana","Systemic administration of rolipram increases medullary and spinal cAMP and activates a latent respiratory motor pathway after high cervical spinal cord injury",2009,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=66449106384&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=66449106384&origin=inward",13,"2021-01-14 20:02:08","Article","10.1080/10790268.2009.11760769","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/66449106384",32,2,175,182,23,1.92,23,1,12,""
28,"M. Zimmer","Effect of spinal cord injury on the neural regulation of respiratory function",2008,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=38649132905&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38649132905&origin=inward",12,"2021-01-14 20:02:08","Review","10.1016/j.expneurol.2007.05.015","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/38649132905",209,2,399,406,28,2.15,28,1,13,""
29,"J.W. Phillis","Adenosine and neurotrauma: Therapeutic perspectives",2001,"Neurological Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035071195&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035071195&origin=inward",11,"2021-01-14 20:02:08","Article","10.1179/016164101101198316","0161-6412","https://api.elsevier.com/content/abstract/scopus_id/0035071195",23,2,183,189,29,1.45,29,1,20,""
31,"K. Nantwi","Effects of long-term theophylline exposure on recovery of respiratory function and expression of adenosine A1 mRNA in cervical spinal cord hemisected adult rats",2003,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0038772002&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038772002&origin=inward",10,"2021-01-14 20:02:08","Article","10.1016/S0014-4886(03)00109-2","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/0038772002",182,1,232,239,31,1.72,31,1,18,""
