Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"M. Mirbagheri","Can anti-spastic medication facilitate robotic-locomotor training?",2015,"IEEE International Conference on Rehabilitation Robotics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84946043353&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84946043353&origin=inward",25,"2021-01-14 19:41:51","Conference Paper","10.1109/ICORR.2015.7281283","1945-7898","https://api.elsevier.com/content/abstract/scopus_id/84946043353",2015,,702,706,0,0.00,0,1,6,""
0,"G. Brown","Classifying and predicting endurance outcomes of α<inf>2</inf>-adrenergic agonist intervention in spinal cord injury",2014,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929492581&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929492581&origin=inward",26,"2021-01-14 19:41:51","Conference Paper","10.1109/EMBC.2014.6944970","","https://api.elsevier.com/content/abstract/scopus_id/84929492581",,,5896,5899,0,0.00,0,1,7,""
1,"D. Plantier","Spasticity: Clinical, physiological and therapeutic approaches. A review (First part)",1995,"Lyon Pharmaceutique","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward",24,"2021-01-14 19:41:51","Article","10.1016/0024-7804(96)85741-1","0024-7804","https://api.elsevier.com/content/abstract/scopus_id/0028884849",46,7,397,406,1,0.04,1,1,26,""
2,"A. Frigon","The cat model of spinal cord injury",2013,"Neuromethods","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875619129&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875619129&origin=inward",23,"2021-01-14 19:41:51","Article","10.1007/978-1-62703-197-4-8","0893-2336","https://api.elsevier.com/content/abstract/scopus_id/84875619129",76,,159,183,2,0.25,2,1,8,""
3,"L. Duffell","Variability in responsiveness to interventions in people with spinal cord injury: Do some respond better than others?",2014,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929497704&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929497704&origin=inward",20,"2021-01-14 19:41:51","Conference Paper","10.1109/EMBC.2014.6944964","","https://api.elsevier.com/content/abstract/scopus_id/84929497704",,,5872,5875,3,0.43,3,1,7,""
3,"M.M. Mirbagheri","Therapeutic effects of anti-spastic medication on neuromuscular abnormalities in SCI: A system identification approach",2013,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84886530839&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886530839&origin=inward",21,"2021-01-14 19:41:51","Conference Paper","10.1109/EMBC.2013.6610970","1557-170X","https://api.elsevier.com/content/abstract/scopus_id/84886530839",,,6203,6206,3,0.38,3,1,8,""
3,"X. Niu","The effect of robot-assisted lokomotor training on gait recovery: A multivariate analysis",2011,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84055184308&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84055184308&origin=inward",22,"2021-01-14 19:41:51","Conference Paper","10.1109/IEMBS.2011.6090589","1557-170X","https://api.elsevier.com/content/abstract/scopus_id/84055184308",,,3542,3545,3,0.30,3,1,10,""
4,"E.R. Theriault","Antispasmodic medications may be associated with reduced recovery during inpatient rehabilitation after traumatic spinal cord injury",2018,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward",19,"2021-01-14 19:41:51","Article","10.1080/10790268.2016.1245010","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84994905096",41,1,63,71,4,1.33,4,1,3,""
6,"S. Sangari","Imbalanced corticospinal and reticulospinal contributions to spasticity in humans with spinal cord injury",2019,"Journal of Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072905448&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072905448&origin=inward",18,"2021-01-14 19:41:51","Article","10.1523/JNEUROSCI.1106-19.2019","0270-6474","https://api.elsevier.com/content/abstract/scopus_id/85072905448",39,40,7872,7881,6,3.00,6,1,2,""
9,"X. Niu","The effect of robot-assisted locomotor training on walking speed",2012,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84870791567&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870791567&origin=inward",17,"2021-01-14 19:41:51","Conference Paper","10.1109/EMBC.2012.6346809","1557-170X","https://api.elsevier.com/content/abstract/scopus_id/84870791567",,,3858,3861,9,1.00,9,1,9,""
10,"L. Duffell","Interventions to Reduce Spasticity and Improve Function in People with Chronic Incomplete Spinal Cord Injury",2015,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84936947940&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84936947940&origin=inward",15,"2021-01-14 19:41:51","Article","10.1177/1545968314558601","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/84936947940",29,6,566,576,10,1.67,10,1,6,""
10,"D. Parker","Pharmacological approaches to functional recovery after spinal injury",2005,"Current Drug Targets: CNS and Neurological Disorders","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=18044384808&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=18044384808&origin=inward",16,"2021-01-14 19:41:51","Review","10.2174/1568007053544192","1568-007X","https://api.elsevier.com/content/abstract/scopus_id/18044384808",4,2,195,210,10,0.63,10,1,16,""
13,"C. Phadke","Soleus H-reflex modulation after motor incomplete spinal cord injury: Effects of body position and walking speed",2010,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78449301428&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78449301428&origin=inward",14,"2021-01-14 19:41:51","Article","10.1080/10790268.2010.11689715","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/78449301428",33,4,371,378,13,1.18,13,1,11,""
19,"P.A. Guertin","Recovery of locomotor function with combinatory drug treatments designed to synergistically activate specific neuronal networks",2009,"Current Medicinal Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=65649118957&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65649118957&origin=inward",13,"2021-01-14 19:41:51","Review","10.2174/092986709787846541","0929-8673","https://api.elsevier.com/content/abstract/scopus_id/65649118957",16,11,1366,1371,19,1.58,19,1,12,""
25,"H. Kumru","Effects of high-frequency repetitive transcranial magnetic stimulation on motor and gait improvement in incomplete spinal cord injury patients",2013,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877269605&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877269605&origin=inward",12,"2021-01-14 19:41:51","Article","10.1177/1545968312471901","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/84877269605",27,5,421,429,25,3.13,25,1,8,""
26,"R. Basson","Sexual function of women with chronic illness and cancer",2010,"Women's Health","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward",11,"2021-01-14 19:41:51","Review","10.2217/whe.10.23","1745-5057","https://api.elsevier.com/content/abstract/scopus_id/77952119823",6,3,407,429,26,2.36,26,1,11,""
30,"A.F. Douglas","Prolonged intrathecal baclofen withdrawal syndrome",2005,"Journal of Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=23144449727&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=23144449727&origin=inward",10,"2021-01-14 19:41:51","Article","10.3171/jns.2005.102.6.1133","0022-3085","https://api.elsevier.com/content/abstract/scopus_id/23144449727",102,6,1133,1136,30,1.88,30,1,16,""
44,"P.M. Murphy","Intrathecal catheter granuloma associated with isolated baclofen infusion",2006,"Anesthesia and Analgesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33644537043&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33644537043&origin=inward",9,"2021-01-14 19:41:51","Article","10.1213/01.ane.0000196523.06573.10","0003-2999","https://api.elsevier.com/content/abstract/scopus_id/33644537043",102,3,848,852,44,2.93,44,1,15,""
58,"J. D'Amico","Recovery of neuronal and network excitability after spinal cord injury and implications for spasticity",2014,"Frontiers in Integrative Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84900548638&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84900548638&origin=inward",8,"2021-01-14 19:41:51","Review","10.3389/fnint.2014.00036","1662-5145","https://api.elsevier.com/content/abstract/scopus_id/84900548638",8,,,,58,8.29,58,1,7,""
59,"C. O'Brien","Treatment of spasticity with botulinum toxin",2002,"Clinical Journal of Pain","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036840951&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036840951&origin=inward",7,"2021-01-14 19:41:51","Review","10.1097/00002508-200211001-00011","0749-8047","https://api.elsevier.com/content/abstract/scopus_id/0036840951",18,6,,,59,3.11,59,1,19,""
