Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"D. Vora","Surgical management of a complex case of Charcot arthropathy of the spine: a case report",2019,"Spinal Cord Series and Cases","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073609781&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073609781&origin=inward",11,"2021-01-12 11:54:01","Article","10.1038/s41394-019-0217-5","2058-6124","https://api.elsevier.com/content/abstract/scopus_id/85073609781",5,1,,,0,0.00,0,1,2,""
0,"T. Kuiken","The treatment of central pain syndrome in spinal cord injury with a combination of a tricyclic antidepressant and carbamazepine: A case series",2000,"Journal of Back and Musculoskeletal Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034490807&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034490807&origin=inward",12,"2021-01-12 11:54:01","Article","10.3233/BMR-2000-141-204","1053-8127","https://api.elsevier.com/content/abstract/scopus_id/0034490807",14,1,17,20,0,0.00,0,1,21,""
1,"J. Gold","Encephalopathy of Unknown Origin in a Baclofen Patient: Case Report and Review of the Literature",2020,"World Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078921824&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078921824&origin=inward",10,"2021-01-12 11:54:01","Article","10.1016/j.wneu.2020.01.044","1878-8750","https://api.elsevier.com/content/abstract/scopus_id/85078921824",136,,136,139,1,1.00,1,1,1,""
3,"R. Malhotra","A silent acute abdomen in a patient with spinal cord injury",2013,"BMJ Case Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891679269&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891679269&origin=inward",8,"2021-01-12 11:54:01","Article","10.1136/bcr-2013-008548","1757-790X","https://api.elsevier.com/content/abstract/scopus_id/84891679269",,,,,3,0.38,3,1,8,""
3,"E. Ernst","Serious adverse effects after acupuncture - A systematic review (2000-2009)",2010,"Perfusion","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79551571456&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79551571456&origin=inward",9,"2021-01-12 11:54:01","Review","","0935-0020","https://api.elsevier.com/content/abstract/scopus_id/79551571456",23,6,214,225,3,0.27,3,1,11,""
4,"T. Brechmann","Complicated fecal microbiota transplantation in a tetraplegic patient with severe Clostridium difficile infection",2015,"World Journal of Gastroenterology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84926360342&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84926360342&origin=inward",7,"2021-01-12 11:54:01","Article","10.3748/wjg.v21.i12.3736","1007-9327","https://api.elsevier.com/content/abstract/scopus_id/84926360342",21,12,3736,3740,4,0.67,4,1,6,""
6,"D. Wallace","Management of non-missile penetrating spinal injury",2019,"Neurosurgical Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058821820&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058821820&origin=inward",5,"2021-01-12 11:54:01","Review","10.1007/s10143-018-01057-1","0344-5607","https://api.elsevier.com/content/abstract/scopus_id/85058821820",42,4,791,798,6,3.00,6,1,2,""
6,"M. Gupta","Spinal Osteotomies for Rigid Deformities",2013,"Neurosurgery Clinics of North America","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875885680&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875885680&origin=inward",6,"2021-01-12 11:54:01","Review","10.1016/j.nec.2012.12.001","1042-3680","https://api.elsevier.com/content/abstract/scopus_id/84875885680",24,2,203,211,6,0.75,6,1,8,""
11,"C. Lee","Clinical outcome of acute necrotizing encephalopathy in related to involving the brain stem of single institution in Korea",2014,"Korean Journal of Pediatrics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84902481465&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902481465&origin=inward",4,"2021-01-12 11:54:01","Article","10.3345/kjp.2014.57.6.264","1738-1061","https://api.elsevier.com/content/abstract/scopus_id/84902481465",57,6,264,270,11,1.57,11,1,7,""
16,"J. Nairus","Retroperitoneal pseudomeningocele complicated by meningitis following a lumbar burst fracture: A case report",1996,"Spine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029918271&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029918271&origin=inward",3,"2021-01-12 11:54:01","Article","10.1097/00007632-199605010-00020","0362-2436","https://api.elsevier.com/content/abstract/scopus_id/0029918271",21,9,1090,1093,16,0.64,16,1,25,""
