Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Baochang Qi, Rujun Sun, Jiesheng Rong, Zhibin Peng, Yansong Wang","Cyclic adenosine phosphate improves functional recovery after spinal cord injury via activating unfolded protein response",2019,"Pharmazie","Govi-Verlag  Pharmazeutischer Verlag Gmbh","","",120,"2021-01-12 09:58:26","Article","10.1691/ph.2019.8347","0031-7144","",74,2,115,119,0,0.00,0,5,2,"The current study aimed to evaluate the role and underlying mechanism of cyclic adenosine phosphate (cAMP) on the functional recovery of spinal cord injury (SCI). Basso, Beattie and Bresnahan (BBB) scoring and inclined plane test indicated that cAMP treatment improved the functional recovery of SCI rats. Real time PCR and western blot analysis showed the mRNA and protein levels of IRE1, PERK, and ATF6 were increased in the SCI rats than those of sham control. However, higher levels of IRE1, PERK, and ATF6 were indicated after cAMP treatment. Meanwhile, more apoptotic cells were observed in the SCI rats, as evidenced by TUNEL staining and increased expression of GRP78, CHOP, and caspase12. In contrast, the expression of GRP78, CHOP, and caspase12 was decreased in SCI rats after cAMP treatment. In summary, we showed novel data that cAMP reduced cell apoptosis and functional recover after SCI mainly via activating UPR."
0,"Panfeng Wang, Yuntong Zhang, Yan Xia, Dayuan Xu, Hongrui Wang, Dong Liu, Shuogui Xu, Yongming Sun","MicroRNA-139-5p Promotes Functional Recovery and Reduces Pain Hypersensitivity in Mice with Spinal Cord Injury by Targeting Mammalian Sterile 20-like Kinase 1",2020,"Neurochemical Research","Springer/Plenum Publishers","","",123,"2021-01-12 09:58:26","Article","10.1007/s11064-020-03170-4","0364-3190","",,,,,0,0.00,0,8,1,"Currently, there is no cure for spinal cord injury (SCI), a heavy burden on patients physiology and psychology. We found that microRNA-139-5p (miR-139-5p) expression was significantly downregulated in damaged spinal cords in mice. So, we aimed to test the effect of treatment with miR-139-5p on functional recovery and neuropathic pain in mice with SCI and investigate the underlying mechanism. The luciferase reporter assay revealed that miR-139-5p directly targeted mammalian sterile 20-like kinase 1 (Mst1), and miR-139-5p treatment suppressed Mst1 protein expression in damaged spinal cords of mice. Wild-type mice and Mst1(-/-) mice were exposed to SCI and treated with miR-139-5p agomir via intrathecal infusion. Treatment of SCI mice with miR-139-5p accelerated locomotor functional recovery, reduced hypersensitivities to mechanical and thermal stimulations, and promoted neuronal survival in damaged spinal cords. Treatment with miR-139-5p enhanced phosphorylation of adenosine monophosphate-activated protein kinase alpha (AMPK alpha), improved mitochondrial function, and suppressed NF-kappa B-related inflammation in damaged spinal cords. Deficiency of Mst1 had similar benefits in mice with SCI. Furthermore, miR-139-5p treatment did not provide further protection in Mst1(-/-) mice against SCI. In conclusion, miR-139-5p treatment enhanced functional recovery and reduced pain hypersensitivity in mice with SCI, possibly through targeting Mst1."
0,"Sen Lin, He Tian, Jiaquan Lin, Chang Xu, Yajiang Yuan, Shuang Gao, Changwei Song, Pengfei Lv, Xifan Mei","Zinc promotes autophagy and inhibits apoptosis through AMPK/mTOR signaling pathway after spinal cord injury",2020,"Neuroscience Letters","Elsevier Ireland Ltd","","",124,"2021-01-12 09:58:26","Article","10.1016/j.neulet.2020.135263","0304-3940","",736,,,,0,0.00,0,9,1,"Autophagy is a intracellular biological process that controls the homeostasis of nutrition deprivation and starvation and has been associated with the development of traumatic diseases. Zinc, an important chemical element involved in life activities, has improved nerve recovery effects through intraperitoneal injection. The purpose of this study was to probe the possible modulation of autophagy and apoptosis from the injured spinal cord and neurons by zinc administration. It was shown that zinc significantly induced the level of Beclinl and LC3B by activating adenosine 5'-monophosphate (AMP)-activated protein kinase (AMPK) signaling pathway. In addition, zinc suppressed apoptosis in the injured spinal cord. Taken together, these findings suggested that zinc through promoting neurons autophagy and inhibiting apoptosis."
0,"Rieko Muramatsu, Toshihide Yamashita","MOLECULAR MECHANISM UNDERLYING THE INHIBITION OF AXONAL REGENERATION AFTER CNS INJURY",2009,"Neurochemistry: Molecular Aspects, Cellular Aspects And Cinical Applications","Nova Science Publishers, Inc","","",125,"2021-01-12 09:58:26","Article","","","",,,247,250,0,0.00,0,2,12,"Improvement of the deficits in neural functions developing after injuries of the central nervous system (CNS), such as spinal cord injury and brain contusion is rare. Although functional recovery requires rearrangement of the injured neural network, adult CNS does not spontaneously regenerate after injury, at least partly because of the effect of inhibitory factors and weak intrinsic ability of the CNS to regenerate. Molecular mechanisms that prevent CNS regeneration have been investigated extensively. Proteins that are derived from myelin, derived from reactive astrocytes, and involved in repulsive axon guidance during the developmental stages have been identified as inhibitory factors for axon regeneration. Changes in the expression levels of intracellular signaling molecules such as cyclic adenosine 3',5'-monophosphate lead to changes in the intrinsic regenerative potential of neurons. Suppression of these inhibitory factors promotes functional recovery after CNS injury, presumably due to axon growth. Therefore, targeting these molecules could represent a powerful strategy for the treatment of patients with CNS injury."
0,"Ziru Zhao, Xiao Hu, Zhourui Wu, Qi Chen, Qihui Shao","A Selective P2Y Purinergic Receptor Agonist 2-MesADP Enhances Locomotor Recovery after Acute Spinal Cord Injury",2020,"European Neurology","Karger","","",126,"2021-01-12 09:58:26","Article","10.1159/000507854","0014-3022","",83,2,195,212,0,0.00,0,5,1,"Introduction: Spinal cord injury (SCI) causes most severe motor and sensory dysfunctions. In Chinese traditional medicine, the agonist of a purinergic receptor is believed to have a positive effect on SCIs, and 2-Methylthio-adenosine-5 ' -diphosphate (2-MesADP) is a selective agonist of the P2Y purinergic receptor. Methods: To investigate its therapeutic function and molecular mechanism in SCI, transcriptome analysis associated with weighted gene co-expression network analysis (WGCNA) was carried out at various time points after T9 crush injury. Results: 2-MesADP demonstrated recovery of limb motor function at the 6 weeks after injury, accompanied by neuronal regeneration and axon remyelination at 2 and 6 weeks. Furthermore, gene profiling revealed alternated gene expression with the treatment of 2-MesADP. These genes were assigned to a total of 38 modules, followed by gene ontology analysis; of these, 18 represented neuronal apoptosis and regeneration, immune response, synaptic transmission, cell cycle, and angiogenesis. In the neuronal apoptosis and regeneration module, Nefh, NeuroD6, and Dcx in the 2-MesADP group were noticed due to their interesting expression pattern. The gene expression patterns of Mag, Mog, and Cnp, which played key roles in myelination, were significantly changed with the treatment of 2-MesADP. Wnt signal pathway was the most important pathway in 2-MesADP treatment for acute SCI. Conclusion: 2-MesADP enhanced locomotor recovery in mouse SCI by altering the expression of neuronal apoptosis and remyelination-related genes and Wnt signaling pathways."
0,"Giuliano Taccola, Betsy Habeth Salazar, Rosamaria Apicella, Matthew Kevin Hogan, Philip John Horner, Dimitry Sayenko","Selective Antagonism of A1 Adenosinergic Receptors Strengthens the Neuromodulation of the Sensorimotor Network During Epidural Spinal Stimulation",2020,"Frontiers In Systems Neuroscience","Frontiers Media Sa","","",127,"2021-01-12 09:58:26","Article","10.3389/fnsys.2020.00044","","",14,,,,0,0.00,0,6,1,"Although epidural spinal stimulation (ESS) results in promising therapeutic effects in individuals with spinal cord injury (SCI), its potential to generate functional motor recovery varies between individuals and remains largely unclear. However, both preclinical and clinical studies indicate the capacity of electrical and pharmacological interventions to synergistically increase the engagement of spinal sensorimotor networks and regain motor function after SCI. This study explored whether selective pharmacological antagonism of the adenosine A1 receptor subtype synergizes with ESS, thereby increasing motor response. We hypothesized that selective pharmacological antagonism of A1 receptors during ESS would produce facilitatory effects in spinal sensorimotor networks detected as an increased amplitude of spinally-evoked motor potentials and sustained duration of ESS induced activity. Terminal experiments were performed in adult rats using trains of stereotyped pulses at 40 Hz delivered at L5 with the local administration to the cord of 8-cyclopentyl-1,3-dipropylxanthine (DPCPX). We demonstrated that ESS combined with the blockage of A1 receptors increased the magnitude of the endogenous modulation and postponed the decay of responses that occur during ESS alone. Although DPCPX significantly increased the yield of repetitive stimulation in intact spinal cords, the effects of A1 antagonism on motor evoked responses after an acute spinal transection was not detected. These studies support the future investigation of the optimal dosage, methods of delivery, and systemic effects of the synergistic application of A1 antagonists and spinal stimulation in the intact and injured spinal cord."
0,"Wei Yuan, Xin He, Didier Morin, Gregory Barriere, Xuan Liu, Jiatong Li, Yue Zhu","Autophagy Induction Contributes to the Neuroprotective Impact of Intermittent Fasting on the Acutely Injured Spinal Cord",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",128,"2021-01-12 09:58:26","Article","10.1089/neu.2020.7166","0897-7151","",,,,,0,0.00,0,7,1,"Spinal cord injury (SCI) is one of the leading causes of neurological disability and death. So far, there is no satisfactory treatment for SCI, because of its complex and ill-defined pathophysiology. Recently, autophagy has been implicated as protective in acute SCI rat models. Here, we investigated the therapeutic value of a dietary intervention, namely, intermittent fasting (IF), on neuronal survival after acute SCI in rats, and its underlying mechanism related to autophagy regulation. We found remarkable improvement in both behavioral performance and neuronal survival at the injured segment of the spinal cord of animals previously subjected to IF. Western blotting revealed a marked decrease in apoptosis-related markers such as cleaved caspase 3 levels and the bax/bcl-2 ratio in the IF group, which suggested an inhibition of the intrinsic apoptosis pathway. In addition, the expression of the autophagy markers LC3-II and beclin 1 was also increased in the IF group compared with ad libitum fed animals. In parallel, IF decreased the levels of the substrate protein of autophagy, p62, indicative of an upregulation of the autophagic processes. Treatment with 3-methyladenine (3-MA), a selective inhibitor of autophagy, reversed the downregulated apoptosis-related markers by IF. Finally, IF could activate the adenosine monophosphate (AMP)-activated protein kinase (AMPK)/mammalian target of rapamycin (mTOR) pathway and enhance lysosome function by upregulating transcription factor (TF)EB expression. Altogether, the present findings suggest that IF exerts a neuroprotective effect after acute SCI via the upregulation of autophagy, and further points to dietary interventions as a promising combinatorial treatment for SCI."
0,"Muddanna Sakkattu Rao, Ebtesam M. Abd-El-Basset","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory",2020,"Frontiers In Behavioral Neuroscience","Frontiers Media Sa","","",129,"2021-01-12 09:58:26","Article","10.3389/fnbeh.2020.00018","1662-5153","",14,,,,0,0.00,0,2,1,"Dibutyryl cyclic adenosine monophosphate (dBcAMP) is a cell-permeable synthetic analog of cyclic adenosine monophosphate (cAMP). Although the elevation of cAMP levels was reported to promote the functional recovery in spinal cord injury, its role in neurogenesis or functional recovery after hippocampal injury is unknown. The objective of the study was to investigate the effects of dBcAMP on learning, memory, and hippocampal neurogenesis in the excitotoxically lesioned hippocampus. An excitotoxic lesion was induced in the hippocampi of 4-month-old male BALB/c mice by injecting 0.25 mu g/mu l into the lateral ventricles of both sides. The lesioned mice (L) were divided into L+dBcAMP and L+phosphate-buffered saline (PBS) groups. Sham surgery (S) was done by the injection of 1 mu l of sterile saline into the lateral ventricles. The sham surgery mice were divided into S+dBcAMP and S+PBS groups. Mice in the L+dBcAMP and S+dBcAMP groups were treated with dBcAMP for 1 week (i.p., 50 mg/kg), whereas mice in the L+PBS and S+PBS groups were treated with PBS. The mice in all groups were subjected to water maze and passive avoidance tests at the end of the 4th week. Cresyl violet staining and NeuN and doublecortin immunostaining were done to analyze the morphology and neurogenesis. The water maze learning sessions did not show a significant difference in escape latency between the groups, suggesting an unimpaired learning ability of mice in all groups. The L+dBcAMP mice had significantly short entry latency and higher target quadrant time/distance traveled compared to the L+PBS group, suggesting better memory retention. The L+dBcAMP group had a significantly improved memory retention compared to the L+PBS mice during the passive avoidance test. Morphological studies showed significantly greater adult neurons and increased hippocampal neurogenesis in the hippocampus of mice in the L+dBcAMP group compared to those in the L+PBS group. There was no significant difference between the S+dBcAMP and S+PBS groups in the water maze/passive avoidance tests and the number of neurons. In conclusion, dBcAMP protects the hippocampal neuron from degeneration and enhances hippocampal neurogenesis, learning, and memory."
1,"Abdulghani Sankari, Zeljka Minic, Pershang Farshi, Medea Shanidze, Wafaa Mansour, Fangchao Liu, Guangzhao Mao, Harry G. Goshgarian","Sleep disordered breathing induced by cervical spinal cord injury and effect of adenosine A1 receptors modulation in rats",2019,"Journal Of Applied Physiology","Amer Physiological Soc","","",117,"2021-01-12 09:58:26","Article","10.1152/japplphysiol.00563.2019","8750-7587","",127,6,1668,1676,1,0.50,0,8,2,"Sleep-disordered breathing (SDB) is very common after spinal cord injury (SCI). The present study was designed to evaluate the therapeutic efficacy of adenosine A1 receptor blockade (8-cyclopentyl-1,3-dipropylxanthine, DPCPX) on SDB in a rodent model of SCI. We hypothesized that SCI induced via left hemisection of the second cervical segment (C2Hx) results in SDB. We further hypothesized that blockade of adenosine A1 receptors following C2Hx would reduce the severity of SDB. In the first experiment, adult male rats underwent left C2Hx or sham (laminectomy) surgery. Unrestrained whole body plethysmography (WBP) and implanted wireless electroencephalogram (EEG) were used for assessment of breathing during spontaneous sleep and for the scoring of respiratory events at the acute (similar to 1 wk), and chronic (similar to 6 wk) time points following C2Hx. During the second experiment, the effect of oral administration of adenosine A1 receptor antagonist (DPCPX, 3 times a day for 4 days) on SCI induced SDB was assessed. C2Hx animals exhibited a higher apnea-hypopnea index (AHI) compared with the sham group, respectively (35.5 +/- 12.6 vs. 19.1 +/- 2.1 events/h, P < 0.001). AHI was elevated 6 wk following C2Hx (week 6, 32.0 +/- 5.0 vs. week 1, 42.6 +/- 11.8 events/h, respectively, P = 0.12). In contrast to placebo, oral administration of DPCPX significantly decreased AHI 4 days after the treatment (159.8 +/- 26.7 vs. 69.5 +/- 8.9%, P < 0.05). Cervical SCI is associated with the development of SDB in spontaneously breathing rats. Adenosine A1 blockade can serve as a therapeutic target for SDB induced by SCI."
1,"Alba Guijarro-Belmar, Dominik Mateusz Domanski, Xuenong Bo, Derryck Shewan, Wenlong Huang","The therapeutic potential of targeting exchange protein directly activated by cyclic adenosine 3 ',5 '-monophosphate (Epac) for central nervous system trauma",2021,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",118,"2021-01-12 09:58:26","Review","10.4103/1673-5374.293256","1673-5374","",16,3,460,469,1,1.00,0,5,1,"Millions of people worldwide are affected by traumatic spinal cord injury, which usually results in permanent sensorimotor disability. Damage to the spinal cord leads to a series of detrimental events including ischaemia, haemorrhage and neuroinflammation, which over time result in further neural tissue loss. Eventually, at chronic stages of traumatic spinal cord injury, the formation of a glial scar, cystic cavitation and the presence of numerous inhibitory molecules act as physical and chemical barriers to axonal regrowth. This is further hindered by a lack of intrinsic regrowth ability of adult neurons in the central nervous system. The intracellular signalling molecule, cyclic adenosine 3 ',5 '-monophosphate (cAMP), is known to play many important roles in the central nervous system, and elevating its levels as shown to improve axonal regeneration outcomes following traumatic spinal cord injury in animal models. However, therapies directly targeting cAMP have not found their way into the clinic, as cAMP is ubiquitously present in all cell types and its manipulation may have additional deleterious effects. A downstream effector of cAMP, exchange protein directly activated by cAMP 2 (Epac2), is mainly expressed in the adult central nervous system, and its activation has been shown to mediate the positive effects of cAMP on axonal guidance and regeneration. Recently, using ex vivo modelling of traumatic spinal cord injury, Epac2 activation was found to profoundly modulate the post-lesion environment, such as decreasing the activation of astrocytes and microglia. Pilot data with Epac2 activation also suggested functional improvement assessed by in vivo models of traumatic spinal cord injury. Therefore, targeting Epac2 in traumatic spinal cord injury could represent a novel strategy in traumatic spinal cord injury repair, and future work is needed to fully establish its therapeutic potential."
