Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Jacquelyn J. Cragg, Catherine R. Jutzeler, Lukas Grassner, Matt Ramer, Frank Bradke, John L. K. Kramer","Beneficial ""Pharmaceutical Pleiotropy"" of Gabapentinoids in Spinal Cord Injury: A Case for Refining Standard-of-Care",2020,"Neurorehabilitation And Neural Repair","Sage Publications Inc","","",9,"2021-01-16 15:29:09","Article","10.1177/1545968320931516","1545-9683","",34,8,686,689,0,0.00,0,6,1,"Spinal cord injury results in devastating neurological deficits accompanied by lifelong disability and significant economic burden. While the development of novel compounds or cell-based interventions for spinal cord injury is unquestionably worthwhile, a complementary approach examines current standards of care and the degree to which these can be optimized to benefit long-term neurological function. Numerous classes of drugs, already in use in the acute phase of spinal cord injury, are intriguing because they (1) readily cross the blood-spinal cord barrier to modulate activity in the central nervous system and (2) are administered during a window of time in which neuroprotection, and even some repair, are feasible. Here, we review a rare case of convergent lines of evidence from both preclinical and human studies to support the early administration of a class of drug (ie, gabapentinoids) to both foster motor recovery and reduce the severity of neuropathic pain."
0,"Erik Shaw, Michael Saulino","Management Strategies for Spinal Cord Injury Pain Updated for the Twenty-First Century",2020,"Physical Medicine And Rehabilitation Clinics Of North America","W B Saunders Co-Elsevier Inc","","",10,"2021-01-16 15:29:09","Article","10.1016/j.pmr.2020.03.004","1047-9651","",31,3,369,,0,0.00,0,2,1,"Traumatic spinal cord injury (SCI) often results in several life-altering impairments, including paralysis, sensory loss, and neurogenic bowel/bladder dysfunction. Some of these SCI-related conditions can be accommodated with compensatory strategies. Perhaps no SCI-associated condition is more troublesome and recalcitrant to the treating physiatrist than chronic neuropathic pain. In addition to the expected challenges in treating any chronic pain condition, treatment of SCI-related pain has the added difficulty of disruption of normal neural pathways that subserve pain transmission and attenuation. This article reviews selected treatment strategies for SCI-associated neuropathic pain."
0,"Liting Sun, Sue Fleetwood-Walker, Rory Mitchell, Elbert A. Joosten, Chi Wai Cheung","Prolonged Analgesia by Spinal Cord Stimulation Following a Spinal Injury Associated With Activation of Adult Neural Progenitors",2020,"Pain Practice","Wiley","","",11,"2021-01-16 15:29:09","Article","10.1111/papr.12921","1530-7085","",20,8,859,877,0,0.00,0,5,1,"Objectives Responses of spinal progenitors to spinal cord stimulation (SCS) following spinal cord injury (SCI) in rats were assessed to reveal their potential contribution to SCS-induced analgesia. Methods Spinal epidural electrodes were implanted in rats at T12 rostral to a quadrant dorsal horn injury at T13. Further groups additionally received either a microlesion to the dorsolateral funiculus (DLF) or gabapentin (10 mg/kg). SCS was performed at 25 Hz for 10 minutes on day 4 (early SCS) and at 10 Hz for 10 minutes on day 8 (late SCS) after injury. Paw withdrawal threshold (PWT) was measured before injury, 30 minutes before or after SCS, and before cull on day 14, followed by immunostaining assessment. Results Paw withdrawal thresholds in uninjured animals (51.0 +/- 4.0 g) were markedly reduced after SCI (17.3 +/- 2.2 g). This was significantly increased by early SCS (38.5 +/- 5.2 g,P < 0.01) and further enhanced by late SCS (50.9 +/- 1.9 g,P < 0.01) over 6 days. Numbers of neural progenitors expressing nestin, Sox2, and doublecortin (DCX) in the spinal dorsal horn were increased 6 days after SCS by 6-fold, 2-fold, and 2.5-fold, respectively (P < 0.05 to 0.01). The elevated PWT evoked by SCS was abolished by DLF microlesions (48.9 +/- 2.6 g vs. 19.0 +/- 3.9 g,P < 0.01) and the number of nestin-positive cells was reduced to the level without SCS (P < 0.05). Gabapentin enhanced late SCS-induced analgesia from 37.0 +/- 3.9 g to 54.0 +/- 0.8 g (P < 0.01) and increased gamma-aminobutyric acid (GABA)-ergic neuronal marker vesicular GABA transporter-positive newborn cells 2-fold (P < 0.01). Conclusions Spinal progenitor cells appear to be activated by SCS via descending pathways, which may be enhanced by gabapentin and potentially contributes to relief of SCI-induced neuropathic pain."
1,"Malik Hamdaoui, Elisabeth Ruppert, Henri Comtet, Ulker Kilic-Huck, Valerie Wolff, Marc Bataillard, Patrice Bourgin","Restless legs syndrome related to hemorrhage of a thoracic spinal cord cavernoma",2018,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd","","",8,"2021-01-16 15:29:09","Article","10.1080/10790268.2017.1368963","1079-0268","",41,2,245,247,1,0.33,0,7,3,"Context: Restless legs syndrome (RLS) is a common neurological disorder characterized by an irresistible urge to move the lower limbs often accompanied by unpleasant sensations in the legs, worsened at rest and in the evening. Symptoms are improved by movement. Its pathophysiology remains poorly understood. Lesion-related RLS has been reported, mainly in cases of stroke-related RLS involving the brainstem and lenticulostriate nuclei. Only few data of RLS in a context of spinal cord injury have been reported."
5,"Ashwini Oiha, Raieshwari Rathod, Chaula Patel, Harish Padh","LC-MS determination of gabapentin from human plasma",2007,"Chromatographia","Springer Heidelberg","","",7,"2021-01-16 15:29:09","Article","10.1365/s10337-007-0423-3","0009-5893","",66,11,853,857,5,0.36,1,4,14,"Gabapentin is an anticonvulsant drug used for the treatment of epilepsy. It is not bound to plasma protein and is not metabolized. A high performance liquid chromatography-mass spectrometric micro method is described in this report for its determination from human plasma. Chromatography was performed on a 50 x 4.6 mm, 4 mu m nitrile column and the parent ion detected in the positive ionization mode on single quadrupole analyzer (Q1MI) with atmospheric pressure ionization source. Extraction was carried out on C-18, 100 mg/3cc cartridge using 10 mu L sample volume. The mean extraction recovery was 97% and within batch and between batch coefficients of variation were < 9%. Lack of interference from endogenous substances helped in achieving a highly sensitive method without the need for monitoring fragment ions. The lowest concentration injected on column for calibration curve was 195 pg (range 0.5-64 ng). The method was applied for analysis of samples from a cross-over bio-equivalence study comparing two formulations."
8,"Wenjing Sun, Molly J. E. Larson, Conrad M. Kiyoshi, Alexander J. Annett, William A. Stalker, Juan Peng, Andrea Tedeschi","Gabapentinoid treatment promotes corticospinal plasticity and regeneration following murine spinal cord injury",2020,"Journal Of Clinical Investigation","Amer Soc Clinical Investigation Inc","","",6,"2021-01-16 15:29:09","Article","10.1172/JCI130391","0021-9738","",130,1,345,358,8,8.00,1,7,1,"Axon regeneration failure causes neurological deficits and long-term disability after spinal cord injury (SCI). Here, we found that the alpha 2 delta 2 subunit of voltage-gated calcium channels negatively regulates axon growth and regeneration of corticospinal neurons, the cells that originate the corticospinal tract. Increased alpha 2 delta 2 expression in corticospinal neurons contributed to loss of corticospinal regrowth ability during postnatal development and after SCI. In contrast, alpha 2 delta 2 pharmacological blockade through gabapentin administration promoted corticospinal structural plasticity and regeneration in adulthood. Using an optogenetic strategy combined with in vivo electrophysiological recording, we demonstrated that regenerating corticospinal axons functionally integrate into spinal circuits. Mice administered gabapentin recovered upper extremity function after cervical SCI. Importantly, such recovery relies on reorganization of the corticospinal pathway, as chemogenetic silencing of injured corticospinal neurons transiently abrogated recovery. Thus, targeting alpha 2 delta 2 with a clinically relevant treatment strategy aids repair of motor circuits after SCI."
11,"Kei Kato, Masashi Yamazaki, Akihiko Okawa, Takeo Furuya, Tsuyoshi Sakuma, Hiroshi Takahashi, Koshiro Kamiya, Taigo Inada, Kazuhisa Takahashi, Masao Koda","Intravenous administration of granulocyte colony-stimulating factor for treating neuropathic pain associated with compression myelopathy: a phase I and IIa clinical trial",2013,"European Spine Journal","Springer","","",5,"2021-01-16 15:29:09","Article","10.1007/s00586-012-2556-9","0940-6719","",22,1,197,204,11,1.38,1,10,8,"To confirm the feasibility and safety of granulocyte colony-stimulating factor (G-CSF) for treating spinal neuropathic pain associated with compression myelopathy, we have initiated an open-label single-center prospective clinical trial."
12,"Mostafa M. Ahmed, HyunKyung Lee, Zach Clark, Gurwattan S. Miranpuri, Carrie Nacht, Kush Patel, Lisa Liu, Jiliian Joslin, Douglus Kintner, Daniel K. Resnick","Pathogenesis of spinal cord injury induced edema and neuropathic pain: expression of multiple isoforms of wnk",2014,"Annals Of Neurosciences","Karger","","",4,"2021-01-16 15:29:09","Article","10.5214/ans.0972.7531.210305","0972-7531","",21,3,97,103,12,1.71,1,10,7,"Background: Neuropathic pain (NP) is a common occurrence following spinal cord injury (SCI). Identification of specific molecular pathways that are involved in pain syndromes has become a major priority in current SCI research. We have investigated the role of a cation-dependent chloride transporter, Cl-regulatory protein Na+K+- Cl-1 (NKCC1), phosphorylation profile of NKCC1 and its specific involvement in neuropathic pain following contusion SCI (cSCI) using a rat model. Administration of the NKCC1 inhibitor bumetanide (BU) increases the mean hindpaw withdrawal latency time (WLT), thermal hyperalgesia (TH) following cSCI. These results demonstrate implication of NKCC1 co-transporter and BUin SCI-induced neuropathic pain. The with-no-lysine (K)-1 (WNK1) kinase has been shown to be an important regulator of NKCC1 phosphorylation in many systems, including nocioception. Mutations in a neuronal-specific exon of WNK1 (HSN2) was identified in patients that have hereditary sensory neuropathy type II (HSANII) also implicates WNK1 in nocioception, such that these patients have loss of perception to pain, touch and heat. In our ongoing research we proposed two studies utilizing our contusion SCI (cSCI) NP model of rat. Purpose: Study 1 aimed at NKCC1 expression and activity is up-regulated following cSCI in the early edema and chronic neuropathic pain phases. Study 2 aimed at identifying the expression profile of alternatively spliced WNK1 isoforms in animals exhibiting thermal hyperalgesia (TH) following cSCI. Methods: Adult male Sprague Dawley rats (275-300 g) following laminectomy received cSCI at T9 with the NYU impactor-device II by dropping 10 g weight from the height of 12.5 mm. Control rats obtained laminectomy but no impaction. Following injury, functional recovery was assessed by BBB locomotor scores on day 1, 7, 14, 21, 35, and 42 and development of thermal hyperalgesia on day 21, 28, 35, and 42 day of injury by monitoring hind paw withdraw latency time (WLT) in seconds compared with the baseline data before injury. Results: Increased NKCC1 may explain observed increase in magnetic resonance imaging (MRI) T2, exhibiting NKCC1 localization in neurons. This data supports NKCC1' s role in the pathogenesis of acute and chronic phases of injury, namely spinal cord edema and chronic phase neuropathic pain. NKCC1 dependent chloride influx requires the phosphorylation at specific residues. Probing for the HSN2 exon of WNK1 reveals two key findings: i) the HSN2 exon is found in alternatively spliced neuronal isoforms found at 250 kDa and 230 kDa; ii) the 250 kDa isoform is found only in tissue that is injured. Conclusions: This data implicates the NKCC1/WNK1/WNK1HSN2 involvement in post-injury response that contributes to the development of neuropathic pain. Targeting this system may have therapeutic benefit."
16,"Jacquelyn J. Cragg, Jenny Haefeli, Catherine R. Jutzeler, Frank Roehrich, Norbert Weidner, Marion Saur, Doris D. Maier, Yorck B. Kalke, Christian Schuld, Armin Curt, John K. Kramer","Effects of Pain and Pain Management on Motor Recovery of Spinal Cord-Injured Patients: A Longitudinal Study",2016,"Neurorehabilitation And Neural Repair","Sage Publications Inc","","",3,"2021-01-16 15:29:09","Article","10.1177/1545968315624777","1545-9683","",30,8,753,761,16,3.20,2,11,5,"Background. Approximately 60% of patients suffering from acute spinal cord injury (SCI) develop pain within days to weeks after injury, which ultimately persists into chronic stages. To date, the consequences of pain after SCI have been largely examined in terms of interfering with quality of life. Objective. The objective of this study was to examine the effects of pain and pain management on neurological recovery after SCI. Methods. We analyzed clinical data in a prospective multicenter observational cohort study in patients with SCI. Using mixed effects regression techniques, total motor and sensory scores were modelled at 1, 3, 6, and 12 months postinjury. Results. A total of 225 individuals were included in the study (mean age: 45.8 +/- 18 years, 80% male). At 1 month postinjury, 28% of individuals with SCI reported at- or below-level neuropathic pain. While pain classification showed no effect on neurological outcomes, individuals administered anticonvulsant medications at 1 month postinjury showed significant reductions in pain intensity (2 points over 1 year; P < .05) and greater recovery in total motor scores (7.3 points over 1 year; P < .05). This drug effect on motor recovery remained significant after adjustment for injury level and injury severity, pain classification, and pain intensity. Conclusion. While initial pain classification and intensity did not reveal an effect on motor recovery following acute SCI, anticonvulsants conferred a significant beneficial effect on motor outcomes. Early intervention with anticonvulsants may have effects beyond pain management and warrant further studies to evaluate the therapeutic effectiveness in human SCI."
19,"Mitsuo Tanabe, Koto Ono, Motoko Honda, Hideki Ono","Gabapentin and pregabalin ameliorate mechanical hypersensitivity after spinal cord injury in mice",2009,"European Journal Of Pharmacology","Elsevier Science Bv","","",2,"2021-01-16 15:29:09","Article","10.1016/j.ejphar.2009.03.020","0014-2999","",609,1,65,68,19,1.58,5,4,12,"The antiepileptic drugs gabapentin and pregabalin exhibit well-established analgesic effects in patients with several neuropathic conditions. In the present study, we examined their effects on mechanical hypersensitivity in mice subjected to weight-drop spinal cord injury. Hindlimb motor function and mechanical hypersensitivity were evaluated using the Basso-Beattie-Bresnahan (BBB) locomotor rating scale and the von Frey test, respectively, for 4 weeks after spinal cord injury. Despite gradual recovery of hindlimb motor function after spinal cord injury, mice exhibited continuous development of mechanical hypersensitivity. Gabapentin (30 and 100 mg/kg) and pregabalin (10 and 30 mg/kg), administered intraperitoneally on the 28th day after spinal cord injury, reduced mechanical hypersensitivity in a dose-dependent manner. These results suggest that gabapentin and pregabalin could be useful therapeutic tools for patients with neuropathic pain after spinal cord injury. (C) 2009 Elsevier B.V. All rights reserved."
