Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
2,"Andrea Bighinati, Maria Letizia Focarete, Chiara Gualandi, Micaela Pannella, Alessandro Giuliani, Sarah Beggiato, Luca Ferraro, Luca Lorenzini, Luciana Giardino, Laura Calza","Improved Functional Recovery in Rat Spinal Cord Injury Induced by a Drug Combination Administered with an Implantable Polymeric Delivery System",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",12,"2021-01-16 15:46:59","Article","10.1089/neu.2019.6949","0897-7151","",37,15,1708,1719,2,2.00,0,10,1,"Spinal cord injury (SCI) is an incurable condition, in which a cascade of cellular and molecular events triggered by inflammation and excitotoxicity impairs endogenous regeneration, namely remyelination and axonal outgrowth. We designed a treatment solution based on an implantable biomaterial (electrospun poly (l-lactic acid) [PLLA]) loaded with ibuprofen and triiodothyronine (T3) to counteract inflammation, thus improving endogenous regeneration. In vivo efficacy was tested by implanting the drug-loaded PLLA in the rat model of T8 contusion SCI. We observed the expected recovery of locomotion beginning on day 7. In PLLA-implanted rats (i.e., controls), the recovery stabilized at 21 days post-lesion (DPL), after which no further improvement was observed. On the contrary, in PLLA + ibuprofen (Ibu) + T3 (PLLA-Ibu-T3) rats a further recovery and a significant treatment effect were observed, also confirmed by the gait analysis on 49 DPL. Glutamate release at 24 h and 8 DPL was reduced in PLLA-Ibu-T3- compared to PLLA-implanted rats, such as the estimated lesion volume at 60 DPL. The myelin- and 200-neurofilament-positive area fraction was higher in PLLA-Ibu-T3-implanted rats, where the percentage of astrocytes was significantly reduced. The implant of a PLLA electrospun scaffold loaded with Ibu and T3 significantly improves the endogenous regeneration, leading to an improvement of functional locomotion outcome in the SCI."
8,"Marcel A. Kopp, Thomas Liebscher, Ralf Watzlawick, Peter Martus, Stefan Laufer, Christian Blex, Ralf Schindler, Gerhard J. Jungehulsing, Sven Knueppel, Martin Kreutztraeger, Axel Ekkernkamp, Ulrich Dirnagl, Stephen M. Strittmatter, Andreas Niedeggen, Jan M. Schwab","SCISSOR-Spinal Cord Injury Study on Small molecule-derived Rho inhibition: a clinical study protocol",2016,"Bmj Open","Bmj Publishing Group","","",11,"2021-01-16 15:46:59","Article","10.1136/bmjopen-2015-010651","2044-6055","",6,7,,,8,1.60,1,15,5,"Introduction: The approved analgesic and anti-inflammatory drugs ibuprofen and indometacin block the small GTPase RhoA, a key enzyme that impedes axonal sprouting after axonal damage. Inhibition of the Rho pathway in a central nervous system-effective manner requires higher dosages compared with orthodox cyclooxygenase-blocking effects. Preclinical studies on spinal cord injury ( SCI) imply improved motor recovery after ibuprofen/indometacin-mediated Rho inhibition. This has been reassessed by a metaanalysis of the underlying experimental evidence, which indicates an overall effect size of 20.2% regarding motor outcome achieved after ibuprofen/ indometacin treatment compared with vehicle controls. In addition, ibuprofen/ indometacin may also limit sickness behaviour, non-neurogenic systemic inflammatory response syndrome ( SIRS), neuropathic pain and heterotopic ossifications after SCI. Consequently, 'small molecule'-mediated Rho inhibition after acute SCI warrants clinical investigation."
10,"Lei Qi, Haiyan Jiang, Xiaohui Cui, Guiwen Liang, Ming Gao, Zhongwei Huang, Qinghua Xi","Synthesis of methylprednisolone loaded ibuprofen modified dextran based nanoparticles and their application for drug delivery in acute spinal cord injury",2017,"Oncotarget","Impact Journals Llc","","",10,"2021-01-16 15:46:59","Article","10.18632/oncotarget.20649","","",8,59,99666,99680,10,2.50,1,7,4,"To improve the therapeutic efficacy of spinal cord injury (SCI), the methylprednisolone was incorporated into nanoparticles based on the ibuprofen modified dextran. The ibuprofen modified dextran was synthesized using a direct esterification linkage between the carboxylic acids of hydrophobic drug and the hydroxyl groups of the polymer backbone. The morphology of methylprednisolone loaded nanoparticles was evaluated by transmission electron microscopy (TEM) and dynamic light scattering (DLS). The therapeutic efficacy of the prepared nanoparticles on the acute SCI model rats was assessed. It is demonstrated that methylprednisolone loaded ibuprofen modified dextran based nanoparticles (MP-loaded NPs) could promote the recovery of neurological deficits, enhance growth of neurons, decrease degeneration of injuried neurons and reduce the tissue tumor necrosis factor alpha (TNF-alpha) levels significantly in the SCI rats. Subsequently, the study indicates that synthesis of methylprednisolone loaded ibuprofen modified dextran based nanoparticles has a great potential in the synergetic effect treatment for spinal cord injury and nanoparticles based drug delivery system will become a powerful weapon of human conquest of disease."
15,"Elena Redondo-Castro, Xavier Navarro","Chronic ibuprofen administration reduces neuropathic pain but does not exert neuroprotection after spinal cord injury in adult rats",2014,"Experimental Neurology","Academic Press Inc Elsevier Science","","",9,"2021-01-16 15:46:59","Article","10.1016/j.expneurol.2013.11.008","0014-4886","",252,,95,103,15,2.14,8,2,7,"Ibuprofen is commonly used as an anti-inflammatory analgesic drug, although it is not amongst the first-line treatments for neuropathic pain. Its main effects are mediated by non-specific inhibition of COX enzymes, but it also exerts some COX-independent effects, such as the inhibition of RhoA signaling and the modulation of glial activity. These effects have boosted the use of ibuprofen as a tool to promote axonal regeneration and to increase functional recovery after neural injuries, although with controversial results showing positive and negative outcomes of ibuprofen treatment in several experimental models. We have evaluated the effects of ibuprofen administered at 60 mg/kg twice a day to rats subjected to a mild spinal cord contusion. Our results indicate that ibuprofen ameliorates mechanical hyperalgesia in rats by reducing central hyperexcitability, but failed to produce improvements in the recovery of locomotion. Despite an early effect on reducing microglial reactivity, the ibuprofen treatment did not provide histological evidence of neuroprotection; indeed the volume of cord tissue spared rostral to the lesion was decreased in ibuprofen treated rats. In summary, the early modulation of neuroinflammation produced by the administration of ibuprofen seems to eventually lead to a worse resolution of detrimental events occurring in the secondary injury phase, but also to reduce the development of neuropathic pain. (C) 2013 Elsevier Inc. All rights reserved."
23,"Kelli G. Sharp, Kelly Matsudaira Yee, Travis L. Stiles, Robert M. Aguilar, Oswald Steward","A re-assessment of the effects of treatment with a non-steroidal anti-inflammatory (ibuprofen) on promoting axon regeneration via RhoA inhibition after spinal cord injury",2013,"Experimental Neurology","Academic Press Inc Elsevier Science","","",8,"2021-01-16 15:46:59","Article","10.1016/j.expneurol.2013.06.023","0014-4886","",248,,321,337,23,2.88,5,5,8,"This study was undertaken as part of the NIH ""Facilities of Research Excellence-Spinal Cord Injury"" project to support independent replication of published studies. Here, we repeat key parts of a study reporting that rats treated with ibuprofen via subcutaneous minipump exhibited greater recovery of motor function and enhanced axonal growth after spinal cord injury. We carded out 3 separate experiments in which young adult female Sprague-Dawley rats received dorsal over-hemisections at T6-T7, and then were implanted with osmotic minipumps for subcutaneous delivery of ibuprofen or saline. Motor function was assessed with the BBB Locomotor Rating Scale, footprint analysis, and with a grid walk task. Combined group sizes for functional analyses were n = 34 rats treated with ibuprofen and n = 39 controls. Bladder function was assessed by measuring the amount of urine retained in the bladder twice per day. Four weeks post-injury, CST axons were traced by injecting BDA into the sensorimotor cortex; 5HT axons were assessed by immunostaining. Analysis of data from all rats revealed no significant differences between groups. Analysis of data excluding rats with lesions that were larger than intended indicated improved locomotor function in ibuprofen-treated rats at early post-lesion intervals in one of the individual experiments. Rats that received Ibuprofen did not demonstrate statistically significant improvements in bladder function. Quantitative analyses of CST and 5HT axon distribution also did not reveal differences between ibuprofen-treated and control rats. Taken together, our results only partially replicate the findings that treatment with ibuprofen improves motor function after SCI but fail to replicate findings regarding enhanced axon growth. (C) 2013 Published by Elsevier Inc."
28,"Frank Roloff, Hannah Scheiblich, Carola Dewitz, Silke Dempewolf, Michael Stern, Gerd Bicker","Enhanced Neurite Outgrowth of Human Model (NT2) Neurons by Small-Molecule Inhibitors of Rho/ROCK Signaling",2015,"Plos One","Public Library Science","","",7,"2021-01-16 15:46:59","Article","10.1371/journal.pone.0118536","1932-6203","",10,2,,,28,4.67,5,6,6,"Axonal injury in the adult human central nervous system often results in loss of sensation and motor functions. Promoting regeneration of severed axons requires the inactivation of growth inhibitory influences from the tissue environment and stimulation of the neuron intrinsic growth potential. Especially glial cell derived factors, such as chondroitin sulfate proteoglycans, Nogo-A, myelin-associated glycoprotein, and myelin in general, prevent axon regeneration. Most of the glial growth inhibiting factors converge onto the Rho/ROCK signaling pathway in neurons. Although conditions in the injured nervous system are clearly different from those during neurite outgrowth in vitro, here we use a chemical approach to manipulate Rho/ROCK signalling with small-molecule agents to encourage neurite outgrowth in cell culture. The development of therapeutic treatments requires drug testing not only on neurons of experimental animals, but also on human neurons. Using human NT2 model neurons, we demonstrate that the pain reliever Ibuprofen decreases RhoA (Ras homolog gene family, member A GTPase) activation and promotes neurite growth. Inhibition of the downstream effector Rho kinase by the drug Y-27632 results in a strong increase in neurite outgrowth. Conversely, activation of the Rho pathway by lysophosphatidic acid results in growth cone collapse and eventually to neurite retraction. Finally, we show that blocking of Rho kinase, but not RhoA results in an increase in neurons bearing neurites. Due to its anti-inflammatory and neurite growth promoting action, the use of a pharmacological treatment of damaged neural tissue with Ibuprofen should be explored."
37,"Bin Xing, Hui Li, Hongyu Wang, Dhriti Mukhopadhyay, Daniel Fisher, Christopher J. Gilpin, Shuxin Li","RhoA-inhibiting NSAIDs promote axonal myelination after spinal cord injury",2011,"Experimental Neurology","Academic Press Inc Elsevier Science","","",6,"2021-01-16 15:46:59","Article","10.1016/j.expneurol.2011.06.018","0014-4886","",231,2,247,260,37,3.70,5,7,10,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are extensively used to relieve pain and inflammation in humans via cyclooxygenase inhibition. Our recent research suggests that certain NSAIDs including ibuprofen suppress intracellular RhoA signal and improve significant axonal growth and functional recovery following axonal injury in the CNS. Several NSAIDs have been shown to reduce generation of amyloid-beta42 peptide via inactivation of RhoA signal, supporting potent RhoA-repressing function of selected NSAIDs. In this report. we demonstrate that RhoA-inhibiting NSAIDs ibuprofen and indomethacin dramatically reduce cell death of oligodendrocytes in cultures or along the white matter tracts in rats with a spinal cord injury. More importantly, we demonstrate that treatments with the RhoA-inhibiting NSAIDs significantly increase axonal myelination along the white matter tracts following a traumatic contusion spinal cord injury. In contrast, non-RhoA-inhibiting NSAID naproxen does not have such an effect. Thus, our results suggest that RhoA inactivation with certain NSAIDs benefits recovery of injured CNS axons not only by promoting axonal elongation, but by enhancing glial survival and axonal myelination along the disrupted axonal tracts. This study, together with previous reports, supports that RhoA signal is an important therapeutic target for promoting recovery of injured CNS and that RhoA-inhibiting NSAIDs provide great therapeutic potential for CNS axonal injuries in adult mammals. (C) 2011 Elsevier Inc. All rights reserved."
45,"M. A. Kopp, T. Liebscher, A. Niedeggen, S. Laufer, B. Brommer, G. J. Jungehulsing, S. M. Strittmatter, U. Dirnagl, J. M. Schwab","Small-molecule-induced Rho-inhibition: NSAIDs after spinal cord injury",2012,"Cell And Tissue Research","Springer","","",5,"2021-01-16 15:46:59","Review","10.1007/s00441-012-1334-7","0302-766X","",349,1,119,132,45,5.00,5,9,9,"Limited axonal plasticity within the central nervous system (CNS) is a major restriction for functional recovery after CNS injury. The small GTPase RhoA is a key molecule of the converging downstream cascade that leads to the inhibition of axonal re-growth. The Rho-pathway integrates growth inhibitory signals derived from extracellular cues, such as chondroitin sulfate proteoglycans, Nogo-A, myelin-associated glycoprotein, oligodendrocyte-myelin glycoprotein, Ephrins and repulsive guidance molecule-A, into the damaged axon. Consequently, the activation of RhoA results in growth cone collapse and finally outgrowth failure. In turn, the inhibition of RhoA-activation blinds the injured axon to its growth inhibitory environment resulting in enhanced axonal sprouting and plasticity. This has been demonstrated in various CNS-injury models for direct RhoA-inhibition and for downstream/upstream blockade of the RhoA-associated pathway. In addition, RhoA-inhibition reduces apoptotic cell death and secondary damage and improves locomotor recovery in clinically relevant models after experimental spinal cord injury (SCI). Unexpectedly, a subset of ""small molecules"" from the group of non-steroid anti-inflammatory drugs, particularly the FDA-approved ibuprofen, has recently been identified as (1) inhibiting RhoA-activation, (2) enhancing axonal sprouting/regeneration, (3) protecting ""tissue at risk"" (neuroprotection) and (4) improving motor recovery confined to realistic therapeutical time-frames in clinically relevant SCI models. Here, we survey the effect of small-molecule-induced RhoA-inhibition on axonal plasticity and neurofunctional outcome in CNS injury paradigms. Furthermore, we discuss the body of preclinical evidence for a possible clinical translation with a focus on ibuprofen and illustrate putative risks and benefits for the treatment of acute SCI."
51,"Ralf Watzlawick, Emily S. Sena, Ulrich Dirnagl, Benedikt Brommer, Marcel A. Kopp, Malcolm R. Macleod, David W. Howells, Jan M. Schwab","Effect and Reporting Bias of RhoA/ROCK-Blockade Intervention on Locomotor Recovery After Spinal Cord Injury A Systematic Review and Meta-analysis",2014,"Jama Neurology","Amer Medical Assoc","","",4,"2021-01-16 15:46:59","Review","10.1001/jamaneurol.2013.4684","2168-6149","",71,1,91,99,51,7.29,6,8,7,"IMPORTANCE Blockade of small GTPase-RhoA signaling pathway is considered a candidate translational strategy to improve functional outcome after spinal cord injury (SCI) in humans. Pooling preclinical evidence by orthodoxmeta-analysis is confounded by missing data (publication bias)."
53,"Xingxing Wang, Stephane Budel, Kenneth Baughman, Grahame Gould, Kang-Ho Song, Stephen M. Strittmatter","Ibuprofen Enhances Recovery from Spinal Cord Injury by Limiting Tissue Loss and Stimulating Axonal Growth",2009,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",2,"2021-01-16 15:46:59","Article","10.1089/neu.2007.0464","0897-7151","",26,1,81,95,53,4.42,9,6,12,"The GTP-binding protein RhoA regulates microfilament dynamics in many cell types and mediates the inhibition of axonal regeneration by myelin and chondroitin sulfate proteoglycans. Unlike most other nonsteroidal anti-inflammatory drugs, ibuprofen suppresses basal RhoA activity (Zhou et al., 2003). A recent report suggested that ibuprofen promotes corticospinal axon regeneration after spinal cord injury (Fu et al., 2007). Here, we confirm that ibuprofen reduces ligand-induced Rho signaling and myelin-induced inhibition of neurite outgrowth in vitro. Following 4 weeks of subcutaneous administration of ibuprofen, beginning 3 days after spinal cord contusion, animals recovered walking function to a greater degree, with twice as many rats achieving a hind limb weight-bearing status. We examined the relative role of tissue sparing, axonal sprouting, and axonal regeneration in the action of ibuprofen. Histologically, ibuprofen-treated animals display an increase in spared tissue without an alteration in astrocytic or microglial reaction. Ibuprofen increases axonal sprouting from serotonergic raphespinal axons, and from rostral corticospinal fibers in the injured spinal cord, but does not permit caudal corticospinal regeneration after spinal contusion. Treatment of mice with complete spinal cord transection demonstrates long-distance raphespinal axon regeneration in the presence of ibuprofen. Thus, administration of ibuprofen improves the recovery of rats from a clinically relevant spinal cord trauma by protecting tissue, stimulating axonal sprouting, and allowing a minor degree of raphespinal regeneration."
