Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Lesang Shen, Danfeng Lin, Xiaoyi Li, Haijian Wu, Cameron Lenahan, Yuanbo Pan, Weilin Xu, Yiding Chen, Anwen Shao, Jianmin Zhang","Ferroptosis in Acute Central Nervous System Injuries: The Future Direction?",2020,"Frontiers In Cell And Developmental Biology","Frontiers Media Sa","","",18,"2021-01-17 15:32:40","Article","10.3389/fcell.2020.00594","2296-634X","",8,,,,0,0.00,0,10,1,"Acute central nervous system (CNS) injuries, such as stroke, traumatic brain injury (TBI), and spinal cord injury (SCI) present a grave health care challenge worldwide due to high morbidity and mortality, as well as limited clinical therapeutic strategies. Established literature has shown that oxidative stress (OS), inflammation, excitotoxicity, and apoptosis play important roles in the pathophysiological processes of acute CNS injuries. Recently, there have been many studies on the topic of ferroptosis, a form of regulated cell death characterized by the accumulation of iron-dependent lipid peroxidation. Some studies have revealed an emerging connection between acute CNS injuries and ferroptosis. Ferroptosis, induced by the abnormal metabolism of lipids, glutathione (GSH), and iron, can accelerate acute CNS injuries. However, pharmaceutical agents, such as iron chelators, ferrostatin-1 (Fer-1), and liproxstatin-1 (Lip-1), can inhibit ferroptosis and may have neuroprotective effects after acute CNS injuries. However, the specific mechanisms underlying this connection has not yet been clearly elucidated. In this paper, we discuss the general mechanisms of ferroptosis and its role in stroke, TBI, and SCI. We also summarize ferroptosis-related drugs and highlight the potential therapeutic strategies in treating various acute CNS injuries. Additionally, this paper suggests a testable hypothesis that ferroptosis may be a novel direction for further research of acute CNS injuries by providing corresponding evidence."
0,"J. P. J. M. de Munter, J. Mey, T. Strekalova, B. W. Kramer, E. Ch. Wolters","Why do anti-inflammatory signals of bone marrow-derived stromal cells improve neurodegenerative conditions where anti-inflammatory drugs fail?",2020,"Journal Of Neural Transmission","Springer Wien","","",19,"2021-01-17 15:32:40","Review","10.1007/s00702-020-02173-3","0300-9564","",127,5,715,727,0,0.00,0,5,1,"Neurodegenerative disorders share the final degenerative pathway, the inflammation-induced apoptosis and/or necrosis, irrespective of their etiology, be it of acute and chronic traumatic, vascular and idiopathic origin. Although disease-modifying strategies are an unmet need in these disorders, lately, (pre)clinical studies suggested favorable effects after an intervention with bone marrow-derived stromal cells (bm-SC). Recent interventions with intrathecal transplantation of these cells in preclinical rodent models improved the functional outcome and reduced the inflammation, but not anti-inflammatory drugs. The benefit of bm-SCs was demonstrated in rats with an acute (traumatic spinal cord injury, tSCI) and in mice with a chronic [amyotrophic lateral sclerosis (ALS)-like FUS 1-358 or SOD1-G93-A mutation] neurodegenerative process. Bm-SCs, were found to modify underlying disease processes, to reduce final clinical SCI-related outcome, and to slow down ALS-like clinical progression. After double-blind interventions with bm-SC transplantations, Vehicle (placebo), and (non)steroidal anti-inflammatory drugs (Methylprednisolone, Riluzole, Celecoxib), clinical, histological and histochemical findings, serum/spinal cytokines, markers for spinal microglial activation inclusive, evidenced the cell-to-cell action of bm-SCs in both otherwise healthy and immune-deficient tSCI-rats, as well as wild-type and FUS/SOD1-transgenic ALS-like mice. The multi-pathway hypothesis of the cell-to-cell action of bmSCs, presumably using extracellular vesicles (EVs) as carriers of messages in the form of RNAs, DNA, proteins, and lipids rather than influencing a single inflammatory pathway, could be justified by the reported differences of cytokines and other chemokines in the serum and spinal tissue. The mode of action of bm-SCs is hypothesized to be associated with its dedicated adjustment of the pro-apoptotic glycogen synthase kinase-3 beta level towards an anti-apoptotic level whereas their multi-pathway hypothesis seems to be confirmed by the decreased levels of the pro-inflammatory interleukin (IL)-1 beta and tumor necrosis factor (TNF) as well as the level of the marker of activated microglia, ionized calcium binding adapter (Iba)-1 level."
0,"Wenyue Wang, Sandeep Gopal, Roger Pocock, Zhicheng Xiao","Glycan Mimetics from Natural Products: New Therapeutic Opportunities for Neurodegenerative Disease",2019,"Molecules","Mdpi","","",20,"2021-01-17 15:32:40","Review","10.3390/molecules24244604","","",24,24,,,0,0.00,0,4,2,"Neurodegenerative diseases (NDs) affect millions of people worldwide. Characterized by the functional loss and death of neurons, NDs lead to symptoms (dementia and seizures) that affect the daily lives of patients. In spite of extensive research into NDs, the number of approved drugs for their treatment remains limited. There is therefore an urgent need to develop new approaches for the prevention and treatment of NDs. Glycans (carbohydrate chains) are ubiquitous, abundant, and structural complex natural biopolymers. Glycans often covalently attach to proteins and lipids to regulate cellular recognition, adhesion, and signaling. The importance of glycans in both the developing and mature nervous system is well characterized. Moreover, glycan dysregulation has been observed in NDs such as Alzheimer's disease (AD), Huntington's disease (HD), Parkinson's disease (PD), multiple sclerosis (MS), and amyotrophic lateral sclerosis (ALS). Therefore, glycans are promising but underexploited therapeutic targets. In this review, we summarize the current understanding of glycans in NDs. We also discuss a number of natural products that functionally mimic glycans to protect neurons, which therefore represent promising new therapeutic approaches for patients with NDs."
0,"Eva Melin, Thomas Kahan, Kristian Borg","Elevated blood lipids are uncommon in patients with post-polio syndrome - a cross sectional study",2015,"Bmc Neurology","Biomed Central Ltd","","",21,"2021-01-17 15:32:40","Article","10.1186/s12883-015-0319-z","1471-2377","",15,,,,0,0.00,0,3,6,"Background: The post-polio syndrome occurs in people who previously have had poliomyelitis. After the initial recovery, new or increasing neurologic symptoms occur. Inflammation and dyslipidaemia may play an important role in the development of atherosclerotic complications, for example myocardial infarction and angina pectoris. Previous studies on cardiovascular risk factors in the post-polio syndrome have found a higher prevalence of hypertension, ischemic heart disease, hyperlipidaemia, and stroke in these patients. The present study was undertaken in order to evaluate whether post-polio patients have elevated lipid values, and if blood lipid abnormalities could be correlated to signs of inflammation."
1,"Wupu Osimanjiang, Kelly C. Santos Roballo, Brenda D. Houck, Mai Ito, Aristotelis Antonopoulos, Anne Dell, Stuart M. Haslam, Jared S. Bushman","Analysis of N- and O-Linked Glycosylation: Differential Glycosylation after Rat Spinal Cord Injury",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",14,"2021-01-17 15:32:40","Article","10.1089/neu.2019.6974","0897-7151","",37,18,1954,1962,1,1.00,0,8,1,"Glycosylation is a fundamental cellular process that has a dramatic impact on the functionality of glycoconjugates such as proteins or lipids and mediates many different biological interactions including cell migration, cellular signaling, and synaptic interactions in the nervous system. In spinal cord injury (SCI), all of these cellular processes are altered, but the potential contributions of glycosylation changes to these alterations has not been thoroughly investigated. We studied the glycosylation of injured spinal cord tissue from rats that received a contusion SCI. The N- and O-linked glycosylation was assessed at 3 and 14 days post-injury (DPI), and compared with uninjured control and time-matched sham spinal tissue. Matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF MS) and tandem MS (MS/MS) were performed to analyze carbohydrate structures. Results revealed diverse and abundant glycosylation in all groups, with some carbohydrate structures differentially produced in SCI animals compared with uninjured controls and shams. One such change occurred in the abundance of the Sda structure, Neu5Ac-alpha-(2,3)-[GalNAc-beta-(1,4)-]Gal-beta-(1,4)-GlcNAc, which was increased in SCI samples compared with shams and non-injured controls. Immunohistochemistry (IHC) and western blot were performed on SCI and sham samples using the CT1 antibody, which recognizes the terminal trisaccharide of Sda with high specificity. Both of these metrics confirmed elevated Sda structure in SCI tissue, where IHC further showed that Sda is expressed mainly by microglia. The results of these studies suggest that SCI causes a significant alteration in N- and O-linked glycosylation."
1,"Ruben Lopez-Vales, Samuel David","Bioactive Lipids in Inflammation After Central Nervous System Injury",2019,"Bioactive Lipids In Health And Disease","Springer International Publishing Ag","","",15,"2021-01-17 15:32:40","Article","10.1007/978-3-030-11488-6_12","0065-2598","",1127,,181,194,1,0.50,1,2,2,"Despite the progress made over the last decades to understand the mechanisms underlying tissue damage and neurological deficits after neurotrauma, there are currently no effective treatments in the clinic. It is well accepted that the inflammatory response in the CNS after injury exacerbates tissue loss and functional impairments. Unfortunately, the use of potent anti-inflammatory drugs, such as methylprednisolone, fails to promote therapeutic recovery and also gives rise to several undesirable side effects related to immunosuppression. The injury-induced inflammatory response is complex, and understanding the mechanisms that regulate this inflammation is therefore crucial in the quest to develop effective treatments. Bioactive lipids have emerged as potent molecules in controlling the initiation, coordination, and resolution of inflammation and in promoting tissue repair and recovery of homeostasis. These bioactive lipids are produced by cells involved in the inflammatory response, and their defective synthesis leads to persistent chronic inflammation, tissue damage, and fibrosis. The present chapter discusses recent evidence for the role of some of these bioactive lipids, in particular, eicosanoid and pro-resolving lipid mediators, in the regulation of inflammation after neurotrauma and highlights the therapeutic potential of some of these lipids in enhancing neurological outcomes after CNS injuries."
1,"Subhajit Dasgupta, Jenny-Jaramillo Gomez, Inderjit Singh, Mushfiquddin Khan","S-Nitrosylation in Regulation of Inflammation and Cell Damage",2018,"Current Drug Targets","Bentham Science Publ Ltd","","",16,"2021-01-17 15:32:40","Review","10.2174/1389450119666180213094747","1389-4501","",19,15,1831,1838,1,0.33,0,4,3,"Background: Cell signaling through nitric oxide (NO) is a multifaceted mechanism, which regulates metabolic activities and fate in different tissues. The peroxynitrite (ONOO-) formed as reaction product of nitric oxide radical and superoxide interacts with cell membrane phospholipids and proteins causing damage."
1,"Piotr Wojdasiewicz, Lukasz A. Poniatowski, Pawel Turczyn, Justyna Frasunska, Agnieszka Paradowska-Gorycka, Beata Tarnacka","Significance of Omega-3 Fatty Acids in the Prophylaxis and Treatment after Spinal Cord Injury in Rodent Models",2020,"Mediators Of Inflammation","Hindawi Ltd","","",17,"2021-01-17 15:32:40","Review","10.1155/2020/3164260","0962-9351","",2020,,,,1,1.00,0,6,1,"Polyunsaturated fatty acids (omega-3 acids, PUFAs) are essential components of cell membranes in all mammals. A multifactorial beneficial influence of omega-3 fatty acids on the health of humans and other mammals has been observed for many years. Therefore,omega-3 fatty acids and their function in the prophylaxis and treatment of various pathologies have been subjected to numerous studies. Regarding the documented therapeutic influence of omega-3 fatty acids on the nervous and immune systems, the aim of this paper is to present the current state of knowledge and the critical assessment of the role of omega-3 fatty acids in the prophylaxis and treatment of spinal cord injury (SCI) in rodent models. The prophylactic properties (pre-SCI) include the stabilization of neuron cell membranes, the reduction of the expression of inflammatory cytokines (IL-1 beta, TNF-alpha, IL-6, and KC/GRO/CINC), the improvement of local blood flow, reduced eicosanoid production, activation of protective intracellular transcription pathways (dependent on RXR, PPAR-alpha, Akt, and CREB), and increased concentration of lipids, glycogen, and oligosaccharides by neurons. On the other hand, the therapeutic properties (post-SCI) include the increased production of endogenous antioxidants such as carnosine and homocarnosine, the maintenance of elevated GSH concentrations at the site of injury, reduced concentrations of oxidative stress marker (MDA), autophagy improvement (via increasing the expression of LC3-II), and p38 MAPK expression reduction in the superficial dorsal horns (limiting the sensation of neuropathic pain). Paradoxically, despite the well-documented protective activity of omega-3 acids in rodents with SCI, the research does not offer an answer to the principal question of the optimal dose and treatment duration. Therefore, it is worth emphasizing the role of multicenter rodent studies with the implementation of standards which initially may even be based on arbitrary criteria. Additionally, basing on available research data, the authors of this paper make a careful attempt at referring some of the conclusions to the human population."
3,"Yuze Gong, Shuang Wang, Zhuowen Liang, Zhe Wang, Xu Zhang, Jie Li, Jiwei Song, Xueyu Hu, Kaige Wang, Qingli He, Jintao Bai","Label-Free Spectral Imaging Unveils Biochemical Mechanisms of Low-Level Laser Therapy on Spinal Cord Injury",2018,"Cellular Physiology And Biochemistry","Karger","","",12,"2021-01-17 15:32:40","Article","10.1159/000493295","1015-8987","",49,3,1168,1183,3,1.00,0,11,3,"Background/Aims: Low-level laser therapy (LLLT) leads to complex photochemical responses during the healing process of spinal cord injury (SCI). Confocal Raman Microspectral Imaging (in combination with multivariate analysis) was adopted to illustrate the underlying biochemical mechanisms of LLLT treatment on a SCI rat model. Methods: Using transversal tissue sections, the Raman spectra can identify areas neighboring the injury site, glial scar, cavity, and unharmed white matter, as well as their correlated cellular alterations, such as demyelination and up-regulation of chondroitin sulfate proteoglycans (CSPGs). Multivariate data analysis methods are used to depict the underlying therapeutic effects by highlighting the detailed content and distribution variations of the biochemical constituents. Results: It is confirmed that photon-tissue interactions might lead to a decay of the inhibitory response to remyelination by suppressing CSPG expression, as also morphologically demonstrated by reduced glial scar and cavity areas. An inter-group comparison semi-quantitatively confirms changes in lipids, phosphatidic acid, CSPGs, and cholesterol during SCI and its LLLT treatment, paving the way for in vitro and in vivo understanding of the biochemical changes accompanying pathobiological SCI events. Conclusion: The achieved results in this work not only have once again proved the well-known cellular mechanisms of SCI, but further illustrate the underlying biochemical variability during LLLT treatment, which provide a sound basis for developing real-time Raman methodologies to monitor the efficacy of the SCI LLLT treatment. (C) 2018 The Author(s) Published by S. Karger AG, Basel"
4,"Masahiro Horiuchi, Koichi Okita","Arm-Cranking Exercise Training Reduces Plasminogen Activator Inhibitor 1 in People With Spinal Cord Injury",2017,"Archives Of Physical Medicine And Rehabilitation","W B Saunders Co-Elsevier Inc","","",13,"2021-01-17 15:32:40","Article","10.1016/j.apmr.2017.02.007","0003-9993","",98,11,2174,2180,4,1.00,2,2,4,"Objective: To investigate the effects of arm-cranking exercise training on plasminogen activator inhibitor 1 (PAI-1) as a risk factor of deep vein thrombosis, along with general physical parameters such as muscle strength, aerobic capacity, and hemodynamics, in individuals with spinal cord injury (SCI) and control subjects.& para;& para;Design: Longitudinal study.& para;& para;Setting: Community-based supervised intervention.& para;& para;Participants: Participants (N=17) comprised individuals with SCI (n = 9) who volunteered for this study, and able-bodied individuals (n=8) matched for age, height, and body mass index who were assessed at baseline only.& para;& para;Intervention: The arm-cranking exercise program was performed for 10 weeks with 4 sessions per week. Sessions consisted of 2 sets of warmup (5min) and arm crank exercises (25min) with a 10-minute recovery at an intensity of 50% to 70% of heart rate reserve.& para;& para;Main Outcome Measures: Body mass (BM), waist circumference (WC), aerobic capacity (peak oxygen consumption [VO(2)peak]), PAI-1, blood pressure, glucose metabolism, and lipids.& para;& para;Results: PAI-1, BM, WC, systolic blood pressure, and triglycerides (TG) decreased, and VO(2)peak increased after training (P<.05, respectively). Spearman rank-order analysis revealed that changes in PAI-1 were related to changes in VO(2)peak, BM, WC, TG, and high-density lipoprotein cholesterol. Multiple linear regression analysis revealed that WC was the most sensitive factor for predicting changes in PAI-1 (P=.038).& para;& para;Conclusions: These results suggest that 10 weeks of arm-cranking exercise training for people with SCI may help to reduce the risk factors of cardiovascular disease. In addition, changes in abdominal fat may be related to changes in PAI-1 in the SCI population. (C) 2017 by the American Congress of Rehabilitation Medicine"
