Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Zeynep Balcikanli, Irem Culha Taskin, Arman Dalay, Ahmet Burak Caglayan, Ertugrul Kilic","Investigation of the Effects of Lithium After Long-Term Spinal Cord Injury",2019,"Acta Physiologica","Wiley","","",17,"2021-01-17 15:35:10","Meeting Abstract","","1748-1708","",227,,84,84,0,0.00,0,5,2,""
1,"Alireza Abdanipour, Fatemeh Moradi, Farzaneh Fakheri, Mehrdad Ghorbanlou, Reza Nejatbakhsh","The effect of lithium chloride on BDNF, NT3, and their receptor mRNA levels in the spinal contusion rat models",2019,"Neurological Research","Taylor & Francis Ltd","","",16,"2021-01-17 15:35:10","Article","10.1080/01616412.2019.1588507","0161-6412","",41,6,577,583,1,0.50,0,5,2,"Objective: Nowadays, there seems to be no decisive way for treatment of spinal cord injury (SCI).Extensive cell death (apoptosis and necrosis) occurring in SCI can cause considerable progressive sensorimotor disabilities. Preventing cell death by improving endogenous regenerative capability could an effective strategy for the treatment of SCI. This study was designed to evaluate the effects of lithium chloride (LiCl) on the cell survival through overexpression of BDNF and NT3 mRNA level and their receptors in the contusion rat models. Methods: Rats were randomly divided into four experimental groups (eight rats/group) including: contused animals (the non-treatment group); contused animals (the control group) which received laminectomy; contused animals received normal saline (vehicle)and contused animals received intraperitoneal injection of 20 mg/kg LiCl three days after surgery. Injection continued for 14 days as treatment. Basso, Beattie, Bresnahan (BBB) rating scale was used to assess the motor function of the rats. To evaluate the histopathological and gene expression analysis, rats were sacrificed 28 days after surgery. Real-time reverse transcriptase polymerase chain reaction (RT-PCR) was performed to obtain the relative levels of mRNA for BDNF, NT3 and their receptors. Results: The results showed LiCl ameliorates BBB scores via up-regulation of BDNF and TrkB receptors. Also, histological analysis showed that the numerical density per area of TUNEL- positive cells and the percentage of cavity significantly decreased in the LiCl-treated group. Conclusion: Our findings suggest that LiCl protects neural cells and effectively enhances locomotor function, which was done through up-regulation of endogenous BDNF expression in rats with SCI."
2,"Qiang Yuan, Xing-Yao Bu, Zhao-Yue Yan, Xian-Zhi Liu, Zhen-Yu Wei, Chun-Xiao Ma, Ming-Qi Qu","Combination of endogenous neural stem cell mobilization and lithium chloride treatment for hydrocephalus following intraventricular hemorrhage",2016,"Experimental And Therapeutic Medicine","Spandidos Publ Ltd","","",15,"2021-01-17 15:35:10","Article","10.3892/etm.2016.3778","1792-0981","",12,5,3275,3281,2,0.40,0,7,5,"As there are multiple factors causing hydrocephalus subsequent to intraventricular hemorrhage (IVH), it is difficult to achieve the best treatment effect using a single drug alone. In the present study, the protective effect of combination treatment with granulocyte-colony stimulating factor (G-CSF) and lithium chloride against hydrocephalus after IVH was investigated. A total of 130 adult male Sprague-Dawley rats were divided into five groups, including the IVH control, G-CSF treatment, lithium chloride treatment, combination treatment and sham surgery groups. An IVH rat model was established in order to examine the effect of combination treatment on hydrocephalus incidence. A TUNEL assay was performed to detect neuronal apoptosis in the five groups. In addition, the protein expression levels of B-cell lymphoma 2 (Bcl-2) and Bcl-2-associated X protein (Bax) were detected by western blot analysis. The differentiation of nerve cells in the brain tissue obtained from the five rat groups was also determined with double immunofluorescence staining. The results demonstrated that administration of G-CSF or lithium chloride alone was able to only partly relieve the incidence of hydrocephalus after IVH. By contrast, combination treatment with G-CSF and lithium chloride significantly attenuated the development of hydrocephalus following IVH. TUNEL assay showed that neuronal apoptosis was significantly reduced by the combination treatment with G-CSF and lithium chloride. Furthermore, the expression of Bcl-2 was upregulated, whereas Bax expression was downregulated in the combination treatment group. The results also detected the highest expression of BrdU/GFAP, BrdU/NeuN and BrdU/PSA-NCAM in the combination treatment group. In conclusion, the combination of endogenous neural stem cell mobilization (using G-CSF) and lithium chloride treatment resulted in highly reduced incidence of hydrocephalus after IVH by inhibiting neuronal apoptosis."
3,"Atiyeh Mohammadshirazi, Hoda Sadrosadat, Razieh Jaberi, Masoomeh Zareikheirabadi, Sara Mirsadeghi, Zahra Naghdabadi, Mahdieh Ghaneezabadi, Mehdi Fardmanesh, Hossein Baharvand, Sahar Kiani","Combinational therapy of lithium and human neural stem cells in rat spinal cord contusion model",2019,"Journal Of Cellular Physiology","Wiley","","",14,"2021-01-17 15:35:10","Article","10.1002/jcp.28680","0021-9541","",234,11,20742,20754,3,1.50,0,10,2,"A large number of treatment approaches have been used for spinal cord injury improvement, a medically incurable disorder, and subsequently stem cell transplantation appears to be a promising strategy. The main objective of this study is to ascertain whether combinational therapy of human neural stem cells (hNSCs) together with lithium chloride improves cell survival, proliferation, and differentiation in a rat spinal contusion model, or not. Contusive spinal cord injury was implemented on Wistar male rats. Experimental groups comprised of: control, hNSCs transplanted, lithium chloride (Li), and hNSCs and lithium chloride (hNSCs+Li). In every experimental group, locomotor activity score and motor evoked potential (MEP) were performed to evaluate motor recovery as well as histological assessments to determine mechanisms of improvement. In accordance with our results, the hNSCs+Li and the Li groups showed significant improvement in locomotor scores and MEP. Also, Histological assessments revealed that transplanted hNSCs are capable of differentiation and migration along the spinal cord. Although NESTIN-positive cells were proliferated significantly in the Lithium group in comparison with control and the hNSCs+Li groups, the quantity of ED1 cells in the hNSCs+Li was significantly larger than the other two groups. Our results demonstrate that combinational therapy of hNSCs with lithium chloride and lithium chloride individually are adequate for ameliorating more than partial functional recovery and endogenous repair in spinal cord-injured rats."
4,"Dubravka Aleksic, Milan Aksic, Nevena Divac, Vidosava Radonjic, Branislav Filipovic, Igor Jakovcevski","Thermomineral water promotes axonal sprouting but does not reduce glial scar formation in a mouse model of spinal cord injury",2014,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",13,"2021-01-17 15:35:10","Article","10.4103/1673-5374.147950","1673-5374","",9,24,2174,2181,4,0.57,1,6,7,"Thermomineral water from the Atomic Spa Gornja Trepca has been used for a century in the treatment of neurologic disease. The thermomineral water contains microelements, including lithium and magnesium, which show neural regeneration-promoting effects after central nervous system injury. In this study, we investigated the effects of oral intake of thermomineral water from the Atomic Spa Gornja Trepca on nerve regeneration in a 3-month-old mouse model of spinal cord injury. The mice receiving oral intake of thermomineral water showed better locomotor recovery than those without administration of thermomineral water at 8 and 12 weeks after lower thoracic spinal cord compression. At 12 weeks after injury, sprouting of catecholaminergic axons was better in mice that drank thermomineral water than in those without administration of thermomineral water, but there was no difference in glial reaction to injury between mice with and without administration of thermomineral water. These findings suggest that thermomineral water can promote the nerve regeneration but cannot reduce glial scar formation in a mouse model of spinal cord injury."
7,"Yonghoon Kim, Jeongtae Kim, Meejung Ahn, Taekyun Shin","Lithium ameliorates rat spinal cord injury by suppressing glycogen synthase kinase-3 beta and activating heme oxygenase-1",2017,"Anatomy & Cell Biology","Medrang","","",12,"2021-01-17 15:35:10","Article","10.5115/acb.2017.50.3.207","2093-3665","",50,3,207,213,7,1.75,2,4,4,"Glycogen synthase kinase (GSK)-3 beta and related enzymes are associated with various forms of neuroinflammation, including spinal cord injury (SCI). Our aim was to evaluate whether lithium, a non-selective inhibitor of GSK-3 beta, ameliorated SCI progression, and also to analyze whether lithium affected the expression levels of two representative GSK-3 beta. associated molecules, nuclear factor erythroid 2-related factor-2 (Nrf-2) and heme oxygenase-1 (HO-1) (a target gene of Nrf-2). Intraperitoneal lithium chloride (80 mg/kg/day for 3 days) significantly improved locomotor function at 8 days post-injury (DPI); this was maintained until 14 DPI (P<0.05). Western blotting showed significantly increased phosphorylation of GSK-3 beta (Ser9), Nrf-2, and the Nrf-2 target HO-1 in the spinal cords of lithium-treated animals. Fewer neuropathological changes (e.g., hemorrhage, inflammatory cell infiltration, and tissue loss) were observed in the spinal cords of the lithium-treated group compared with the vehicle-treated group. Microglial activation (evaluated by measuring the immunoreactivity of ionized calcium-binding protein-1) was also significantly reduced in the lithium-treated group. These findings suggest that GSK-3 beta becomes activated after SCI, and that a non-specific enzyme inhibitor, lithium, ameliorates rat SCI by increasing phosphorylation of GSK-3 beta and the associated molecules Nrf-2 and HO-1."
8,"Minji Tong, Zili He, Xiaoxiao Lin, Yulong Zhou, Qingqing Wang, Zengming Zheng, Jian Chen, Huazi Xu, Naifeng Tian","Lithium chloride contributes to blood spinal cord barrier integrity and functional recovery from spinal cord injury by stimulating autophagic flux",2018,"Biochemical And Biophysical Research Communications","Academic Press Inc Elsevier Science","","",6,"2021-01-17 15:35:10","Article","10.1016/j.bbrc.2017.12.119","0006-291X","",495,4,2525,2531,8,2.67,1,9,3,"Blood spinal cord barrier (BSCB) disruption following spinal cord injury (SCI) significantly compromises functional neuronal recovery. Autophagy is a potential therapeutic target when seeking to protect the BSCB. We explored the effects of lithium chloride (LiCl) on BSCB permeability and autophagy-induced SCI both in a rat model of SCI and in endothelial cells subjected to oxygen-glucose deprivation. We evaluated BSCB status using the Evans Blue dye extravasation test and measurement of tight junction (TJ) protein levels; we also assessed functional locomotor recovery. We detected autophagy-associated proteins in vivo and in vitro using both Western blotting and immunofluorescence staining. We found that, in a rat model of SCI, LiCl attenuated the elevation in BSCB permeability, improved locomotor recovery, and inhibited the degradation of TJ proteins including occludin and claudin-5. LiCl significantly induced the extent of autophagic flux after SCI by increasing LC3-II and ATG-5 levels, and abolishing p62 accumulation. In addition, a combination of LiCl and the autophagy inhibitor chloroquine not only partially eliminated the BSCB-protective effect of LiCl, but also exacerbated TJ protein degradation both in vivo and in vitro. Together, these findings suggest that LiCl treatment alleviates BSCB disruption and promotes locomotor recovery after SCI, partly by stimulating autophagic flux. (C) 2017 Elsevier Inc. All rights reserved."
8,"Baoman Li, Jiaan Ren, Li Yang, Xiaowei Li, Guangfeng Sun, Maosheng Xia","Lithium Inhibits GSK3 beta Activity via Two Different Signaling Pathways in Neurons After Spinal Cord Injury",2018,"Neurochemical Research","Springer/Plenum Publishers","","",7,"2021-01-17 15:35:10","Article","10.1007/s11064-018-2488-9","0364-3190","",43,4,848,856,8,2.67,1,6,3,"Spinal cord injury (SCI) is a type of long-term disability with a high morbidity rate in clinical settings for which there is no effective clinical treatment to date. Usually, lithium is used as a popular mood stabilizer. Recently, growing evidence has shown that lithium has clear neuroprotective effects after SCI, and the administration of lithium can effectively improve locomotor recovery. However, the exact neuroprotective mechanism of lithium is still not understood. Glycogen synthase kinase-3 beta (GSK3 beta) is a serine/threonine kinase that plays an important role in the neuroprotective effects of lithium both in vivo and in vitro. In this study, we discovered that lithium inhibits GSK3 beta activity through two different signaling pathways in spinal cord neurons. In the acute phase, lithium inhibited GSK3 beta activity by stimulating phosphorylation of AKT; in the chronic phase, we first discovered that lithium additionally upregulated the expression of Na+, K+-ATPase alpha 1 (NKA alpha 1), which had an inhibitory effect on GSK3 beta activity by inducing the expression of glucocorticoid inducible kinase 1 (SGK1). SGK1 is well known as a regulator of the GSK3 beta/beta-catenin signaling pathway. Moreover, the suppressed activity of GSK3 beta increased the level of beta-catenin in the cytoplasm, which gave rise to the translocation of the freely stabilized beta-catenin to the nucleus. In addition, the accumulation of beta-catenin in the nucleus had the benefits of neuronal survival. Hopefully our findings from this study are beneficial in revealing the neuroprotective mechanism of lithium and in offering novel targets for the development of new SCI therapeutic drugs."
8,"Marjan Zakeri, Khashayar Afshari, Mohammad Hadi Gharedaghi, Reza Shahsiah, Reza Rahimian, Farid Maleki, Ahmad Reza Dehpour, Abbas Norouzi Javidan","Lithium Protects Against Spinal Cord Injury in Rats: Role of Nitric Oxide",2014,"Journal Of Neurological Surgery Part A-Central European Neurosurgery","Thieme Medical Publ Inc","","",10,"2021-01-17 15:35:10","Article","10.1055/s-0033-1345098","2193-6315","",75,6,427,433,8,1.14,1,8,7,"ObjectiveLithium improves locomotor scores after spinal cord injury (SCI) in rats. However, the underlying mechanisms are unknown. Herein, we assess the role of nitric oxide (NO) in this action."
8,"Li-Qun Zhang, Wen-Ming Zhang, Lingxiao Deng, Zi-Xing Xu, Wen-Bin Lan, Jian-Hua Lin","Transplantation of a Peripheral Nerve with Neural Stem Cells Plus Lithium Chloride Injection Promote the Recovery of Rat Spinal Cord Injury",2018,"Cell Transplantation","Sage Publications Inc","","",11,"2021-01-17 15:35:10","Article","10.1177/0963689717752945","0963-6897","",27,3,471,484,8,2.67,1,6,3,"Transplantation of neural stem cells (NSCs) holds great potential for the treatment of spinal cord injury (SCI). However, transplanted NSCs poorly survive in the SCI environment. We injected NSCs into tibial nerve and transplanted tibial nerve into a hemisected spinal cord and investigated the effects of lithium chloride (LiCI) on the survival of spinal neurons, axonal regeneration, and functional recovery. Our results show that most of the transplanted NSCs expressed glial fibrillary acidic protein, while there was no obvious expression of nestin, neuronal nuclei, or acetyltransferase found in NSCs. LiCI treatment produced less macrosialin (EDI) expression and axonal degeneration in tibial nerve after NSC injection. Our results also show that a regimen of LiCI treatment promoted NSC differentiation into NF200-positive neurons with neurite extension into the host spinal cord. The combination of tibial nerve transplantation with NSCs and LiCI injection resulted in more host motoneurons surviving in the spinal cord, more regenerated axons in tibial nerve, less glial scar area, and decreased ED I expression. We conclude that lithium may have therapeutic potential in cell replacement strategies for central nervous system injury due to its ability to promote survival and neuronal generation of grafted NSCs and reduced host immune reaction."
