Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Baochang Qi, Rujun Sun, Jiesheng Rong, Zhibin Peng, Yansong Wang","Cyclic adenosine phosphate improves functional recovery after spinal cord injury via activating unfolded protein response",2019,"Pharmazie","Govi-Verlag  Pharmazeutischer Verlag Gmbh","","",96,"2021-01-18 11:25:46","Article","10.1691/ph.2019.8347","0031-7144","",74,2,115,119,0,0.00,0,5,2,"The current study aimed to evaluate the role and underlying mechanism of cyclic adenosine phosphate (cAMP) on the functional recovery of spinal cord injury (SCI). Basso, Beattie and Bresnahan (BBB) scoring and inclined plane test indicated that cAMP treatment improved the functional recovery of SCI rats. Real time PCR and western blot analysis showed the mRNA and protein levels of IRE1, PERK, and ATF6 were increased in the SCI rats than those of sham control. However, higher levels of IRE1, PERK, and ATF6 were indicated after cAMP treatment. Meanwhile, more apoptotic cells were observed in the SCI rats, as evidenced by TUNEL staining and increased expression of GRP78, CHOP, and caspase12. In contrast, the expression of GRP78, CHOP, and caspase12 was decreased in SCI rats after cAMP treatment. In summary, we showed novel data that cAMP reduced cell apoptosis and functional recover after SCI mainly via activating UPR."
0,"Li-Jian Zhang, Yao Chen, Lu-Xuan Wang, Xiao-Qing Zhuang, He-Chun Xia","Identification of potential oxidative stress biomarkers for spinal cord injury in erythrocytes using mass spectrometry",2021,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",104,"2021-01-18 11:25:46","Article","10.4103/1673-5374.301487","1673-5374","",16,7,1294,1301,0,0.00,0,5,1,"Oxidative stress is a hallmark of secondary injury associated with spinal cord injury. Identifying stable and specific oxidative biomarkers is of important significance for studying spinal cord injury-associated secondary injury. Mature erythrocytes do not contain nuclei and mitochondria and cannot be transcribed and translated. Therefore, mature erythrocytes are highly sensitive to oxidative stress and may become a valuable biomarker. In the present study, we revealed the proteome dynamics of protein expression in erythrocytes of beagle dogs in the acute and subacute phases of spinal cord injury using mass spectrometry-based approaches. We found 26 proteins that were differentially expressed in the acute (0-3 days) and subacute (7-21 days) phases of spinal cord injury. Bioinformatics analysis revealed that these differentially expressed proteins were involved in glutathione metabolism, lipid metabolism, and pentose phosphate and other oxidative stress pathways. Western blot assays validated the differential expression of glutathione synthetase, transaldolase, and myeloperoxidase. This result was consistent with mass spectrometry results, suggesting that erythrocytes can be used as a novel sample source of biological markers of oxidative stress in spinal cord injury. Glutathione synthetase, transaldolase, and myeloperoxidase sourced from erythrocytes are potential biomarkers of oxidative stress after spinal cord injury. This study was approved by the Experimental Animal Centre of Ningxia Medical University, China (approval No. 2017-073) on February 13, 2017."
0,"Nanxiang Wang, Yang Yang, Mao Pang, Cong Du, Yoyoung Chen, Simin Li, Zhenming Tian, Feng Feng, Wang Yang, Zhenxiang Chen, Bin Liu, Limin Rong","MicroRNA-135a-5p Promotes the Functional Recovery of Spinal Cord Injury by Targeting SP1 and ROCK",2020,"Molecular Therapy-Nucleic Acids","Cell Press","","",105,"2021-01-18 11:25:46","Article","10.1016/j.omtn.2020.08.035","2162-2531","",22,,1063,1077,0,0.00,0,12,1,"Emerging evidence indicates that microRNAs play a pivotal role in neural remodeling after spinal cord injury (SCI). This study aimed to investigate the mechanisms of miR-135a-5p in regulating the functional recovery of SCI by impacting its target genes and downstream signaling. The gene transfection assay and luciferase reporter assay confirmed the target relationship between miR-135a-5p and its target genes (specificity protein 1 [SP1] and Rho-associated kinase [ROCK]1/2). By establishing the H2O2-induced injury model, miR-135a-5p transfection was found to inhibit the apoptosis of PC12 cells by downregulating the SP1 gene, which subsequently induced downregulation of pro-apoptotic proteins (Bax, cleaved caspase-3) and upregulation of anti-apoptotic protein Bcl-2. By measuring the neurite lengths of PC12 cells, miR-135a-5p transfection was found to promote axon outgrowth by downregulating the ROCK1/2 gene, which subsequently caused upregulation of phosphate protein kinase B (AKT) and phosphate glycogen synthase kinase 3 beta (GSK3 beta). Use of the rat SCI models showed that miR-135a-5p could increase the Basso, Beattie, and Bresnahan (BBB) scores, indicating neurological function recovery. In conclusion, the miR-135a-5p-SP1-Bax/Bcl-2/caspase-3 and miR-135a-5p-ROCK-AKT/GSK3 beta axes are involved in functional recovery of SCI by regulating neural apoptosis and axon regeneration, respectively, and thus can be promising effective therapeutic strategies in SCI."
0,"Oscar Seira, Jie Liu, Peggy Assinck, Matt Ramer, Wolfram Tetzlaff","KIF2A characterization after spinal cord injury",2019,"Cellular And Molecular Life Sciences","Springer Basel Ag","","",106,"2021-01-18 11:25:46","Article","10.1007/s00018-019-03116-2","1420-682X","",76,21,4355,4368,0,0.00,0,5,2,"Axons in the central nervous system (CNS) typically fail to regenerate after injury. This failure is multi-factorial and caused in part by disruption of the axonal cytoskeleton. The cytoskeleton, in particular microtubules (MT), plays a critical role in axonal transport and axon growth during development. In this regard, members of the kinesin superfamily of proteins (KIFs) regulate the extension of primary axons toward their targets and control the growth of collateral branches. KIF2A negatively regulates axon growth through MT depolymerization. Using three different injury models to induce SCI in adult rats, we examined the temporal and cellular expression of KIF2A in the injured spinal cord. We observed a progressive increase of KIF2A expression with maximal levels at 10 days to 8 weeks post-injury as determined by Western blot analysis. KIF2A immunoreactivity was present in axons, spinal neurons and mature oligodendrocytes adjacent to the injury site. Results from the present study suggest that KIF2A at the injured axonal tips may contribute to neurite outgrowth inhibition after injury, and that its increased expression in inhibitory spinal neurons adjacent to the injury site might contribute to an intrinsic wiring-control mechanism associated with neuropathic pain. Further studies will determine whether KIF2A may be a potential target for the development of regeneration-promoting or pain-preventing therapies."
0,"Muddanna Sakkattu Rao, Ebtesam M. Abd-El-Basset","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory",2020,"Frontiers In Behavioral Neuroscience","Frontiers Media Sa","","",107,"2021-01-18 11:25:46","Article","10.3389/fnbeh.2020.00018","1662-5153","",14,,,,0,0.00,0,2,1,"Dibutyryl cyclic adenosine monophosphate (dBcAMP) is a cell-permeable synthetic analog of cyclic adenosine monophosphate (cAMP). Although the elevation of cAMP levels was reported to promote the functional recovery in spinal cord injury, its role in neurogenesis or functional recovery after hippocampal injury is unknown. The objective of the study was to investigate the effects of dBcAMP on learning, memory, and hippocampal neurogenesis in the excitotoxically lesioned hippocampus. An excitotoxic lesion was induced in the hippocampi of 4-month-old male BALB/c mice by injecting 0.25 mu g/mu l into the lateral ventricles of both sides. The lesioned mice (L) were divided into L+dBcAMP and L+phosphate-buffered saline (PBS) groups. Sham surgery (S) was done by the injection of 1 mu l of sterile saline into the lateral ventricles. The sham surgery mice were divided into S+dBcAMP and S+PBS groups. Mice in the L+dBcAMP and S+dBcAMP groups were treated with dBcAMP for 1 week (i.p., 50 mg/kg), whereas mice in the L+PBS and S+PBS groups were treated with PBS. The mice in all groups were subjected to water maze and passive avoidance tests at the end of the 4th week. Cresyl violet staining and NeuN and doublecortin immunostaining were done to analyze the morphology and neurogenesis. The water maze learning sessions did not show a significant difference in escape latency between the groups, suggesting an unimpaired learning ability of mice in all groups. The L+dBcAMP mice had significantly short entry latency and higher target quadrant time/distance traveled compared to the L+PBS group, suggesting better memory retention. The L+dBcAMP group had a significantly improved memory retention compared to the L+PBS mice during the passive avoidance test. Morphological studies showed significantly greater adult neurons and increased hippocampal neurogenesis in the hippocampus of mice in the L+dBcAMP group compared to those in the L+PBS group. There was no significant difference between the S+dBcAMP and S+PBS groups in the water maze/passive avoidance tests and the number of neurons. In conclusion, dBcAMP protects the hippocampal neuron from degeneration and enhances hippocampal neurogenesis, learning, and memory."
1,"Chong Xun, Shouyu Wang, Guang Chen, Yang Hu, Jiaqi Xie, Decheng Lv","Salvianolic Acid B Ameliorates Motor Dysfuntion in Spinal Cord Injury Rats",2014,"Tropical Journal Of Pharmaceutical Research","Pharmacotherapy Group","","",97,"2021-01-18 11:25:46","Article","10.4314/tjpr.v13i1.8","1596-5996","",13,1,53,59,1,0.14,0,6,7,"Purpose: To evaluate the effect of salvianolic acid B (Sal B) treatment on the motor function of spinal cord injury (SCI) rat."
1,"Peng Zhang, Faqi Cao, Qirong Dong, Pingyuan Li, Zhaoyao Yang, Xiaoyong Liu, Lei Wang","Effects of the root extract of Dipsacus asperoides (Caprifoliaceae) on locomotor function and inflammation following spinal cord injury in rats",2017,"Tropical Journal Of Pharmaceutical Research","Pharmacotherapy Group","","",98,"2021-01-18 11:25:46","Article","10.4314/tjpr.v16i6.23","1596-5996","",16,6,1377,1382,1,0.25,0,7,4,"Purpose: The study was performed to determine the effect of Dipsacus asperoides (roots), commonlyknown as Xu Duan, on rats with spinal cord injury (SCI)."
1,"Liang Chen, Wei-Chun Guo","Dipsacus asperoides (Xue Duan) inhibits spinal cord injury-induced inflammatory responses in rats",2016,"Tropical Journal Of Pharmaceutical Research","Pharmacotherapy Group","","",99,"2021-01-18 11:25:46","Article","10.4314/tjpr.v15i4.9","1596-5996","",15,4,729,733,1,0.20,1,2,5,"Purpose: To investigate the effect of Dipsacus asperoides (Xue Duan), a traditional Chinese medicine, on rats with spinal cord injury (SCI)."
1,"Xiao-Qin Ha, Bo Yang, Huai-Jing Hou, Xiao-Ling Cai, Wan-Yuan Xiong, Xu-Pan Wei","Protective effect of rhodioloside and bone marrow mesenchymal stem cells infected with HIF-1-expressing adenovirus on acute spinal cord injury",2020,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",100,"2021-01-18 11:25:46","Article","10.4103/1673-5374.266920","1673-5374","",15,4,690,696,1,1.00,0,6,1,"Rhodioloside has been shown to protect cells from hypoxia injury, and bone marrow mesenchymal stem cells have a good effect on tissue repair. To study the effects of rhodioloside and bone marrow mesenchymal stem cells on spinal cord injury, a rat model of spinal cord injury was established using the Infinite Horizons method. After establishing the model, the rats were randomly divided into five groups. Rats in the control group were intragastrically injected with phosphate buffered saline (PBS) (5 mu L). PBS was injected at 6 equidistant points around 5 mm from the injury site and at a depth of 5 mm. Rats in the rhodioloside group were intragastrically injected with rhodioloside (5 g/kg) and intramuscularly injected with PBS. Rats in the mesenchymal stem cell (MSC) group were intramuscularly injected with PBS and intramuscularly with MSCs (8 x 10(6)/mL in a 50-mu L cell suspension). Rats in the Ad-HIF-MSC group were intragastrically injected with PBS and intramuscularly injected with HIF-1 adenovirus-infected MSCs. Rats in the rhodioloside + Ad-HIF-MSC group were intramuscularly injected with MSCs infected with the HIF-1 adenovirus and intragastrically injected with rhodioloside. One week after treatment, exercise recovery was evaluated with a modified combined behavioral score scale. Hematoxylin-eosin staining and Pischingert's methylene blue staining were used to detect any histological or pathological changes in spinal cord tissue. Levels of adenovirus IX and Sry mRNA were detected by real-time quantitative polymerase chain reaction and used to determine the number of adenovirus and mesenchymal stem cells that were transfected into the spinal cord. Immunohistochemical staining was applied to detect HIF-1 protein levels in the spinal cord. The results showed that: (1) compared with the other groups, the rhodioloside + Ad-HIF-MSC group exhibited the highest combined behavioral score (P < 0.05), the most recovered tissue, and the greatest number of neurons, as indicated by Pischingert's methylene blue staining. (2) Compared with the PBS group, HIF-1 protein expression was greater in the rhodioloside group (P < 0.05). (3) Compared with the Ad-HIF-MSC group, Sry mRNA levels were higher in the rhodioloside + Ad-HIF-MSC group (P < 0.05). These results confirm that rhodioloside combined with bone marrow mesenchymal stem cells can promote the recovery of spinal cord injury and activate the HIF-1 pathway to promote the survival of bone marrow mesenchymal stem cells and repair damaged neurons within spinal cord tissue. This experiment was approved by the Animal Ethics Committee of Gansu University of Traditional Chinese Medicine, China (approval No. 2015KYLL029) in June 2015."
1,"Singh Roop, Rohilla Rajesh Kumar, Saini Gaurav, Magu Narender Kumar, Kaur Kiranpreet","Bone Mineral Density and Biochemical Markers of Bone Turnover During the First Year of Injury in Patients with Spinal Cord Injury",2014,"Journal Of Orthopaedics Trauma And Rehabilitation","Elsevier Science Bv","","",101,"2021-01-18 11:25:46","Article","10.1016/j.jotr.2013.12.006","2210-4917","",18,1,2,6,1,0.14,0,5,7,"Background: Spinal cord injury (SCI) is associated with bone mass loss that can be complicated by fractures, which result in further disabilities for patients. After a SCI, the body starts losing large amounts of calcium and other minerals in the urine (demineralisation). This study aimed to assess the changes in bone mineral density (BMD) during the 1st year of acute SCI in patients with neurological deficit."
