Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Francois Okoroafor, Arun Krishna, Marie Purcell, Calan Mathieson","Impressive neurological recovery following C-spine dislocation in a patient on long term immunosuppression",2019,"British Journal Of Neurosurgery","Taylor & Francis Ltd","","",33,"2021-01-15 10:35:39","Article","10.1080/02688697.2019.1630553","0268-8697","",,,,,0,0.00,0,4,2,"We report excellent neurological improvement in a patient with C6/C7 dislocation following a high speed road traffic accident. This case in particular is unusual because the patient was the recipient of an organ transplant during childhood and was therefore on long term immunosuppressant medication at the time of injury. In this report we reflect on the role of steroid use in traumatic spinal cord injury and put our case within the context of current evidence and this unusual clinical scenario."
0,"Cristina Daneri-Becerra, Michelle G. Patino-Gaillez, Mario D. Galigniana","Proof that the high molecular weight immunophilin FKBP52 mediates the in vivo neuroregenerative effect of the macrolide FK506",2020,"Biochemical Pharmacology","Pergamon-Elsevier Science Ltd","","",34,"2021-01-15 10:35:39","Article","10.1016/j.bcp.2020.114204","0006-2952","",182,,,,0,0.00,0,3,1,"The immunosuppressant drug FK506 (or tacrolimus) is a macrolide that binds selectively to immunophilins belonging to the FK506-binding protein (FKBP) subfamily, which are abundantly expressed proteins in neurons of the peripheral and central nervous systems. Interestingly, it has been reported that FK506 increases neurite outgrowth in cell cultures, implying a potential impact in putative treatments of neurodegenerative disorders and injuries of the nervous system. Nonetheless, the mechanism of action of this compound is poorly understood and remains to be elucidated, with the only certainty that its neurotrophic effect is independent of its primary immunosuppressant activity. In this study it is demonstrated that FK506 shows efficient neurotrophic action in vitro and profound effects on the recovery of locomotor activity, behavioural features, and erectile function of mice that underwent surgical spinal cord injury. The recovery of the locomotor activity was studied in knock-out mice for either immunophilin, FKBP51 or FKBP52. The experimental evidence demonstrates that the neurotrophic actions of FK506 are the consequence of its binding to FKBP52, whereas FK506 interaction with the close-related partner immunophilin FKBP51 antagonises the function of FKBP52. Importantly, our study also demonstrates that other immunophilins do not replace FKBP52. It is concluded that the final biological response is the resulting outcome of the drug binding to both immunophilins, FKBP51 and FKBP52, the latter being the one that commands the dominant neurotrophic action in vivo."
1,"","46th ESAO Congress 3-7 September 2019 Hannover, Germany Abstracts",2019,"International Journal Of Artificial Organs","Sage Publications Ltd","","",32,"2021-01-15 10:35:39","Article","10.1177/0391398819860985","0391-3988","",42,8,386,474,1,0.50,0,0,2,"Objectives:ADVOS multi is a recirculating albumin-based dialysis device that supports kidney, liver and lung function by eliminating CO2, water-soluble and protein-bound substances. In the present work in vitro data on the removal of these substances and CO2 are presented. Methods: An ex vivo model using porcine blood was established and applied in detoxification tests for water soluble and protein bound retention solutes. 3 x 3.3L of blood with high bilirubin (30 mg/dl) and lactate levels (>10 mmol/l) were treated with ADVOS multi for 4 hours each. This design, with 3 phases changing blood every 4 hours, led to high concentrations of both markers in blood during the 12 h test period. For CO2 removal tests, 5 liters of blood were used instead. In both cases, a continuous CO2 supply through an additional dialyzer was applied. Results: Bilirubin and lactate were efficiently removed during 12hrs of in vitro detoxification. Lactate removal rates were 90%, 86% and 84% for phase 1, 2 and 3, respectively. Bilirubin elimination rates were 66%, 62%, and 57%, resulting in a total elimination of 1150 mg in 12 hrs. Albumin binding capacity was determined to be >76% at the end of the treatment indicating that albumin was not denatured in the dialysate of the ADVOS system. CO2 removal with ADVOS multi depends on three variables: 1) The amount of supplied CO2 depends on concentrate flow affecting both, blood pCO2 and bicarbonate levels; 2) blood flow, and 3) dialysate pH and composition (i.e., carbonate concentration). A maximum CO2 removal of 142 ml/min was achieved with a carbonate-free dialysate at pH 10, a blood flow of 400 ml/min and a concentrate flow of 160 ml/min. Given that blood gases are maintained within physiological conditions, a CO2 removal rate of 61 ml/min can be achieved. During all the experiments blood pH was set to 7.35-7.45. Discussion:ADVOS multi is a device using albumin recirculation in its secondary circuit. Here, albumin binding capacity remains stable through a systematic modification of its tertiary structure through temperature and pH changes in the ADVOS multi circuit. This facilitates the release of toxins from albumin and allows for further binding. Moreover, presence of albumin, variable dialysate composition and the flexible dialysate pH might facilitate the treatment of patients with multiple organ failure."
2,"Xin-ze He, Jian-jun Ma, Hao-qi Wang, Tie-min Hu, Bo Sun, Yun-feng Gao, Shi-bo Liu, Wei Wang, Pei Wang","Brain injury in combination with tacrolimus promotes the regeneration of injured peripheral nerves",2017,"Neural Regeneration Research","Medknow Publications & Media Pvt Ltd","","",31,"2021-01-15 10:35:39","Article","10.4103/1673-5374.208595","1673-5374","",12,6,987,994,2,0.50,0,9,4,"Both brain injury and tacrolimus have been reported to promote the regeneration of injured peripheral nerves. In this study, before transection of rat sciatic nerve, moderate brain contusion was (or was not) induced. After sciatic nerve injury, tacrolimus, an immunosuppressant, was (or was not) intraperitoneally administered. At 4, 8 and 12 weeks after surgery, Masson's trichrome, hematoxylin-eosin, and toluidine blue staining results revealed that brain injury or tacrolimus alone or their combination alleviated gastrocnemius muscle atrophy and sciatic nerve fiber impairment on the experimental side, simultaneously improved sciatic nerve function, and increased gastrocnemius muscle wet weight on the experimental side. At 8 and 12 weeks after surgery, brain injury induction and/or tacrolimus treatment increased action potential amplitude in the sciatic nerve trunk. Horseradish peroxidase retrograde tracing revealed that the number of horseradish peroxidase-positive neurons in the anterior horn of the spinal cord was greatly increased. Brain injury in combination with tacrolimus exhibited better effects on repair of injured peripheral nerves than brain injury or tacrolimus alone. This result suggests that brain injury in combination with tacrolimus promotes repair of peripheral nerve injury."
3,"P. R. de Mesquita Coutinho, A. F. Cristante, T. E. P. de Barros Filho, R. Ferreira, G. B. dos Santos","Effects of tacrolimus and erythropoietin in experimental spinal cord lesion in rats: functional and histological evaluation",2016,"Spinal Cord","Nature Publishing Group","","",29,"2021-01-15 10:35:39","Article","10.1038/sc.2015.172","1362-4393","",54,6,439,444,3,0.60,1,5,5,"Study design: Experimental study with rats."
3,"Jun Cai, Yu Sun, Zaoyang Yin, Daode Wang, Kun Shi, Yuxuan Fu, Xiaojian Cao, Yingbin Ge","Analysis of FK506-mediated functional recovery and neuroprotection in a rat model of spinal cord injury indicates that EGF is modulated in astrocytes",2018,"Experimental And Therapeutic Medicine","Spandidos Publ Ltd","","",30,"2021-01-15 10:35:39","Article","10.3892/etm.2018.6283","1792-0981","",16,2,501,510,3,1.00,0,8,3,"The present study aimed to evaluate whether the application of tacrolimus (FK506) could improve functional recovery in spinal cord injury (SCI) rat models by activating astrocytes, and to further investigate the underlying mechanisms of this action. Male Sprague-Dawley rats (n=56) were used to establish moderate SCI models, which were induced at the T10 spinal segment by dropping a 10-g weight from a height of 25 mm using a New York University Impactor device. The rats were randomly separated into the FK506 or control group (n=28 per group). Rats were treated with FK506 (0.5 mg/kg) or saline intravenously 30 min after sustaining the injury. Functional recovery was evaluated over 42 days following the injury, and epidermal growth factor (EGF) levels were detected. The astrocytes were treated with FK506 in vitro, and the EGF mRNA and protein expression levels were analyzed using reverse transcription-quantitative polymerase chain reaction and ELISA, respectively. DNA microarray analysis was also performed to evaluate the genes in astrocytes. Rats in the FK506 group had improved locomotor functional recovery compared with those of control group. Furthermore, FK506 upregulated EGF expression of astrocytes both in vivo and in vitro. Subsequent to treatment with FK506-conditioned medium (CM), the length of neuronal cells increased 61.06% on the first day, and increased 56.4% on the third day compared with those of C-CM group. Furthermore, addition of anti-EGF neutralizing antibodies could interrupt the promotion of neurite outgrowth by FK506-CM. The present study indicates that astrocytes have an important role as mediators of FK506-improved spinal cord function recovery, and this partially clarifies the role of cell-cell interaction through modulating EGF in this process."
6,"Arzu Utuk, Levent Sarikcioglu, Bahadir M. Demirel, Necdet Demir","The Immunosuppressive Agent FK506 Prevents Subperineurial Degeneration and Demyelination on Ultrastructural and Functional Analysis",2009,"Current Neurovascular Research","Bentham Science Publ Ltd","","",28,"2021-01-15 10:35:39","Article","10.2174/156720209789630320","1567-2026","",6,4,252,258,6,0.50,2,4,12,"Several kinds of injury models, such as crush, transection and graft repair have been well studied in terms of neuroprotective effect of FK506. However, definitive experimental studies are lacking on focal degeneration or ischemia. In the present study, our goal was to investigate the effect of FK506 on functional recovery of the sciatic nerve after focal ischemia, produced by stripping of the epineurial vessels. A total number of 48 Wistar rats were used for this purpose and divided into four groups (control, sham-operated, FK506-treated, and Vehicle-treated). Sciatic nerves were approached by femoral and gluteal muscle splitting. Then, epineurial vessels around the sciatic nerve were stripped in the FK506-treated and Vehicle-treated groups. After operation, 5mg/kg/day FK506 administration was initiated by subcutaneous injection until animal sacrifice. The same volume of saline was administrated to the vehicle-treated group. The functional and sensory recoveries were tested by walking pattern analysis and pinch test in every postoperative week. The animals were sacrificed in the end of the fourth postoperative week and sciatic nerve samples were harvested and processed for electron microscopic evaluation. Our data revealed that FK506 administration showed beneficial effect on subperineurial degeneration/demyelinization from functional, sensorial, and ultrastructural points of view. The sciatic nerve samples in the FK506-treated group had several remyelinated fibers compared to the vehicle-treated group. Our literature searches revealed that FK506 administration has not, to our knowledge, been studied in focal ischemic degeneration produced by stripping of the epineurial vessels."
9,"Guangzhu Zhang, Ying Li, James L. Reuss, Nan Liu, Cuiying Wu, Jingpo Li, Shuangshuang Xu, Feng Wang, Thomas G. Hazel, Miles Cunningham, Hongtian Zhang, Yiwu Dai, Peng Hong, Ping Zhang, Jianghong He, Huiru Feng, Xiangdong Lu, John L. Ulmer, Karl K. Johe, Ruxiang Xu","Stable Intracerebral Transplantation of Neural Stem Cells for the Treatment of Paralysis Due to Ischemic Stroke",2019,"Stem Cells Translational Medicine","Wiley","","",27,"2021-01-15 10:35:39","Article","10.1002/sctm.18-0220","2157-6564","",8,10,999,1007,9,4.50,1,20,2,"NSI-566 is a stable, primary adherent neural stem cell line derived from a single human fetal spinal cord and expanded epigenetically with no genetic modification. This cell line is being tested in clinical trials in the U.S. for treatment of amyotrophic lateral sclerosis and spinal cord injury. In a single-site, phase I study, we evaluated the feasibility and safety of NSI-566 transplantation for the treatment of hemiparesis due to chronic motor stroke and determined the maximum tolerated dose for future trials. Three cohorts (n = 3 per cohort) were transplanted with one-time intracerebral injections of 1.2 x 10(7), 2.4 x 10(7), or 7.2 x 10(7) cells. Immunosuppression therapy with tacrolimus was maintained for 28 days. All subjects had sustained chronic motor strokes, verified by magnetic resonance imaging (MRI), initiated between 5 and 24 months prior to surgery with modified Rankin Scores [MRSs] of 2, 3, or 4 and Fugl-Meyer Motor Scores of 55 or less. At the 12-month visit, the mean Fugl-Meyer Motor Score (FMMS, total score of 100) for the nine participants showed 16 points of improvement (p = .0078), the mean MRS showed 0.8 points of improvement (p = .031), and the mean National Institutes of Health Stroke Scale showed 3.1 points of improvement (p = .020). For six participants who were followed up for 24 months, these mean changes remained stable. The treatment was well tolerated at all doses. Longitudinal MRI studies showed evidence indicating cavity-filling by new neural tissue formation in all nine patients. Although this was a small, one-arm study of feasibility, the results are encouraging to warrant further studies. Stem Cells Translational Medicine 2019;8:999-1007"
12,"Jan Voda, Aldric Hama, Jacqueline Sagen","FK506 reduces the severity of cutaneous hypersensitivity in rats with a spinal cord contusion",2007,"Neuroscience Research","Elsevier Ireland Ltd","","",26,"2021-01-15 10:35:39","Article","10.1016/j.neures.2007.02.004","0168-0102","",58,1,95,99,12,0.86,4,3,14,"Spinal cord injury (SCI) leads to persistent pain as well as motor dysfunction, both of which lack effective therapeutics. The immunosuppressant FK506 (tacrolimus) has been shown to improve behavioral outcome following SCI in rats. Just prior to a mid-thoracic spinal cord contusion injury, rats were injected with either vehicle or FK506 and treatment was continued through the duration of the experiment. Vehicle-treated rats developed significant and long-lasting hind paw hypersensitivity to innocuous mechanical stimulation, noxious heat and cooling stimuli. In contrast, FK506 treatment reduced the duration of both mechanical and cold hypersensitivity. Neither treated groups demonstrated an improvement in locomotor function. Thus, some SCI-induced pain is mediated by an FK506-sensitive mechanism. The data also suggest that motor and sensory dysfunctions resulting from SCI are mediated by distinct mechanisms, requiring the use of multiple therapeutic interventions. (c) 2007 Elsevier Ireland Ltd and the Japan Neuroscience Society. All rights reserved."
13,"Jean-Francois Chabas, Olivier Alluin, Guillaume Rao, Stephane Garcia, Marie-Noelle Lavaut, Regis Legre, Guy Magalon, Tanguy Marqueste, Francois Feron, Patrick Decherchi","FK506 Induces Changes in Muscle Properties and Promotes Metabosensitive Nerve Fiber Regeneration",2009,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",24,"2021-01-15 10:35:39","Article","10.1089/neu.2008.0695","0897-7151","",26,1,97,108,13,1.08,1,10,12,"Accumulating evidence indicates that in addition to its immunosuppressant properties, FK506 (tacrolimus), an FDA-approved molecule, promotes nerve regeneration. However, the neuroprotective and neurotrophic effects of this molecule on sensitive fiber regeneration have never been studied. In order to fill this gap in our knowledge, we assessed the therapeutic potential of FK506 in a rat model of peripheral nerve repair. A 1-cm segment of left peroneal nerve was cut out and immediately autografted in an inverted position. After surgery, the animals were treated with FK506 (1.2 mg/kg/d) via an osmotic pump and compared to untreated animals. Recovery of use of the injured leg was assessed weekly for 12 weeks using a walking track apparatus and a camcorder. At the end of this period, motor and metabosensitive responses of the regenerated axons were recorded and histological analysis was performed. We observed that FK506 significantly: (1) increased the diameter of regenerated axons in the distal portion of the graft; (2) improved the responses of sensory neurons to metabolites such as potassium chloride and lactic acid; and (3) induced a fast-to-slow-fiber-type transition of the tibialis anterior muscle. Taken together, these data indicate that FK506 potentiates metabosensitive nerve fiber regeneration. Pharmacological studies of various dosages and concentrations of FK506 are required before recommending this drug for therapeutic treatment of nerve injuries."
