Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Isobel Scarisbrick, Maja Radulovic, Hyesook Yoon","TARGETING THE THROMBIN RECEPTOR IMPROVES RECOVERY AFTER SPINAL CORD INJURY",2016,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",19,"2021-01-14 19:44:05","Meeting Abstract","","0897-7151","",33,13,,,0,0.00,0,3,5,""
0,"Ha Neui Kim, Monica R. Langley, Whitney L. Simon, Hyesook Yoon, Laurel Kleppe, Ian R. Lanza, Nathan K. LeBrasseur, Aleksey Matveyenko, Isobel A. Scarisbrick","A Western diet impairs CNS energy homeostasis and recovery after spinal cord injury: Link to astrocyte metabolism",2020,"Neurobiology Of Disease","Academic Press Inc Elsevier Science","","",20,"2021-01-14 19:44:05","Article","10.1016/j.nbd.2020.104934","0969-9961","",141,,,,0,0.00,0,9,1,"A diet high in fat and sucrose (HFHS), the so-called Western diet promotes metabolic syndrome, a significant co-morbidity for individuals with spinal cord injury (SCI). Here we demonstrate that the spinal cord of mice consuming HFHS expresses reduced insulin-like growth factor 1 (IGF-1) and its receptor and shows impaired tricarboxylic acid cycle function, reductions in PLP and increases in astrogliosis, all prior to SCI. After SCI, Western diet impaired sensorimotor and bladder recovery, increased microgliosis, exacerbated oligodendrocyte loss and reduced axon sprouting. Direct and indirect neural injury mechanisms are suggested since HFHS culture conditions drove parallel injury responses directly and indirectly after culture with conditioned media from HFHS-treated astrocytes. In each case, injury mechanisms included reductions in IGF-1R, SIRT1 and PGC-1 alpha and were prevented by metformin. Results highlight the potential for a Western diet to evoke signs of neural insulin resistance and injury and metformin as a strategy to improve mechanisms of neural neuroprotection and repair."
0,"Yasuhiro Shiga, Akina Shiga, Pinar Mesci, HyoJun Kwon, Coralie Brifault, John H. Kim, Jacob J. Jeziorski, Chanond Nasamran, Seiji Ohtori, Alysson R. Muotri, Steven L. Gonias, Wendy M. Campana","Tissue-type plasminogen activator-primed human iPSC-derived neural progenitor cells promote motor recovery after severe spinal cord injury",2019,"Scientific Reports","Nature Publishing Group","","",21,"2021-01-14 19:44:05","Article","10.1038/s41598-019-55132-8","2045-2322","",9,,,,0,0.00,0,12,2,"The goal of stem cell therapy for spinal cord injury (SCI) is to restore motor function without exacerbating pain. Induced pluripotent stem cells (iPSC) may be administered by autologous transplantation, avoiding immunologic challenges. Identifying strategies to optimize iPSC-derived neural progenitor cells (hiNPC) for cell transplantation is an important objective. Herein, we report a method that takes advantage of the growth factor-like and anti-inflammatory activities of the fibrinolysis protease, tissue plasminogen activator tPA, without effects on hemostasis. We demonstrate that conditioning hiNPC with enzymatically-inactive tissue-type plasminogen activator (El-tPA), prior to grafting into a T3 lesion site in a clinically relevant severe SCI model, significantly improves motor outcomes. El-tPA-primed hiNPC grafted into lesion sites survived, differentiated, acquired markers of motor neuron maturation, and extended beta III-tubulin-positive axons several spinal segments below the lesion. Importantly, only SCI rats that received El-tPA primed hiNPC demonstrated significantly improved motor function, without exacerbating pain. When hiNPC were treated with El-tPA in culture, NMDA-R-dependent cell signaling was initiated, expression of genes associated with stemness (Nestin, Sox2) was regulated, and thrombin-induced cell death was prevented. El-tPA emerges as a novel agent capable of improving the efficacy of stem cell therapy in SCI."
0,"Zhuo Zhang, Xue Bao, Dan Li","Batroxobin inhibits astrocyte activation following nigrostriatal pathway injury",2021,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",22,"2021-01-14 19:44:05","Article","10.4103/1673-5374.295343","1673-5374","",16,4,721,726,0,0.00,0,3,1,"Batroxobin is a thrombin-like serine protease from the venom of the Bothrops atrox and Bothrops moojeni snake species. Sirtuin 1 (Sirt1) has been shown to play an important role in neuroprotection after traumatic brain injury. However, its underlying mechanism of action remains poorly understood. The purpose of this study was to investigate whether the mechanism by which batroxobin participates in the activation of astrocytes is associated with Sirt1. Mouse models of nigrostriatal pathway injury were established. Immediately after modeling, mice were intraperitoneally administered 39 U/kg batroxobin. Batroxobin significantly reduced the expression of cleaved caspase-3 in both the substantia nigra and striatum, inhibited neuronal apoptosis, and promoted the recovery of rat locomotor function. These changes coincided with a remarkable reduction in astrocyte activation. Batroxobin also reduced Sirt1 expression and extracellular signal-regulated kinase activation in brain tissue. Intraperitoneal administration of the Sirt1-specific inhibitor EX527 (5 mg/kg) 30 minutes prior to injury could inhibit the abovementioned effects. In mouse astrocyte cultures, 1 ng/mL batroxobin attenuated interleukin-1 beta-induced activation of astrocytes and extracellular signal-regulated kinase. EX527 could also inhibit the effects of batroxobin. These findings suggest that batroxobin inhibits astrocyte activation after nigrostriatal pathway injury through the Sirt1 pathway. This study was approved by the Animal Ethics Committee of China Medical University, China (approval No. CMU2020037) on July 19, 2015."
1,"","46th ESAO Congress 3-7 September 2019 Hannover, Germany Abstracts",2019,"International Journal Of Artificial Organs","Sage Publications Ltd","","",18,"2021-01-14 19:44:05","Article","10.1177/0391398819860985","0391-3988","",42,8,386,474,1,0.50,0,0,2,"Objectives:ADVOS multi is a recirculating albumin-based dialysis device that supports kidney, liver and lung function by eliminating CO2, water-soluble and protein-bound substances. In the present work in vitro data on the removal of these substances and CO2 are presented. Methods: An ex vivo model using porcine blood was established and applied in detoxification tests for water soluble and protein bound retention solutes. 3 x 3.3L of blood with high bilirubin (30 mg/dl) and lactate levels (>10 mmol/l) were treated with ADVOS multi for 4 hours each. This design, with 3 phases changing blood every 4 hours, led to high concentrations of both markers in blood during the 12 h test period. For CO2 removal tests, 5 liters of blood were used instead. In both cases, a continuous CO2 supply through an additional dialyzer was applied. Results: Bilirubin and lactate were efficiently removed during 12hrs of in vitro detoxification. Lactate removal rates were 90%, 86% and 84% for phase 1, 2 and 3, respectively. Bilirubin elimination rates were 66%, 62%, and 57%, resulting in a total elimination of 1150 mg in 12 hrs. Albumin binding capacity was determined to be >76% at the end of the treatment indicating that albumin was not denatured in the dialysate of the ADVOS system. CO2 removal with ADVOS multi depends on three variables: 1) The amount of supplied CO2 depends on concentrate flow affecting both, blood pCO2 and bicarbonate levels; 2) blood flow, and 3) dialysate pH and composition (i.e., carbonate concentration). A maximum CO2 removal of 142 ml/min was achieved with a carbonate-free dialysate at pH 10, a blood flow of 400 ml/min and a concentrate flow of 160 ml/min. Given that blood gases are maintained within physiological conditions, a CO2 removal rate of 61 ml/min can be achieved. During all the experiments blood pH was set to 7.35-7.45. Discussion:ADVOS multi is a device using albumin recirculation in its secondary circuit. Here, albumin binding capacity remains stable through a systematic modification of its tertiary structure through temperature and pH changes in the ADVOS multi circuit. This facilitates the release of toxins from albumin and allows for further binding. Moreover, presence of albumin, variable dialysate composition and the flexible dialysate pH might facilitate the treatment of patients with multiple organ failure."
2,"A. H. Petter-Puchner, J. Sieber, R. Hopf, W. Oehlinger, M. Schuller, H. Redl","NON-activated protein C as post-treatment after spinal cord compression injury in rats",2006,"Acta Neurochirurgica","Springer Wien","","",17,"2021-01-14 19:44:05","Article","10.1007/s00701-006-0784-7","0001-6268","",148,7,765,771,2,0.13,0,6,15,"Background. Neuroprotective effects of recombinant human activated Protein C (rhAPC) in models of Spinal Cord Injury (SCI) and ischemic stroke have been reported in rodents. To rule out immunogenicity of rhAPC and to possibly maintain the physiological PC/thrombin balance the use of zymogen PC in SCI might be preferable. Although activation of Protein C (PC) has been demonstrated in rats, the efficacy and drug safety of NON activated PC has not been previously tested in experimental SCI."
5,"William D. Whetstone, Breset Walker, Alpa Trivedi, Sangmi Lee, Linda J. Noble-Haeusslein, Jung-Yu C. Hsu","Protease-Activated Receptor-1 Supports Locomotor Recovery by Biased Agonist Activated Protein C after Contusive Spinal Cord Injury",2017,"Plos One","Public Library Science","","",15,"2021-01-14 19:44:05","Article","10.1371/journal.pone.0170512","1932-6203","",12,1,,,5,1.25,1,6,4,"Thrombin-induced secondary injury is mediated through its receptor, protease activated receptor-1 (PAR-1), by ""biased agonism."" Activated protein C (APC) acts through the same PAR-1 receptor but functions as an anti-coagulant and anti-inflammatory protein, which counteracts many of the effects of thrombin. Although the working mechanism of PAR-1 is becoming clear, the functional role of PAR-1 and its correlation with APC in the injured spinal cord remains to be elucidated. Here we investigated if PAR-1 and APC are determinants of long-term functional recovery after a spinal cord contusive injury using PAR-1 null and wildtype mice. We found that neutrophil infiltration and disruption of the blood-spinal cord barrier were significantly reduced in spinal cord injured PAR-1 null mice relative to the wild-type group. Both locomotor recovery and ability to descend an inclined grid were significantly improved in the PAR-1 null group 42 days after injury and this improvement was associated with greater long-term sparing of white matter and a reduction in glial scarring. Wild-type mice treated with APC acutely after injury showed a similar level of improved locomotor recovery to that of PAR-1 null mice. However, improvement of APC-treated PAR-1 null mice was indistinguishable from that of vehicle-treated PAR-1 null mice, suggesting that APC acts through PAR-1. Collectively, our findings define a detrimental role of thrombin-activated PAR-1 in wound healing and further validate APC, also acting through the PAR-1 by biased agonism, as a promising therapeutic target for spinal cord injury."
5,"Yosra Bedoui, Jim W. Neal, Philippe Gasque","The Neuro-Immune-Regulators (NIREGs) Promote Tissue Resilience; a Vital Component of the Host's Defense Strategy against Neuroinflammation",2018,"Journal Of Neuroimmune Pharmacology","Springer","","",16,"2021-01-14 19:44:05","Review","10.1007/s11481-018-9793-6","1557-1890","",13,3,309,329,5,1.67,2,3,3,"An effective protective inflammatory response in the brain is crucial for the clearance of pathogens (e.g. microbes, amyloid fibrils, prion(SC)) and should be closely regulated. However, the CNS seems to have limited tissue resilience to withstand the detrimental effects of uncontrolled inflammation compromising functional recovery and tissue repair. Newly described neuro-immune-regulators (NIREGs) are functionally related proteins regulating the severity and duration of the host inflammatory response. NIREGs such as CD200, CD47 and CX3CL1 are vital for increasing tissue resilience and are constitutively expressed by neurons. The interaction with co-receptors (CD200R, CD172a, CX3CR1) will maintain microglia in the resting phenotype, directing aggressive microglia phenotype and limiting bystander injuries. Neurons can also express many of the complement NIREGs (CD55, CD46, CD59 and factor H). Neurons and glia also express suppressor of cytokine signaling proteins (SOCS) down regulating janus kinase-signal transducer and activator of transcription (JAK/STAT) pathway and to lead to the polarization of microglia towards anti-inflammatory phenotype. Other NIREGs such as serine protease inhibitors (serpins) and thrombomodulin (CD141) inhibit neurotoxic systemic coagulation proteins such as thrombin. The unfolded protein response (UPR) detects misfolded proteins and other stressors to prevent irreversible cell injury. Microglial pattern recognition receptors (PRR) (TREM-2, CR3, Fc gamma R) are important to clear apoptotic cells and cellular debris but in non-phlogystic manner through inhibitory signaling pathways. The TYRO3, Axl, Mer (TAM) tyrosine receptor kinases activated by Gas 6 and PROS1 regulate inflammation by inhibiting Toll like receptors (TLR) /JAK-STAT activation and contribute to NIREG's functions."
8,"Hui-Quan Duan, Qiu-Li Wu, Xue Yao, Bao-You Fan, Hong-Yu Shi, Chen-Xi Zhao, Yan Zhang, Bo Li, Chao Sun, Xiao-Hong Kong, Xin-Fu Zhou, Shi-Qing Feng","Nafamostat mesilate attenuates inflammation and apoptosis and promotes locomotor recovery after spinal cord injury",2018,"Cns Neuroscience & Therapeutics","Wiley","","",12,"2021-01-14 19:44:05","Article","10.1111/cns.12801","1755-5930","",24,5,429,438,8,2.67,1,12,3,"AimSpinal cord injury (SCI) leads to severe neural damage for which there is currently no effective treatment. Exploration of the neuroprotective effect among clinically approved drugs will speed up clinical translation of SCI. Nafamostat mesilate (NM) as a synthetic serine protease inhibitor has been used clinically in pancreatitis treatments. However, its effectiveness in SCI is unknown. The aim of this study was to confirm the efficacy of NM in ameliorating SCI."
10,"Thomas Broggini, Lisa Schnell, Ali Ghoochani, Jose Maria Mateos, Michael Buchfelder, Kurt Wiendieck, Michael K. Schaefer, Ilker Y. Eyupoglu, Nicolai E. . Savaskan","Plasticity Related Gene 3 (PRG3) overcomes myelin-associated growth inhibition and promotes functional recovery after spinal cord injury",2016,"Aging-Us","Impact Journals Llc","","",14,"2021-01-14 19:44:05","Article","10.18632/aging.101066","1945-4589","",8,10,2463,2487,10,2.00,1,9,5,"The Plasticity Related Gene family covers five, brain-specific, transmembrane proteins (PRG1-5, also termed LPPR1-5) that operate in neuronal plasticity during development, aging and brain trauma. Here we investigated the role of the PRG family on axonal and filopodia outgrowth. Comparative analysis revealed the strongest outgrowth induced by PRG3 (LPPR1). During development, PRG3 is ubiquitously located at the tip of neuronal processes and at the plasma membrane and declines with age. In utero electroporation of PRG3 induced dendritic protrusions and accelerated spine formations in cortical pyramidal neurons. The neurite growth promoting activity of PRG3 requires RasGRF1 (RasGEF1/Cdc25) mediated downstream signaling. Moreover, in axon collapse assays, PRG3-induced neurites resisted growth inhibitors such as myelin, Nogo-A (Reticulon/RTN-4), thrombin and LPA and impeded the RhoA-Rock-PIP5K induced neurite repulsion. Transgenic adult mice with constitutive PRG3 expression displayed strong axonal sprouting distal to a spinal cord lesion. Moreover, fostered PRG3 expression promoted complex motor-behavioral recovery compared to wild type controls as revealed in the Schnell swim test (SST). Thus, PRG3 emerges as a developmental RasGRF1-dependent conductor of filopodia formation and axonal growth enhancer. PRG3-induced neurites resist brain injury-associated outgrowth inhibitors and contribute to functional recovery after spinal cord lesions. Here, we provide evidence that PRG3 operates as an essential neuronal growth promoter in the nervous system. Maintaining PRG3 expression in aging brain may turn back the developmental clock for neuronal regeneration and plasticity."
