Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Dimin Wang, Kai Wang, Zhenlei Liu, Zonglin Wang, Hao Wu","Valproic Acid Labeled Chitosan Nanoparticles Promote the Proliferation and Differentiation of Neural Stem Cells After Spinal Cord Injury",2020,"Neurotoxicity Research","Springer","","",32,"2021-01-12 12:06:35","Article","10.1007/s12640-020-00304-y","1029-8428","",,,,,0,0.00,0,5,1,"Chitosan nanoparticles and valproic acid are demonstrated as the protective agents in the treatment of spinal cord injury (SCI). However, the effects of valproic acid-labeled chitosan nanoparticles (VA-CN) on endogenous spinal cord neural stem cells (NSCs) following SCI and the underlying mechanisms involved remain to be elucidated. In this study, the VA-CN was constructed and the effects of VA-CN on NSCs were assessed in a rat model of SCI. We found VA-CN treatment promoted recovery of the tissue and locomotive function following SCI. Moreover, administration of VA-CN significantly enhanced neural stem cell proliferation and the expression levels of neurotrophic factors following SCI. Furthermore, administration of VA-CN led to a decrease in the number of microglia following SCI. In addition, VA-CN treatment significantly increased the Tuj 1- positive cells in the spinal cord of the SCI rats, suggesting that VA-CN could enhance the differentiation of NSCs following SCI. In conclusion, these results demonstrated that VA-CN could improve the functional and histological recovery through promoting the proliferation and differentiation of NSCs following SCI, which would provide a newly potential therapeutic manner for the treatment of SCI."
0,"Sven Hendrix, Selien Sanchez, Elissia Ventriglia, Stefanie Lemmens","HDAC8 Inhibition Reduces Lesional Iba-1+Cell Infiltration after Spinal Cord Injury without Effects on Functional Recovery",2020,"International Journal Of Molecular Sciences","Mdpi","","",33,"2021-01-12 12:06:35","Article","10.3390/ijms21124539","","",21,12,,,0,0.00,0,4,1,"Pan-histone deacetylase (HDAC) inhibition with valproic acid (VPA) has beneficial effects after spinal cord injury (SCI), although with side effects. We focused on specific HDAC8 inhibition, because it is known to reduce anti-inflammatory mediators produced by macrophages (M phi). We hypothesized that HDAC8 inhibition improves functional recovery after SCI by reducing pro-inflammatory classically activated M phi. Specific HDAC8 inhibition with PCI-34051 reduced the numbers of perilesional M phi as measured by histological analyses, but did not improve functional recovery (Basso Mouse Scale). We could not reproduce the published improvement of functional recovery described in contusion SCI models using VPA in our T-cut hemisection SCI model. The presence of spared fibers might be the underlying reason for the conflicting data in different SCI models."
0,"Conghui Zhou, Songfeng Hu, Benson O. A. Botchway, Yong Zhang, Xuehong Liu","Valproic Acid: A Potential Therapeutic for Spinal Cord Injury",2020,"Cellular And Molecular Neurobiology","Springer/Plenum Publishers","","",34,"2021-01-12 12:06:35","Review","10.1007/s10571-020-00929-9","0272-4340","",,,,,0,0.00,0,5,1,"The lack of an effective pharmaceutical agent for spinal cord injury (SCI) is a current problematic situation for clinicians, as the rate of motor vehicle accidents among young adults is on the rise. SCI contributes to the high disability rate. Presently, evidences detailing the precise pathological mechanisms in SCI are limited, compounding to the unavailability of an effective treatment method. Surgery, though not a complete curative method, is useful in managing some of the associated symptoms of secondary SCI. Autophagy and inflammation are contributive factors to both exacerbation and improvement of SCI. The mammalian target of rapamycin (mTOR) signaling pathway is a key player in the regulation of inflammatory response and autophagy. Valproic acid (VPA), a clinically used antiepileptic drug, has been suggested to improve neurological conditions, including SCI. This report reviewed the correlation between mTOR and autophagy, as well as autophagy's role and the therapeutic effects of VPA in SCI. VPA regulates autophagy by potentially inhibiting mTORC1, a complex of mTOR, while also hindering inflammatory response. Conclusively, an effective treatment for SCI could lie in the timely regulation of mTOR signaling pathway, and VPA could be the potential drug that improves SCI owing to its propensity to regulate the mTOR signaling pathway."
0,"K. P. Reis, L. E. Sperling, C. Teixeira, L. Sommer, M. Colombo, L. S. Koester, P. Pranke","VPA/PLGA microfibers produced by coaxial electrospinning for the treatment of central nervous system injury",2020,"Brazilian Journal Of Medical And Biological Research","Assoc Bras Divulg Cientifica","","",35,"2021-01-12 12:06:35","Article","10.1590/1414-431X20208993","0100-879X","",53,4,,,0,0.00,0,7,1,"The central nervous system shows limited regenerative capacity after injury. Spinal cord injury (SCI) is a devastating traumatic injury resulting in loss of sensory, motor, and autonomic function distal from the level of injury. An appropriate combination of biomaterials and bioactive substances is currently thought to be a promising approach to treat this condition. Systemic administration of valproic acid (VPA) has been previously shown to promote functional recovery in animal models of SCI. In this study, VPA was encapsulated in poly(lactic-co-glycolic acid) (PLGA) microfibers by the coaxial electrospinning technique. Fibers showed continuous and cylindrical morphology, randomly oriented fibers, and compatible morphological and mechanical characteristics for application in SCI. Drug-release analysis indicated a rapid release of VPA during the first day of the in vitro test. The coaxial fibers containing VPA supported adhesion, viability, and proliferation of PC12 cells. In addition, the VPA/PLGA microfibers induced the reduction of PC12 cell viability, as has already been described in the literature. The biomaterials were implanted in rats after SCI. The groups that received the implants did not show increased functional recovery or tissue regeneration compared to the control. These results indicated the cytocompatibility of the VPA/PLGA core-shell microfibers and that it may be a promising approach to treat SCI when combined with other strategies."
0,"Oscar Seira, Wenchun Wang, Sharon Lee, Jane Roskams, Wolfram Tetzlaff","HDAC inhibition leads to age-dependent opposite regenerative effect upon PTEN deletion in rubrospinal axons after SCI",2020,"Neurobiology Of Aging","Elsevier Science Inc","","",36,"2021-01-12 12:06:35","Article","10.1016/j.neurobiolaging.2020.02.006","0197-4580","",90,,99,109,0,0.00,0,5,1,"Epigenetic changes associated with aging have been linked to functional and cognitive deficits in the adult CNS. Histone acetylation is involved in the control of the transcription of plasticity and regeneration-associated genes. The intrinsic axon growth capacity in the CNS is negatively regulated by phosphatase and tensin homolog (Pten). Inhibition of Pten is an effective method to stimulate axon growth following an injury to the optic nerve, corticospinal tract (CST), and rubrospinal tract (RST). Our laboratory has previously demonstrated that the deletion of Pten in aged animals diminishes the regenerative capacity in rubrospinal neurons. We hypothesize that changes in the chromatin structure might contribute to this age-associated decline. Here, we assessed whether Trichostatin A (TSA), a histone deacetylases (HDACs) inhibitor, reverses the decline in regeneration in aged Pten(f/f) mice. We demonstrate that HDAC inhibition induces changes in the expression of GAP43 in both young and aged Pten(f/f) mice. The regenerative capacity of the RST did not improve significantly in young mice, neither their motor function on the horizontal ladder or cylinder test after TSA treatment for 7 days. Interestingly, TSA treatment in the aged mice worsened their motor function deficits, suggesting that the systemic treatment with TSA might have an overall adverse effect on motor recovery after SCI in aged animals. (C) 2020 Elsevier Inc. All rights reserved."
2,"Dimin Wang, Kai Wang, Zhenlei Liu, Zonglin Wang, Hao Wu","Valproic acid-labeled chitosan nanoparticles promote recovery of neuronal injury after spinal cord injury",2020,"Aging-Us","Impact Journals Llc","","",27,"2021-01-12 12:06:35","Article","10.18632/aging.103125","1945-4589","",12,10,8953,8967,2,2.00,0,5,1,"Chitosan nanoparticles have been recognized as a new type of biomaterials for treatment of spinal cord injury (SCI). To develop a novel treatment method targeted delivery injured spinal cord, valproic acid labeled chitosan nanoparticles (VA-CN) were constructed and evaluated in the treatment of SCI. Our results demonstrated that administration of VA-CN significantly promoted the recovery of the function and tissue repair after SCI. Moreover, we found treatment of VA-CN inhibited the reactive astrocytes after SCI. Furthermore, administration of VA-CN enhanced immunoreactions of neuronal related marker NF160, which suggested that VA-CN could promote the neuroprotective function in rats of SCI. The production of IL-1 beta, IL-6 and TNF-alpha were significantly decreased following treatment of VA-CN. Meanwhile, administration of VA-CN effectively improved the blood spinal cord barrier (BSCB) disruption after SCI. Administration of VA-CN could enhance the recovery of neuronal injury, suppress the reactive astrocytes and inflammation, and improve the blood spinal cord barrier disruption after SCI in rats. These results provided a novel and promising therapeutic manner for SCI."
2,"M. Ferrucci, L. Ryskalin, C. L. Busceti, A. Gaglione, F. Biagioni, F. Fornai","Are there endogenous stem cells in the spinal cord?",2017,"Archives Italiennes De Biologie","Pisa Univ Press","","",28,"2021-01-12 12:06:35","Article","10.12871/00039829201743","0003-9829","",155,4,167,184,2,0.50,0,6,4,"Neural progenitor cells (NPC) represent the stem-like niche of the central nervous system that maintains a regenerative potential also in the adult life. Despite NPC in the brain are well documented, the presence of NPC in the spinal cord has been controversial for a long time. This is due to a scarce activity of NPC within spinal cord, which also makes difficult their identification. The present review recapitulates the main experimental studies, which provided evidence for the occurrence of NPC within spinal cord, with a special emphasis on spinal cord injury and amyotrophic lateral sclerosis. By using experimental models, here we analyse the site-specificity, the phenotype and the main triggers of spinal cord NPC. Moreover, data are reported on the effect of specific neurogenic stimuli on these spinal cord NPC in an effort to comprehend the endogenous neurogenic potential of this stem cell niche."
2,"Ki-Su Park, Jin Bum Kim, Martin Keung, Ye Jin Seo, Sung Young Seo, Seul Ah Mun, Young-Seok Lee, Dae-Chul Cho, Jeong-Hyun Hwang, Inbo Han, Chi Heon Kim, Kyoung-Tae Kim","Chronic Hyperglycemia before Spinal Cord Injury Increases Inflammatory Reaction and Astrogliosis after Injury: Human and Rat Studies",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",29,"2021-01-12 12:06:35","Article","10.1089/neu.2019.6724","0897-7151","",37,9,1165,1181,2,2.00,0,12,1,"Traumatic spinal cord injury (SCI) can cause permanent disabilities that seriously reduce quality of life. We evaluated the effects of chronic hyperglycemia before SCI on inflammatory markers and functional recovery after SCI in human patients and a rat model. In the human study, multivariate logistical regression analysis revealed that hemoglobin A1c (HbA1c) values, reflecting average plasma glucose concentration over a 3 month period, at admission were a significant risk factor for poor functional recovery. Moreover, patients with chronic hyperglycemia (HbA1c >= 6.5%) had high concentrations of inflammatory biomarkers (interleukin [IL]-6 and IL-8) of cerebrospinal fluid after SCI. Consistent with patient findings, chronic hyperglycemia before SCI in rats was associated with increased inflammatory responses and oxygen-free radicals in the spinal cord and blood, thus resulting in poor functional recovery and histological outcomes. Tight glucose control before SCI decreased the harmful effects of hyperglycemia after SCI in both human and rat studies. Our findings suggest that chronic hyperglycemia before SCI may be a significant prognostic factor with a negative impact on functional and histological outcomes, highlighting the importance of tight glucose control before SCI."
2,"De-Lu Qiu, Ting-Hua Wang","The Expression implication of GDNF in ventral horn and associated remote cortex in rhesus monkeys with hemisected spinal cord injury",2016,"Iranian Journal Of Basic Medical Sciences","Mashhad Univ Med Sciences","","",30,"2021-01-12 12:06:35","Article","","2008-3866","",19,9,970,976,2,0.40,1,2,5,"Objective(s): Glial cell line-derived neurotrophic factor (GDNF) can effectively promote axonal regeneration, limit axonal retraction, and produce a statistically significant improvement in motor recovery after spinal cord injury (SCI). However, the role in primate animals with SCI is not fully cognized."
2,"Qing-Jie Kong, Yuan Wang, Yang Liu, Jing-Chuan Sun, Xi-Ming Xu, Xiao-Fei Sun, Jian-Gang Shi","Neuroprotective Effects of Valproic Acid in a Rat Model of Cauda Equina Injury",2017,"World Neurosurgery","Elsevier Science Inc","","",31,"2021-01-12 12:06:35","Article","10.1016/j.wneu.2017.08.150","1878-8750","",108,,128,136,2,0.50,0,7,4,"BACKGROUND: Histone deacetylase inhibitors, including valproic acid (VPA), are promising therapeutic interventions in neurological disorders and play an important role in synaptic activity and neuronal function."
