Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Francois Feron","Repairing the Spinal Cord with a Sequential Treatment Combining Cell Therapy and Neurosteroid",2014,"E-Memoires De L Academie Nationale De Chirurgie","Acad Natl Chirurgie","","",12,"2021-01-12 11:43:15","Article","10.14607/emem.2014.4.049","1634-0647","",13,4,49,54,0,0.00,0,1,7,"We first demonstrated that nasal olfactory ensheathing cells, transplanted in rodent lesioned spinal cord, efficiently promoted locomotor and electrophysiological recovery. We then performed the first clinical trial based on the autologous transplantation of olfactory ensheathing cells into the spinal cord of 6 patients with complete, thoracic paraplegia. In one transplant recipient (out of three), there was an improvement over 3 segments in light touch and pin-prick sensitivity."
0,"Andrei F. Joaquim, Jefferson W. Daniel, Gregory D. Schroeder, Alexander R. Vaccaro","Neuroprotective Agents as an Adjuvant Treatment in Patients With Acute Spinal Cord Injuries A Qualitative Systematic Review of Randomized Trials",2020,"Clinical Spine Surgery","Lippincott Williams & Wilkins","","",13,"2021-01-12 11:43:15","Review","10.1097/BSD.0000000000000861","2380-0186","",33,2,65,75,0,0.00,0,4,1,"Study Design:"
0,"Jun Peng, Yu-Lin Zhan, Ying-Jie Liu, Yang Zong, Jian-Guang Xu","Plasma VDBP, 25(OH)D, and GSH levels predict surgical outcome in patients with cervical spondylotic myelopathy",2019,"Kaohsiung Journal Of Medical Sciences","Wiley","","",14,"2021-01-12 11:43:15","Article","10.1002/kjm2.12015","1607-551X","",35,2,102,110,0,0.00,0,5,2,"This study intends to investigate the predictive values of plasma Vitamin D-binding protein (VDBP), 25-hydroxyvitamin D [25(OH)D], and glutathione (GSH) levels in the outcome of cervical spondylotic myelopathy (CSM) surgery. Surgery outcomes of 236 CSM patients were determined. Recovery rate was calculated according to Japanese Orthopaedic Association (JOA) scores during follow-up. CSM patients with a recovery rate>50% were assigned with good prognosis and the rest were with fair prognosis. Preoperative and postoperative neurologic function scores were compared among groups. Plasma VDBP and 25(OH)D levels, as well as GSH levels were measured by ELISA and glutathione reductase recycling assay, respectively. Pearson's correlation coefficient was performed to analyze the correlation among plasma VDBP, 25(OH)D, and GSH levels. Receiver operating characteristic (ROC) curve was applied to evaluate the predictive value of plasma VDBP, 25(OH)D, and GSH levels for surgical outcome. Logistic regression model was used to analyze risk factors for surgical outcome. Compared with those with fair prognosis, CSM patients with good prognosis group exhibited higher postoperative neurologic function scores, plasma VDBP, 25(OH)D, and GSH levels, and better improvements in spinal cord compression and motions of the cervical vertebra. Plasma VDBP, 25(OH)D, and GSH levels were favorable prognostic factors for CSM surgical outcome. The sensitivity and specificity of plasma VDBP, plasma 25(OH)D, and plasma GSH were 89.8% and 91.7%, 85.8% and 84.4%, and 79.5% and 91.7%, respectively. Our study provides evidence that higher plasma VDBP, 25(OH)D, and GSH levels may predict better surgical outcome in CSM patients."
1,"Leila Khajoueinejad, Hadi Askarifirouzjaei, Fatemeh Namazi, Ali Mohammadi, Ali Akbar Pourfathollah, Hamid Rajaian, Mehdi Fazeli","Immunomodulatory effects of Calcitriol in acute spinal cord injury in rats",2019,"International Immunopharmacology","Elsevier","","",11,"2021-01-12 11:43:15","Article","10.1016/j.intimp.2019.105726","1567-5769","",74,,,,1,0.50,0,7,2,"Pharmacological therapy options for spinal cord injury (SCI) in acute phase have so far been limited, thus we focused on Calcitriol, FDA-approved biologically active form of vitamin D whose neuroprotective effects are increasingly recognized, to ameliorating damage following acute SCI in rats. Calcitriol (1 mu g/kg) treatment for 7 consecutive days after SCI was compared SCI control and Sham control rat groups. Calcitriol-treated group had significantly improved outcome in standard functional recovery evaluation test (BBB) 12 weeks after SCI compared to SCI control, which was confirmed by increased ventral horn motor neurons in Calcitriol-treated group. In addition, proliferation test performed on lymphocytes from spleen and lymph nodes one week after SCI showed that calcitriol injection has a significant regulatory effect on Division Index (DI) in response to MBP stimulation compared to control SCI groups, which was associated with significant reduction in IFN-gamma and IL-17A secretion and leukocyte infiltration into injury site. Along with confirmation of immunoregulatory aspects of Calcitriol treatment against myelin antigens in SCI, this study has shown that reducing the extent of progressive tissue loss by Calcitriol therapy in acute phase, could result in better recovery after SCI."
2,"Hasan Celik, Senem Mut, Ferhat Harman, Gokhan Yilmaz, Mehmet Zafer Berkman","Therapeutic Effects of Vitamin D-3 on Motor Functions Following Experimental Spinal Cord Injury",2015,"Turkish Journal Of Neurology","Turkish Neurological Soc","","",8,"2021-01-12 11:43:15","Article","10.4274/tnd.76588","1301-062X","",21,2,55,61,2,0.33,0,5,6,"Objective: Spinal cord injuries are frequently encountered and is a major health problem due to the severe disability they cause. The neurological damage of acute spinal cord trauma triggers primary mechanisms of injury and cell death activation cascades leading to tissue damage. The aim of this study was to investigate the therapeutic effects of vitamin D-3 in a rat model of spinal cord injury."
2,"Angela Navarrete-Opazo, Pilar Cuitina, Ines Salas","Effectiveness of dietary supplements in spinal cord injury subjects",2017,"Disability And Health Journal","Elsevier Science Inc","","",9,"2021-01-12 11:43:15","Review","10.1016/j.dhjo.2016.12.002","1936-6574","",10,2,183,197,2,0.50,1,3,4,"Background: Individuals with spinal cord injury (SCI) consume more dietary supplements than the general population. However, there is limited information regarding the clinical effectiveness of dietary supplements in SCI population."
2,"Shu-Jie Zhao, Wei Zhou, Jian Chen, Yong-Jun Luo, Guo-Yong Yin","Bioinformatics analysis of the molecular mechanisms underlying traumatic spinal cord injury",2018,"Molecular Medicine Reports","Spandidos Publ Ltd","","",10,"2021-01-12 11:43:15","Article","10.3892/mmr.2018.8918","1791-2997","",17,6,8484,8492,2,0.67,0,5,3,"Spinal cord injury (SCI) is a cause of disability. The present study aimed to investigate the molecular mechanisms involved in traumatic SCI. Transcriptome data under accession no. GSE5296, including 96 chips, were downloaded from the Gene Expression Omnibus database. The raw data were normalized and differentially expressed genes (DEGs) were identified. Furthermore, Kyoto Encyclopedia of Genes and Genomes pathway and Gene Ontology enrichment analysis of up- and downregulated DEGs was performed. Additionally, a protein-protein interaction network was constructed and the expression patterns of different genes were determined. Compared with sham samples, there were 374, 707, 1,322, 1,475, 1,724 and 1,342 DEGs identified at 0.5, 4, 24 and 72 h, and 7 and 28 days post-injury, respectively. At 24 and 72 h, and 7 days following injury, the upregulated DEGs were markedly enriched in inflammatory response' and immune process'. Downregulated DEGs were predominantly enriched in neuronal function-associated pathways and steroid biosynthesis' process. Protein-protein interaction network analysis demonstrated similar results. Trend charts further demonstrated that the inflammatory and neuronal functions were altered in a temporal and site-specific manner. The present study provided an insight into the molecular mechanisms underlying traumatic SCI, which may benefit future SCI research and aid in therapy development."
4,"Bahram Aminmansour, Ali Asnaashari, Majid Rezvani, Fariborz Ghaffarpasand, Seyed Mohammad Amin Noorian, Masih Saboori, Parisa Abdollahzadeh","Effects of progesterone and vitamin D on outcome of patients with acute traumatic spinal cord injury; a randomized, double-blind, placebo controlled study",2016,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd","","",7,"2021-01-12 11:43:15","Article","10.1080/10790268.2015.1114224","1079-0268","",39,3,272,280,4,0.80,1,7,5,"Background: Steroid hormones offer promising therapeutic perspectives during the acute phase of spinal cord injury (SCI) while the role of progesterone and vitamin D remain controversial. The aim of the current study was to investigate the effects of progesterone and vitamin D on functional outcome of patients with acute traumatic SCI."
8,"Ilke Coskun Benlidayi, Sibel Basaran, Gulsah Seydaoglu, Rengin Guzel","Vitamin D profile of patients with spinal cord injury and post-stroke hemiplegia: All in the same boat",2016,"Journal Of Back And Musculoskeletal Rehabilitation","Ios Press","","",6,"2021-01-12 11:43:15","Article","10.3233/BMR-150615","1053-8127","",29,2,205,210,8,1.60,2,4,5,"BACKGROUND: Patients with spinal cord injury (SCI) and hemiplegia are at risk of fractures partly due to decreased bone mineral density with relation to the low levels of vitamin D."
12,"Yatma Gueye, Tanguy Marqueste, Fanny Maurel, Michel Khrestchatisky, Patrick Decherchi, Francois Feron","Cholecalciferol (vitamin D-3) improves functional recovery when delivered during the acute phase after a spinal cord trauma",2015,"Journal Of Steroid Biochemistry And Molecular Biology","Pergamon-Elsevier Science Ltd","","",5,"2021-01-12 11:43:15","Article","10.1016/j.jsbmb.2015.06.007","0960-0760","",154,,23,31,12,2.00,2,6,6,"In a previous study, based on a rat model of thoracic spinal cord compression, we demonstrated that cholecalciferol (Vitamin D-3), delivered at the dose of 200 IU/kg/day, significantly improved ventilatory frequency and spasticity. In order to confirm the restorative potential of vitamin D, we performed a new study, using a rat model of left cervical hemisection (C-2). From Day 1 or Day 7, animals received, during three months, a weekly oral bolus of either cholecalciferol, at the dose of 500 IU/kg/day, or vehicle, namely triglycerides. Rats were assessed every month, using a ladder test for sensori-locomotor ability and neuromuscular capacity. Three months after injury, H-reflex was recorded from left extensor digitorum muscle in order to measure the reflexivity of the sub-lesional region. Ventilatory frequency was also monitored during an electrically induced muscle fatigue of the hindlimb known to enhance muscle metaboreflex and increase respiratory rate. After recording the phrenic nerve activity, ipsilateral to the lesion, during spontaneous breathing, animals were artificially ventilated while paralyzed with a neuromuscular blocking agent and then the brainstem respiratory centres were provoked to maximal output by temporarily stopping the ventilator. Spinal cords were immunostained with an anti-neurofilament antibody to evaluate axon numbers. We show here that vitamin D-treated animals display i) an enhanced locomotor activity, ii) an improved breathing when hindlimb muscle was electrically stimulated to induce fatigue, iii) an H-reflex depression similar to control animals, iv) a phrenic nerve activity response to a temporary asphyxial stress and v) a non significant decreased number of axons in the proximal stump when compared with the Sham group. This new set of data confirms that vitamin D is a potent molecule that could be tested in clinical trials assessing functional recovery in para-/tetra-plegic patients, shortly after a trauma. (C) 2015 Elsevier Ltd. All rights reserved."
