Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Chen-Li Cheng","Spinal Cord Injury-Induced Neurogenic Bladder",2009,"Luts-Lower Urinary Tract Symptoms","Wiley","","",26,"2021-01-16 11:15:27","Review","10.1111/j.1757-5672.2009.00018.x","1757-5664","",1,,,,0,0.00,0,1,12,"Spinal cord injury (SCI) is one of the most debilitating and devastating injuries to humans. Lower urinary tract dysfunction is of most concern in the management of SCI patients. Proper management depends on understanding the mechanisms underlying the development of neurogenic bladder. Suprasacral SCI induces detrusor areflexia and urine retention initially. The recovery of lower urinary tract function occurs several weeks later, but the voiding function deteriorates and manifests by hyperreflexia and incomplete voiding secondary to the simultaneous contraction of the detrusor and external urethral sphincter (detrusor-sphincter dyssynergia) during voiding. Electrophysiological and pharmacological studies of animals reveal that the recovery of lower urinary tract function relies on the plasticity of bladder afferent pathways. The A(delta) afferents convey proprioception and initiate micturition reflex in intact cats and rats. Chronic SCI animals exhibit hyperreflexia during storage and incomplete expulsion during voiding. The A(delta) afferent pathway is replaced by capsaicin-sensitive C-fiber afferents in chronic SCI cats. In chronic SCI rats, voiding is still mediated thru A(delta) afferents. However, C-fiber afferents modify bladder function and induce bladder hyperreflexia and detrusor-sphincter dyssynergia in chronic SCI rats. Thus, multiple factors have been implicated in the development of neurogenic bladder induced by SCI."
0,"Anastasia V. Keller, Casey Hainline, Kathleen Rees, Sarah Krupp, Daniella Prince, Brittney D. Wood, Alice Shum-Siu, Darlene A. Burke, Jeffrey C. Petruska, David S. K. Magnuson","Nociceptor-dependent locomotor dysfunction after clinically-modeled hindlimb muscle stretching in adult rats with spinal cord injury",2019,"Experimental Neurology","Academic Press Inc Elsevier Science","","",27,"2021-01-16 11:15:27","Article","10.1016/j.expneurol.2019.03.006","0014-4886","",318,,267,276,0,0.00,0,10,2,"In the course of investigating how common clinical treatments and adaptive technologies affect recovery after spinal cord injury (SCI), we discovered that a clinically-modeled hindlimb stretching protocol dramatically, but transiently, reduces locomotor function. Nociceptive sensory input is capable of altering motor output at the spinal level, and nociceptive neurons are sensitized after SCI. Here we tested the hypotheses that stretch-induced locomotor deficits are dependent on nociceptive afferents by depleting TRPV1+ sensory afferents using capsaicin injections in neonatal rats. Following maturation, animals received 25g-cm contusive SCI at T10. After plateau of locomotor recovery at 6 weeks, daily stretching was performed for 3 weeks, followed by 2 weeks without stretch, and again for two additional weeks. Animals were sacrificed 2 h after the last stretching session for histological assessments. Consistent with previous findings, stretch-induced drops in locomotor function were observed in nociceptor-intact animals but were nearly absent in nociceptor-depleted animals. These functional changes were accompanied by corresponding increases in the number of c-Fos+ nuclei throughout the lumbar enlargement. As expected, nociceptor-depleted animals had very little CGRP + axonal innervation of the dorsal horn. Nociceptor-intact stretched animals had significantly higher levels of CGRP + as compared to non-stretched SCI rats, suggesting that stretching promoted intraspinal CGRP + sprouting. These results indicate that stretch-induced locomotor dysfunction in animals with incomplete SCI involves C-fibers, adding a negative post SCI role to their adaptive roles (e.g., bladder control), and suggesting that the clinical use of muscle stretching to combat contractures and spasticity may be unintentionally detrimental to locomotor function."
1,"Rachel Baine, Misty Strain, Melissa Henwood, David Travis Johnston, Jacob Davis, James W. Grau","PAIN INPUT AFTER SPINAL CORD INJURY INCREASES TISSUE LOSS AND IMPAIRS LONG-TERM RECOVERY IN FEMALE RATS",2019,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",24,"2021-01-16 11:15:27","Meeting Abstract","","0897-7151","",36,13,,,1,0.50,0,6,2,""
1,"Maxime Huot-Lavoie, Windsor Kwan-Chun Ting, Maxime Demers, Catherine Mercier, Christian Ethier","Impaired Motor Learning Following a Pain Episode in Intact Rats",2019,"Frontiers In Neurology","Frontiers Media Sa","","",25,"2021-01-16 11:15:27","Article","10.3389/fneur.2019.00927","1664-2295","",10,,,,1,0.50,0,5,2,"Motor learning and pain are important factors influencing rehabilitation. Despite being mostly studied independently from each other, important interactions exist between them in the context of spinal cord injury, whether to the spinal cord or the body. Ongoing or recent past episodes of nociceptive activity can prevent motor learning in spinalized rats. In intact animals, it has been proposed that supraspinal activity could counter the repressive effect of nociception on motor system plasticity, but this has not yet been verified in behavioral conditions. The aim of this study was to test whether a recent episode of nociception affects subsequent motor learning in intact animals. We trained rodents to walk on a custom-made horizontal ladder. After initial training, the rats underwent a week-long rest, during which they were randomly assigned to a control group, or one out of two pain conditions. Nociceptive stimuli of different durations were induced through capsaicin or Complete Freund's Adjuvant injections and timed so that the mechanical hypersensitivity had entirely subsided by the end of the resting period. Training then resumed on a modified version of the horizontal ladder. We evaluated the animals' ability to adapt to the modified task by measuring their transit time and paw misplacements over 4 days. Our results show that prior pain episodes do affect motor learning in neurologically intact rats. Motor learning deficits also seem to be influenced by the duration of the pain episode. Rats receiving a subcutaneous injection of capsaicin displayed immediate signs of mechanical hypersensitivity, which subsided rapidly. Nonetheless, they still showed learning deficits 24 h after injection. Rats who received a Complete Freund's Adjuvant injection displayed mechanical hypersensitivity for up to 7 days during the resting period. When trained on the modified ladder task upon returning to normal sensitivity levels, these rats exhibited more prolonged motor learning deficits, extending over 3 days. Our results suggest that prior pain episodes can negatively influence motor learning, and that the duration of the impairment relates to the duration of the pain episode. Our results highlight the importance of addressing pain together with motor training after injury."
2,"Emily M. Besecker, Emily N. Blanke, Gina M. Deiter, Gregory M. Holmes","Gastric vagal afferent neuropathy following experimental spinal cord injury",2020,"Experimental Neurology","Academic Press Inc Elsevier Science","","",23,"2021-01-16 11:15:27","Article","10.1016/j.expneurol.2019.113092","0014-4886","",323,,,,2,2.00,1,4,1,"Dramatic impairment of gastrointestinal (GI) function accompanies high-thoracic spinal cord injury (T3-SCI). The vagus nerve contains mechano- and chemosensory fibers as well as the motor fibers necessary for the central nervous system (CNS) control of GI reflexes. Cell bodies for the vagal afferent fibers are located within the nodose gangla (NG) and the majority of vagal afferent axons are unmyelinated C fibers that are sensitive to capsaicin through activation of transient receptor potential vanilloid-1 (TRPV1) channels. Vagal afferent fibers also express receptors for GI hormones, including cholecystokinin (CCK). Previously, T3-SCI provokes a transient GI inflammatory response as well as a reduction of both gastric emptying and centrally-mediated vagal responses to GI peptides, including CCK. TRPV1 channels and CCK-A receptors (CCKar) expressed in vagal afferents are upregulated in models of visceral inflammation. The present study investigated whether T3-SCI attenuates peripheral vagal afferent sensitivity through plasticity of TRPV1 and CCK receptors."
6,"Joel D. Turtle, Melissa K. Henwood, Misty M. Strain, Yung-Jen Huang, Rajesh C. Miranda, James W. Grau","Engaging pain fibers after a spinal cord injury fosters hemorrhage and expands the area of secondary injury",2019,"Experimental Neurology","Academic Press Inc Elsevier Science","","",22,"2021-01-16 11:15:27","Article","10.1016/j.expneurol.2018.09.018","0014-4886","",311,,115,124,6,3.00,1,6,2,"In humans, spinal cord injury (SCI) is often accompanied by additional tissue damage (polytrauma) that can engage pain (nociceptive) fibers. Prior work has shown that this nociceptive input can expand the area of tissue damage (secondary injury), undermine behavioral recovery, and enhance the development of chronic pain. Here, it is shown that nociceptive input given a day after a lower thoracic contusion injury in rats enhances the infiltration of red blood cells at the site of injury, producing an area of hemorrhage that expands secondary injury. Peripheral nociceptive fibers were engaged 24 h after injury by means of electrical stimulation (shock) applied at an intensity that engages unmyelinated pain (C) fibers or through the application of the irritant capsaicin. Convergent western immunoblot and cyanmethemoglobin colorimetric assays showed that both forms of stimulation increased the concentration of hemoglobin at the site of injury, with a robust effect observed 3-24 h after stimulation. Histopathology confirmed that shock treatment increased the area of hemorrhage and the infiltration of red blood cells. SCI can lead to hemorrhage by engaging the sulfonylurea receptor 1 (SUR1) transient receptor potential melastatin 4 (TRPM4) channel complex in neurovascular endothelial cells, which leads to cell death and capillary fragmentation. Histopathology confirmed that areas of hemorrhage showed capillary fragmentation. Co-immunoprecipitation of the SUR1-TRPM4 complex showed that it was up-regulated by noxious stimulation. Shock-induced hemorrhage was associated with an acute disruption in locomotor performance. These results imply that noxious stimulation impairs long-term recovery because it amplifies the breakdown of the blood spinal cord barrier (BSCB) and the infiltration of red blood cells, which expands the area of secondary injury."
7,"H Shaker, MS Mourad, MH Elbialy, M Elhilali","Urinary bladder hyperreflexia: A rat animal model",2003,"Neurourology And Urodynamics","Wiley","","",18,"2021-01-16 11:15:27","Article","10.1002/nau.10147","0733-2467","",22,7,693,698,7,0.39,2,4,18,"In this work, we are presenting a rat animal model for bladder hyperreflexia after suprasacral spinal cord transection. Our aim was to standardize an animal model that can be useful in studying this condition. After standardizing the animal model in a pilot study, 26 female Sprague-Dawley rats were subjected to spinal cord transection at the level of T10 vertebra. Four animals were subjected to cystometrogram (CMG) 24 hr after spinalization and six rats 3 weeks post-spinalization. These CMGs were compared to that of six normal controls. The detailed description of the model presented in this manuscript, is the final result after several modifications. All the animals consistently developed hyperreflexia after an initial period of spinal shock phase. Expressed volume of urine continued to decrease until it reached a plateau after peaking at 1-week post-spinalization. The attrition rate reached 27.3% after several improvements in the animal model and was mostly from self-inflicted injuries. Post-operative complications included hypothermia, decubitus ulcers, hematuria, urinary tract infection in addition to the unexplained death of two animals. In conclusion, we believe that this animal model closely resembles the clinical condition of hyperreflexia and follows similar course. The relative low cost of this animal model and the easy maintenance makes it a valuable tool to study such a condition."
7,"Kun-Ze Lee, Hsiang-Chun Kuo","Vagal Control of Breathing Pattern after Midcervical Contusion in Rats",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",21,"2021-01-16 11:15:27","Article","10.1089/neu.2016.4645","0897-7151","",34,3,734,745,7,1.75,4,2,4,"The present study was designed to establish a midcervical contusion model that can simulate long-term respiratory deficits, and investigate the breathing pattern during vagal-mediated respiratory reflexes following midcervical contusion. Moderate and severe (impactor height: 6.25 or 12.5 mm) contusion was induced at midline C3-4 spinal cord in adult Sprague-Dawley rats. The ventilatory behaviors of unanesthetized were evaluated by whole body plethysmography at 1 day and 1, 2, 4, and 8 weeks post-injury. The tidal volume was decreased and frequency was increased in contused animals compared with uninjured animals at the acute injury state. At 8 weeks post-injury, respiratory frequency was similar between groups; however, contused animals had lower tidal volume. The pulmonary chemoreflex induced by intrajugular capsaicin (1.5 mu g/kg) injection and the Hering-Breuer inflation reflex induced by increasing positive end-expired pressure (9 cm H2O) were evoked in anesthetized animals at 3 days, or 2 or 8 weeks post-surgery. The result showed that capsaicin induced a significant prolongation of the expiratory duration in uninjured animals; however, this response was greatly attenuated in contused animals at 3 days post-injury. Increased positive end-expired pressure also caused an increase in the expiratory duration in uninjured and moderately contused animals; however, severely contused animals exhibited an attenuated response. At 2 and 8 weeks post-injury, both the pulmonary chemoreflex and the Hering-Breuer inflation reflex were similar between uninjured and contused animals. These data suggested that midcervical contusion can cause a long-term respiratory impairment and a transiently attenuation of vagal-mediated respiratory reflexes."
8,"Zachary R. Gallaher, Rose Marie Larios, Vitaly Ryu, Leslie K. Sprunger, Krzysztof Czaja","Recovery of Viscerosensory Innervation From the Dorsal Root Ganglia of the Adult Rat Following Capsaicin-Induced Injury",2010,"Journal Of Comparative Neurology","Wiley","","",19,"2021-01-16 11:15:27","Article","10.1002/cne.22412","0021-9967","",518,17,3529,3540,8,0.73,2,5,11,"Capsaicin is a neurotoxin selective for C- and A delta-type neurons. Systemic treatment with capsaicin is known to reduce this subpopulation in the dorsal root ganglia (DRG) of neonatal rats. To better understand the effects of capsaicin on adult afferent fibers, we examined DRG neurons retrogradely labeled by an i.p. injection of Fast Blue (FB) administered 3, 30, or 60 days after systemic capsaicin treatment (125 mg/kg i.p.). FB labeling in the 12th and 13th thoracic DRG was dramatically reduced 3 and 30 days post capsaicin (50% and 35% of control, respectively). However, the number of retrogradely labeled neurons rose to 65% of control by 60 days post capsaicin. In addition to FB labeling, we quantified the immunoreactivity of NR1, the obligatory N-methyl-D-aspartate receptor subunit, and Na(v)1.8, a DRG-specific sodium channel, in FB-labeled neurons as well as mRNA levels for both proteins in the 5th and 6th lumbar DRG. NR1 immunoreactivity and mRNA expression followed a pattern of early reduction and subsequent partial restoration similar to FB labeling. Na(v)1.8 immunoreactivity and mRNA expression dropped to approximately 50% of control at 3 days post capsaicin but completely recovered by 60 days. These data strongly support the conclusion that restoration of spinal afferent projections and signaling occurs in adult rats following capsaicin-induced damage. J. Comp. Neurol. 518:3529-3540, 2010. (C) 2010 Wiley-Liss, Inc."
8,"Joel D. Turtle, Misty M. Strain, Joshua A. Reynolds, Yung-Jen Huang, Kuan H. Lee, Melissa K. Henwood, Sandra M. Garraway, James W. Grau","Pain Input After Spinal Cord Injury (SCI) Undermines Long-Term Recovery and Engages Signal Pathways That Promote Cell Death",2018,"Frontiers In Systems Neuroscience","Frontiers Media Sa","","",20,"2021-01-16 11:15:27","Article","10.3389/fnsys.2018.00027","1662-5137","",12,,,,8,2.67,1,8,3,"Pain (nociceptive) input caudal to a spinal contusion injury increases tissue loss and impairs long-term recovery. It was hypothesized that noxious stimulation has this effect because it engages unmyelinated pain (C) fibers that produce a state of over-excitation in central pathways. The present article explored this issue by assessing the effect of capsaicin, which activates C-fibers that express the transient receptor potential vanilloid receptor-1 (TRPV1). Rats received a lower thoracic (T11) contusion injury and capsaicin was applied to one hind paw the next day. For comparison, other animals received noxious electrical stimulation at an intensity that engages C fibers. Both forms of stimulation elicited similar levels of c-fos mRNA expression, a cellular marker of nociceptive activation, and impaired long-term behavioral recovery. Cellular assays were then performed to compare the acute effect of shock and capsaicin treatment. Both forms of noxious stimulation increased expression of tumor necrosis factor (TNF) and caspase-3, which promotes apoptotic cell death. Shock, but not capsaicin, enhanced expression of signals related to pyroptotic cell death [caspase-1, inteleukin-1 beta (IL-1 beta)]. Pyroptosis has been linked to the activation of the P2X7 receptor and the outward flow of adenosine triphosphate (ATP) through the pannexin-1 channel. Blocking the P2X7 receptor with Brilliant Blue G (BBG) reduced the expression of signals related to pyroptotic cell death in contused rats that had received shock. Blocking the pannexin-1 channel with probenecid paradoxically had the opposite effect. BBG enhanced long-term recovery and lowered reactivity to mechanical stimulation applied to the girdle region (an index of chronic pain), but did not block the adverse effect of nociceptive stimulation. The results suggest that C-fiber input after injury impairs long-term recovery and that this effect may arise because it induces apoptotic cell death."
