Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"S. Cuzzocrea, T. Genovese, E. Mazzon, E. Esposito, R. Di Paola, C. Muia, C. Crisafulli, E. Cuzzocrea, P. Bramanti, I. H. Chaudry","17 beta-estradiol on secondary damage after SCI",2007,"Proceedings Of The 7th World Congress On Trauma, Shock, Inflammation And Sepsis","Medimond S R L","","",42,"2021-01-16 14:37:15","Proceedings Paper","","","",,,45,,0,0.00,0,10,14,"Since studies have shown that 17 beta-estradiol produces anti -inflammatory effects following various adverse circulatory conditions, we examined whether administration of 17 beta-estradiol prior to spinal cord injury (SCI) has any salutary effects in reducing SCI. In order to gain a better insight into the mechanism of action of the anti-inflammatory effects of 17 beta-estradiol, the following endpoints of the inflammatory process were evaluated: (1) spinal cord inflammation and tissue injury (histological score); (2) neutrophil infiltration (myeloperoxidase activity); (3) motor recovery score. In order to elucidate whether the protective effects of 17 beta-estradiol were mediated via the estrogen receptors, we investigated the effect of an estrogen receptor antagonist, ICI 182,780, on the protective effects of 17 beta-estradiol. ICI 182,780 (500 4g/kg administered subcutaneously 1 h prior to treatment with 17 beta-estradiol) significantly antagonized the effect of the 17 beta-estradiol and abolished the protective effect against SCI."
0,"Mina Afhami, Fatemeh Abbaszadeh, Elham Saghaei, Kobra Naseri, Mohammad Javan, Masoumeh Jorjani","The demyelination and altered motor performance following electrolytic lesion in the ventrolateral white matter of spinal cord in male rats: benefit of post-injury administration of estradiol",2016,"Physiology And Pharmacology","Iranian Soc Physiology & Pharmacology","","",43,"2021-01-16 14:37:15","Article","","2476-5236","",20,3,157,171,0,0.00,0,6,5,"Introduction: Spinal cord injuries are accompanied with significant demyelination of axons and subsequent locomotor dysfunction. To identify the extent of damage following electrolytic lesion of ventrolateral white matter, essential area for initiation of locomotor activity, we assessed demyelination as well as alteration in motor performance. Moreover, the protective effect of estradiol as a candidate treatment for preservation of myelin and locomotor activity after injury was examined due to its antiapoptotic and anti-inflammatory activities."
0,"Zhongsen Li, Fan Yu, Xuefei Yu, Shaohua Wang","Potential Molecular Mechanism and Biomarker Investigation for Spinal Cord Injury Based on Bioinformatics Analysis",2020,"Journal Of Molecular Neuroscience","Humana Press Inc","","",44,"2021-01-16 14:37:15","Article","10.1007/s12031-020-01549-0","0895-8696","",70,9,1345,1353,0,0.00,0,4,1,"This study aimed to explore the detailed molecular mechanism and biomarkers in spinal cord injury (SCI). Gene expression profiles of GSE125630 were downloaded from the Gene Expression Omnibus (GEO) database, and comprised 14 spinal cord tissues, including contusion SCI group (n = 6, unexercised), complete transection group (n = 4, unexercised), and uninjured control group (n = 4, unexercised). Differentially expressed gene (DEG) and time-series gene investigations, functional enrichment analysis, protein-protein interaction (PPI) network construction, characteristic gene-related disease analysis, and TF-target gene interaction studies were performed. A total of 122 DEGs and 409 DEGs were respectively identified in contusion SCI versus control group and complete transection versus control group, respectively. The PPI network investigated 16 characteristic genes including corticotropin-releasing hormone (CRH), tyrosine hydroxylase (TH), and neurotensin (NTS). These genes were mainly enriched in functions involving response to ethanol, corticosterone, and estradiol. Eventually, a TF-target gene interaction network was constructed with nine TFs [including activating transcription factor 3 (ATF3)] and 10 characteristic genes. The results indicate that regulation of osteoblast differentiation and positive regulation of the BMP signaling pathway may be suppressed in the process of SCI. TH may play a pivotal role in the progression of SCI. In addition, DEGs such as CRH and NTS may be novel targets for SCI therapy."
1,"Amany Farag, S. Lashen, R. Eltaysh","Histoarchitecture restoration of cerebellar sub-layers as a response to estradiol treatment following Kainic acid-induced spinal cord injury",2019,"Cell And Tissue Research","Springer","","",40,"2021-01-16 14:37:15","Article","10.1007/s00441-019-02992-1","0302-766X","",376,3,309,323,1,0.50,0,3,2,"One of the major impacts of spinal cord injury (SCI) is the cerebellar neurological malfunction and deformation of its sub-layers. This could be due to the enormous innervation of the spinocerebellar tract from the posterior gray horn in the spinal cord to the ipsilateral cerebellum. Although the neuroprotective role of estradiol in spinal cord (SC) injuries, as well as its ability to delay secondary cell death changes, is well-known, its effect on cerebellar layers is not fully investigated. In this study, a SCI model was achieved by injection of Kainic acid into SC of adult Male Wistar rats in order to assess the effects of SCI on the cerebellum. The animals were classified into SCI group (animals with SCI), estradiol-treated group (animals with SCI and received estradiol), control groups, and sham control group. The microscopical examination 24h after induction of SCI revealed that KA induced the most characteristics of neurodegeneration including astrocytic propagation and microglial activation. The estradiol was injected intraperitoneally 20min after induction of SCI, and the samples were collected at 1, 3, 7, 14, and 30days. Histologically, the estradiol reduced the inflammatory response, enhanced the recovery of molecular, granular, and Purkinje cell layers, and therefore aided in the restoration of layer organization. These findings were also confirmed by immunohistochemical staining and gene expression profiling."
1,"Joshua F. Yarrow, Hui Jean Kok, Ean G. Phillips, Christine F. Conover, Jimmy Lee, Taylor E. Bassett, Kinley H. Buckley, Michael C. Reynolds, Russell D. Wnek, Dana M. Otzel, Cong Chen, Jessica M. Jiron, Zachary A. Graham, Christopher Cardozo, Krista Vandenborne, Prodip K. Bose, Jose Ignacio Aguirre, Stephen E. Borst, Fan Ye","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury",2020,"Journal Of Neuroscience Research","Wiley","","",41,"2021-01-16 14:37:15","Article","10.1002/jnr.24564","0360-4012","",98,5,843,868,1,1.00,0,19,1,"Loading and testosterone may influence musculoskeletal recovery after spinal cord injury (SCI). Our objectives were to determine (a) the acute effects of bodyweight-supported treadmill training (TM) on hindlimb cancellous bone microstructure and muscle mass in adult rats after severe contusion SCI and (b) whether longer-term TM with adjuvant testosterone enanthate (TE) delivers musculoskeletal benefit. In Study 1, TM (40 min/day, 5 days/week, beginning 1 week postsurgery) did not prevent SCI-induced hindlimb cancellous bone loss after 3 weeks. In Study 2, TM did not attenuate SCI-induced plantar flexor muscles atrophy nor improve locomotor recovery after 4 weeks. In our main study, SCI produced extensive distal femur and proximal tibia cancellous bone deficits, a deleterious slow-to-fast fiber-type transition in soleus, lower muscle fiber cross-sectional area (fCSA), impaired muscle force production, and levator ani/bulbocavernosus (LABC) muscle atrophy after 8 weeks. TE alone (7.0 mg/week) suppressed bone resorption, attenuated cancellous bone loss, constrained the soleus fiber-type transition, and prevented LABC atrophy. In comparison, TE+TM concomitantly suppressed bone resorption and stimulated bone formation after SCI, produced near-complete cancellous bone preservation, prevented the soleus fiber-type transition, attenuated soleus fCSA atrophy, maintained soleus force production, and increased LABC mass. 75% of SCI+TE+TM animals recovered voluntary over-ground hindlimb stepping, while no SCI and only 20% of SCI+TE animals regained stepping ability. Positive associations between testosterone and locomotor function suggest that TE influenced locomotor recovery. In conclusion, short-term TM alone did not improve bone, muscle, or locomotor recovery in adult rats after severe SCI, while longer-term TE+TM provided more comprehensive musculoskeletal benefit than TE alone."
2,"Yongjun Luo, Tao Xu, Wei Liu, Yuluo Rong, Jiaxing Wang, Jin Fan, Guoyong Yin, Weihua Cai","Exosomes derived from GIT1-overexpressing bone marrow mesenchymal stem cells promote traumatic spinal cord injury recovery in a rat model",2020,"International Journal Of Neuroscience","Taylor & Francis Ltd","","",39,"2021-01-16 14:37:15","Article","10.1080/00207454.2020.1734598","0020-7454","",,,,,2,2.00,0,8,1,"Objective: This study aims to explore the effects of exosomes derived from G protein-coupled receptor kinase 2 interacting protein 1 (GIT1)-overexpressing bone marrow mesenchymal stem cell (GIT1-BMSC-Exos) on the treatment of traumatic spinal cord injury (SCI) in a rat model. Methods: All the rats underwent a T10 laminectomy. A weight-drop impact was performed using a 10-g rod from a height of 12.5 mm except the sham group. Rats with SCI were distributed into three groups randomly and then treated with tail vein injection of GIT1-BMSCs-Exos, BMSCs-Exos and PBS, respectively. The effects of GIT1-Exos on glutamate (GLU)-induced apoptosis in vitro were also evaluated by TUNEL staining. Results: The results showed that rats treated with GIT1-BMSCs-Exos had better functional behavioral recovery than those treated with PBS or BMSCs-Exos only. The overexpression of GIT1 in BMSCs-Exos not only restrained glial scar formation and neuroinflammation after SCI, but also attenuated apoptosis and promoted axonal regeneration in the injured lesion area. Neuronal cell death induced by GLU was controlled remarkably in vitro as well. Conclusion: In conclusion, our study suggested that the application of GIT1-BMSCs-Exos may provide a novel avenue for traumatic SCI treatment."
3,"A. Sanchez-Ramos, E. Vargas-Baquero, F. J. Martin-de Francisco, J. A. Godino-Duran, I. Rodriguez-Carrion, M. Ortega-Ortega, L. Mordillo-Mateos, F. Coperchini, M. Rotondi, A. Oliviero, M. Mas","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients",2017,"Spinal Cord","Nature Publishing Group","","",38,"2021-01-16 14:37:15","Article","10.1038/sc.2016.184","1362-4393","",55,6,570,574,3,0.75,0,11,4,"Study design: Prospective longitudinal study."
4,"Bahram Aminmansour, Ali Asnaashari, Majid Rezvani, Fariborz Ghaffarpasand, Seyed Mohammad Amin Noorian, Masih Saboori, Parisa Abdollahzadeh","Effects of progesterone and vitamin D on outcome of patients with acute traumatic spinal cord injury; a randomized, double-blind, placebo controlled study",2016,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd","","",37,"2021-01-16 14:37:15","Article","10.1080/10790268.2015.1114224","1079-0268","",39,3,272,280,4,0.80,1,7,5,"Background: Steroid hormones offer promising therapeutic perspectives during the acute phase of spinal cord injury (SCI) while the role of progesterone and vitamin D remain controversial. The aim of the current study was to investigate the effects of progesterone and vitamin D on functional outcome of patients with acute traumatic SCI."
5,"Shuangfei Ni, Yong Cao, Liyuan Jiang, Zixiang Luo, Hongbin Lu, Jianzhong Hu, Tianding Wu","Synchrotron Radiation Imaging Reveals the Role of Estrogen in Promoting Angiogenesis After Acute Spinal Cord Injury in Rats",2018,"Spine","Lippincott Williams & Wilkins","","",36,"2021-01-16 14:37:15","Article","10.1097/BRS.0000000000002629","0362-2436","",43,18,1241,1249,5,1.67,1,7,3,"Study Design. The efficacy of estrogen on vessel angiogenesis in acute spinal cord injury (SCI) in a rat model was evaluated by synchrotron radiation."
6,"Chia-Hong Yeng, Pei-Jarn Chen, Hsiu-Kang Chang, Wei-Yu Lo, Chia-Chun Wu, Chia-Yu Chang, Chih-Ho Chou, Sheng-Hsien Chen","Attenuating spinal cord injury by conditioned medium from human umbilical cord blood-derived CD34(+) cells in rats",2016,"Taiwanese Journal Of Obstetrics & Gynecology","Elsevier Taiwan","","",34,"2021-01-16 14:37:15","Article","10.1016/j.tjog.2015.12.009","1028-4559","",55,1,85,93,6,1.20,1,8,5,"Objective: Intravenous or intraspinal transplantation of human umbilical cord blood cells-derived CD34(+) cells (human CD34(+) cells) or mesenchymal stem cells after spinal cord injury (SCI) improved hind limb functional recovery in adult rats. The objective of this study is to ascertain whether SCI in rats can be attenuated by conditioned medium (CM) or secretome obtained from cultured human CD34(+) stem cells."
