Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Miriam Aceves, Andre Okoreeh, Mabel N. Terminel, Alejandro R. Aceves, Michelle A. Hook","MORPHINE UNDERMINES RECOVERY FOLLOWING SCI: OPIOID-IMMUNE INTERACTIONS",2016,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",22,"2021-01-18 10:01:24","Meeting Abstract","","0897-7151","",33,13,,,0,0.00,0,5,5,""
0,"Mabel Terminel, Miriam Aceves, Michelle Hook","MORPHINE-INDUCED CELL DEATH IN A RODENT MODEL OF SCI",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",23,"2021-01-18 10:01:24","Meeting Abstract","","0897-7151","",34,13,,,0,0.00,0,3,4,""
0,"Mabel Terminel, Miriam Aceves, Andre Okoreeh, Michelle Hook","MORPHINE UNDERMINES RECOVERY FOLLOWING SCI VIA A KOR-MEDIATED MECHANISM",2016,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",24,"2021-01-18 10:01:24","Meeting Abstract","","0897-7151","",33,13,,,0,0.00,0,4,5,""
0,"Xichun Xing, Chao Wang, Wenzhi Li","Repeated systemic administration of morphine promotes recovery of locomotor function after spinal cord injury in rats",2016,"International Journal Of Clinical And Experimental Medicine","E-Century Publishing Corp","","",25,"2021-01-18 10:01:24","Article","","1940-5901","",9,2,2037,2046,0,0.00,0,3,5,"Targeting activation of astrocytes during early stages of spinal cord injury (SCI) has been viewed as a potential strategy to improve neurological functions. Repeated systemic administration of morphine (RSAM) can induce activation of astrocytes in the spinal cord. Moreover, previous studies also revealed neuroprotective effects of morphine. Therefore, we investigated the effect of RSAM during an acute stage of SCI on neurological outcome in rats. RSAM significantly improved the Basso, Beattie, and Bresnahan score from 7 d after SCI and the inclined plane score from 14 d after SCI. However, the differences in thermal nociceptive thresholds and tactile sensory thresholds between the 2 groups were not statistically significant. RSAM increased expression levels of spinal IL-17, and decreased plasma levels of IL-17 at 1 d and 3 d after SCI. Furthermore, RSAM promoted activation of astrocytes around the damaged area, which prevented the spreading of damage into the surrounding tissue. At 28 d after SCI, RSAM preserved a greater area of white matter. These observations suggest that RSAM during an acute stage of SCI promotes recovery of locomotor function without promoting development of hyperalgesia and allodynia."
0,"Argyrios Stampas, Claudia Pedroza, Jennifer N. Bush, Adam R. Ferguson, John L. Kipling Kramer, Michelle Hook","The first 24 h: opioid administration in people with spinal cord injury and neurologic recovery",2020,"Spinal Cord","Springernature","","",26,"2021-01-18 10:01:24","Article","10.1038/s41393-020-0483-x","1362-4393","",58,10,1080,1089,0,0.00,0,6,1,"Study design Retrospective chart review. Objectives The objective of this study was to characterize opioid administration in people with acute SCI and examine the association between opioid dose and (1) changes in motor/functional scores from hospital to rehabilitation discharge, and (2) pain, depression, and quality of life (QOL) scores 1-year post injury. Setting Spinal Cord Injury Model System (SCIMS) inpatient acute rehabilitation facility. Methods Patients included in the SCIMS from 2008 to 2011 were linked to the National Trauma Registry and the electronic medical record. Three opioid dose groups (low, medium, and high) were defined based on the total morphine equivalence in milligrams at 24 h. The associations between opioid dose groups and functional/motor outcomes were assessed, as well as 1-year follow-up pain and QOL surveys. Results In all, 85/180 patients had complete medication records. By 24 h, all patients had received opioids. Patients receiving higher amounts of opioids had higher pain scores 1 year later compared with medium- and low-dose groups (pain levels 5.5 vs. 4 vs. 1, respectively,p = 0.018). There was also an 8x greater risk of depression 1 year later in the high-dose group compared with the low-dose group (OR: 8.1, 95% CI: 1.2-53.7). In analyses of motor scores, we did not find a significant interaction between opioid dose and duration of injury. Conclusions These preliminary findings suggest that higher doses of opioids administered within 24 h of injury are associated with increased pain in the chronic phase of people with SCI."
1,"Maxime Huot-Lavoie, Windsor Kwan-Chun Ting, Maxime Demers, Catherine Mercier, Christian Ethier","Impaired Motor Learning Following a Pain Episode in Intact Rats",2019,"Frontiers In Neurology","Frontiers Media Sa","","",21,"2021-01-18 10:01:24","Article","10.3389/fneur.2019.00927","1664-2295","",10,,,,1,0.50,0,5,2,"Motor learning and pain are important factors influencing rehabilitation. Despite being mostly studied independently from each other, important interactions exist between them in the context of spinal cord injury, whether to the spinal cord or the body. Ongoing or recent past episodes of nociceptive activity can prevent motor learning in spinalized rats. In intact animals, it has been proposed that supraspinal activity could counter the repressive effect of nociception on motor system plasticity, but this has not yet been verified in behavioral conditions. The aim of this study was to test whether a recent episode of nociception affects subsequent motor learning in intact animals. We trained rodents to walk on a custom-made horizontal ladder. After initial training, the rats underwent a week-long rest, during which they were randomly assigned to a control group, or one out of two pain conditions. Nociceptive stimuli of different durations were induced through capsaicin or Complete Freund's Adjuvant injections and timed so that the mechanical hypersensitivity had entirely subsided by the end of the resting period. Training then resumed on a modified version of the horizontal ladder. We evaluated the animals' ability to adapt to the modified task by measuring their transit time and paw misplacements over 4 days. Our results show that prior pain episodes do affect motor learning in neurologically intact rats. Motor learning deficits also seem to be influenced by the duration of the pain episode. Rats receiving a subcutaneous injection of capsaicin displayed immediate signs of mechanical hypersensitivity, which subsided rapidly. Nonetheless, they still showed learning deficits 24 h after injection. Rats who received a Complete Freund's Adjuvant injection displayed mechanical hypersensitivity for up to 7 days during the resting period. When trained on the modified ladder task upon returning to normal sensitivity levels, these rats exhibited more prolonged motor learning deficits, extending over 3 days. Our results suggest that prior pain episodes can negatively influence motor learning, and that the duration of the impairment relates to the duration of the pain episode. Our results highlight the importance of addressing pain together with motor training after injury."
3,"LA Reina, RP Yezierski","A combined behavioral physiological method for the assessment of thermal sensibility in the rat",1995,"Journal Of Neuroscience Methods","Elsevier Science Bv","","",20,"2021-01-18 10:01:24","Article","10.1016/0165-0270(95)00108-5","0165-0270","",63,1,185,195,3,0.12,2,2,26,"A behavioral and physiological method has been developed to study thermal detection in the rat. Threshold temperatures signaling (1) disruption of a trained behavior (forelimb bar pressing) and (2) increased heart rate were determined using a gradually increasing thermal stimulus delivered to the hindlimb. Response thresholds for disruption of bar press activity (44.8 degrees C) and heart rate elevation (44.4 degrees C) were statistically equivalent. No differences in thresholds for either response end point were found between the left and right hindlimbs, thus validating the consistency of the technique and reproducibility of the stimulus delivery device during test periods of 3-4 weeks. Advantages of the method include the use of two independent end points that are determined objectively, performance criteria that do not rely upon motor responses from the stimulated limb and the use of quantitative descriptors that enables comparisons to be made between different test groups. The method combines behavior with cardiovascular and somatosensory function in a way that can be used for the assessment of spinal and supraspinal pathways involved in thermal detection in the unanesthetized, behaviorally active rat."
4,"Miriam Aceves, Eric A. Bancroft, Alejandro R. Aceves, Michelle A. Hook","Nor-Binaltorphimine Blocks the Adverse Effects of Morphine after Spinal Cord Injury",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",19,"2021-01-18 10:01:24","Article","10.1089/neu.2016.4601","0897-7151","",34,6,1164,1174,4,1.00,1,4,4,"Opioids are frequently used for the treatment of pain following spinal cord injury (SCI). Unfortunately, we have shown that morphine administered in the acute phase of SCI results in significant, adverse secondary consequences including compromised locomotor and sensory recovery. Similarly, we showed that selective activation of the k-opioid receptor (KOR), even at a dose 32-fold lower than morphine, is sufficient to attenuate recovery of locomotor function. In the current study, we tested whether activation of the KOR is necessary to produce morphine's adverse effects using nor-Binaltorphimine (norBNI), a selective KOR antagonist. Rats received a moderate spinal contusion (T12) and 24 h later, baseline locomotor function and nociceptive reactivity were assessed. Rats were then administered norBNI (0, 0.02, 0.08, or 0.32 mu mol) followed by morphine (0 or 0.32 mu mol). Nociception was reassessed 30 min after drug treatment, and recovery was evaluated for 21 days. The effects of norBNI on morphine-induced attenuation of recovery were dose dependent. At higher doses, norBNI blocked the adverse effects of morphine on locomotor recovery, but analgesia was also significantly decreased. Conversely, at low doses, analgesia was maintained, but the adverse effects on recovery persisted. A moderate dose of norBNI, however, adequately protected against morphine's adverse effects without eliminating its analgesic efficacy. This suggests that activation of the KOR system plays a significant role in the morphine-induced attenuation of recovery. Our research suggests that morphine, and other opioid analgesics, may be contraindicated for the SCI population. Blocking KOR activity may be a viable strategy for improving the safety of clinical opioid use."
6,"Joel D. Turtle, Melissa K. Henwood, Misty M. Strain, Yung-Jen Huang, Rajesh C. Miranda, James W. Grau","Engaging pain fibers after a spinal cord injury fosters hemorrhage and expands the area of secondary injury",2019,"Experimental Neurology","Academic Press Inc Elsevier Science","","",17,"2021-01-18 10:01:24","Article","10.1016/j.expneurol.2018.09.018","0014-4886","",311,,115,124,6,3.00,1,6,2,"In humans, spinal cord injury (SCI) is often accompanied by additional tissue damage (polytrauma) that can engage pain (nociceptive) fibers. Prior work has shown that this nociceptive input can expand the area of tissue damage (secondary injury), undermine behavioral recovery, and enhance the development of chronic pain. Here, it is shown that nociceptive input given a day after a lower thoracic contusion injury in rats enhances the infiltration of red blood cells at the site of injury, producing an area of hemorrhage that expands secondary injury. Peripheral nociceptive fibers were engaged 24 h after injury by means of electrical stimulation (shock) applied at an intensity that engages unmyelinated pain (C) fibers or through the application of the irritant capsaicin. Convergent western immunoblot and cyanmethemoglobin colorimetric assays showed that both forms of stimulation increased the concentration of hemoglobin at the site of injury, with a robust effect observed 3-24 h after stimulation. Histopathology confirmed that shock treatment increased the area of hemorrhage and the infiltration of red blood cells. SCI can lead to hemorrhage by engaging the sulfonylurea receptor 1 (SUR1) transient receptor potential melastatin 4 (TRPM4) channel complex in neurovascular endothelial cells, which leads to cell death and capillary fragmentation. Histopathology confirmed that areas of hemorrhage showed capillary fragmentation. Co-immunoprecipitation of the SUR1-TRPM4 complex showed that it was up-regulated by noxious stimulation. Shock-induced hemorrhage was associated with an acute disruption in locomotor performance. These results imply that noxious stimulation impairs long-term recovery because it amplifies the breakdown of the blood spinal cord barrier (BSCB) and the infiltration of red blood cells, which expands the area of secondary injury."
6,"Daniel A. Castellanos, Linda A. Daniels, Mena P. Morales, Aldric T. Hama, Jacqueline Sagen","Expansion of formalin-evoked Fos-immunoreactivity in rats with a spinal cord injury",2007,"Neuroscience Research","Elsevier Ireland Ltd","","",18,"2021-01-18 10:01:24","Article","10.1016/j.neures.2007.04.011","0168-0102","",58,4,386,393,6,0.43,1,5,14,"Peripheral tissue injury as well as spinal cord injury (SCI) may lead to sensitization of dorsal horn neurons and alterations in nociceptive processing. Thus, peripheral injuries experienced by SO patients, even if not initially perceived, could result in a persistent and widespread activation of dorsal horn neurons and emerge as chronic pain with interventive repair or modest recovery from SCI. To visualize the spinal neuron response to peripheral tissue injury following complete SO in rats, the neural transcription factor Fos was quantitated in the spinal cord. Two weeks following either a complete transection of the spinal cord at the level of T8 or a sham surgery (laminectomy), rats were injected with formalin into the left hind paw. Sham-operated rats demonstrated biphasic hind paw pain-related behavior following formalin injection, but transected rats displayed fewer behaviors in the second (tonic) phase. Stereological analysis of the sham group revealed that the extent of formalin-induced Fos expression was within the lumbar dorsal horn, with numerous Fos-like immunoreactive profiles in the ipsilateral dorsal horn and some contralateral immunoreactive profiles. In contrast, the level of Fos-like immunoreactivity in the transected group was significantly elevated and expanded in range compared to the sham group, with increases observed in the normal laminar distribution regions, as well as multi-segmentally through sacral levels and increases in the contralateral dorsal horn segments. The data demonstrate that widespread activation of spinal, especially dorsal horn, neurons following peripheral insult can occur in the injured spinal cord, despite reduced pain responsiveness, and suggests that exaggerated pain may emerge as spinal recovery or repair progresses. (c) 2007 Elsevier Ireland Ltd and the Japan Neuroscience Society. All rights reserved."
